time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.795279,0.737737,0.790928,0.791867,0.781669,0.767363,0.607383,0.197674,0.500942
0.000,0.822515,0.953264,0.978172,0.804547,0.762214,0.775032,0.906040,0.623547,0.849341
0.000,0.803450,0.726149,0.793656,0.809357,0.809339,0.780997,0.632550,0.202035,0.524796
0.000,0.938266,0.996524,1.000000,0.893310,0.842629,0.828718,0.989933,0.864826,1.000000
0.000,0.814798,0.748552,0.793997,0.849585,0.840035,0.846613,0.643456,0.172965,0.601381
0.000,0.946437,1.000000,0.997271,0.907739,0.866840,0.828291,0.964765,0.889535,0.994350
0.000,0.904675,0.762457,0.795020,0.870136,0.881539,0.891777,0.689597,0.194767,0.612053
0.000,0.940082,0.998069,0.984993,0.888500,0.863381,0.858117,1.000000,1.000000,0.904583
0.000,0.859283,0.762457,0.800477,0.876694,0.909641,0.878994,0.676174,0.199128,0.548650
0.000,0.940082,0.990344,0.985675,0.847836,0.834847,0.807840,0.964765,0.854651,0.885122
0.000,0.848389,0.747393,0.793315,0.864451,0.893645,0.862804,0.669463,0.196221,0.595104
0.000,0.911030,0.985709,0.978172,0.871885,0.831388,0.831274,0.956376,0.890988,0.989956
0.000,0.894689,0.767864,0.814120,0.844775,0.801124,0.892203,0.716443,0.209302,0.616447
0.000,0.911030,0.991116,0.984993,0.845212,0.821012,0.796336,0.947987,0.870640,0.886378
0.000,0.878348,0.760139,0.795703,0.907302,0.891915,0.907115,0.699664,0.190407,0.543628
0.000,0.906945,0.981074,0.981924,0.838216,0.806744,0.711973,0.928691,0.803779,0.978029
0.000,0.883795,0.753959,0.791269,0.872322,0.891915,0.903281,0.662752,0.180233,0.595731
0.000,0.865638,0.968714,0.978172,0.809357,0.771293,0.757989,0.894295,0.736919,0.864407
0.000,0.915570,0.753187,0.805935,0.881067,0.899265,0.898594,0.682886,0.196221,0.508475
0.000,0.838402,0.974894,0.957708,0.791867,0.757890,0.733277,0.874161,0.771802,0.817326
0.000,0.891966,0.755118,0.805935,0.916484,0.929961,0.920324,0.687919,0.207849,0.536095
0.000,0.860191,0.971804,0.969986,0.780061,0.753567,0.746059,0.875839,0.755814,0.871940
0.000,0.925556,0.758594,0.802865,0.894622,1.000000,0.947167,0.692953,0.210756,0.590082
0.000,0.848389,0.950560,0.966576,0.743769,0.735409,0.719642,0.860738,0.736919,0.872567
0.000,0.955061,0.756277,0.810027,0.928290,0.943796,0.993183,0.716443,0.203488,0.534212
0.000,0.828870,0.966783,0.966917,0.730214,0.649805,0.667661,0.862416,0.751453,0.856874
