time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.549370,0.643603,0.003907,0.000000,0.000000,0.318041,0.148074,0.613703
0.000,1.000000,0.767857,0.864230,1.000000,1.000000,1.000000,0.805470,0.525896,0.728377
0.000,0.000000,0.549370,0.638903,0.000000,0.000000,0.003663,0.306573,0.140106,0.649174
0.000,1.000000,0.757353,0.856397,1.000000,1.000000,1.000000,0.810322,0.522576,0.717687
0.000,0.000244,0.548845,0.631854,0.010012,0.000000,0.000000,0.318483,0.126162,0.650146
0.000,1.000000,0.781250,0.868930,1.000000,1.000000,1.000000,0.821350,0.552457,0.755102
0.000,0.012943,0.542279,0.639948,0.000000,0.000000,0.000000,0.310984,0.161355,0.638484
0.000,1.000000,0.778887,0.886684,1.000000,1.000000,1.000000,0.835024,0.575033,0.763848
0.000,0.000000,0.533876,0.626110,0.000000,0.000000,0.000000,0.310101,0.166667,0.641399
0.000,1.000000,0.763655,0.867885,1.000000,1.000000,1.000000,0.809440,0.545817,0.755588
0.000,0.000000,0.554359,0.637598,0.000000,0.000000,0.000000,0.305690,0.122842,0.635083
0.000,1.000000,0.785977,0.868668,1.000000,1.000000,1.000000,0.813851,0.538513,0.748785
0.000,0.000000,0.549895,0.637598,0.000000,0.000000,0.000000,0.323335,0.156042,0.680758
0.000,1.000000,0.788866,0.891645,1.000000,1.000000,1.000000,0.832378,0.586985,0.772595
0.000,0.000000,0.539391,0.636031,0.000000,0.000000,0.000000,0.321570,0.129482,0.673955
0.000,1.000000,0.774685,0.864491,1.000000,1.000000,1.000000,0.825761,0.565737,0.768707
0.000,0.005861,0.543067,0.629243,0.000000,0.000000,0.003907,0.306573,0.120186,0.672983
0.000,1.000000,0.787290,0.889295,1.000000,1.000000,1.000000,0.844729,0.605578,0.800777
0.000,0.000000,0.544643,0.632376,0.000000,0.000000,0.009035,0.309660,0.156707,0.673469
0.000,1.000000,0.793855,0.904439,1.000000,1.000000,1.000000,0.842523,0.601594,0.804665
0.000,0.000000,0.537027,0.629765,0.000000,0.000000,0.000000,0.297750,0.108898,0.669582
0.000,1.000000,0.807773,0.910444,1.000000,1.000000,1.000000,0.844729,0.608898,0.810496
0.000,0.000000,0.547269,0.626371,0.000000,0.000000,0.000000,0.305690,0.119522,0.630709
0.000,1.000000,0.816702,0.918277,1.000000,1.000000,1.000000,0.865461,0.658699,0.793003
0.000,0.000000,0.536765,0.627154,0.000000,0.000000,0.000000,0.318924,0.120850,0.627308
0.000,1.000000,0.807248,0.927415,1.000000,1.000000,1.000000,0.865461,0.669323,0.761419
0.000,0.000000,0.535189,0.627415,0.000000,0.000000,0.000000,0.289810,0.128818,0.618076
0.000,1.000000,0.802258,0.914883,1.000000,1.000000,1.000000,0.840759,0.619522,0.803207
0.000,0.000000,0.535189,0.628460,0.000000,0.000000,0.000000,0.299074,0.140770,0.618076
0.000,1.000000,0.820903,0.906266,1.000000,1.000000,1.000000,0.869872,0.634794,0.801749
0.000,0.000000,0.539391,0.620888,0.000000,0.000000,0.000000,0.296868,0.158035,0.627794
0.000,1.000000,0.823792,0.940731,1.000000,1.000000,1.000000,0.865902,0.654714,0.841108
0.000,0.001465,0.536502,0.625587,0.000000,0.000000,0.000000,0.288046,0.132802,0.658406
0.000,1.000000,0.820378,0.939948,1.000000,1.000000,1.000000,0.873842,0.678619,0.842080
0.000,0.000000,0.536765,0.627415,0.000000,0.000000,0.000000,0.296868,0.136786,0.658406
0.000,1.000000,0.836922,0.944648,1.000000,1.000000,1.000000,0.877371,0.665339,0.846453
0.000,0.000000,0.523634,0.623760,0.000000,0.000000,0.000000,0.289369,0.152722,0.613703
0.000,1.000000,0.833246,0.952480,1.000000,1.000000,1.000000,0.876048,0.650730,0.815355
0.000,0.000000,0.528887,0.621410,0.000000,0.000000,0.000000,0.289810,0.129482,0.616132
0.000,1.000000,0.829832,0.929504,1.000000,1.000000,1.000000,0.881782,0.681939,0.811467
0.000,0.000000,0.532300,0.626632,0.000000,0.000000,0.000000,0.273930,0.132802,0.610301
0.000,1.000000,0.837447,0.937598,1.000000,1.000000,1.000000,0.879135,0.691235,0.850826
0.000,0.014408,0.534401,0.622715,0.000000,0.000000,0.000000,0.273930,0.096946,0.615160
0.000,1.000000,0.810399,0.943864,1.000000,1.000000,1.000000,0.867667,0.686587,0.819242
0.000,0.000000,0.524160,0.621932,0.000000,0.000000,0.000000,0.286281,0.100930,0.649660
0.000,1.000000,0.857143,0.981201,1.000000,1.000000,1.000000,0.900309,0.694555,0.878037
0.000,0.000000,0.537290,0.628460,0.000000,0.000000,0.000000,0.292016,0.152722,0.657920
0.000,1.000000,0.795693,0.967885,1.000000,1.000000,1.000000,0.872960,0.695883,0.831390
0.000,0.000000,0.526523,0.621671,0.000000,0.000000,0.000000,0.314071,0.099602,0.617104
0.000,1.000000,0.860294,0.972846,1.000000,1.000000,1.000000,0.898544,0.733068,0.850340
0.000,0.000000,0.522321,0.620366,0.001709,0.000000,0.000000,0.325099,0.100266,0.614189
