time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.843444,0.992481,0.000000,0.000000,0.000000,0.700935,0.722772,0.969620
0.000,0.008590,0.759295,0.924812,0.000000,0.000000,0.000000,0.722296,0.801980,0.951899
0.000,0.000000,0.857143,0.996241,0.002013,0.000000,0.000000,0.748999,0.683168,0.964557
0.000,0.000000,0.737769,0.917293,0.000000,0.000000,0.000000,0.704940,0.702970,0.893671
0.000,0.082319,0.855186,0.990602,0.000000,0.000000,0.000000,0.758344,0.752475,0.954430
0.000,0.002147,0.747554,0.945489,0.001342,0.000000,0.000000,0.690254,0.811881,0.886076
0.000,0.000000,0.851272,0.979323,0.000000,0.000000,0.000000,0.803738,0.693069,0.964557
0.000,0.000000,0.757339,0.934211,0.000000,0.000000,0.000000,0.719626,0.772277,0.954430
0.000,0.000000,0.863014,0.992481,0.000000,0.000000,0.000000,0.754339,0.811881,0.951899
0.000,0.000000,0.753425,0.932331,0.000000,0.000000,0.000000,0.751669,0.762376,0.969620
0.000,0.000000,0.792564,0.919173,0.001342,0.004765,0.000000,0.678238,0.673267,0.802532
0.000,0.026485,0.700587,0.834586,0.000000,0.000000,0.000000,0.647530,0.732673,0.777215
0.000,0.000000,0.839530,0.966165,0.010067,0.000000,0.000000,0.711615,0.762376,0.934177
0.000,0.000000,0.753425,0.911654,0.000000,0.000000,0.000000,0.706275,0.841584,0.934177
0.000,0.000000,0.804305,0.906015,0.000000,0.000000,0.000000,0.675567,0.623762,0.789873
0.000,0.000000,0.667319,0.795113,0.000000,0.000000,0.000000,0.623498,0.653465,0.734177
0.000,0.000000,0.778865,0.843985,0.014765,0.034717,0.003344,0.663551,0.633663,0.769620
0.000,0.000000,0.700587,0.768797,0.002685,0.000000,0.016054,0.607477,0.722772,0.756962
0.000,0.000000,0.804305,0.881579,0.002685,0.000000,0.000000,0.702270,0.702970,0.878481
0.000,0.001432,0.765166,0.909774,0.000000,0.000000,0.000000,0.720961,0.702970,0.934177
0.000,0.000000,0.894325,0.979323,0.004698,0.000000,0.000000,0.735648,0.683168,0.939241
0.000,0.000000,0.667319,0.796992,0.000000,0.005446,0.000000,0.612817,0.702970,0.711392
0.000,0.002147,0.761252,0.830827,0.018792,0.000000,0.000000,0.652870,0.643564,0.744304
0.000,0.000000,0.653620,0.759398,0.020805,0.000000,0.000000,0.602136,0.683168,0.721519
