time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984743,0.943250,0.956888
0.000,0.014408,0.476591,0.573168,0.000000,0.000000,0.000000,0.129468,0.001792,0.482662
0.000,0.986325,1.000000,1.000000,1.000000,1.000000,1.000000,0.996513,0.935484,0.955951
0.000,0.000000,0.472383,0.577571,0.000000,0.000000,0.007570,0.132520,0.010155,0.477507
0.000,0.907204,1.000000,1.000000,1.000000,1.000000,1.000000,0.985615,0.979689,0.950797
0.000,0.000000,0.466597,0.569283,0.000000,0.000000,0.000000,0.120314,0.003584,0.502812
0.000,1.000000,0.996844,1.000000,1.000000,1.000000,1.000000,1.000000,0.962366,0.960637
0.000,0.000000,0.468701,0.565916,0.000000,0.000000,0.001221,0.133391,0.013142,0.505155
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.992153,1.000000,1.000000
0.000,0.000000,0.464492,0.561772,0.000244,0.011477,0.000000,0.149085,0.008363,0.447516
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.987358,0.927718,0.995314
0.000,0.000000,0.466597,0.571355,0.000000,0.000000,0.000000,0.127289,0.008363,0.501406
0.000,1.000000,1.000000,1.000000,1.000000,0.973138,1.000000,0.992153,0.940860,0.957357
0.000,0.000000,0.463966,0.566693,0.000000,0.001709,0.000000,0.131648,0.005974,0.467666
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.967742,0.940860,0.990628
0.000,0.000000,0.458180,0.557628,0.000000,0.000000,0.000000,0.127289,0.010753,0.492034
0.000,1.000000,0.997896,1.000000,1.000000,1.000000,1.000000,0.985179,0.985663,0.989222
0.000,0.000000,0.472120,0.565916,0.000000,0.000977,0.000000,0.125981,0.008363,0.470478
0.000,1.000000,0.992898,1.000000,1.000000,1.000000,1.000000,0.971665,0.971326,0.940956
0.000,0.000000,0.451867,0.561772,0.000000,0.000000,0.000977,0.119006,0.008363,0.458763
