time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.073866,0.097513,0.000000,0.000000,0.000430,0.173973,0.039256,0.127413
0.000,0.003380,0.087916,0.110602,0.000000,0.000000,0.000000,0.185616,0.040289,0.127413
0.000,0.000000,0.071859,0.097513,0.000000,0.007341,0.001290,0.182192,0.027893,0.123552
0.000,0.000000,0.088318,0.107657,0.000000,0.000000,0.000000,0.191096,0.038223,0.127413
0.000,0.042058,0.069851,0.097840,0.003203,0.015905,0.000000,0.202740,0.035124,0.124196
0.000,0.000000,0.090325,0.107984,0.000000,0.000000,0.000000,0.212329,0.027893,0.124196
0.000,0.000000,0.077077,0.097186,0.000000,0.000000,0.000000,0.193151,0.037190,0.126126
0.000,0.000751,0.090325,0.107984,0.006405,0.000000,0.000000,0.204795,0.026860,0.126770
0.000,0.000000,0.075070,0.095550,0.000000,0.000000,0.000000,0.216438,0.027893,0.124196
0.000,0.004131,0.089121,0.106675,0.000000,0.000000,0.000000,0.202055,0.049587,0.126770
0.000,0.000000,0.071056,0.096531,0.002002,0.000000,0.000000,0.216438,0.042355,0.124196
0.000,0.000000,0.087515,0.108312,0.000000,0.000000,0.000000,0.175342,0.049587,0.129987
0.000,0.000376,0.071056,0.096531,0.000000,0.000000,0.000000,0.135616,0.033058,0.124196
0.000,0.000000,0.085508,0.107984,0.000000,0.000000,0.000000,0.099315,0.033058,0.123552
0.000,0.000000,0.065436,0.096859,0.000000,0.000000,0.000000,0.054795,0.030992,0.129987
0.000,0.000000,0.088318,0.106021,0.000000,0.000000,0.000000,0.046575,0.028926,0.129987
0.000,0.000000,0.071859,0.098822,0.030825,0.000000,0.000430,0.033562,0.033058,0.126126
0.000,0.000000,0.090325,0.107657,0.000000,0.000000,0.000000,0.197260,0.027893,0.126770
0.000,0.000000,0.075873,0.097513,0.000000,0.000000,0.000000,0.145205,0.028926,0.126126
0.000,0.000000,0.089924,0.106675,0.000000,0.000000,0.000000,0.078082,0.030992,0.129987
0.000,0.000000,0.072662,0.096859,0.000000,0.000000,0.000000,0.045205,0.041322,0.126126
0.000,0.000000,0.088719,0.109293,0.000000,0.000000,0.000000,0.031507,0.033058,0.126126
0.000,0.007886,0.081493,0.097186,0.000000,0.000000,0.000000,0.129452,0.029959,0.127413
0.000,0.000000,0.086712,0.106675,0.000000,0.000000,0.000000,0.054795,0.024793,0.127413
0.000,0.000751,0.072662,0.097186,0.000000,0.000000,0.000000,0.039726,0.022727,0.124839
0.000,0.006008,0.089522,0.106021,0.000000,0.000816,0.000000,0.063014,0.026860,0.126126
0.000,0.004506,0.071056,0.097513,0.000000,0.000000,0.000000,0.054795,0.024793,0.126770
0.000,0.000000,0.085508,0.106675,0.000000,0.000000,0.000000,0.058904,0.026860,0.126126
0.000,0.000000,0.072662,0.103076,0.000000,0.000000,0.000000,0.054110,0.034091,0.126126
0.000,0.000000,0.085909,0.106021,0.000000,0.000000,0.000000,0.155479,0.037190,0.124839
0.000,0.000000,0.071859,0.096859,0.000000,0.000000,0.000000,0.041096,0.029959,0.126126
