time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.726562,0.797688,0.000000,0.000000,0.000000,0.599537,0.224138,0.947644
0.000,0.000000,0.695312,0.774566,0.000000,0.000000,0.000000,0.583333,0.224138,0.973822
0.000,0.004124,0.679688,0.794798,0.000000,0.000000,0.000000,0.569444,0.206897,0.979058
0.000,0.016495,0.726562,0.774566,0.000000,0.000000,0.000000,0.541667,0.155172,0.958115
0.000,0.000000,0.753906,0.797688,0.000000,0.000000,0.000000,0.555556,0.172414,0.942408
0.000,0.121649,0.667969,0.763006,0.000000,0.000000,0.000000,0.567130,0.258621,0.968586
0.000,0.000000,0.757812,0.797688,0.086006,0.000000,0.000000,0.625000,0.379310,0.947644
0.000,0.051546,0.703125,0.768786,0.000000,0.051656,0.000000,0.620370,0.224138,0.947644
0.000,0.032990,0.726562,0.791908,0.000000,0.000000,0.000000,0.578704,0.224138,0.979058
0.000,0.000000,0.703125,0.763006,0.000000,0.000000,0.000000,0.592593,0.293103,0.942408
0.000,0.000000,0.734375,0.803468,0.000000,0.000000,0.000000,0.550926,0.500000,0.968586
0.000,0.000000,0.687500,0.757225,0.000000,0.000000,0.000000,0.597222,0.258621,0.958115
0.000,0.004124,0.742188,0.794798,0.000000,0.000000,0.000000,0.560185,0.362069,0.979058
0.000,0.000000,0.707031,0.774566,0.055394,0.000000,0.000000,0.550926,0.465517,0.979058
0.000,0.000000,0.750000,0.797688,0.000000,0.000000,0.000000,0.546296,0.137931,0.942408
0.000,0.000000,0.695312,0.760116,0.000000,0.000000,0.000000,0.560185,0.224138,0.963351
0.000,0.000000,0.718750,0.786127,0.000000,0.000000,0.000000,0.557870,0.258621,0.979058
0.000,0.000000,0.691406,0.722543,0.000000,0.000000,0.000000,0.574074,0.224138,0.989529
0.000,0.000000,0.710938,0.791908,0.000000,0.000000,0.000000,0.583333,0.258621,0.963351
0.000,0.000000,0.730469,0.751445,0.000000,0.000000,0.000000,0.555556,0.534483,0.979058
0.000,0.008247,0.687500,0.791908,0.000000,0.000000,0.000000,0.569444,0.258621,0.979058
0.000,0.000000,0.679688,0.760116,0.000000,0.000000,0.000000,0.581019,0.224138,0.968586
0.000,0.000000,0.687500,0.780347,0.000000,0.000000,0.000000,0.550926,0.206897,0.979058
0.000,0.039175,0.671875,0.763006,0.000000,0.000000,0.000000,0.560185,0.258621,0.963351
0.000,0.000000,0.703125,0.774566,0.000000,0.000000,0.000000,0.555556,0.137931,0.952880
0.000,0.043299,0.734375,0.768786,0.000000,0.000000,0.000000,0.578704,0.293103,0.968586
0.000,0.000000,0.714844,0.786127,0.000000,0.010596,0.000000,0.587963,0.551724,0.979058
0.000,0.000000,0.695312,0.768786,0.000000,0.000000,0.000000,0.574074,0.258621,0.963351
0.000,0.000000,0.726562,0.803468,0.000000,0.002649,0.000000,0.557870,0.293103,0.958115
0.000,0.000000,0.675781,0.763006,0.000000,0.000000,0.000000,0.578704,0.258621,0.958115
0.000,0.000000,0.726562,0.797688,0.000000,0.000000,0.011921,0.541667,0.206897,0.958115
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.905759
0.000,0.000000,0.523438,0.459538,0.065598,0.000000,0.000000,0.358796,0.224138,0.753927
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013245,0.000000,0.189655,0.000000
0.000,0.000000,0.648438,0.635838,0.000000,0.000000,0.000000,0.437500,0.189655,0.874346
0.000,0.000000,0.726562,0.751445,0.000000,0.000000,0.000000,0.479167,0.224138,0.989529
0.000,0.010309,0.726562,0.768786,0.000000,0.000000,0.000000,0.391204,0.155172,0.963351
0.000,0.395876,0.710938,0.765896,0.000000,0.000000,0.000000,0.361111,0.224138,0.963351
0.000,0.000000,0.710938,0.786127,0.000000,0.000000,0.000000,0.344907,0.500000,0.979058
0.000,0.026804,0.691406,0.768786,0.000000,0.000000,0.000000,0.400463,0.431034,0.963351
0.000,0.000000,0.703125,0.774566,0.000000,0.000000,0.000000,0.402778,0.137931,0.942408
0.000,0.000000,0.679688,0.774566,0.000000,0.000000,0.000000,0.432870,0.086207,0.973822
0.000,0.000000,0.750000,0.797688,0.000000,0.000000,0.002649,0.384259,0.310345,0.958115
0.000,0.000000,0.750000,0.757225,0.000000,0.000000,0.000000,0.400463,0.137931,0.947644
0.000,0.004124,0.734375,0.768786,0.000000,0.000000,0.000000,0.375000,0.275862,0.942408
0.000,0.000000,0.687500,0.736994,0.000000,0.000000,0.000000,0.400463,0.258621,0.937173
0.000,0.191753,0.718750,0.771676,0.000000,0.000000,0.000000,0.375000,0.275862,0.958115
0.000,0.000000,0.703125,0.768786,0.000000,0.000000,0.000000,0.428241,0.137931,0.963351
0.000,0.000000,0.699219,0.774566,0.000000,0.010596,0.000000,0.384259,0.344828,0.968586
0.000,0.000000,0.695312,0.780347,0.000000,0.000000,0.000000,0.449074,0.327586,0.942408
0.000,0.030928,0.710938,0.789017,0.000000,0.000000,0.000000,0.398148,0.344828,0.942408
0.000,0.000000,0.710938,0.763006,0.000000,0.000000,0.000000,0.444444,0.413793,0.963351
0.000,0.000000,0.726562,0.786127,0.000000,0.000000,0.000000,0.435185,0.224138,0.984293
0.000,0.179381,0.687500,0.780347,0.000000,0.000000,0.000000,0.453704,0.603448,0.947644
0.000,0.000000,0.718750,0.774566,0.000000,0.000000,0.000000,0.412037,0.137931,0.947644
0.000,0.000000,0.710938,0.771676,0.000000,0.000000,0.000000,0.462963,0.258621,0.963351
0.000,0.000000,0.707031,0.797688,0.000000,0.000000,0.000000,0.365741,0.189655,0.973822
0.000,0.000000,0.730469,0.809249,0.000000,0.000000,0.000000,0.467593,0.172414,0.968586
0.000,0.000000,0.734375,0.800578,0.000000,0.000000,0.000000,0.407407,0.344828,0.958115
0.000,0.000000,0.734375,0.791908,0.000000,0.000000,0.000000,0.462963,0.396552,0.963351
0.000,0.000000,0.734375,0.794798,0.000000,0.000000,0.000000,0.430556,0.258621,0.963351
0.000,0.000000,0.718750,0.777457,0.000000,0.000000,0.000000,0.458333,0.362069,0.963351
0.000,0.000000,0.734375,0.791908,0.000000,0.000000,0.000000,0.430556,0.224138,0.963351
0.000,0.000000,0.742188,0.820809,0.000000,0.000000,0.000000,0.412037,0.500000,0.963351
0.000,0.000000,0.742188,0.809249,0.000000,0.000000,0.000000,0.425926,0.396552,0.942408
0.000,0.000000,0.734375,0.803468,0.000000,0.000000,0.000000,0.481481,0.137931,0.963351
0.000,0.000000,0.734375,0.800578,0.007289,0.000000,0.000000,0.500000,0.137931,0.947644
0.000,0.000000,0.718750,0.786127,0.000000,0.000000,0.000000,0.574074,0.137931,0.952880
0.000,0.000000,0.695312,0.786127,0.000000,0.000000,0.000000,0.460648,0.241379,0.937173
0.000,0.000000,0.718750,0.774566,0.000000,0.000000,0.000000,0.500000,0.431034,0.968586
0.000,0.000000,0.707031,0.783237,0.000000,0.000000,0.000000,0.479167,0.396552,0.963351
0.000,0.000000,0.703125,0.768786,0.000000,0.000000,0.000000,0.490741,0.500000,0.968586
0.000,0.000000,0.703125,0.803468,0.000000,0.000000,0.000000,0.490741,0.206897,0.968586
0.000,0.000000,0.699219,0.783237,0.000000,0.000000,0.000000,0.490741,0.413793,0.952880
0.000,0.000000,0.742188,0.791908,0.000000,0.000000,0.000000,0.435185,0.189655,1.000000
0.000,0.000000,0.574219,0.630058,0.065598,0.000000,0.000000,0.282407,0.068966,0.544503
0.000,0.057732,0.582031,0.575145,0.000000,0.000000,0.007947,0.240741,0.000000,0.497382
0.000,0.000000,0.625000,0.624277,0.000000,0.000000,0.000000,0.291667,0.362069,0.643979
0.000,0.000000,0.734375,0.682081,0.000000,0.005298,0.000000,0.263889,0.275862,0.717277
0.000,0.035052,0.656250,0.699422,0.032070,0.000000,0.000000,0.344907,0.068966,0.664921
0.000,0.000000,0.605469,0.644509,0.000000,0.000000,0.000000,0.226852,0.137931,0.575916
0.000,0.037113,0.593750,0.612717,0.000000,0.000000,0.000000,0.296296,0.189655,0.612565
0.045,0.000000,0.601562,0.624277,0.000000,0.000000,0.014570,0.224537,0.051724,0.575916
0.095,0.000000,0.714844,0.736994,0.000000,0.000000,0.000000,0.388889,0.258621,0.958115
0.145,0.004124,0.773438,0.774566,0.000000,0.000000,0.000000,0.398148,0.224138,0.937173
0.195,0.000000,0.730469,0.791908,0.000000,0.000000,0.000000,0.444444,0.258621,0.979058
0.245,0.000000,0.730469,0.783237,0.000000,0.000000,0.000000,0.407407,0.137931,0.937173
0.295,0.000000,0.730469,0.780347,0.000000,0.000000,0.000000,0.414352,0.086207,0.968586
0.345,0.000000,0.718750,0.803468,0.000000,0.000000,0.000000,0.412037,0.189655,0.937173
0.395,0.043299,0.722656,0.803468,0.000000,0.000000,0.000000,0.435185,0.189655,0.963351
0.445,0.000000,0.726562,0.774566,0.001458,0.000000,0.000000,0.402778,0.258621,0.989529
0.495,0.000000,0.710938,0.768786,0.000000,0.000000,0.000000,0.467593,0.258621,0.968586
0.545,0.000000,0.699219,0.791908,0.000000,0.000000,0.000000,0.393519,0.206897,0.989529
0.595,0.000000,0.726562,0.774566,0.000000,0.000000,0.000000,0.437500,0.120690,0.968586
