time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.013919,0.052056,0.047240,0.014408,0.019292,0.035897,0.089270,0.038217,0.088954
0.000,0.000000,0.007208,0.007431,0.000000,0.000000,0.000000,0.009468,0.003822,0.008798
0.000,0.046154,0.054458,0.044586,0.003907,0.030037,0.024176,0.099639,0.035669,0.084066
0.000,0.000000,0.004004,0.003715,0.000000,0.009035,0.000000,0.006312,0.001911,0.000000
0.000,0.040781,0.046716,0.042994,0.033455,0.046154,0.052015,0.098287,0.036306,0.085533
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028855,0.000000,0.000978
0.000,0.002442,0.044848,0.039809,0.017338,0.003907,0.010501,0.064022,0.033121,0.080156
0.000,0.000000,0.003737,0.003185,0.000000,0.000000,0.000000,0.000000,0.010191,0.004399
0.000,0.002686,0.054992,0.045913,0.027595,0.018803,0.022466,0.085663,0.043312,0.084555
0.000,0.000000,0.015483,0.010881,0.000000,0.000000,0.000000,0.025699,0.000000,0.017595
0.000,0.000000,0.053924,0.045648,0.023443,0.025153,0.025153,0.093778,0.036943,0.086510
0.000,0.000000,0.014949,0.011677,0.000000,0.000000,0.000000,0.011722,0.007643,0.017595
0.000,0.020513,0.049653,0.044055,0.023199,0.021734,0.020269,0.090171,0.033121,0.087977
0.000,0.000000,0.010144,0.009289,0.000000,0.000000,0.000000,0.014878,0.005732,0.017595
0.000,0.020269,0.054191,0.052017,0.012698,0.011722,0.010989,0.038774,0.040127,0.087977
0.000,0.000000,0.014949,0.016189,0.000000,0.000000,0.000000,0.014427,0.016561,0.023460
0.000,0.003907,0.059263,0.051221,0.022711,0.002442,0.004396,0.082958,0.042038,0.088954
0.000,0.000000,0.054191,0.054671,0.000000,0.000000,0.000000,0.078449,0.032484,0.110459
0.000,0.001954,0.050988,0.055202,0.002686,0.010745,0.002442,0.093778,0.047134,0.090909
0.000,0.000000,0.020288,0.024682,0.000000,0.000000,0.000000,0.029306,0.012739,0.039589
0.000,0.017094,0.049119,0.055998,0.014408,0.008547,0.030281,0.088368,0.036943,0.088954
0.000,0.000000,0.017085,0.018577,0.000000,0.000000,0.000000,0.021641,0.016561,0.031281
0.000,0.020757,0.049119,0.045913,0.023443,0.018315,0.009035,0.091975,0.045860,0.088465
0.000,0.000000,0.019221,0.024151,0.000000,0.000000,0.000000,0.027502,0.015287,0.034213
0.000,0.002198,0.050187,0.050425,0.039805,0.000733,0.000000,0.075293,0.034395,0.082600
0.000,0.000000,0.018687,0.022293,0.000000,0.000000,0.002198,0.023445,0.016561,0.030303
0.000,0.014896,0.052056,0.044055,0.023443,0.020757,0.002686,0.075744,0.033758,0.086510
0.000,0.000000,0.012547,0.014331,0.000000,0.000000,0.000000,0.018034,0.009554,0.023460
0.000,0.006838,0.056327,0.056794,0.034188,0.008547,0.003175,0.077547,0.031847,0.087977
0.000,0.000000,0.055259,0.062633,0.000000,0.000000,0.000000,0.082958,0.033121,0.117791
0.000,0.074237,0.049653,0.037420,0.080342,0.049817,0.066422,0.120379,0.036943,0.078690
0.000,0.000000,0.058729,0.065817,0.000000,0.000000,0.000000,0.078900,0.038217,0.108016
0.000,0.000000,0.071009,0.078025,0.000000,0.022222,0.033944,0.119928,0.034395,0.115347
0.000,0.000000,0.060598,0.077495,0.000000,0.000000,0.000000,0.122633,0.032484,0.119746
0.000,0.005861,0.080352,0.094480,0.007570,0.012210,0.008059,0.165915,0.038217,0.134897
0.000,0.000000,0.308596,0.338641,0.000000,0.000000,0.000000,0.163661,0.003822,0.426197
0.000,0.000000,0.143887,0.255308,0.000000,0.000000,0.000000,0.135708,0.043949,0.141251
0.000,0.000000,0.067005,0.131635,0.024664,0.000000,0.000000,0.127142,0.037580,0.130987
0.000,0.054457,0.051255,0.046709,0.062515,0.053968,0.059829,0.097836,0.038217,0.086510
0.000,0.000000,0.048585,0.050425,0.000000,0.000000,0.000000,0.099639,0.033758,0.125122
0.000,0.015873,0.067806,0.075902,0.035409,0.050549,0.051038,0.156898,0.042675,0.124145
0.000,0.000000,0.311265,0.335722,0.000000,0.000000,0.000000,0.189811,0.017834,0.442326
0.000,1.000000,0.946877,1.000000,1.000000,1.000000,1.000000,0.978359,0.952866,1.000000
0.000,0.000000,0.474106,0.574310,0.000000,0.000000,0.000000,0.189811,0.018471,0.532258
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.963030,0.924841,0.891496
0.000,0.000000,0.475974,0.578556,0.000000,0.000000,0.000000,0.193868,0.017834,0.504399
0.000,0.918926,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998045
0.000,0.000000,0.478911,0.574841,0.000000,0.000000,0.000000,0.193417,0.016561,0.508798
0.000,0.003175,0.389749,0.515393,0.003907,0.008059,0.006349,0.155546,0.033121,0.391007
0.000,0.000000,0.027763,0.137473,0.000000,0.007326,0.002442,0.006312,0.008917,0.003910
0.000,0.000000,0.079552,0.110934,0.000000,0.000000,0.000000,0.153742,0.033758,0.143695
0.000,0.016850,0.061399,0.081741,0.000000,0.000000,0.002198,0.130298,0.038854,0.110459
0.000,0.000000,0.079018,0.097930,0.000000,0.000000,0.000000,0.165915,0.047134,0.143206
0.000,0.000000,0.070475,0.091561,0.000000,0.000000,0.000000,0.160956,0.043949,0.145650
0.000,0.002198,0.044848,0.043524,0.000000,0.000000,0.000000,0.076195,0.030573,0.070381
