time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.103841,0.126804,0.000000,0.008059,0.033455,0.096483,0.043206,0.116263
0.000,0.000000,0.098151,0.110309,0.000000,0.000000,0.000000,0.093156,0.024390,0.112903
0.000,0.000000,0.122807,0.137113,0.001954,0.000000,0.000000,0.108365,0.034843,0.129032
0.000,0.038828,0.099099,0.114948,0.001465,0.000488,0.000000,0.094582,0.027875,0.123656
0.000,0.000000,0.126126,0.143814,0.000000,0.000000,0.004151,0.116920,0.030662,0.133065
0.000,0.000488,0.136083,0.150515,0.000000,0.000000,0.002930,0.116445,0.035540,0.153898
0.000,0.000000,0.151257,0.184536,0.000000,0.029548,0.000000,0.145913,0.048084,0.177419
0.000,0.000000,0.132764,0.165979,0.026862,0.000000,0.000733,0.135932,0.035540,0.165323
0.000,0.006838,0.150308,0.195361,0.000000,0.000000,0.000000,0.148764,0.036237,0.181452
0.000,0.000000,0.137032,0.181443,0.000000,0.000000,0.000000,0.153992,0.035540,0.180780
0.000,0.000000,0.150782,0.188660,0.000000,0.000000,0.000488,0.167300,0.043902,0.173387
0.000,0.004151,0.141773,0.177835,0.000000,0.024176,0.000000,0.145437,0.037631,0.184140
0.000,0.003907,0.137506,0.162887,0.000000,0.004396,0.000000,0.137833,0.032056,0.154570
0.000,0.001221,0.099573,0.118557,0.000000,0.005617,0.000000,0.100760,0.032056,0.123656
0.000,0.000000,0.129445,0.145361,0.000000,0.000000,0.000000,0.116445,0.039024,0.134409
0.000,0.000000,0.103841,0.123196,0.000000,0.000000,0.000000,0.112643,0.041812,0.116935
0.000,0.000000,0.112850,0.124742,0.000000,0.000000,0.000244,0.102662,0.033449,0.114247
0.000,0.003663,0.100996,0.110825,0.032967,0.000000,0.000000,0.093631,0.030662,0.118280
0.000,0.000000,0.133713,0.145361,0.000000,0.005128,0.000000,0.132129,0.029965,0.131048
0.000,0.016361,0.107160,0.126804,0.000244,0.000000,0.000000,0.102662,0.032753,0.131720
0.000,0.002930,0.127549,0.139691,0.000000,0.000000,0.000000,0.108365,0.033449,0.133065
0.000,0.000000,0.115220,0.132474,0.000000,0.000000,0.000000,0.108365,0.032056,0.139785
0.000,0.000000,0.126126,0.168041,0.000000,0.000000,0.000733,0.133080,0.032753,0.153226
0.000,0.003907,0.125178,0.145361,0.000000,0.000000,0.000000,0.118821,0.032753,0.151210
0.000,0.005861,0.125178,0.147938,0.012698,0.000000,0.000000,0.116445,0.038328,0.133065
0.000,0.000000,0.099099,0.110309,0.000977,0.000000,0.000000,0.095057,0.032056,0.124328
0.000,0.006838,0.131342,0.145361,0.000000,0.000000,0.000000,0.117871,0.037631,0.137097
0.000,0.000000,0.117117,0.128866,0.021490,0.000000,0.004151,0.108840,0.039721,0.135753
0.000,0.000000,0.120910,0.139691,0.006593,0.001709,0.004151,0.113118,0.030662,0.124328
0.000,0.005372,0.107160,0.108247,0.000000,0.000000,0.000000,0.097433,0.037631,0.105511
0.000,0.022711,0.124704,0.144330,0.000000,0.000000,0.000000,0.114068,0.035540,0.129704
0.000,0.000000,0.103841,0.109278,0.000000,0.000000,0.005861,0.096958,0.027875,0.112903
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.000,0.000000,0.179232,0.284021,0.017582,0.000000,0.000000,0.132129,0.037631,0.200269
0.000,0.000000,0.161688,0.234021,0.001221,0.000000,0.000000,0.170627,0.046690,0.215726
0.000,0.000000,0.142722,0.193299,0.000000,0.000000,0.000000,0.154468,0.041812,0.213038
0.000,0.000000,0.159317,0.205670,0.000488,0.000488,0.000000,0.154468,0.037631,0.215054
0.000,0.000000,0.090090,0.124227,0.002442,0.000000,0.000000,0.096958,0.023693,0.113575
0.000,0.008547,0.120910,0.136082,0.000000,0.000000,0.006349,0.103137,0.041812,0.165323
0.000,0.000000,0.114746,0.144330,0.000000,0.000000,0.000000,0.101711,0.034843,0.158602
0.000,0.013919,0.109531,0.111340,0.023687,0.026618,0.056410,0.109316,0.037631,0.137097
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000,0.066178,0.111427,0.090206,0.037851,0.070330,0.040781,0.089829,0.036237,0.133065
0.000,0.003907,0.000474,0.003608,0.000000,0.000000,0.000000,0.001901,0.008362,0.011425
0.000,0.000000,0.116169,0.143299,0.000000,0.000000,0.008791,0.087452,0.029965,0.140457
0.000,0.010745,0.108582,0.141237,0.000000,0.000000,0.000000,0.101711,0.028571,0.143145
0.000,0.006105,0.119488,0.158763,0.000000,0.006105,0.000000,0.102662,0.030662,0.153226
0.000,0.000000,0.091513,0.130928,0.000000,0.000000,0.000000,0.082224,0.020906,0.126344
0.000,0.000000,0.115220,0.145361,0.009524,0.000000,0.000000,0.095532,0.027875,0.138441
0.000,0.000000,0.088193,0.115464,0.000000,0.006349,0.001954,0.084601,0.026481,0.127016
0.000,0.000000,0.107634,0.141237,0.000000,0.000000,0.000000,0.101711,0.041115,0.139785
0.000,0.000000,0.092461,0.119588,0.000000,0.000000,0.007570,0.079848,0.033449,0.124328
0.000,0.000000,0.113798,0.129897,0.003175,0.000000,0.008303,0.086502,0.028571,0.126344
0.000,0.000000,0.086771,0.117010,0.000000,0.005372,0.000000,0.089354,0.037631,0.126344
0.000,0.000000,0.105263,0.117526,0.000000,0.005372,0.000000,0.089829,0.037631,0.115591
0.000,0.000000,0.077288,0.085052,0.000000,0.000000,0.007570,0.072243,0.024390,0.100134
0.000,0.000000,0.093409,0.103093,0.000000,0.000000,0.018315,0.084601,0.032056,0.109543
0.000,0.000000,0.064486,0.081443,0.000488,0.000000,0.000000,0.078422,0.029965,0.098118
0.000,0.000000,0.108108,0.123711,0.000000,0.002198,0.000000,0.095532,0.041812,0.126344
0.000,0.000000,0.081081,0.096907,0.030525,0.000000,0.000000,0.082224,0.039024,0.112903
0.000,0.000000,0.112376,0.117526,0.000000,0.000000,0.000000,0.088403,0.041812,0.121640
0.000,0.000000,0.100047,0.121134,0.000488,0.002198,0.009035,0.094106,0.030662,0.131720
0.000,0.000000,0.092461,0.109278,0.000000,0.001465,0.000000,0.080798,0.030662,0.104839
0.000,0.000000,0.088668,0.110825,0.000000,0.000000,0.000000,0.086502,0.027178,0.126344
0.000,0.082295,0.108582,0.118557,0.000000,0.002198,0.006105,0.100760,0.027178,0.128360
0.000,0.000000,0.078236,0.100000,0.000000,0.000000,0.010256,0.071293,0.035540,0.110887
0.000,0.002442,0.103841,0.119588,0.000000,0.000000,0.000000,0.093631,0.041812,0.118280
0.000,0.003175,0.078236,0.097938,0.013431,0.000000,0.000000,0.076996,0.024390,0.113575
0.000,0.000000,0.108582,0.123196,0.000000,0.000000,0.000000,0.126426,0.027875,0.121640
0.000,0.000000,0.079184,0.095876,0.000000,0.000000,0.000000,0.086027,0.032056,0.115591
0.000,0.000000,0.092935,0.111340,0.000000,0.000000,0.000000,0.083650,0.029268,0.118280
0.000,0.000000,0.082029,0.093814,0.003907,0.000000,0.000000,0.079848,0.029965,0.110215
0.000,0.000000,0.114272,0.125258,0.001221,0.000000,0.000000,0.096008,0.037631,0.127688
0.000,0.003907,0.079659,0.102062,0.004884,0.004884,0.000000,0.081749,0.027875,0.108199
0.000,0.000000,0.109531,0.127320,0.000000,0.000488,0.000000,0.087452,0.029268,0.124328
0.000,0.006105,0.082029,0.097938,0.000000,0.000000,0.000000,0.085551,0.027178,0.112903
0.000,0.001709,0.106686,0.123196,0.000000,0.002686,0.000000,0.098859,0.033449,0.126344
0.000,0.002930,0.082978,0.092268,0.002930,0.000000,0.006349,0.075095,0.035540,0.110887
0.000,0.006105,0.102892,0.115979,0.000977,0.000000,0.000000,0.091255,0.032056,0.116263
0.000,0.000000,0.073020,0.094330,0.003175,0.000000,0.000000,0.072243,0.025784,0.104839
0.000,0.037118,0.098151,0.103608,0.000000,0.006105,0.011966,0.052757,0.026481,0.110215
0.000,0.000000,0.059270,0.063402,0.000000,0.000000,0.006349,0.060837,0.020906,0.086022
0.045,0.049573,0.091038,0.104124,0.000000,0.014896,0.000000,0.079848,0.026481,0.112903
0.095,0.000000,0.064486,0.077320,0.000000,0.000000,0.007082,0.058935,0.025087,0.096774
0.145,0.000000,0.086297,0.102062,0.003907,0.000000,0.009524,0.084601,0.029268,0.113575
0.195,0.000000,0.060218,0.069588,0.004884,0.000000,0.002198,0.060361,0.023693,0.088038
0.245,0.000000,0.086297,0.095361,0.000000,0.005372,0.000000,0.069392,0.024390,0.106183
0.295,0.000000,0.074443,0.094330,0.000000,0.000488,0.000000,0.077947,0.032056,0.107527
0.345,0.005861,0.106686,0.119072,0.000000,0.000000,0.000000,0.083650,0.026481,0.116935
0.395,0.000000,0.071124,0.081443,0.000000,0.000000,0.000733,0.070342,0.025784,0.098118
0.445,0.000000,0.106686,0.126804,0.002198,0.000000,0.000000,0.095057,0.040418,0.122312
0.495,0.008059,0.090564,0.102577,0.029060,0.000000,0.000000,0.072719,0.032753,0.118280
0.545,0.000000,0.105737,0.120619,0.005372,0.000000,0.000000,0.088403,0.027875,0.113575
0.595,0.000000,0.093409,0.115464,0.000488,0.000000,0.000000,0.090304,0.040418,0.129704
0.645,0.000000,0.108582,0.129897,0.002686,0.021245,0.000000,0.093156,0.038328,0.124328
0.695,0.000000,0.088668,0.098454,0.000000,0.000000,0.000000,0.047529,0.030662,0.115591
0.745,0.000000,0.093883,0.108247,0.000000,0.000000,0.000000,0.084601,0.032753,0.109543
0.795,0.007082,0.077288,0.094330,0.000000,0.000000,0.000000,0.072243,0.023693,0.107527
0.845,0.001221,0.095306,0.111340,0.000000,0.000000,0.000000,0.074144,0.025784,0.108199
0.895,0.000000,0.078710,0.102062,0.001465,0.001465,0.000000,0.083650,0.027875,0.115591
0.945,0.000000,0.105737,0.123196,0.000000,0.000000,0.000000,0.091730,0.030662,0.129704
0.995,0.000000,0.074917,0.098454,0.008059,0.004151,0.000000,0.080798,0.024390,0.113575
1.045,0.000000,0.089616,0.109278,0.000000,0.000000,0.008059,0.079848,0.035540,0.102823
1.095,0.000000,0.078236,0.090206,0.000000,0.000000,0.000000,0.064639,0.029965,0.096102
1.145,0.000000,0.086771,0.105155,0.000000,0.000000,0.000000,0.082224,0.023693,0.096774
1.195,0.005372,0.076339,0.090206,0.000000,0.002198,0.000000,0.081274,0.030662,0.096774
1.245,0.006105,0.092461,0.109278,0.000000,0.000000,0.000000,0.083650,0.034146,0.100806
1.295,0.000488,0.071598,0.086082,0.000000,0.001954,0.008547,0.064639,0.024390,0.088038
1.345,0.003175,0.089616,0.103608,0.001465,0.020757,0.003907,0.077947,0.024390,0.102823
1.395,0.006838,0.075391,0.085567,0.000000,0.000000,0.000000,0.056084,0.025087,0.092742
1.445,0.012698,0.084400,0.100000,0.000000,0.000000,0.029060,0.080798,0.029268,0.096774
1.495,0.000000,0.067330,0.077320,0.000000,0.000000,0.007326,0.072243,0.027178,0.090054
1.545,0.010989,0.089616,0.093814,0.000000,0.000000,0.000000,0.074144,0.037631,0.094086
1.595,0.000000,0.061166,0.076289,0.008059,0.000488,0.000000,0.060837,0.023693,0.081317
1.645,0.022222,0.082978,0.094330,0.000000,0.002198,0.000000,0.074620,0.036934,0.088710
1.695,0.000000,0.063063,0.066495,0.000000,0.000000,0.000000,0.063213,0.020906,0.084677
1.745,0.000977,0.078236,0.102062,0.000000,0.000000,0.000000,0.076046,0.026481,0.096774
1.795,0.000000,0.046468,0.083505,0.000244,0.002442,0.000000,0.076046,0.029268,0.094086
1.845,0.000000,0.082978,0.103608,0.000000,0.000000,0.000000,0.078897,0.029268,0.111559
