time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.606742,0.933594,0.000000,0.000000,0.000000,0.759850,0.756757,0.974555
0.000,0.000000,0.678652,0.951172,0.000000,0.000000,0.000000,0.838649,0.801802,0.982188
0.000,0.000000,0.620225,0.927734,0.000000,0.000000,0.000000,0.834897,0.873874,0.979644
0.000,0.018519,0.640449,0.960938,0.000000,0.029412,0.000000,0.833021,0.855856,0.979644
0.000,0.000000,0.615730,0.933594,0.000000,0.000000,0.000000,0.780488,0.756757,0.966921
0.000,0.015432,0.656180,0.957031,0.000000,0.000000,0.000000,0.881801,0.819820,0.989822
0.000,0.018519,0.588764,0.927734,0.000000,0.000000,0.000000,0.772983,0.846847,0.969466
0.000,0.000000,0.656180,0.951172,0.000000,0.000000,0.000000,0.814259,0.864865,0.979644
0.000,0.000000,0.584270,0.929688,0.000000,0.000000,0.000000,0.819887,0.720721,0.979644
0.000,0.000000,0.622472,0.953125,0.000000,0.000000,0.000000,0.821764,0.801802,1.000000
0.000,0.000000,0.602247,0.919922,0.000000,0.000000,0.000000,0.791745,0.765766,0.974555
0.000,0.000000,0.653933,0.958984,0.000000,0.000000,0.000000,0.818011,0.873874,0.979644
0.000,0.000000,0.577528,0.921875,0.000000,0.000000,0.000000,0.786116,0.738739,0.972010
0.000,0.000000,0.642697,0.951172,0.000000,0.000000,0.000000,0.840525,0.882883,0.982188
0.000,0.000000,0.575281,0.921875,0.000000,0.000000,0.000000,0.776735,0.765766,0.979644
0.000,0.000000,0.656180,0.951172,0.000000,0.000000,0.000000,0.810507,0.729730,0.974555
0.000,0.000000,0.582022,0.925781,0.000000,0.000000,0.000000,0.759850,0.747748,0.984733
0.000,0.000000,0.647191,0.960938,0.000000,0.000000,0.000000,0.746717,0.792793,0.984733
0.000,0.000000,0.566292,0.917969,0.000000,0.000000,0.000000,0.789869,0.837838,0.982188
0.000,0.000000,0.620225,0.960938,0.000000,0.000000,0.000000,0.834897,0.819820,0.987277
0.000,0.000000,0.566292,0.921875,0.000000,0.000000,0.000000,0.778612,0.774775,0.982188
0.000,0.000000,0.638202,0.966797,0.000000,0.000000,0.000000,0.825516,0.837838,0.979644
0.000,0.000000,0.582022,0.925781,0.000000,0.000000,0.000000,0.782364,0.873874,0.989822
0.000,0.000000,0.633708,0.964844,0.000000,0.000000,0.008282,0.842402,0.819820,0.982188
0.000,0.000000,0.579775,0.925781,0.037997,0.000000,0.000000,0.772983,0.855856,0.969466
0.000,0.000000,0.626966,0.964844,0.000000,0.000000,0.000000,0.819887,0.756757,0.977099
0.000,0.000000,0.564045,0.925781,0.000000,0.000000,0.000000,0.793621,0.774775,0.994911
0.000,0.004630,0.685393,0.957031,0.000000,0.000000,0.000000,0.831144,0.963964,0.994911
0.000,0.000000,0.584270,0.929688,0.000000,0.000000,0.000000,0.789869,0.900901,0.972010
0.000,0.000000,0.635955,0.960938,0.000000,0.000000,0.000000,0.834897,0.756757,0.972010
0.000,0.000000,0.613483,0.925781,0.000000,0.000000,0.000000,0.782364,0.882883,0.984733
0.000,0.009259,0.647191,0.951172,0.000000,0.000000,0.000000,0.833021,0.837838,0.979644
0.000,0.000000,0.577528,0.914062,0.000000,0.000000,0.000000,0.778612,0.756757,0.974555
0.000,0.026235,0.638202,0.966797,0.000000,0.000000,0.000000,0.784240,0.747748,0.989822
0.000,0.000000,0.575281,0.931641,0.000000,0.000000,0.000000,0.782364,0.756757,0.979644
0.000,0.000000,0.633708,0.957031,0.000000,0.000000,0.000000,0.827392,0.756757,0.977099
0.000,0.135802,0.575281,0.921875,0.000000,0.000000,0.000000,0.767355,0.747748,0.979644
0.000,0.000000,0.624719,0.960938,0.000000,0.000000,0.000000,0.842402,0.801802,0.982188
0.000,0.000000,0.575281,0.927734,0.000000,0.000000,0.000000,0.797373,0.747748,0.984733
0.000,0.000000,0.642697,0.966797,0.000000,0.000000,0.000000,0.829268,0.765766,0.972010
0.000,0.000000,0.573034,0.925781,0.000000,0.000000,0.000000,0.782364,0.801802,0.984733
0.000,0.000000,0.633708,0.957031,0.000000,0.000000,0.000000,0.834897,0.828829,0.989822
0.000,0.067901,0.579775,0.921875,0.000000,0.000000,0.000000,0.799250,0.756757,0.972010
0.000,0.000000,0.737079,0.968750,0.000000,0.000000,0.000000,0.849906,0.900901,0.977099
0.000,0.000000,0.552809,0.505859,0.000000,0.000000,0.000000,0.448405,0.495495,0.493639
0.000,0.101852,0.602247,0.468750,0.091537,0.178309,0.188406,0.489681,0.783784,0.575064
0.000,0.024691,0.777528,0.636719,0.000000,0.000000,0.000000,0.577861,0.657658,0.760814
0.000,0.334877,0.934831,0.925781,0.000000,0.000000,0.000000,0.819887,0.792793,0.989822
0.000,0.000000,0.878652,0.910156,0.000000,0.000000,0.000000,0.810507,0.837838,0.984733
0.000,0.000000,0.939326,0.968750,0.000000,0.000000,0.000000,0.846154,0.783784,0.982188
0.000,0.000000,0.557303,0.642578,0.000000,0.068015,0.000000,0.508443,0.549550,0.531807
0.000,0.304012,0.712360,0.578125,0.364421,0.494485,0.366460,0.652908,0.837838,0.623410
0.000,0.000000,0.206742,0.216797,0.000000,0.000000,0.000000,0.166979,0.180180,0.190840
0.000,0.189815,0.685393,0.542969,0.129534,0.156250,0.275362,0.600375,1.000000,0.638677
0.000,0.000000,0.712360,0.640625,0.000000,0.000000,0.080745,0.613508,0.792793,0.796438
0.000,0.026235,0.925843,0.902344,0.010363,0.000000,0.000000,0.808630,0.774775,0.956743
0.000,0.000000,0.874157,0.898438,0.000000,0.000000,0.033126,0.797373,0.774775,0.956743
0.000,0.037037,0.831461,0.820312,0.000000,0.029412,0.138716,0.705441,0.801802,0.796438
0.000,0.000000,0.777528,0.748047,0.000000,0.000000,0.000000,0.622889,0.963964,0.760814
0.000,0.240741,0.651685,0.656250,0.198618,0.218750,0.180124,0.673546,0.801802,0.669211
0.000,0.000000,0.206742,0.402344,0.000000,0.000000,0.000000,0.309568,0.387387,0.363868
0.000,0.078704,0.512360,0.589844,0.053541,0.079044,0.149068,0.564728,0.738739,0.638677
0.000,0.041667,0.287640,0.394531,0.000000,0.000000,0.000000,0.294559,0.423423,0.361323
0.000,0.331790,0.660674,0.585938,0.241796,0.191176,0.225673,0.557223,0.819820,0.646310
0.000,0.000000,0.361798,0.343750,0.000000,0.000000,0.000000,0.277674,0.234234,0.287532
0.000,0.106481,0.716854,0.623047,0.167530,0.207721,0.308489,0.538462,0.765766,0.674300
0.000,0.000000,0.728090,0.746094,0.006908,0.000000,0.000000,0.621013,0.783784,0.832061
0.000,0.177469,0.692135,0.685547,0.146805,0.101103,0.151139,0.613508,0.945946,0.659033
0.000,0.000000,0.170787,0.269531,0.000000,0.000000,0.000000,0.219512,0.324324,0.229008
0.000,0.233025,0.487640,0.589844,0.179620,0.198529,0.244306,0.632270,0.882883,0.659033
0.000,0.012346,0.361798,0.654297,0.000000,0.000000,0.000000,0.598499,0.765766,0.798982
0.000,0.168210,0.494382,0.578125,0.326425,0.917279,0.281573,0.651032,0.810811,0.664122
0.000,0.000000,0.105618,0.382812,0.034542,0.000000,0.000000,0.313321,0.396396,0.333333
0.000,0.109568,0.474157,0.589844,0.077720,0.112132,0.175983,0.594747,0.801802,0.664122
0.000,0.000000,0.215730,0.388672,0.000000,0.000000,0.000000,0.298311,0.495495,0.340967
0.000,0.382716,0.732584,0.685547,0.343696,0.327206,0.370600,0.639775,0.783784,0.715013
0.000,0.000000,0.750562,0.699219,0.020725,0.000000,0.000000,0.643527,0.819820,0.758270
0.000,0.000000,0.930337,0.939453,0.000000,0.000000,0.000000,0.891182,0.819820,0.979644
0.000,0.000000,0.674157,0.687500,0.000000,0.000000,0.000000,0.647280,0.963964,0.643766
0.000,0.000000,0.937079,0.894531,0.000000,0.104779,0.000000,0.872420,0.819820,0.877863
0.000,0.007716,0.885393,0.912109,0.000000,0.000000,0.000000,0.932458,0.783784,0.972010
0.000,0.000000,0.984270,0.976562,0.006908,0.000000,0.000000,1.000000,0.756757,0.931298
0.045,0.000000,0.894382,0.937500,0.000000,0.000000,0.000000,0.951220,0.819820,0.949109
0.095,0.000000,1.000000,0.996094,0.006908,0.001838,0.035197,0.962477,0.828829,0.949109
0.145,0.016975,0.869663,0.933594,0.012090,0.000000,0.000000,0.908068,0.783784,0.918575
0.195,0.040123,0.979775,0.978516,0.000000,0.000000,0.000000,0.923077,0.945946,0.913486
0.245,0.000000,0.865169,0.890625,0.000000,0.000000,0.000000,0.782364,0.765766,0.847328
0.295,0.000000,0.865169,0.845703,0.000000,0.062500,0.045549,0.718574,0.837838,0.737913
0.345,0.000000,0.640449,0.677734,0.000000,0.000000,0.000000,0.545966,0.639640,0.592875
0.395,0.000000,0.701124,0.656250,0.212435,0.205882,0.453416,0.604128,0.729730,0.669211
0.445,0.006173,0.629213,0.810547,0.000000,0.001838,0.000000,0.712946,0.873874,0.938931
0.495,0.000000,0.730337,0.929688,0.000000,0.000000,0.000000,0.842402,0.801802,0.989822
0.545,0.000000,0.231461,0.410156,0.000000,0.000000,0.000000,0.281426,0.126126,0.162850
0.595,0.000000,0.777528,0.703125,0.000000,0.012868,0.000000,0.619137,0.711712,0.763359
0.645,0.000000,0.184270,0.138672,0.000000,0.000000,0.000000,0.151970,0.000000,0.000000
0.695,1.000000,0.804494,0.566406,1.000000,1.000000,1.000000,0.607880,0.675676,0.608142
0.745,0.000000,0.042697,0.000000,0.000000,0.000000,0.000000,0.000000,0.063063,0.007634
0.795,0.618827,0.719101,0.546875,0.630397,0.669118,0.751553,0.617261,0.855856,0.661578
0.845,0.000000,0.334831,0.289062,0.414508,0.000000,0.000000,0.242026,0.243243,0.236641
0.895,0.489198,0.719101,0.707031,0.580311,0.533088,0.629400,0.786116,0.810811,0.684478
0.945,0.000000,0.000000,0.175781,0.000000,0.000000,0.000000,0.166979,0.225225,0.188295
0.995,0.333333,0.417978,0.552734,0.146805,0.226103,0.250518,0.575985,0.801802,0.651399
1.045,0.000000,0.085393,0.265625,0.000000,0.014706,0.000000,0.219512,0.306306,0.239186
1.095,0.117284,0.467416,0.587891,0.000000,0.000000,0.060041,0.549719,0.864865,0.641221
1.145,0.000000,0.121348,0.314453,0.000000,0.000000,0.000000,0.253283,0.270270,0.272265
1.195,0.000000,0.579775,0.681641,0.122625,0.029412,0.051760,0.570356,0.909910,0.725191
1.245,0.000000,0.222472,0.244141,0.000000,0.000000,0.000000,0.159475,0.279279,0.180662
1.295,0.000000,0.768539,0.718750,0.000000,0.000000,0.000000,0.587242,0.819820,0.720102
1.345,0.000000,0.862921,0.878906,0.000000,0.000000,0.000000,0.782364,0.819820,0.979644
1.395,0.027778,0.961798,0.988281,0.000000,0.000000,0.000000,0.846154,0.900901,0.979644
1.445,0.000000,0.885393,0.937500,0.000000,0.000000,0.000000,0.831144,0.963964,0.969466
1.495,0.000000,0.966292,1.000000,0.000000,0.009191,0.008282,0.842402,0.819820,0.982188
1.545,0.000000,0.880899,0.937500,0.000000,0.000000,0.000000,0.816135,0.765766,0.979644
1.595,0.038580,0.966292,0.996094,0.000000,0.000000,0.000000,0.909944,0.927928,0.984733
1.645,0.000000,0.811236,0.878906,0.000000,0.000000,0.006211,0.818011,0.693694,0.809160
1.695,0.000000,0.948315,0.927734,0.000000,0.000000,0.000000,0.866792,0.855856,0.913486
1.745,0.000000,0.876404,0.929688,0.000000,0.000000,0.000000,0.864916,0.900901,0.972010
1.795,0.000000,0.961798,0.988281,0.037997,0.014706,0.000000,0.893058,0.819820,0.969466
1.845,0.000000,0.764045,0.792969,0.000000,0.000000,0.000000,0.624765,0.801802,0.707379
1.895,0.000000,0.757303,0.707031,0.000000,0.053309,0.000000,0.598499,0.738739,0.666667
1.945,0.000000,0.611236,0.574219,0.000000,0.000000,0.362319,0.504690,0.693694,0.684478
1.995,0.038580,0.764045,0.722656,0.195164,0.281250,0.333333,0.722326,0.783784,0.687023
2.045,0.000000,0.202247,0.185547,0.000000,0.000000,0.000000,0.185741,0.243243,0.157761
2.095,0.257716,0.701124,0.550781,0.411054,0.369485,0.440994,0.575985,0.801802,0.653944
2.145,0.000000,0.200000,0.218750,0.000000,0.000000,0.000000,0.159475,0.351351,0.160305
2.195,0.504630,0.739326,0.582031,0.457686,0.545956,0.486542,0.632270,0.801802,0.638677
2.245,0.000000,0.775281,0.707031,0.000000,0.000000,0.000000,0.639775,0.837838,0.826972
2.295,0.000000,0.734831,0.656250,0.000000,0.000000,0.000000,0.508443,0.819820,0.636132
2.345,0.000000,0.703371,0.648438,0.000000,0.007353,0.000000,0.527205,0.747748,0.674300
2.395,0.026235,0.701124,0.628906,0.150259,0.000000,0.000000,0.544090,0.900901,0.592875
2.445,0.000000,0.710112,0.664062,0.000000,0.000000,0.000000,0.575985,0.720721,0.704835
2.495,0.334877,0.523596,0.542969,0.576857,0.571691,0.581781,0.643527,0.972973,0.633588
2.545,0.000000,0.350562,0.710938,0.027634,0.000000,0.000000,0.666041,0.756757,0.811705
2.595,0.000000,0.462921,0.896484,0.000000,0.000000,0.000000,0.772983,0.927928,0.913486
2.645,0.047840,0.388764,0.646484,0.000000,0.000000,0.000000,0.594747,0.612613,0.610687
2.695,0.043210,0.440449,0.792969,0.000000,0.132353,0.060041,0.662289,0.819820,0.765903
2.745,0.000000,0.368539,0.662109,0.000000,0.000000,0.469979,0.536585,0.828829,0.674300
2.795,0.000000,0.462921,0.820312,0.000000,0.000000,0.000000,0.675422,0.729730,0.806616
2.845,0.000000,0.433708,0.878906,0.000000,0.040441,0.022774,0.778612,0.945946,0.964377
2.895,0.000000,0.503371,0.951172,0.032815,0.000000,0.049689,0.819887,0.801802,0.979644
2.945,0.000000,0.453933,0.917969,0.000000,0.000000,0.000000,0.742964,0.963964,0.964377
2.995,0.087963,0.512360,0.960938,0.000000,0.000000,0.000000,0.827392,0.792793,0.961832
3.045,0.000000,0.139326,0.445312,0.000000,0.000000,0.000000,0.305816,0.351351,0.300254
