time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,6192.000000,243.000000,3.000000,0.000000,4095.000000,501.000000,1829.000000,24.000000,0.000000
0.000,6193.000000,238.000000,16.000000,0.000000,4095.000000,516.000000,1829.000000,20.000000,0.000000
0.000,6194.000000,227.000000,1.000000,0.000000,4095.000000,505.000000,1838.000000,24.000000,0.000000
0.000,6195.000000,543.000000,0.000000,0.000000,3956.000000,1723.000000,1854.000000,21.000000,0.000000
0.000,6196.000000,286.000000,1.000000,0.000000,4001.000000,1669.000000,1835.000000,26.000000,0.000000
0.000,6197.000000,347.000000,6.000000,0.000000,1543.000000,766.000000,1867.000000,18.000000,0.000000
0.000,6198.000000,363.000000,0.000000,0.000000,4035.000000,1522.000000,3574.000000,73.000000,0.000000
0.000,6199.000000,392.000000,0.000000,1.000000,3989.000000,1640.000000,3637.000000,77.000000,0.000000
0.000,6200.000000,407.000000,1.000000,0.000000,3798.000000,1655.000000,3607.000000,76.000000,0.000000
0.000,6201.000000,379.000000,2.000000,0.000000,3801.000000,1594.000000,3621.000000,76.000000,0.000000
0.000,6202.000000,404.000000,0.000000,0.000000,3798.000000,1639.000000,3572.000000,71.000000,0.000000
0.000,6203.000000,423.000000,0.000000,0.000000,3817.000000,1680.000000,3625.000000,71.000000,0.000000
0.000,6204.000000,423.000000,0.000000,0.000000,4012.000000,1585.000000,3533.000000,71.000000,0.000000
0.000,6205.000000,401.000000,0.000000,0.000000,3897.000000,1636.000000,3629.000000,64.000000,0.000000
0.000,6206.000000,453.000000,7.000000,0.000000,4095.000000,2025.000000,1869.000000,20.000000,0.000000
0.000,6207.000000,663.000000,8.000000,0.000000,4095.000000,2396.000000,1880.000000,25.000000,0.000000
0.000,6208.000000,214.000000,6.000000,0.000000,3923.000000,1184.000000,1802.000000,21.000000,567.000000
0.000,6209.000000,759.000000,17.000000,0.000000,2055.000000,1849.000000,1845.000000,24.000000,0.000000
0.000,6210.000000,455.000000,12.000000,0.000000,1739.000000,1463.000000,1859.000000,35.000000,0.000000
0.000,6211.000000,442.000000,2.000000,0.000000,1770.000000,1098.000000,1839.000000,24.000000,0.000000
0.000,6212.000000,423.000000,0.000000,0.000000,1827.000000,951.000000,1839.000000,26.000000,0.000000
0.000,6213.000000,535.000000,4.000000,0.000000,2136.000000,1399.000000,1829.000000,26.000000,0.000000
0.000,6214.000000,651.000000,0.000000,0.000000,4007.000000,2989.000000,1904.000000,24.000000,0.000000
0.000,6215.000000,796.000000,17.000000,0.000000,1623.000000,1965.000000,1837.000000,24.000000,0.000000
0.000,6216.000000,669.000000,2.000000,0.000000,1954.000000,1623.000000,3765.000000,81.000000,0.000000
0.000,6217.000000,1629.000000,37.000000,0.000000,2693.000000,3013.000000,4095.000000,83.000000,57.000000
0.000,6218.000000,524.000000,9.000000,0.000000,1343.000000,743.000000,1848.000000,20.000000,0.000000
0.000,6219.000000,1056.000000,2.000000,1.000000,2048.000000,2149.000000,3355.000000,70.000000,0.000000
0.000,6220.000000,711.000000,8.000000,0.000000,1492.000000,2025.000000,1850.000000,26.000000,0.000000
0.000,6221.000000,285.000000,0.000000,0.000000,1132.000000,492.000000,1781.000000,25.000000,0.000000
0.000,6222.000000,392.000000,2.000000,0.000000,4095.000000,1489.000000,1843.000000,23.000000,0.000000
0.000,6223.000000,394.000000,4.000000,0.000000,4095.000000,1368.000000,1864.000000,29.000000,0.000000
0.000,6224.000000,493.000000,10.000000,0.000000,4095.000000,1365.000000,1850.000000,22.000000,0.000000
0.000,6225.000000,587.000000,8.000000,0.000000,4095.000000,1807.000000,1860.000000,28.000000,0.000000
0.000,6226.000000,761.000000,11.000000,0.000000,4095.000000,1905.000000,1873.000000,26.000000,0.000000
