time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,4932.000000,237.000000,4.000000,0.000000,305.000000,284.000000,1816.000000,24.000000,0.000000
0.000,4933.000000,227.000000,2.000000,0.000000,282.000000,381.000000,1800.000000,20.000000,8.000000
0.000,4934.000000,188.000000,0.000000,0.000000,267.000000,389.000000,1785.000000,23.000000,0.000000
0.000,4935.000000,135.000000,0.000000,0.000000,280.000000,341.000000,1835.000000,28.000000,0.000000
0.000,4936.000000,187.000000,4.000000,0.000000,339.000000,320.000000,1833.000000,29.000000,1.000000
0.000,4937.000000,205.000000,2.000000,0.000000,283.000000,333.000000,1837.000000,28.000000,0.000000
0.000,4938.000000,197.000000,3.000000,0.000000,267.000000,325.000000,1811.000000,25.000000,0.000000
0.000,4939.000000,187.000000,0.000000,0.000000,320.000000,303.000000,1830.000000,28.000000,0.000000
0.000,4940.000000,213.000000,7.000000,0.000000,299.000000,283.000000,1767.000000,24.000000,8.000000
0.000,4941.000000,333.000000,5.000000,0.000000,373.000000,329.000000,1792.000000,26.000000,4.000000
0.000,4942.000000,392.000000,11.000000,0.000000,437.000000,343.000000,1811.000000,24.000000,0.000000
0.000,4943.000000,136.000000,0.000000,0.000000,260.000000,327.000000,1799.000000,25.000000,0.000000
0.000,4944.000000,333.000000,4.000000,0.000000,361.000000,289.000000,1825.000000,25.000000,0.000000
0.000,4945.000000,327.000000,0.000000,0.000000,503.000000,329.000000,1805.000000,25.000000,0.000000
0.000,4946.000000,203.000000,20.000000,0.000000,491.000000,265.000000,1785.000000,21.000000,0.000000
0.000,4947.000000,604.000000,8.000000,0.000000,749.000000,1210.000000,3251.000000,69.000000,472.000000
0.000,4948.000000,345.000000,2.000000,0.000000,3984.000000,39.000000,1822.000000,23.000000,0.000000
0.000,4949.000000,391.000000,6.000000,0.000000,361.000000,251.000000,1851.000000,25.000000,10.000000
0.000,4950.000000,340.000000,1.000000,0.000000,4095.000000,61.000000,1815.000000,26.000000,0.000000
0.000,4951.000000,1209.000000,9.000000,0.000000,4095.000000,101.000000,1803.000000,25.000000,0.000000
0.000,4952.000000,281.000000,0.000000,0.000000,780.000000,871.000000,3720.000000,75.000000,411.000000
