time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,2412.000000,646.000000,0.000000,0.000000,1203.000000,925.000000,3790.000000,87.000000,659.000000
0.000,2413.000000,599.000000,1.000000,0.000000,1199.000000,941.000000,3784.000000,85.000000,654.000000
0.000,2414.000000,632.000000,0.000000,0.000000,1251.000000,924.000000,3768.000000,83.000000,645.000000
0.000,2415.000000,595.000000,0.000000,0.000000,1097.000000,920.000000,3773.000000,79.000000,630.000000
0.000,2416.000000,600.000000,0.000000,0.000000,1073.000000,919.000000,3830.000000,83.000000,634.000000
0.000,2417.000000,603.000000,0.000000,0.000000,1050.000000,919.000000,3799.000000,74.000000,629.000000
0.000,2418.000000,617.000000,0.000000,0.000000,1190.000000,929.000000,3764.000000,83.000000,648.000000
0.000,2419.000000,603.000000,0.000000,0.000000,1087.000000,918.000000,3797.000000,85.000000,640.000000
0.000,2420.000000,618.000000,0.000000,0.000000,1117.000000,922.000000,3768.000000,81.000000,639.000000
0.000,2421.000000,651.000000,6.000000,0.000000,1184.000000,932.000000,3755.000000,85.000000,663.000000
0.000,2422.000000,709.000000,0.000000,0.000000,1177.000000,943.000000,3788.000000,85.000000,674.000000
0.000,2423.000000,781.000000,0.000000,0.000000,1223.000000,946.000000,3805.000000,81.000000,696.000000
0.000,2424.000000,791.000000,0.000000,0.000000,1223.000000,982.000000,3769.000000,83.000000,659.000000
0.000,2425.000000,1063.000000,12.000000,0.000000,1543.000000,1075.000000,3751.000000,79.000000,487.000000
0.000,2426.000000,1181.000000,8.000000,0.000000,1725.000000,1386.000000,3800.000000,88.000000,703.000000
0.000,2427.000000,679.000000,0.000000,0.000000,1564.000000,1338.000000,3881.000000,87.000000,759.000000
0.000,2428.000000,1989.000000,33.000000,0.000000,1327.000000,3012.000000,3497.000000,79.000000,1129.000000
0.000,2429.000000,1728.000000,34.000000,0.000000,3667.000000,2234.000000,2611.000000,33.000000,1503.000000
