time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1432.000000,576.000000,0.000000,4.000000,3304.000000,1595.000000,3564.000000,77.000000,1071.000000
0.000,1433.000000,768.000000,0.000000,0.000000,3293.000000,1651.000000,3401.000000,69.000000,1087.000000
0.000,1434.000000,619.000000,4.000000,0.000000,3287.000000,1624.000000,3511.000000,81.000000,1064.000000
0.000,1435.000000,729.000000,0.000000,0.000000,3409.000000,1752.000000,3448.000000,71.000000,1039.000000
0.000,1436.000000,719.000000,2.000000,0.000000,3307.000000,1628.000000,3588.000000,85.000000,1115.000000
0.000,1437.000000,563.000000,4.000000,0.000000,3353.000000,1593.000000,3671.000000,80.000000,1189.000000
0.000,1438.000000,553.000000,0.000000,0.000000,3311.000000,1542.000000,3629.000000,72.000000,1245.000000
0.000,1439.000000,529.000000,0.000000,0.000000,3316.000000,1639.000000,3595.000000,72.000000,1175.000000
0.000,1440.000000,584.000000,0.000000,0.000000,3273.000000,1639.000000,3495.000000,71.000000,983.000000
0.000,1441.000000,585.000000,3.000000,0.000000,3248.000000,1617.000000,3440.000000,72.000000,885.000000
0.000,1442.000000,585.000000,0.000000,0.000000,3223.000000,1435.000000,3415.000000,71.000000,1161.000000
0.000,1443.000000,553.000000,0.000000,0.000000,3243.000000,1469.000000,3483.000000,73.000000,1200.000000
0.000,1444.000000,624.000000,0.000000,0.000000,3243.000000,1619.000000,3400.000000,69.000000,919.000000
0.000,1445.000000,595.000000,0.000000,0.000000,3241.000000,1467.000000,3423.000000,59.000000,1173.000000
0.000,1446.000000,583.000000,0.000000,0.000000,3239.000000,1481.000000,3494.000000,79.000000,1203.000000
0.000,1447.000000,584.000000,0.000000,0.000000,3211.000000,1483.000000,3465.000000,57.000000,1203.000000
0.000,1448.000000,637.000000,1.000000,0.000000,3231.000000,1522.000000,3377.000000,64.000000,1177.000000
0.000,1449.000000,532.000000,0.000000,0.000000,3256.000000,1481.000000,3449.000000,61.000000,1169.000000
0.000,1450.000000,595.000000,0.000000,0.000000,3192.000000,1465.000000,3373.000000,50.000000,1138.000000
0.000,1451.000000,515.000000,0.000000,0.000000,3203.000000,1435.000000,3419.000000,45.000000,1141.000000
0.000,1452.000000,579.000000,3.000000,0.000000,3244.000000,1493.000000,3454.000000,73.000000,1181.000000
0.000,1453.000000,556.000000,0.000000,0.000000,3243.000000,1475.000000,3443.000000,66.000000,1179.000000
0.000,1454.000000,574.000000,0.000000,0.000000,3207.000000,1469.000000,3415.000000,61.000000,1143.000000
0.000,1455.000000,495.000000,0.000000,0.000000,3229.000000,1432.000000,3483.000000,50.000000,1151.000000
0.000,1456.000000,523.000000,0.000000,0.000000,3233.000000,1456.000000,3495.000000,69.000000,1177.000000
0.000,1457.000000,487.000000,0.000000,0.000000,3264.000000,1431.000000,3512.000000,74.000000,1197.000000
0.000,1458.000000,545.000000,0.000000,0.000000,3231.000000,1460.000000,3483.000000,64.000000,1173.000000
0.000,1459.000000,541.000000,0.000000,0.000000,3261.000000,1467.000000,3491.000000,71.000000,1179.000000
0.000,1460.000000,516.000000,0.000000,0.000000,3239.000000,1451.000000,3477.000000,64.000000,1175.000000
0.000,1461.000000,477.000000,0.000000,0.000000,3243.000000,1471.000000,3511.000000,56.000000,1172.000000
0.000,1462.000000,503.000000,0.000000,0.000000,3241.000000,1453.000000,3488.000000,60.000000,1179.000000
0.000,1463.000000,490.000000,0.000000,0.000000,3261.000000,1463.000000,3483.000000,71.000000,1187.000000
0.000,1464.000000,512.000000,0.000000,0.000000,3253.000000,1458.000000,3503.000000,61.000000,1192.000000
0.000,1465.000000,487.000000,0.000000,0.000000,3271.000000,1483.000000,3501.000000,71.000000,1177.000000
0.000,1466.000000,543.000000,8.000000,0.000000,3251.000000,1576.000000,3463.000000,73.000000,896.000000
0.000,1467.000000,535.000000,5.000000,0.000000,3229.000000,1573.000000,3489.000000,75.000000,873.000000
0.000,1468.000000,443.000000,0.000000,0.000000,1640.000000,1344.000000,3813.000000,88.000000,843.000000
0.000,1469.000000,2097.000000,45.000000,0.000000,3121.000000,1809.000000,3517.000000,75.000000,1270.000000
0.000,1470.000000,776.000000,19.000000,0.000000,3223.000000,1739.000000,3553.000000,69.000000,1094.000000
0.000,1471.000000,1960.000000,33.000000,0.000000,1910.000000,1651.000000,3840.000000,88.000000,1287.000000
0.000,1472.000000,1047.000000,0.000000,0.000000,2067.000000,1723.000000,3898.000000,85.000000,1228.000000
0.000,1473.000000,2399.000000,45.000000,0.000000,2410.000000,2057.000000,3903.000000,93.000000,1576.000000
0.000,1474.000000,2332.000000,49.000000,0.000000,2401.000000,2036.000000,3893.000000,88.000000,1728.000000
0.000,1475.000000,731.000000,1.000000,0.000000,1103.000000,1555.000000,3876.000000,85.000000,1239.000000
