time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.058937,0.054757,0.000000,0.000000,0.000000,0.087931,0.145299,0.116090
0.000,0.000000,0.055072,0.104038,0.000000,0.000000,0.000000,0.143103,0.367521,0.234216
0.000,0.000000,0.057005,0.084873,0.000000,0.000000,0.000000,0.184483,0.290598,0.183299
0.000,0.000000,0.058937,0.080767,0.000000,0.000000,0.000000,0.198276,0.230769,0.138493
0.000,0.000000,0.053140,0.075975,0.000000,0.000000,0.000000,0.267241,0.230769,0.152749
0.000,0.000000,0.041546,0.091034,0.000000,0.000000,0.000000,0.189655,0.299145,0.162933
0.000,0.000000,0.045411,0.075291,0.002976,0.000000,0.000000,0.175862,0.230769,0.169043
0.000,0.000000,0.060870,0.109514,0.000000,0.043272,0.000000,0.198276,0.247863,0.197556
0.000,0.000000,0.058937,0.113621,0.000000,0.000000,0.000000,0.237931,0.376068,0.274949
0.000,0.000000,0.057971,0.101300,0.002976,0.014875,0.000000,0.248276,0.290598,0.173116
0.000,0.000000,0.058937,0.004107,0.000000,0.000000,0.000000,0.046552,0.145299,0.022403
0.000,0.018227,0.053140,0.023956,0.000000,0.000000,0.000000,0.050000,0.111111,0.038697
0.000,0.000000,0.063768,0.006160,0.007440,0.000000,0.000000,0.000000,0.076923,0.000000
0.000,0.000000,0.093720,0.016427,0.000000,0.000000,0.000000,0.032759,0.025641,0.006110
0.000,0.000000,0.057005,0.007529,0.000000,0.000000,0.000000,0.032759,0.162393,0.016293
0.000,0.000000,0.057005,0.027379,0.000000,0.000000,0.001736,0.058621,0.145299,0.038697
0.000,0.000000,0.057005,0.004791,0.000000,0.000000,0.000000,0.018966,0.119658,0.018330
0.000,0.000000,0.053140,0.024641,0.000000,0.000000,0.000000,0.082759,0.000000,0.042770
0.000,0.000000,0.064734,0.000000,0.000000,0.000000,0.000000,0.018966,0.196581,0.014257
0.000,0.000000,0.053140,0.015058,0.000000,0.000000,0.000000,0.018966,0.196581,0.018330
0.000,0.000000,0.065700,0.013689,0.000000,0.002705,0.000000,0.027586,0.076923,0.018330
0.000,0.000000,0.057005,0.024641,0.011905,0.000000,0.057292,0.096552,0.153846,0.038697
0.000,0.000000,0.065700,0.008898,0.000000,0.000000,0.032986,0.027586,0.051282,0.008147
0.000,0.000000,0.019324,0.030801,0.000000,0.015551,0.000000,0.086207,0.034188,0.050916
0.000,0.000000,0.058937,0.058864,0.000000,0.000000,0.000000,0.101724,0.153846,0.103870
0.000,0.000000,0.057005,0.072553,0.000000,0.000000,0.000000,0.163793,0.324786,0.136456
0.000,0.000000,0.068599,0.047912,0.000000,0.000000,0.000000,0.093103,0.230769,0.112016
0.000,0.000000,0.064734,0.057495,0.000000,0.000000,0.000000,0.141379,0.119658,0.075356
0.000,0.000000,0.057971,0.017796,0.035714,0.000000,0.029514,0.103448,0.102564,0.034623
0.000,0.000000,0.051208,0.057495,0.000000,0.000000,0.000000,0.113793,0.188034,0.089613
0.000,0.000000,0.060870,0.056810,0.000000,0.000000,0.000000,0.134483,0.188034,0.112016
0.000,0.000000,0.057005,0.045175,0.000744,0.000000,0.000000,0.086207,0.119658,0.073320
0.000,0.000000,0.070531,0.064339,0.000000,0.000000,0.000000,0.120690,0.213675,0.114053
0.000,0.000000,0.045411,0.051335,0.017857,0.002028,0.000000,0.144828,0.162393,0.065173
0.000,0.000000,0.053140,0.034223,0.000000,0.012170,0.000000,0.086207,0.213675,0.079430
0.000,0.000000,0.035749,0.096509,0.000000,0.014199,0.000000,0.205172,0.282051,0.193483
0.000,0.000000,0.096618,0.071184,0.000000,0.000000,0.000000,0.168966,0.247863,0.152749
0.000,0.000000,0.000000,0.081451,0.000000,0.000000,0.000000,0.200000,0.119658,0.116090
0.000,1.000000,1.000000,0.245722,1.000000,1.000000,1.000000,1.000000,1.000000,0.309572
0.000,0.000000,0.029952,1.000000,0.000000,0.043272,0.000000,0.541379,0.418803,1.000000
0.000,0.000000,0.050242,0.353183,0.018601,0.102096,0.000000,0.286207,0.264957,0.274949
0.000,0.000000,0.037681,0.156057,0.011161,0.002028,0.000000,0.296552,0.290598,0.299389
0.000,0.057167,0.045411,0.198494,0.037946,0.025017,0.048611,0.420690,0.393162,0.448065
0.000,0.007457,0.045411,0.308008,0.000000,0.000000,0.034722,0.658621,0.529915,0.729124
0.000,0.023198,0.046377,0.310746,0.000000,0.012170,0.000000,0.693103,0.623932,0.735234
0.000,0.000000,0.045411,0.253251,0.024554,0.000000,0.000000,0.496552,0.350427,0.446029
0.000,0.378625,0.062802,0.094456,0.047619,0.025017,0.008681,0.158621,0.205128,0.205703
0.000,0.002486,0.037681,0.112252,0.051339,0.000000,0.048611,0.227586,0.290598,0.242363
0.000,0.024027,0.055072,0.076660,0.012649,0.012170,0.000000,0.212069,0.350427,0.201629
0.000,0.000000,0.039614,0.102669,0.033482,0.012847,0.000000,0.175862,0.256410,0.236253
0.000,0.000000,0.053140,0.095825,0.024554,0.144016,0.083333,0.224138,0.307692,0.238289
0.000,0.013256,0.042512,0.142368,0.015625,0.006761,0.013889,0.289655,0.350427,0.327902
0.000,0.000000,0.050242,0.191650,0.003720,0.017579,0.045139,0.431034,0.504274,0.466395
0.000,0.000000,0.049275,0.243669,0.011905,0.008114,0.008681,0.515517,0.487179,0.610998
0.000,0.000000,0.054106,0.277892,0.003720,0.020284,0.000000,0.625862,0.743590,0.682281
0.000,0.035626,0.047343,0.316222,0.000000,0.005409,0.038194,0.722414,0.376068,0.641548
0.000,0.035626,0.062802,0.140999,0.017857,0.030426,0.057292,0.318966,0.256410,0.287169
0.000,0.000000,0.050242,0.202601,0.017857,0.005409,0.006944,0.446552,0.692308,0.543788
0.000,0.105220,0.161353,0.239562,0.109375,0.081812,0.326389,0.551724,0.487179,0.450102
0.000,0.004143,0.064734,0.151951,0.065476,0.010818,0.076389,0.303448,0.239316,0.344196
