time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.174603,0.017879,0.108803,0.000734,0.000488,0.007326,0.175562,0.064844,0.177836
0.000,0.003907,0.016654,0.118670,0.007099,0.000000,0.000000,0.181180,0.050781,0.179947
0.000,0.001954,0.017634,0.109582,0.000000,0.001221,0.005861,0.177434,0.054688,0.179420
0.000,0.002442,0.018369,0.113996,0.000000,0.000000,0.000000,0.180243,0.064062,0.181003
0.000,0.004640,0.014940,0.108803,0.000000,0.000000,0.017094,0.174625,0.048438,0.179947
0.000,0.004151,0.018859,0.113217,0.003917,0.000000,0.013919,0.179307,0.053125,0.179420
0.000,0.001465,0.014450,0.108284,0.000000,0.000000,0.000000,0.172753,0.055469,0.172559
0.000,0.003907,0.018859,0.113996,0.005875,0.000000,0.000488,0.180243,0.053125,0.171504
0.000,0.002198,0.014940,0.109842,0.000000,0.000000,0.000000,0.164794,0.050000,0.165172
0.000,0.004151,0.018859,0.107505,0.000245,0.000000,0.001465,0.160112,0.048438,0.150396
0.000,0.004884,0.016654,0.104648,0.000245,0.044689,0.000000,0.155899,0.048438,0.154617
0.000,0.010256,0.017144,0.109582,0.001958,0.000000,0.022222,0.171816,0.052344,0.163588
0.000,0.009035,0.016165,0.107764,0.000000,0.020513,0.000000,0.162453,0.051562,0.169393
0.000,0.005372,0.018614,0.114256,0.000245,0.001221,0.000488,0.166199,0.050000,0.164116
0.000,0.001954,0.016899,0.106985,0.000000,0.002442,0.000000,0.159644,0.062500,0.164644
0.000,0.003175,0.018369,0.111400,0.000000,0.000000,0.008059,0.174625,0.052344,0.170976
0.000,0.002442,0.015430,0.108803,0.003917,0.000000,0.000000,0.170880,0.056250,0.174670
0.000,0.005617,0.018859,0.113996,0.000000,0.000244,0.054945,0.179307,0.050000,0.175198
0.000,0.001465,0.015430,0.108803,0.000000,0.032479,0.000000,0.172285,0.050000,0.170976
0.000,0.005128,0.020818,0.112179,0.000000,0.000488,0.000000,0.168539,0.043750,0.162533
0.000,0.001954,0.017634,0.107764,0.000000,0.000000,0.008059,0.174625,0.046094,0.168865
0.000,0.004151,0.020328,0.115035,0.007589,0.000000,0.000000,0.183521,0.056250,0.177836
0.000,0.004640,0.015430,0.108284,0.000000,0.000000,0.000000,0.179775,0.052344,0.182058
0.000,0.006838,0.019349,0.115554,0.000979,0.000977,0.000000,0.183989,0.053125,0.183113
0.000,0.006105,0.015920,0.108024,0.000000,0.000733,0.000000,0.178371,0.060937,0.181003
0.000,0.005861,0.019349,0.114516,0.008568,0.002442,0.000000,0.187734,0.050000,0.181003
0.000,0.004884,0.016899,0.108803,0.003917,0.000000,0.000000,0.181180,0.053125,0.178892
0.000,0.006349,0.020818,0.111140,0.000000,0.003419,0.000000,0.209738,0.051562,0.179947
0.000,0.007326,0.017879,0.108803,0.000000,0.001709,0.000000,0.176030,0.051562,0.178892
0.000,0.009768,0.018614,0.115554,0.003917,0.000000,0.000000,0.187266,0.067187,0.178892
0.000,0.000000,0.008082,0.016619,0.000000,0.000000,0.002442,0.036985,0.012500,0.018470
0.000,0.010012,0.020573,0.037653,0.010282,0.000000,0.013675,0.073502,0.037500,0.070185
0.000,0.000000,0.013960,0.438068,0.000000,0.000000,0.000000,0.220506,0.067187,0.571504
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.000,0.000000,0.012001,0.563490,0.000000,0.031258,0.000000,0.198502,0.071875,0.591557
0.000,0.000000,0.008817,0.210075,0.000000,0.009524,0.000000,0.034176,0.027344,0.058575
0.000,0.000000,0.009552,0.043365,0.000000,0.000000,0.010989,0.017322,0.026562,0.044855
0.000,0.000000,0.020573,0.045962,0.006120,0.000000,0.000000,0.084738,0.031250,0.084433
0.000,0.000000,0.010531,0.013503,0.000000,0.000000,0.006105,0.016386,0.003125,0.000000
0.000,0.000000,0.013715,0.094521,0.000000,0.000000,0.000000,0.138577,0.043750,0.154617
0.000,0.000000,0.000980,0.010647,0.000000,0.000000,0.014896,0.012172,0.000000,0.006332
0.000,0.081563,0.082292,0.058946,0.069278,0.070085,0.062271,0.123127,0.064062,0.112401
0.000,0.000000,0.009062,0.012464,0.000000,0.000000,0.000000,0.022004,0.028125,0.023219
0.000,0.000000,0.019349,0.021033,0.003917,0.000000,0.008059,0.036517,0.030469,0.045910
0.000,0.000000,0.011021,0.081018,0.021787,0.000000,0.000000,0.166199,0.046094,0.160422
0.000,0.000000,0.010531,0.085173,0.000000,0.000000,0.000000,0.138109,0.049219,0.154090
0.000,0.000000,0.008817,0.105167,0.000000,0.000000,0.000000,0.174157,0.050000,0.178892
0.000,0.000000,0.010531,0.113217,0.000000,0.000000,0.000000,0.181180,0.062500,0.179947
0.000,0.000000,0.010531,0.109842,0.000000,0.000000,0.000000,0.177434,0.051562,0.175198
0.000,0.000000,0.011021,0.113477,0.000000,0.000000,0.000000,0.183052,0.051562,0.178892
0.000,0.000000,0.009062,0.089847,0.000000,0.000000,0.000000,0.134363,0.031250,0.121900
0.000,0.003907,0.011021,0.025188,0.000734,0.000000,0.002930,0.045412,0.028125,0.036412
0.000,0.000000,0.012001,0.061283,0.000000,0.000000,0.000000,0.098315,0.048438,0.116623
0.000,0.000000,0.006123,0.084913,0.000000,0.000000,0.000000,0.126873,0.058594,0.124538
0.000,0.000000,0.010287,0.102311,0.000000,0.000000,0.000000,0.154963,0.048438,0.165699
0.000,0.000000,0.010531,0.111140,0.000000,0.000000,0.000000,0.168539,0.060937,0.174670
0.000,0.000000,0.008082,0.102051,0.000000,0.000000,0.000000,0.155899,0.046875,0.154090
0.000,0.000000,0.014450,0.108284,0.000000,0.000000,0.000000,0.167135,0.050781,0.164116
0.000,0.000000,0.010531,0.108024,0.000000,0.003907,0.000000,0.172285,0.054688,0.172559
0.000,0.000000,0.010531,0.113217,0.000000,0.000000,0.000000,0.183521,0.053125,0.179947
0.000,0.000000,0.009797,0.111140,0.000000,0.001709,0.000000,0.187266,0.067187,0.172559
0.000,0.000000,0.009797,0.099455,0.000000,0.006838,0.000000,0.155899,0.051562,0.140369
0.000,0.000000,0.013470,0.072449,0.000000,0.000000,0.000000,0.111891,0.043750,0.111346
0.000,0.000244,0.010776,0.089847,0.000000,0.000000,0.000000,0.132959,0.043750,0.125594
0.000,0.000000,0.010042,0.074786,0.000000,0.000000,0.000000,0.107210,0.039062,0.107124
0.000,0.000000,0.010042,0.062581,0.000000,0.000000,0.000000,0.095974,0.043750,0.082322
0.000,0.000000,0.009307,0.056089,0.000000,0.000488,0.002442,0.092228,0.037500,0.086016
0.000,0.000000,0.010042,0.052194,0.000000,0.000000,0.011722,0.074438,0.039844,0.075989
0.000,0.000000,0.008817,0.051675,0.000000,0.000000,0.006838,0.087547,0.040625,0.080739
0.000,0.000000,0.011021,0.076084,0.000000,0.000488,0.000000,0.118446,0.042188,0.109235
0.000,0.000488,0.011021,0.066476,0.000000,0.000000,0.000000,0.126873,0.048438,0.097625
0.000,0.000000,0.008572,0.067775,0.000000,0.000000,0.000000,0.106273,0.042188,0.092348
0.000,0.000000,0.010531,0.060244,0.000490,0.000000,0.000000,0.095037,0.031250,0.086544
0.000,0.000000,0.007103,0.060763,0.000000,0.000000,0.006349,0.091760,0.043750,0.086016
0.000,0.000000,0.014450,0.057128,0.000000,0.000000,0.000000,0.092228,0.048438,0.087071
0.000,0.000000,0.010042,0.074266,0.000000,0.000000,0.001465,0.112828,0.054688,0.107652
0.000,0.000000,0.009062,0.011426,0.000000,0.000000,0.000000,0.026685,0.018750,0.023219
0.000,0.002930,0.013960,0.025708,0.000000,0.000000,0.000000,0.048689,0.040625,0.037467
0.000,0.000000,0.010042,0.032199,0.000000,0.003419,0.000000,0.054307,0.029687,0.048021
0.000,0.000000,0.011511,0.037653,0.000000,0.000000,0.000000,0.066011,0.034375,0.060686
0.000,0.000000,0.012491,0.038691,0.000000,0.000000,0.000000,0.061330,0.040625,0.058575
0.000,0.000000,0.010776,0.083355,0.000490,0.000000,0.000733,0.124064,0.050781,0.133509
0.045,0.000000,0.009062,0.032459,0.000000,0.000000,0.000000,0.057584,0.025000,0.040633
0.095,0.000000,0.006858,0.029343,0.000000,0.000000,0.000000,0.051966,0.039062,0.043799
0.145,0.000000,0.010776,0.021553,0.000000,0.000000,0.000000,0.035112,0.023438,0.033245
0.195,0.000000,0.010531,0.028045,0.000000,0.000000,0.000000,0.038858,0.027344,0.035356
0.245,0.000000,0.005388,0.010647,0.000000,0.000000,0.000000,0.022940,0.019531,0.019525
0.295,0.000000,0.000000,0.015580,0.000000,0.000000,0.000000,0.029026,0.018750,0.026913
0.345,0.000000,0.007592,0.012724,0.004162,0.000000,0.000000,0.022004,0.019531,0.020580
0.395,0.000000,0.010042,0.019735,0.000000,0.003175,0.000488,0.026217,0.026562,0.027441
0.445,0.000000,0.009307,0.014801,0.000000,0.000000,0.000000,0.033708,0.032813,0.024802
0.495,0.000000,0.012001,0.021813,0.000000,0.008059,0.000000,0.030899,0.032031,0.030079
0.545,0.000000,0.007592,0.013763,0.029131,0.000488,0.000000,0.025749,0.034375,0.021108
0.595,0.000000,0.011756,0.018437,0.000000,0.000000,0.000977,0.029494,0.023438,0.027441
0.645,0.000000,0.008817,0.009608,0.001224,0.000000,0.006349,0.030431,0.015625,0.018997
0.695,0.000000,0.012001,0.028304,0.002693,0.000000,0.000000,0.045412,0.034375,0.036939
0.745,0.000000,0.008817,0.018437,0.000000,0.000000,0.000000,0.025749,0.025000,0.029024
0.795,0.000000,0.010287,0.028824,0.000000,0.000488,0.000000,0.040730,0.032813,0.039578
0.845,0.000000,0.009552,0.022072,0.000000,0.000000,0.000000,0.029963,0.017188,0.035356
0.895,0.000000,0.013960,0.027785,0.000000,0.000000,0.000000,0.037453,0.021875,0.035356
0.945,0.005372,0.010531,0.018437,0.000000,0.000000,0.000000,0.031367,0.029687,0.030079
0.995,0.000000,0.013470,0.021033,0.000000,0.000000,0.001954,0.036049,0.032813,0.027441
1.045,0.001954,0.005633,0.019735,0.000000,0.000000,0.000000,0.024345,0.022656,0.032718
1.095,0.000000,0.010531,0.022332,0.000000,0.000000,0.000000,0.038858,0.026562,0.033773
1.145,0.000000,0.007592,0.022592,0.001958,0.000000,0.000000,0.035112,0.032813,0.038522
1.195,0.000000,0.007837,0.026746,0.000000,0.000000,0.000000,0.043539,0.034375,0.040633
1.245,0.000000,0.009797,0.016619,0.000000,0.000000,0.000000,0.030431,0.025000,0.032190
1.295,0.000000,0.011511,0.027266,0.000000,0.000000,0.002198,0.045412,0.035156,0.035884
1.345,0.000000,0.008572,0.018696,0.000000,0.000000,0.000000,0.031367,0.024219,0.029551
1.395,0.000000,0.012981,0.021553,0.000000,0.000000,0.000000,0.034176,0.030469,0.035356
1.445,0.000000,0.010776,0.013763,0.009792,0.000000,0.000000,0.027622,0.030469,0.025858
1.495,0.000000,0.009552,0.018437,0.000000,0.000000,0.000000,0.024813,0.021875,0.025858
1.545,0.000000,0.007592,0.005453,0.000000,0.000000,0.000000,0.018727,0.020313,0.015303
1.595,0.000000,0.010042,0.021033,0.000000,0.000000,0.000000,0.040730,0.034375,0.027441
1.645,0.000000,0.009552,0.014282,0.000000,0.000000,0.000000,0.035112,0.025000,0.029024
1.695,0.036874,0.008082,0.030901,0.000000,0.000000,0.000000,0.045412,0.039062,0.046438
1.745,0.054457,0.008082,0.018956,0.000000,0.000000,0.000000,0.038858,0.025000,0.034301
1.795,0.000000,0.008572,0.026746,0.000000,0.000000,0.000000,0.037453,0.025000,0.037467
1.845,0.000000,0.009552,0.023890,0.000000,0.000000,0.000000,0.038390,0.023438,0.036412
1.895,0.000000,0.009797,0.025188,0.022277,0.000000,0.001465,0.039794,0.020313,0.029551
1.945,0.000000,0.008082,0.013503,0.000000,0.000000,0.000000,0.029494,0.025781,0.027968
1.995,0.000000,0.010776,0.016879,0.000000,0.000000,0.000000,0.029494,0.031250,0.025858
2.045,0.000000,0.009552,0.007271,0.000000,0.000000,0.000000,0.014981,0.018750,0.016359
2.095,0.009524,0.011266,0.013243,0.000000,0.000000,0.000000,0.022004,0.017969,0.020053
2.145,0.000488,0.007592,0.000000,0.000000,0.000000,0.000000,0.005150,0.017188,0.007388
2.195,0.000000,0.013470,0.015321,0.000000,0.000000,0.000000,0.022004,0.023438,0.026913
2.245,0.000000,0.009062,0.004414,0.000000,0.000000,0.000000,0.008895,0.025000,0.010026
2.295,0.000733,0.012001,0.012724,0.000000,0.000000,0.003907,0.060861,0.017188,0.020580
2.345,0.000000,0.009552,0.002337,0.000000,0.001221,0.000000,0.000000,0.014063,0.003694
2.395,0.000000,0.010287,0.012724,0.000000,0.000000,0.000000,0.028558,0.022656,0.025858
2.445,0.000000,0.009552,0.054272,0.000000,0.000000,0.000000,0.080993,0.042188,0.083905
2.495,0.000000,0.011266,0.061542,0.000000,0.000000,0.000000,0.093633,0.037500,0.084433
2.545,0.000000,0.018124,0.043365,0.000000,0.000000,0.000000,0.073502,0.037500,0.069129
2.595,0.000000,0.011266,0.075045,0.000000,0.000000,0.000000,0.111423,0.044531,0.108179
2.645,0.000000,0.009062,0.050117,0.000734,0.000000,0.000000,0.085674,0.025781,0.060686
2.695,0.000000,0.010776,0.064399,0.000000,0.000000,0.000000,0.104401,0.043750,0.101847
2.745,0.000000,0.010531,0.047520,0.000000,0.000000,0.002198,0.081929,0.030469,0.070185
2.795,0.000000,0.010531,0.054272,0.000000,0.033944,0.000000,0.093165,0.039062,0.075462
