time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1.000000,0.945055,1.000000,1.000000,0.985836,0.827542,0.857885,0.729090,0.881220
0.000,0.015385,0.027595,0.483741,0.011477,0.021490,0.197034,0.090909,0.028657,0.321830
0.000,0.995360,0.947497,0.993819,0.999023,0.963370,0.832627,0.861596,0.769743,0.885233
0.000,0.011966,0.029060,0.489385,0.000000,0.021245,0.197458,0.101670,0.023326,0.358748
0.000,0.968010,0.951404,1.000000,0.971673,1.000000,0.832627,0.869759,0.727757,0.845506
0.000,0.019292,0.026862,0.487772,0.026618,0.034921,0.204237,0.098330,0.023326,0.336276
0.000,1.000000,0.974115,1.000000,0.998046,0.957509,0.846186,0.863080,0.626791,0.854735
0.000,0.014408,0.028083,0.482935,0.019048,0.009524,0.198729,0.092764,0.022326,0.324639
0.000,1.000000,0.967521,1.000000,1.000000,0.994628,0.855085,0.871243,0.822059,0.892055
0.000,0.013919,0.028571,0.486428,0.018315,0.023443,0.204237,0.085343,0.022992,0.345104
0.000,0.964591,0.981929,1.000000,0.983883,0.905250,0.847458,0.876067,0.629790,0.858748
0.000,0.000000,0.015629,0.487772,0.021245,0.020757,0.200000,0.094249,0.022659,0.355136
0.000,1.000000,0.963126,1.000000,1.000000,0.980464,0.866525,0.877180,0.754748,0.906501
0.000,0.011966,0.020024,0.490460,0.006349,0.000000,0.197034,0.096475,0.017661,0.345104
0.000,1.000000,0.989744,1.000000,1.000000,1.000000,0.858475,0.887570,0.909030,0.861156
0.000,0.013675,0.021490,0.481860,0.019536,0.108425,0.194068,0.086085,0.015995,0.351525
0.000,0.940904,0.992430,1.000000,1.000000,0.942613,0.849576,0.846753,0.744085,0.902889
0.000,0.000000,0.019292,0.485085,0.014408,0.000000,0.197881,0.091280,0.022326,0.348716
0.000,1.000000,1.000000,1.000000,1.000000,0.999023,0.876695,0.889054,0.788737,0.889246
0.000,0.002686,0.010989,0.483203,0.016361,0.010989,0.194915,0.097217,0.015661,0.330257
0.000,1.000000,0.999512,1.000000,1.000000,0.993651,0.879661,0.890538,0.845052,0.880819
0.000,0.037363,0.016606,0.488310,0.004884,0.009524,0.197881,0.092764,0.014995,0.355939
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.894068,0.901299,0.815062,0.916132
0.000,0.083761,0.015873,0.485622,0.003907,0.073016,0.196610,0.108349,0.025325,0.345104
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.894068,0.922078,0.798401,0.890048
0.000,0.000000,0.010989,0.481591,0.001465,0.000000,0.189831,0.079777,0.017994,0.321830
0.000,1.000000,0.998046,1.000000,1.000000,1.000000,0.892373,0.901299,0.791070,0.882424
0.000,0.000000,0.009524,0.486160,0.000000,0.000000,0.190678,0.093506,0.014329,0.329856
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.888983,0.912059,0.685771,0.890449
0.000,0.000000,0.010501,0.481053,0.033455,0.010989,0.196610,0.091280,0.013329,0.362761
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.903814,0.922078,0.816728,0.914125
0.000,0.000000,0.008059,0.477022,0.031013,0.016361,0.191525,0.072727,0.013995,0.327047
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.915254,0.938033,0.825725,0.903291
0.000,0.020757,0.013675,0.486697,0.000000,0.000000,0.197458,0.069759,0.018994,0.331461
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.920763,0.936549,0.906031,0.920947
0.000,0.004884,0.008547,0.486697,0.019780,0.000000,0.198729,0.090538,0.016994,0.364767
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.920339,0.929128,0.757081,0.909711
0.000,0.000000,0.009524,0.491266,0.000000,0.000000,0.188983,0.092022,0.017328,0.304575
0.000,1.000000,1.000000,1.000000,0.998291,1.000000,0.930085,0.935065,0.852716,0.919743
0.000,0.000000,0.004151,0.497716,0.000000,0.000000,0.201695,0.097217,0.017994,0.337881
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.919492,0.946568,0.840387,0.909310
0.000,0.000000,0.008303,0.489922,0.054701,0.020513,0.211864,0.101670,0.019327,0.339486
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.922881,0.942486,0.829390,0.921348
0.000,0.000000,0.007082,0.480785,0.000000,0.000000,0.189831,0.079406,0.020327,0.349117
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.932203,0.949165,0.991669,0.921348
0.000,0.000000,0.007082,0.489116,0.000000,0.012210,0.200847,0.091651,0.025325,0.364366
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.932203,0.940260,0.905032,0.919743
0.000,0.014408,0.002686,0.495834,0.000000,0.000000,0.201271,0.092764,0.011996,0.373997
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.935593,0.971058,0.793402,0.927368
0.000,0.001954,0.005128,0.477291,0.000000,0.000000,0.195339,0.102783,0.017994,0.364366
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940678,0.944712,0.852716,0.924157
0.000,0.000000,0.000488,0.488847,0.000000,0.000000,0.203390,0.085343,0.021326,0.371589
0.000,1.000000,1.000000,1.000000,1.000000,0.997314,0.946610,0.945826,0.873042,0.916934
0.000,0.000000,0.001221,0.491535,0.000000,0.000000,0.200000,0.094991,0.019660,0.370787
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947458,0.964007,0.861046,0.919743
0.000,0.004151,0.002930,0.485622,0.000000,0.000000,0.200847,0.090538,0.012662,0.345104
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.942373,0.952505,0.849717,0.908507
0.000,0.000000,0.001465,0.495297,0.000000,0.000000,0.210169,0.099072,0.013995,0.377608
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.958051,0.942486,0.884705,0.926966
0.000,0.013675,0.007082,0.488578,0.000000,0.000000,0.209322,0.117254,0.023326,0.375201
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.952119,0.979221,0.852383,0.922552
0.000,0.000000,0.000488,0.490997,0.000000,0.000000,0.200000,0.090167,0.017994,0.369984
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.954237,0.968460,0.863712,0.928973
0.000,0.000000,0.004396,0.496909,0.000000,0.000000,0.202119,0.089796,0.018660,0.373997
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953390,0.951391,0.754415,0.929374
0.000,0.000000,0.000000,0.484278,0.000000,0.010745,0.201695,0.088683,0.024658,0.343499
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953390,0.955473,0.845052,0.910915
0.000,0.000000,0.000000,0.493684,0.000000,0.000000,0.204661,0.085343,0.024325,0.348315
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.944492,0.959184,0.869710,0.928973
0.000,0.000000,0.008547,0.501478,0.000000,0.000000,0.209322,0.091651,0.010663,0.378411
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.969492,0.988497,0.879374,0.924157
0.000,0.000000,0.000000,0.492878,0.022222,0.000000,0.205085,0.087570,0.024658,0.350321
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.958051,0.963265,0.848717,0.915730
0.000,0.000000,0.001465,0.500134,0.003663,0.000000,0.207203,0.084601,0.018327,0.350321
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.961441,0.966976,0.821726,0.921348
0.000,0.010745,0.009524,0.498522,0.000000,0.006349,0.210169,0.091651,0.024658,0.357544
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.963559,0.965492,0.869044,0.924157
0.000,0.000000,0.000733,0.491535,0.000000,0.000000,0.205932,0.088683,0.024658,0.379615
0.000,1.000000,0.997070,1.000000,1.000000,1.000000,0.966102,0.943599,0.921026,0.920947
0.000,0.000000,0.000488,0.491803,0.000000,0.000000,0.201695,0.091280,0.051983,0.371990
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.968220,0.973655,0.882373,0.915730
0.000,0.000000,0.008059,0.490997,0.000000,0.013431,0.208898,0.102412,0.018327,0.393258
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.970339,0.985158,0.871043,0.909310
0.000,0.000000,0.000000,0.493147,0.000977,0.000000,0.208898,0.095733,0.032989,0.357544
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.979661,0.975881,0.887704,0.916132
0.000,0.002198,0.000000,0.492072,0.000000,0.000000,0.208475,0.088683,0.029324,0.356340
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.983898,0.979221,0.887704,0.914125
0.000,0.000000,0.000000,0.495834,0.000000,0.000000,0.224576,0.103154,0.014662,0.362360
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.985593,0.986271,0.784405,0.922552
0.000,0.000000,0.000000,0.496909,0.000000,0.000000,0.212288,0.093506,0.024992,0.363162
0.000,0.993162,0.998779,1.000000,0.973626,1.000000,1.000000,0.970315,1.000000,0.920947
0.000,0.000000,0.000000,0.499059,0.000000,0.000000,0.217797,0.099443,0.056648,0.389246
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.980508,0.979221,0.889037,0.912520
0.000,0.000000,0.001954,0.501478,0.000000,0.000000,0.216102,0.097217,0.015328,0.326645
0.000,0.914286,1.000000,1.000000,1.000000,1.000000,0.983051,0.993692,0.883705,0.917737
0.000,0.000000,0.000000,0.498791,0.000000,0.000000,0.208898,0.086827,0.040986,0.370385
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.986441,0.991095,0.887704,0.926164
0.000,0.000000,0.000000,0.503628,0.000000,0.000000,0.215254,0.096104,0.031323,0.392456
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.990678,0.998145,0.873709,0.921750
0.000,0.000000,0.000000,0.505241,0.000000,0.007570,0.215678,0.092393,0.019327,0.372392
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.983051,0.971800,0.862379,0.923756
0.000,0.006593,0.000000,0.504434,0.000000,0.000000,0.216949,0.109833,0.039987,0.394462
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.985169,0.981076,0.772742,0.919743
0.000,0.000000,0.000000,0.506584,0.000000,0.000000,0.225000,0.105380,0.019660,0.375201
0.000,0.956288,1.000000,1.000000,1.000000,1.000000,0.992373,0.989239,0.899700,0.914928
0.000,0.000000,0.000000,0.510884,0.000000,0.000000,0.222034,0.102412,0.095968,0.376003
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.996610,0.998887,0.840387,0.928571
0.000,0.000000,0.000000,0.506584,0.000000,0.000000,0.225847,0.101670,0.038321,0.400482
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984746,0.983302,0.876708,0.927368
0.000,0.000000,0.000000,0.516528,0.000000,0.000000,0.229661,0.098701,0.035655,0.390048
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.989831,1.000000,0.879040,0.912520
0.000,0.001954,0.000000,0.509272,0.000000,0.000000,0.225424,0.096475,0.033322,0.381621
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.989831,0.993692,0.809730,0.921348
0.000,0.000000,0.000000,0.508197,0.000000,0.000000,0.214407,0.105380,0.033322,0.378010
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.989407,0.987384,0.858381,0.933387
0.000,0.000000,0.000000,0.517334,0.000000,0.000000,0.230508,0.113173,0.041320,0.388443
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.990678,0.986271,0.804399,0.924559
0.000,0.000000,0.000000,0.515184,0.000000,0.002198,0.234746,0.107978,0.038654,0.416533
0.000,1.000000,1.000000,1.000000,1.000000,0.983150,0.995763,0.986271,0.873709,0.922552
0.000,0.000000,0.000000,0.521634,0.000000,0.000000,0.242373,0.109462,0.044652,0.428571
0.000,0.967033,1.000000,1.000000,1.000000,1.000000,0.981356,0.995918,0.758081,0.926565
0.000,0.000000,0.002686,0.526203,0.000000,0.000000,0.236441,0.125788,0.026658,0.442215
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.966102,0.959555,0.862046,0.926164
0.000,0.000000,0.000488,0.531309,0.003907,0.000000,0.256780,0.124304,0.044985,0.450241
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947881,0.928386,0.674775,0.926966
0.000,0.000000,0.002686,0.527278,0.000000,0.035165,0.244068,0.121336,0.030323,0.444623
0.000,1.000000,1.000000,1.000000,1.000000,0.931624,0.922458,0.915399,0.693436,0.947432
0.000,0.010501,0.010745,0.538296,0.000000,0.000000,0.259322,0.169944,0.080640,0.432986
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956780,0.943599,0.823725,0.922552
0.000,0.000000,0.013675,0.556571,0.000000,0.020269,0.286441,0.204082,0.044652,0.498395
0.000,1.000000,0.999023,1.000000,1.000000,1.000000,0.934746,0.922449,0.685771,0.943419
0.000,0.000000,0.009035,0.546090,0.000000,0.000000,0.264407,0.201484,0.045985,0.366774
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.966949,0.943228,0.739087,0.886838
0.000,0.016850,0.019536,0.567321,0.013675,0.011966,0.298305,0.234508,0.055981,0.486356
0.000,0.978510,1.000000,1.000000,1.000000,1.000000,0.917373,0.887199,0.633122,0.860353
0.000,0.527228,0.003907,0.541252,0.000000,0.000000,0.251271,0.186642,0.033989,0.439406
0.000,0.007326,0.021490,0.496641,0.005861,0.000000,0.236864,0.168831,0.025325,0.363563
0.000,0.010745,0.013919,0.550121,0.000000,0.000000,0.298729,0.225603,0.035322,0.436196
0.000,0.991453,1.000000,1.000000,1.000000,1.000000,0.860169,0.815213,0.471843,0.745586
0.000,0.000000,0.000000,0.546359,0.000000,0.000000,0.302542,0.194434,0.003665,0.347512
0.000,1.000000,1.000000,1.000000,1.000000,0.924054,0.938983,0.905009,0.661779,0.960674
0.000,0.000000,0.003907,0.537759,0.000000,0.000000,0.249576,0.182560,0.037654,0.465088
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.934746,0.911317,0.661779,0.902087
0.000,0.000977,0.018071,0.542596,0.000000,0.009768,0.270339,0.211503,0.038654,0.442616
0.000,1.000000,1.000000,1.000000,1.000000,0.999756,0.927119,0.894991,0.675775,0.864366
0.000,0.000000,0.022466,0.546896,0.019536,0.000000,0.269915,0.222263,0.038321,0.444222
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.925847,0.884230,0.680440,0.870787
0.000,0.112088,0.017827,0.541521,0.000000,0.022222,0.260169,0.223006,0.033322,0.439807
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948305,0.886827,0.687771,0.839085
0.000,0.000000,0.017338,0.550121,0.008547,0.000000,0.276695,0.210761,0.090303,0.439807
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.922881,0.888312,0.665112,0.870787
0.000,0.020269,0.017338,0.555496,0.000000,0.036386,0.272034,0.185158,0.045318,0.453852
0.000,1.000000,1.000000,1.000000,1.000000,0.946764,0.929661,0.883488,0.628124,1.000000
0.000,0.017094,0.015629,0.550658,0.000000,0.000000,0.264831,0.154731,0.040986,0.450241
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.925847,0.889054,0.621793,0.868379
0.000,0.109158,0.018315,0.555227,0.000000,0.011477,0.275424,0.178108,0.041320,0.461878
0.000,0.987302,1.000000,1.000000,1.000000,1.000000,0.950000,0.906494,0.648451,0.872793
0.000,0.197070,0.017582,0.557646,0.000000,0.000000,0.273305,0.178108,0.046984,0.464687
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949153,0.897588,0.692436,0.878411
0.000,0.000000,0.012210,0.551733,0.018559,0.000000,0.262288,0.166976,0.052316,0.459069
0.000,1.000000,1.000000,1.000000,0.949206,1.000000,0.935593,0.897217,0.635455,0.866372
0.000,0.000000,0.006838,0.557377,0.008059,0.011722,0.268644,0.155102,0.059980,0.490770
0.000,0.744078,0.619536,0.650363,0.806593,0.807570,0.460169,0.513173,0.061979,0.398876
0.000,0.005861,0.017827,0.546896,0.000000,0.000000,0.277119,0.160297,0.053982,0.496790
0.000,0.101587,0.099389,0.504434,0.104762,0.122344,0.236441,0.173655,0.024325,0.369181
0.000,0.000000,0.001465,0.076055,0.000000,0.006838,0.003814,0.008905,0.001333,0.004013
0.000,1.000000,1.000000,0.615963,1.000000,1.000000,0.886864,0.864193,0.612463,0.736356
0.000,0.000000,0.008303,0.556840,0.004884,0.000000,0.275424,0.167347,0.046651,0.495987
