time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.019708,0.087328,0.000000,0.000000,0.000000,0.143425,0.016112,0.105478
0.000,0.000000,0.021244,0.068152,0.000000,0.000000,0.000000,0.111650,0.017723,0.086917
0.000,0.014164,0.017661,0.075926,0.001954,0.000000,0.000000,0.122683,0.019334,0.093255
0.000,0.000488,0.018173,0.052863,0.012943,0.000000,0.000000,0.090468,0.007519,0.046175
0.000,0.000000,0.017661,0.012438,0.000000,0.011966,0.000000,0.030450,0.005371,0.014939
0.000,0.000000,0.019964,0.018917,0.002442,0.000000,0.000977,0.037070,0.004834,0.017655
0.000,0.000000,0.016893,0.004664,0.000000,0.009768,0.000000,0.023389,0.001074,0.007696
0.000,0.052991,0.023036,0.016844,0.001709,0.000000,0.005861,0.036187,0.003222,0.017202
0.000,0.004884,0.018173,0.000000,0.000000,0.000000,0.000000,0.014122,0.000000,0.003622
0.000,0.000000,0.020476,0.018917,0.001954,0.000000,0.002442,0.038835,0.007519,0.019919
0.000,0.000000,0.018428,0.003110,0.000000,0.005861,0.000000,0.019417,0.008593,0.010412
0.000,0.018803,0.035321,0.036797,0.015629,0.018315,0.019536,0.060018,0.016112,0.046175
0.000,0.000000,0.017149,0.003110,0.000000,0.000000,0.002198,0.016770,0.004834,0.002263
0.000,0.000977,0.024315,0.044571,0.000000,0.000977,0.000000,0.075463,0.011815,0.044364
0.000,0.000977,0.017661,0.053641,0.001954,0.000000,0.000000,0.097970,0.017723,0.076505
0.000,0.000000,0.019708,0.059342,0.000000,0.000000,0.000977,0.099735,0.021482,0.062472
0.000,0.001954,0.017661,0.043535,0.000000,0.000000,0.005861,0.086496,0.011815,0.051154
0.000,0.001221,0.019708,0.051568,0.000000,0.000000,0.020269,0.087379,0.017723,0.063830
0.000,0.000000,0.019452,0.098471,0.000000,0.000000,0.000000,0.171227,0.027927,0.146220
