time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.037496,0.000000,0.000000,0.072596,0.112867,0.024840,0.030400
0.000,0.000000,0.000000,0.030410,0.000000,0.000000,0.063440,0.109481,0.030449,0.032000
0.000,0.000000,0.000000,0.034249,0.000000,0.000000,0.066710,0.111174,0.017628,0.031467
0.000,0.000000,0.000000,0.032477,0.000000,0.000000,0.063440,0.109481,0.021635,0.029867
0.000,0.000000,0.000000,0.034249,0.000000,0.000000,0.064094,0.120203,0.019231,0.030933
0.000,0.000000,0.000000,0.030706,0.000000,0.000000,0.060170,0.118510,0.033654,0.029867
0.000,0.000000,0.000000,0.035430,0.000000,0.000000,0.071288,0.123025,0.028846,0.034133
0.000,0.000000,0.000000,0.031887,0.000000,0.000000,0.061478,0.116817,0.019231,0.032533
0.000,0.000000,0.000000,0.035725,0.000000,0.000000,0.069326,0.113995,0.016026,0.033067
0.000,0.000000,0.000000,0.032182,0.000000,0.000000,0.064748,0.112867,0.020833,0.029867
0.000,0.000000,0.000000,0.033953,0.000000,0.000000,0.065402,0.112302,0.027244,0.030400
0.000,0.000000,0.000000,0.031296,0.000000,0.000000,0.058862,0.111174,0.028846,0.029333
0.000,0.000000,0.000000,0.033068,0.000000,0.000000,0.064094,0.112302,0.019231,0.029333
0.000,0.000000,0.000000,0.032477,0.000000,0.000000,0.064094,0.112302,0.020833,0.033067
0.000,0.000000,0.000000,0.034839,0.000000,0.000000,0.066056,0.111738,0.019231,0.029333
0.000,0.000000,0.000000,0.030706,0.000000,0.000000,0.058862,0.108352,0.020833,0.029333
0.000,0.000000,0.000000,0.035134,0.000000,0.000000,0.064748,0.114560,0.024840,0.030400
0.000,0.000000,0.000000,0.031887,0.000000,0.000000,0.062132,0.108352,0.017628,0.029333
0.000,0.000000,0.000000,0.032182,0.000000,0.000000,0.063440,0.111738,0.018429,0.031467
0.000,0.000000,0.000000,0.028344,0.000000,0.000000,0.056246,0.106095,0.020032,0.030933
0.000,0.000000,0.000000,0.033068,0.037335,0.000000,0.063440,0.110045,0.015224,0.029333
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011118,0.046275,0.000000,0.001067
0.000,0.001519,0.000000,0.001476,0.003660,0.010269,0.000000,0.042325,0.003205,0.001067
0.000,0.000000,0.000000,0.001476,0.000000,0.000000,0.009810,0.028217,0.006410,0.000000
0.000,0.000000,0.000000,0.003543,0.000000,0.000000,0.003270,0.000000,0.000000,0.001600
0.000,0.000000,0.000000,0.041630,0.000000,0.000000,0.077829,0.117381,0.033654,0.040000
0.000,0.000000,0.000000,0.032182,0.000000,0.000000,0.060824,0.118510,0.022436,0.030933
0.000,0.000000,0.000000,0.054916,0.000000,0.000000,0.116416,0.155756,0.036859,0.066133
0.000,0.000000,0.000000,0.055211,0.000000,0.000000,0.117070,0.161400,0.032051,0.096000
0.000,0.013293,0.000000,0.035134,0.022694,0.000000,0.073250,0.137698,0.030449,0.037333
0.000,0.993164,0.775382,0.991143,0.919473,0.840297,1.000000,1.000000,0.764423,0.957867
0.000,0.531333,0.358683,0.712430,0.532577,0.558074,0.601046,0.581828,0.121795,0.440000
0.000,0.945310,0.810662,0.994095,0.849927,0.821530,0.993460,0.990406,0.826122,0.964267
0.000,0.452716,0.448452,0.769708,0.565154,0.528683,0.674951,0.646727,0.126603,0.567467
0.000,0.957463,0.913759,1.000000,0.878111,0.821530,0.993460,0.997178,1.000000,0.962667
0.000,0.600076,0.492748,0.757012,0.569912,0.564093,0.662525,0.648984,0.136218,0.593600
0.000,0.951006,0.949824,0.994390,0.851757,0.820113,0.988228,0.990971,0.781250,0.958400
0.000,0.550323,0.529596,0.780337,0.576867,0.592422,0.714192,0.679458,0.134615,0.635733
0.000,0.184580,0.214426,0.865368,0.160688,0.105170,0.836494,0.694695,0.319712,0.855467
0.000,0.000760,0.003136,0.667848,0.000366,0.015227,0.472858,0.357788,0.059295,0.552533
0.000,0.000000,0.004704,0.377620,0.000000,0.015581,0.315893,0.323928,0.074519,0.204267
0.000,0.000000,0.004704,0.276646,0.000000,0.008499,0.396991,0.407449,0.071314,0.253867
0.000,0.000000,0.001176,0.151461,0.012811,0.000000,0.262917,0.282167,0.068910,0.151467
0.000,0.031903,0.041160,0.120165,0.036237,0.026558,0.221060,0.272009,0.064103,0.140267
0.000,0.011014,0.006664,0.180396,0.000000,0.000000,0.355788,0.340858,0.072917,0.218667
0.000,0.124953,0.145825,0.124889,0.131772,0.103045,0.232178,0.323928,0.072115,0.144000
0.000,0.000000,0.000000,0.134337,0.000000,0.000000,0.266187,0.283296,0.048077,0.188800
0.000,0.009875,0.019600,0.161205,0.000000,0.011686,0.323087,0.335779,0.062500,0.217067
0.000,0.000000,0.010192,0.157071,0.000000,0.000000,0.304774,0.320542,0.082532,0.194133
0.000,0.000000,0.010976,0.188663,0.020132,0.000000,0.336167,0.314898,0.076122,0.182933
0.000,0.016331,0.012152,0.142604,0.000000,0.019476,0.289078,0.288939,0.048077,0.189867
0.000,0.000000,0.008232,0.151461,0.001830,0.000000,0.301504,0.310384,0.069712,0.214400
0.000,0.000000,0.009408,0.179510,0.004392,0.000000,0.367560,0.357788,0.068109,0.244267
0.000,0.006077,0.011760,0.175672,0.003294,0.000000,0.346632,0.343115,0.072115,0.222933
0.000,0.000000,0.008624,0.176262,0.000000,0.000000,0.338784,0.340858,0.060096,0.192000
0.000,0.000000,0.012152,0.166519,0.000000,0.000000,0.327011,0.383183,0.076923,0.210133
0.000,0.000000,0.009800,0.160909,0.000000,0.007082,0.300196,0.319413,0.053686,0.176000
0.000,0.000000,0.012936,0.175672,0.000000,0.000708,0.345324,0.351016,0.075321,0.218667
0.000,0.000000,0.010192,0.152052,0.000732,0.000000,0.296926,0.318284,0.069712,0.193067
0.000,0.006457,0.017640,0.162090,0.000000,0.000000,0.342054,0.335214,0.075321,0.189867
0.000,0.000000,0.010584,0.175672,0.000000,0.000000,0.357750,0.345372,0.073718,0.219733
0.000,0.000000,0.014112,0.165929,0.000000,0.000000,0.338129,0.344244,0.081731,0.224533
0.000,0.004558,0.012936,0.183348,0.018668,0.000000,0.361674,0.364560,0.069712,0.227733
0.000,0.036840,0.067033,0.129023,0.058565,0.059136,0.254415,0.292325,0.068910,0.127467
0.000,0.000000,0.015288,0.145261,0.000000,0.000000,0.281884,0.304176,0.062500,0.190933
0.000,0.000000,0.016072,0.169767,0.000000,0.000000,0.340746,0.355530,0.075321,0.218667
0.000,0.000000,0.012936,0.194567,0.000000,0.000000,0.404186,0.388262,0.069712,0.249067
0.000,0.000000,0.016072,0.194567,0.001464,0.000000,0.399608,0.392212,0.075321,0.246400
0.000,0.000000,0.012936,0.199291,0.000000,0.000000,0.404186,0.390519,0.084936,0.245333
0.000,0.000000,0.021560,0.182758,0.009151,0.025142,0.355788,0.369074,0.068910,0.203733
0.000,0.000000,0.011760,0.162681,0.002562,0.000000,0.320471,0.351016,0.076923,0.205867
0.000,0.000000,0.014112,0.183348,0.000000,0.000000,0.376063,0.365124,0.073718,0.241067
0.000,0.000000,0.015288,0.196339,0.002562,0.032578,0.404186,0.397291,0.070513,0.248533
0.000,0.000000,0.016856,0.195158,0.000000,0.000000,0.396337,0.395034,0.072115,0.250667
0.000,0.000000,0.015288,0.201653,0.000000,0.000000,0.408764,0.396163,0.072917,0.244800
0.000,0.000000,0.025088,0.152642,0.000000,0.000000,0.281884,0.324492,0.072917,0.174400
