time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.417327,0.425644,0.638816,0.484803,0.568859,0.454828,0.721971,0.103185,0.513751
0.000,0.537852,0.563279,0.810850,0.406179,0.473300,0.458970,0.629295,0.445860,0.898240
0.000,0.414594,0.431459,0.640267,0.500377,0.569702,0.536112,0.716998,0.103185,0.511551
0.000,0.596884,0.620604,0.841601,0.510173,0.551714,0.507637,0.732821,0.500637,0.910341
0.000,0.413774,0.421490,0.641717,0.492339,0.560989,0.413409,0.717902,0.096815,0.464246
0.000,0.555616,0.580172,0.822454,0.479277,0.520798,0.487445,0.662749,0.498726,0.825633
0.000,0.417874,0.427029,0.640847,0.483547,0.556492,0.419104,0.703436,0.107006,0.464246
0.000,0.582400,0.580172,0.821874,0.470234,0.519112,0.471913,0.661844,0.498089,0.831133
0.000,0.376879,0.420659,0.645489,0.493092,0.546655,0.389594,0.695750,0.098726,0.471947
0.000,0.654550,0.658543,0.842182,0.488068,0.603429,0.525239,0.792948,0.493631,0.834433
0.000,0.358295,0.412074,0.640847,0.490329,0.531478,0.422470,0.681736,0.103185,0.512651
0.000,0.596064,0.588203,0.818393,0.466215,0.517988,0.475537,0.681736,0.483439,0.897690
0.000,0.380432,0.417059,0.648390,0.484552,0.560146,0.370696,0.670886,0.105732,0.477998
0.000,0.564908,0.590141,0.817813,0.478272,0.525857,0.468548,0.684448,0.470064,0.902090
0.000,0.409675,0.400720,0.638526,0.478272,0.535413,0.511520,0.667722,0.096815,0.472497
0.000,0.583219,0.594572,0.824485,0.452901,0.541877,0.498059,0.693942,0.493631,0.827833
0.000,0.358295,0.400166,0.641427,0.471238,0.519674,0.401501,0.667269,0.087898,0.459296
0.000,0.616835,0.596788,0.826226,0.494348,0.527544,0.539477,0.691682,0.487261,0.831133
0.000,0.395463,0.396012,0.640847,0.463954,0.519112,0.416516,0.669530,0.096815,0.375138
0.000,0.000000,0.004985,0.353061,0.000000,0.006183,0.069117,0.000000,0.012739,0.093509
0.000,0.002186,0.012739,0.141282,0.000000,0.000000,0.060316,0.062387,0.019108,0.101210
0.000,0.000000,0.000000,0.089353,0.000000,0.023890,0.089050,0.091320,0.011465,0.081958
0.000,0.176824,0.171421,0.038004,0.163276,0.185216,0.097075,0.339060,0.043312,0.034103
0.000,0.000000,0.004985,0.026980,0.000000,0.000000,0.103288,0.075497,0.001274,0.064906
0.000,0.134736,0.148989,0.026690,0.114293,0.172007,0.101734,0.293852,0.044586,0.029153
0.000,0.000000,0.002769,0.028140,0.016076,0.000000,0.104582,0.095841,0.008280,0.066557
0.000,0.141295,0.142620,0.029301,0.138407,0.148117,0.101217,0.305606,0.038217,0.033003
0.000,0.000000,0.017724,0.021468,0.000000,0.000562,0.089309,0.106239,0.001274,0.065457
