time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.030857,0.056984,0.551777,0.045547,0.044200,0.037851,0.224299,0.030488,0.454462
0.000,0.899778,0.973231,0.971664,0.937500,0.927961,0.892552,0.992991,0.807927,0.889245
0.000,0.049617,0.064405,0.554353,0.074646,0.071062,0.060317,0.225234,0.029268,0.444851
0.000,0.897556,0.976146,0.972694,0.978998,0.918926,0.913553,0.971963,0.822561,0.960641
0.000,0.038756,0.059634,0.565173,0.048330,0.043712,0.052503,0.228037,0.037805,0.505263
0.000,0.903234,0.981182,0.973210,0.963563,1.000000,0.936020,0.978505,0.821951,0.970252
0.000,0.037275,0.057779,0.549459,0.039727,0.031013,0.034188,0.226636,0.032927,0.499771
0.000,0.922488,0.990193,0.985059,0.965587,0.894261,0.909646,0.976168,0.819512,0.935011
0.000,0.038262,0.052478,0.558475,0.066043,0.041270,0.033944,0.226168,0.039024,0.450343
0.000,0.892619,0.980917,0.979650,0.950152,0.925031,0.919902,0.966355,0.827439,0.975286
0.000,0.043940,0.062815,0.560536,0.042510,0.049084,0.060317,0.230374,0.037805,0.509382
0.000,0.921995,0.983037,0.985832,0.948128,0.937241,0.948230,0.990654,0.826829,0.977574
0.000,0.038509,0.056984,0.555641,0.046812,0.068620,0.052503,0.226636,0.035366,0.502975
0.000,0.921007,0.992314,0.987378,0.903846,0.948230,0.924054,0.970561,0.806098,0.873684
0.000,0.037028,0.051683,0.549201,0.042257,0.054701,0.028083,0.221028,0.039634,0.379405
0.000,1.000000,0.970315,0.976043,0.931427,0.913309,0.913065,0.982243,0.835366,0.891533
0.000,0.038509,0.055394,0.557445,0.037196,0.031258,0.048107,0.222897,0.034146,0.502975
0.000,0.897556,0.970315,0.976816,0.961538,0.905739,1.000000,0.990654,1.000000,0.983524
0.000,0.042706,0.072886,0.557960,0.074646,0.056899,0.051526,0.226168,0.036585,0.502975
0.000,0.931128,0.996820,0.975528,0.986842,0.928694,0.940415,0.973832,0.832317,0.940503
0.000,0.053567,0.067585,0.559763,0.055921,0.056654,0.056899,0.230374,0.036585,0.506636
0.000,0.895828,0.965015,0.981453,0.930415,0.986813,0.924298,0.971028,0.837195,0.977574
0.000,0.030857,0.055129,0.558990,0.039474,0.038828,0.044200,0.223364,0.028049,0.504348
0.000,0.926191,0.996820,0.988666,0.982287,0.964103,0.919414,0.986449,0.839024,0.978032
0.000,0.028882,0.051418,0.555899,0.049848,0.042247,0.031258,0.220561,0.032317,0.503432
0.000,0.835349,1.000000,0.980938,0.977733,0.940415,0.913553,0.989720,0.859756,0.892906
0.000,0.050605,0.075007,0.565945,0.075152,0.065934,0.059341,0.241121,0.037805,0.449428
0.000,0.911380,0.983037,0.982998,0.946862,0.928938,0.912332,1.000000,0.868293,0.897483
0.000,0.037768,0.053008,0.560021,0.020243,0.030525,0.042979,0.233645,0.035976,0.508467
0.000,0.877808,0.972436,0.991242,0.962298,0.961905,1.000000,0.998131,0.926829,1.000000
0.000,0.041965,0.057514,0.551005,0.054909,0.041026,0.057387,0.300467,0.036585,0.406865
0.000,0.894347,0.985158,0.977331,0.962551,0.963126,0.923565,0.992991,0.878049,0.892906
0.000,0.037275,0.051683,0.558475,0.043775,0.053480,0.035897,0.300000,0.029268,0.486957
0.000,0.965687,0.999205,1.000000,1.000000,0.944322,0.483516,0.995327,0.928049,0.909382
0.000,0.000000,0.002650,0.548171,0.000000,0.000488,0.038095,0.217290,0.023171,0.369336
0.000,0.000000,0.003976,0.366048,0.000000,0.000000,0.032479,0.196729,0.046341,0.170252
