time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.704493,0.681955,0.723072,0.787109,0.807858,0.686989,0.591977,0.142721,0.515269
0.000,0.448733,0.487628,0.797574,0.445305,0.407919,0.537125,0.668768,0.626070,0.935036
0.000,0.642569,0.660229,0.710078,0.780601,0.770718,0.631131,0.581089,0.139867,0.511383
0.000,0.389977,0.511467,0.817788,0.467617,0.448742,0.573229,0.672779,0.660324,0.870072
0.000,0.653226,0.633675,0.699971,0.728540,0.744322,0.546662,0.571920,0.137964,0.498612
0.000,0.477247,0.526856,0.818654,0.565231,0.479742,0.585150,0.697421,0.701237,0.869517
0.000,0.616647,0.602897,0.693041,0.686706,0.725292,0.507493,0.544413,0.116080,0.498057
0.000,0.506336,0.552203,0.835692,0.512860,0.547882,0.609673,0.710029,0.698382,0.872848
0.000,0.616647,0.592034,0.686688,0.685156,0.701964,0.492166,0.528940,0.132255,0.494170
0.000,0.517569,0.564273,0.816633,0.514410,0.497851,0.625681,0.733524,0.714558,0.882288
0.000,0.592454,0.570911,0.675137,0.664394,0.685083,0.330722,0.519198,0.132255,0.421988
0.000,0.492224,0.535908,0.831360,0.503254,0.485881,0.510559,0.704298,0.644148,0.879511
0.000,0.610887,0.586602,0.711811,0.690734,0.709331,0.767371,0.567335,0.132255,0.568573
0.000,0.514689,0.560652,0.833959,0.520917,0.493554,0.557221,0.716332,0.641294,0.936147
0.000,0.583237,0.568196,0.716142,0.663465,0.660835,0.754428,0.565043,0.134158,0.591338
0.000,0.528802,0.581774,0.840889,0.573288,0.526397,0.581744,0.709456,0.656518,0.899500
0.000,0.542915,0.529873,0.697661,0.612643,0.630755,0.695845,0.526648,0.126546,0.569684
0.000,0.536578,0.580266,0.851863,0.545088,0.546654,0.574591,0.731805,0.742150,0.890616
0.000,0.523329,0.520217,0.700549,0.610784,0.605586,0.716621,0.514613,0.123692,0.579123
0.000,0.563652,0.604406,0.846376,0.587852,0.561694,0.619891,0.747278,0.853473,0.948362
0.000,0.512673,0.502112,0.700260,0.593430,0.595764,0.655654,0.533524,0.126546,0.560244
0.000,0.570276,0.623416,0.856483,0.580105,0.537753,0.616485,0.757593,0.697431,0.891727
0.000,0.498560,0.478877,0.693041,0.552526,0.567219,0.662807,0.504298,0.101808,0.551916
0.000,0.604551,0.650272,0.865146,0.620081,0.593309,0.664850,0.772493,0.704091,0.917268
0.000,0.486463,0.460772,0.678602,0.539510,0.551258,0.708447,0.498567,0.113225,0.573015
0.000,0.624712,0.667773,0.875253,0.639913,0.618478,0.674046,0.795989,0.733587,0.957801
0.000,0.452477,0.431804,0.673405,0.507902,0.513505,0.577657,0.460745,0.109420,0.529150
0.000,0.641417,0.684973,0.873231,0.657267,0.624616,0.676771,0.805158,0.758325,0.967240
0.000,0.468894,0.420338,0.651170,0.507902,0.513505,0.303474,0.444699,0.111323,0.545253
0.000,0.667051,0.715148,0.882183,0.683917,0.685390,0.787125,0.826361,0.868696,0.991116
0.000,0.400634,0.406759,0.668784,0.488379,0.496317,0.550749,0.455587,0.105614,0.578567
0.000,0.670507,0.718769,0.882472,0.677719,0.660221,0.744891,0.817192,0.800190,0.905053
0.000,0.408698,0.373868,0.673405,0.462039,0.468386,0.532357,0.457307,0.098002,0.501388
0.000,0.693836,0.734460,0.894600,0.680198,0.766114,0.747956,0.816046,0.816365,0.961133
0.000,0.381624,0.353651,0.670517,0.433530,0.448128,0.513624,0.444699,0.096099,0.580233
0.000,0.790611,0.817743,0.926076,0.776883,0.751074,0.830041,0.860172,0.792578,0.977235
0.000,0.362327,0.339771,0.667918,0.434149,0.429405,0.518733,0.428653,0.107517,0.545253
0.000,0.720622,0.754979,0.915103,0.711807,0.684776,0.753747,0.844699,0.811608,0.987229
0.000,0.396601,0.301750,0.652613,0.394484,0.406077,0.477861,0.413181,0.094196,0.548584
0.000,0.753744,0.798431,0.915969,0.768516,0.765193,0.804837,0.858453,0.881066,0.990561
0.000,0.298387,0.275800,0.639619,0.356058,0.380909,0.510559,0.391977,0.098002,0.535258
0.000,0.781394,0.828606,0.916258,0.790827,0.798956,0.838215,0.867622,0.785918,0.920044
0.000,0.262385,0.249849,0.644239,0.329408,0.347759,0.402929,0.378223,0.083730,0.538590
0.000,0.798675,0.829209,0.944268,0.789898,0.776857,0.848093,0.887679,0.840152,0.926152
0.000,0.000000,0.010561,0.467802,0.000000,0.002762,0.035082,0.116905,0.036156,0.261521
0.000,0.002592,0.018105,0.313023,0.000000,0.000000,0.104564,0.165043,0.030447,0.161022
0.000,0.000000,0.022933,0.090673,0.017044,0.001842,0.106608,0.115759,0.039010,0.089395
0.000,0.000000,0.000000,0.100491,0.020762,0.000000,0.041213,0.125501,0.027593,0.129373
0.000,0.087558,0.081473,0.068727,0.094205,0.091774,0.097752,0.129513,0.065652,0.084398
0.000,0.000000,0.006940,0.087208,0.000000,0.000000,0.000000,0.131805,0.025690,0.114381
0.000,0.000000,0.010863,0.093560,0.000310,0.000000,0.001703,0.171920,0.060894,0.169906
0.000,0.000000,0.009053,0.081432,0.000000,0.000000,0.000000,0.137536,0.030447,0.112160
0.000,0.188652,0.158117,0.055154,0.220948,0.244322,0.278270,0.167335,0.077069,0.055525
0.000,0.586118,0.623114,0.374242,0.607375,0.582873,0.616826,0.450430,0.048525,0.164908
0.000,0.002592,0.015993,0.572625,0.000000,0.000000,0.000000,0.202865,0.043768,0.500278
0.000,0.950749,0.973748,0.986428,0.956616,0.951811,1.000000,0.967335,0.925785,1.000000
0.000,0.118952,0.111648,0.622582,0.165169,0.175875,0.293937,0.316332,0.080875,0.545253
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.584128,1.000000,1.000000,0.961688
0.000,0.001440,0.006940,0.481663,0.000000,0.000000,0.184264,0.136963,0.001903,0.107163
0.000,0.000000,0.009656,0.176148,0.000000,0.007673,0.178474,0.165616,0.040913,0.154359
0.000,0.000000,0.004828,0.123592,0.000000,0.013812,0.184605,0.189112,0.048525,0.174348
0.000,0.000000,0.019916,0.045048,0.000000,0.000000,0.107970,0.083095,0.019981,0.067185
0.000,0.000000,0.021123,0.054288,0.023241,0.029466,0.039850,0.124355,0.025690,0.086619
0.000,0.038306,0.019010,0.043315,0.011466,0.007366,0.000000,0.069914,0.019981,0.062743
0.000,0.000000,0.008147,0.017326,0.000000,0.000000,0.000000,0.038968,0.039962,0.049972
