time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.864488,0.615453,0.778779,0.962358,0.933301,0.991309,0.637669,0.111214,0.565797
0.000,1.000000,0.996026,0.985090,0.970778,0.927501,0.938007,0.976351,0.706209,0.993329
0.000,0.845747,0.625166,0.758669,0.905399,0.885935,0.971031,0.597973,0.094532,0.519102
0.000,0.938491,0.977483,0.984050,0.949975,0.906235,0.915411,0.998311,0.688601,0.907823
0.000,0.913503,0.620751,0.771845,0.944527,0.947318,1.000000,0.636824,0.088044,0.563978
0.000,0.896204,0.992936,0.991678,0.948985,0.953601,0.907300,0.978041,0.770158,0.993329
0.000,0.815473,0.605740,0.779473,0.913819,0.913485,0.929316,0.634291,0.112141,0.533657
0.000,0.973090,0.987196,0.989598,0.964339,0.931851,0.899189,0.998311,0.918443,0.907823
0.000,0.851033,0.613687,0.768031,0.948985,0.915901,0.975087,0.636824,0.107507,0.557914
0.000,0.955790,0.994702,0.968100,0.979693,0.916868,0.936269,0.991554,0.715477,0.989691
0.000,0.845267,0.602208,0.763176,0.938583,0.898985,0.933372,0.641892,0.105653,0.567617
0.000,0.957232,0.987196,0.988904,0.928182,0.894635,0.859212,0.971284,0.717331,0.992723
0.000,0.891879,0.632671,0.771498,0.919762,0.955051,0.958285,0.626689,0.100093,0.561552
0.000,0.998078,0.999558,0.991331,0.964339,0.918801,0.940324,0.993243,0.719184,0.909642
0.000,0.857761,0.617219,0.769417,0.929668,0.924601,0.954809,0.625845,0.105653,0.518496
0.000,0.938011,0.967770,0.990638,0.891035,0.900918,0.896292,0.969595,0.706209,0.910249
0.000,0.852475,0.615011,0.767684,0.932640,0.925568,0.955968,0.622466,0.103800,0.523954
0.000,0.982701,0.990728,0.989945,0.947003,0.875302,0.917149,0.979730,0.730306,0.996361
0.000,0.846708,0.615453,0.778779,0.932145,0.923635,0.979143,0.643581,0.098239,0.580352
0.000,0.978856,0.995143,0.985437,0.984151,0.916868,0.926419,0.987331,0.709917,0.998181
