time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.100855,0.107692,0.073760,0.084249,0.088400,0.085714,0.127214,0.034851,0.095745
0.000,0.004151,0.010989,0.021588,0.000000,0.000000,0.000000,0.024155,0.003253,0.011082
0.000,0.202930,0.213675,0.088666,0.206105,0.192186,0.193651,0.173510,0.035316,0.099734
0.000,0.000000,0.001954,0.009509,0.000000,0.000000,0.000000,0.019324,0.003717,0.005762
0.000,0.220513,0.230037,0.094320,0.172405,0.209280,0.209768,0.178341,0.041822,0.098848
0.000,0.000000,0.016606,0.011051,0.000000,0.000000,0.000000,0.015298,0.003253,0.005762
0.000,0.336020,0.249817,0.092264,0.230037,0.224908,0.228083,0.184380,0.040892,0.100621
0.000,0.000488,0.002930,0.007710,0.000000,0.000000,0.000000,0.039050,0.005576,0.007092
0.000,0.298168,0.300122,0.101773,0.263980,0.293040,0.278144,0.211353,0.034387,0.100621
0.000,0.000000,0.005372,0.010794,0.000000,0.000000,0.000000,0.005233,0.002788,0.008422
0.000,0.254701,0.267888,0.100488,0.242491,0.255678,0.246398,0.200081,0.039963,0.099734
0.000,0.069841,0.017338,0.007453,0.000000,0.000000,0.010501,0.006441,0.002788,0.003546
0.000,0.314774,0.326252,0.104600,0.303785,0.305495,0.311600,0.211353,0.036710,0.100177
0.000,0.000000,0.009035,0.004883,0.000000,0.000000,0.014652,0.012882,0.000000,0.008422
0.000,0.282051,0.287424,0.097147,0.280586,0.253968,0.271795,0.204911,0.034851,0.099734
0.000,0.000000,0.005617,0.006425,0.000000,0.000000,0.000000,0.011272,0.002788,0.001330
0.000,0.244200,0.271795,0.093549,0.251770,0.261050,0.253724,0.194042,0.037175,0.097518
0.000,0.000000,0.006838,0.000000,0.000000,0.000000,0.000000,0.017713,0.006506,0.004876
0.000,0.210256,0.230525,0.090722,0.209035,0.232234,0.220269,0.184380,0.042751,0.097961
0.000,0.000000,0.000244,0.011051,0.000000,0.000000,0.000000,0.013688,0.002323,0.009309
0.000,0.287179,0.295238,0.099460,0.284005,0.285470,0.305983,0.208132,0.039033,0.097961
0.000,0.000000,0.008059,0.005140,0.000000,0.007570,0.004884,0.000000,0.004647,0.000000
0.000,0.275458,0.286935,0.097661,0.273748,0.272039,0.275702,0.204509,0.034851,0.100621
0.000,0.000000,0.003907,0.004369,0.000000,0.000000,0.000000,0.006844,0.007435,0.007535
