time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.009035,0.009524,0.537517,0.000000,0.000000,0.000000,0.095164,0.028727,0.412273
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.955148,0.875681,0.877701
0.000,0.000000,0.014896,0.552203,0.014164,0.000000,0.000000,0.093604,0.038633,0.389801
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.862308,0.859551
0.000,0.000000,0.029060,0.551669,0.000000,0.000000,0.013919,0.095554,0.038633,0.494814
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950858,0.862803,0.874676
0.000,0.000000,0.021490,0.540721,0.017582,0.000000,0.041026,0.098284,0.041109,0.403198
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960998,0.893016,0.955488
0.000,0.000000,0.022222,0.549800,0.000000,0.000000,0.000000,0.087363,0.037147,0.499136
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.930577,0.865280,0.890666
0.000,0.000000,0.013431,0.541522,0.000000,0.030037,0.000000,0.088144,0.026746,0.388073
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.957098,0.866766,0.880294
0.000,0.000000,0.005128,0.544726,0.000000,0.001709,0.001954,0.083073,0.073304,0.407952
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947738,0.900941,0.901037
0.000,0.000000,0.018071,0.546061,0.000000,0.000000,0.022222,0.077223,0.032194,0.403630
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.967277,0.930187,0.916295,1.000000
0.000,0.000000,0.015873,0.531642,0.000000,0.000000,0.000000,0.078003,0.029718,0.380294
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947738,0.865775,0.864736
0.000,0.000000,0.009280,0.542857,0.000000,0.000000,0.000000,0.074103,0.041605,0.396716
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.933697,0.944527,0.874244
0.000,0.012454,0.020269,0.540454,0.000000,0.023443,0.000000,0.064743,0.029222,0.411409
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.929670,0.925117,0.833086,0.847882
0.000,0.000000,0.018559,0.543925,0.012210,0.000244,0.000000,0.087754,0.041605,0.445117
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947348,0.869242,0.871219
0.000,0.000000,0.026129,0.555941,0.000000,0.000000,0.000000,0.098284,0.052501,0.403198
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950468,0.860822,0.970614
0.000,0.004396,0.023443,0.552470,0.005372,0.000000,0.000000,0.074883,0.039624,0.408816
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.937598,0.859832,0.865169
0.000,0.000000,0.014408,0.550334,0.020024,0.000000,0.000000,0.084243,0.044577,0.509075
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.987546,0.965679,0.986132,0.914002
0.000,0.004640,0.025153,0.558077,0.000000,0.000000,0.000000,0.101404,0.038633,0.397580
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.925507,0.861317,0.847882
0.000,0.000000,0.017827,0.550601,0.012454,0.000000,0.000000,0.089314,0.035661,0.432152
0.000,0.999512,1.000000,1.000000,1.000000,0.987790,1.000000,0.922777,0.821199,0.862143
0.000,0.000000,0.019780,0.362884,0.000000,0.000000,0.000000,0.000000,0.000000,0.017286
0.000,1.000000,0.995116,0.828571,1.000000,1.000000,1.000000,0.901716,0.850916,0.730337
0.000,0.000000,0.021734,0.551402,0.000000,0.004640,0.006349,0.128315,0.043586,0.425670
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940718,0.875186,0.891098
0.000,0.000000,0.018315,0.552470,0.000000,0.000000,0.000000,0.118175,0.042595,0.503025
0.000,1.000000,1.000000,0.626435,1.000000,1.000000,1.000000,0.701248,0.393759,0.297321
0.000,0.000000,0.027106,0.153538,0.001221,0.000000,0.006105,0.033541,0.004458,0.000000
0.000,1.000000,0.991453,1.000000,0.990965,1.000000,1.000000,0.920437,0.837543,0.859118
0.000,0.000000,0.020757,0.426435,0.000000,0.000977,0.000000,0.076053,0.020802,0.131374
0.000,0.000000,0.022955,0.283845,0.006105,0.000000,0.000000,0.120905,0.033185,0.110199
0.000,0.000000,0.021245,0.115621,0.000000,0.000000,0.000000,0.074103,0.017335,0.030683
0.000,0.000000,0.024176,0.092657,0.000000,0.003907,0.001465,0.111934,0.028727,0.110631
0.000,0.000000,0.021734,0.078238,0.000000,0.000000,0.000000,0.138066,0.033185,0.107606
0.000,0.000000,0.022711,0.088385,0.000000,0.000000,0.000000,0.142746,0.029222,0.114520
0.000,0.000000,0.021490,0.086248,0.000000,0.000000,0.000000,0.143526,0.025260,0.111063
0.000,0.000000,0.022222,0.088385,0.000000,0.000000,0.000000,0.138066,0.036652,0.106309
0.000,0.000000,0.021245,0.085180,0.000000,0.000000,0.000000,0.143526,0.036652,0.114952
0.000,0.000000,0.023687,0.090254,0.000000,0.000000,0.000000,0.150936,0.026746,0.114952
0.000,0.000000,0.022711,0.083845,0.000000,0.000000,0.000000,0.132215,0.026746,0.104581
0.000,0.000000,0.021001,0.019760,0.019780,0.000000,0.000000,0.076443,0.014859,0.028522
0.000,0.000000,0.021490,0.038718,0.000000,0.000000,0.000000,0.096334,0.022784,0.062662
0.000,0.000000,0.021978,0.076368,0.000000,0.000000,0.000000,0.135725,0.037642,0.105445
0.000,0.006105,0.023687,0.000000,0.000000,0.000000,0.002198,0.051482,0.011887,0.003457
0.000,0.008059,0.023199,0.026168,0.000000,0.000977,0.000000,0.083853,0.015849,0.033708
0.000,0.000000,0.021734,0.028037,0.000000,0.000000,0.000000,0.076053,0.020802,0.035869
0.000,0.000000,0.023687,0.045661,0.000000,0.000000,0.000000,0.090874,0.034671,0.055315
0.000,0.000000,0.021490,0.054206,0.000000,0.000000,0.000000,0.109984,0.035166,0.070873
0.000,0.000000,0.023199,0.059813,0.000000,0.000000,0.000000,0.104524,0.026746,0.066551
0.000,0.000000,0.023199,0.063284,0.000000,0.000000,0.000000,0.129095,0.029718,0.078652
0.000,0.000000,0.021734,0.059546,0.000000,0.000000,0.000488,0.112715,0.034671,0.066551
0.000,0.000000,0.023687,0.029372,0.000000,0.000000,0.000000,0.083073,0.023774,0.041919
0.000,0.000000,0.022711,0.037116,0.000000,0.000000,0.000000,0.089704,0.029718,0.048833
0.000,0.010989,0.022711,0.033645,0.000000,0.000000,0.000244,0.085803,0.026746,0.046240
0.000,0.000000,0.021245,0.023765,0.000000,0.000000,0.000000,0.073323,0.013373,0.024201
0.000,0.000000,0.021734,0.045661,0.000000,0.000000,0.000977,0.106474,0.025755,0.067416
0.000,0.000000,0.021490,0.071295,0.000000,0.001954,0.000000,0.129485,0.027737,0.089023
0.000,0.000000,0.020757,0.065955,0.000000,0.000000,0.000000,0.113105,0.022784,0.073034
0.000,0.000000,0.020024,0.025100,0.000000,0.000000,0.000000,0.074493,0.025755,0.033276
0.000,0.000000,0.021001,0.070761,0.000000,0.000000,0.000000,0.131045,0.035661,0.096802
0.000,0.000000,0.022711,0.086515,0.000000,0.000000,0.000000,0.145086,0.030708,0.116681
0.000,0.000000,0.020269,0.046996,0.000000,0.000000,0.000488,0.089704,0.017831,0.031115
0.000,0.000000,0.024176,0.009079,0.000000,0.000000,0.000000,0.063183,0.012878,0.011236
0.000,0.000000,0.019780,0.023231,0.000000,0.000000,0.000000,0.082683,0.013868,0.045376
0.000,0.000000,0.021734,0.032577,0.000000,0.000000,0.000000,0.087754,0.015849,0.026361
0.000,0.000000,0.023199,0.060614,0.000000,0.000000,0.000000,0.122075,0.028727,0.101124
0.000,0.000000,0.023932,0.024566,0.000000,0.006838,0.000000,0.081123,0.014859,0.019879
0.000,0.000000,0.022222,0.009079,0.000000,0.000000,0.000000,0.062402,0.010896,0.010372
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950078,0.823180,0.898876
0.044,0.000000,0.023443,0.562083,0.005861,0.000000,0.005372,0.132605,0.090144,0.517286
0.094,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947348,0.829619,0.902766
0.144,0.007326,0.000000,0.542323,0.000000,0.000000,0.000000,0.104524,0.047548,0.487468
0.194,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.982059,0.930659,0.881590
0.244,0.000000,0.000000,0.542323,0.000000,0.000000,0.000000,0.103354,0.055473,0.492221
0.294,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.964899,0.911342,0.903198
0.344,0.000000,0.019292,0.571696,0.000000,0.014896,0.000000,0.159906,0.087172,0.531547
0.394,0.926740,0.896703,0.698798,1.000000,0.994383,0.992674,0.609984,0.098068,0.338807
0.444,0.000000,0.021734,0.564219,0.000000,0.000000,0.000000,0.142356,0.071322,0.467589
0.494,0.980464,1.000000,1.000000,1.000000,1.000000,1.000000,0.899376,0.773650,0.824114
0.544,0.000000,0.023199,0.566088,0.000000,0.000000,0.000000,0.132605,0.101040,0.444685
0.594,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.903276,0.780089,0.820225
0.644,0.000000,0.010256,0.560214,0.004884,0.000000,0.000000,0.134555,0.100050,0.454192
0.694,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.920827,0.821199,0.838807
0.744,0.000000,0.009035,0.563151,0.000000,0.000000,0.000000,0.116615,0.069341,0.436474
0.794,1.000000,1.000000,1.000000,1.000000,0.955067,1.000000,0.908736,0.757801,0.828003
0.844,0.000977,0.018803,0.566355,0.000000,0.010989,0.000000,0.135725,0.082219,0.457217
0.894,1.000000,1.000000,1.000000,1.000000,1.000000,0.998535,0.911466,0.753839,0.803371
0.944,0.000000,0.014408,0.566889,0.000000,0.000000,0.000000,0.135725,0.069341,0.431288
0.994,0.979976,1.000000,1.000000,1.000000,1.000000,1.000000,0.896646,0.755820,0.806396
1.044,0.000000,0.013919,0.565821,0.000000,0.000000,0.000000,0.126365,0.173353,0.441659
1.094,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.903276,0.774146,0.798617
1.144,0.000000,0.023687,0.569559,0.030525,0.005372,0.000000,0.149766,0.165924,0.536301
1.194,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.904056,0.730560,0.809421
