time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.787442,0.845636,0.873006,0.780836,0.758813,0.713797,0.779479,0.619133,0.876225
0.000,0.097239,0.104795,0.522741,0.152905,0.166371,0.170208,0.227667,0.028520,0.482723
0.000,0.771806,0.838362,0.918193,0.789755,0.745879,0.709402,0.778458,0.674985,0.886539
0.000,0.087711,0.090248,0.523331,0.112385,0.149379,0.141880,0.214906,0.036245,0.483239
0.000,0.771806,0.848060,0.892794,0.819572,0.776820,0.733822,0.794283,0.563280,0.889118
0.000,0.097972,0.107759,0.510927,0.161315,0.160791,0.207326,0.217458,0.031491,0.477050
0.000,0.791595,0.870690,0.893680,0.826453,0.768704,0.760684,0.789689,0.538919,0.810211
0.000,0.077938,0.081358,0.520083,0.133537,0.139234,0.130891,0.227157,0.028520,0.346055
0.000,0.796237,0.860991,0.887773,0.797401,0.803956,0.752137,0.799898,0.686275,0.818463
0.000,0.072563,0.079203,0.506202,0.116718,0.196804,0.129915,0.209801,0.027926,0.444043
0.000,0.794772,0.865032,0.940343,0.813456,0.785950,0.745543,0.804492,0.571598,0.884477
0.000,0.067188,0.078664,0.510337,0.111876,0.091047,0.122100,0.191424,0.025550,0.471893
0.000,0.812851,0.891703,0.910809,0.845821,0.831600,0.779243,0.813680,0.553773,0.891181
0.000,0.060836,0.076509,0.509155,0.101172,0.108800,0.098657,0.185809,0.026738,0.454358
0.000,0.800635,0.882543,0.912581,0.871814,0.802181,0.770940,0.813680,0.578728,0.821558
0.000,0.073052,0.077047,0.513585,0.095056,0.109561,0.114042,0.190914,0.023173,0.448169
0.000,0.804056,0.878502,0.915535,0.864169,0.826528,0.770940,0.820827,0.581699,0.830325
0.000,0.071097,0.076778,0.503249,0.095821,0.099670,0.108425,0.194487,0.023173,0.465704
0.000,0.817249,0.891433,0.908447,0.726809,0.825006,0.778266,0.826442,0.635175,0.826715
0.000,0.057659,0.069504,0.500000,0.070082,0.087243,0.092308,0.180704,0.025550,0.445075
0.000,0.815050,0.882543,0.924395,0.875892,0.857469,0.801709,0.827973,0.576946,0.762764
0.000,0.059370,0.063847,0.512699,0.069317,0.077352,0.086203,0.173047,0.016043,0.433729
0.000,0.799658,0.898976,0.911991,0.873598,0.866092,0.814896,0.832057,0.582294,0.828778
0.000,0.064012,0.075431,0.500000,0.075688,0.093330,0.095971,0.169474,0.021985,0.445075
0.000,0.834596,0.900593,0.924985,0.889653,0.880801,0.817827,0.842266,0.586453,0.821558
0.000,0.059614,0.069504,0.510337,0.047146,0.102206,0.074481,0.169474,0.022579,0.445591
0.000,0.816272,0.894935,0.938866,0.874618,0.867106,0.832479,0.853497,0.605466,0.831872
0.000,0.067677,0.081358,0.508565,0.087920,0.082425,0.108181,0.159265,0.016043,0.469830
0.000,0.856829,0.916218,0.942705,0.931957,0.897033,0.849084,0.837162,0.595960,0.890665
0.000,0.057171,0.064116,0.508565,0.052752,0.071012,0.059829,0.159265,0.016637,0.483239
0.000,0.830442,0.895744,0.933255,0.869776,0.852143,0.835165,0.853497,0.607843,0.896854
0.000,0.050574,0.063578,0.502953,0.064475,0.069490,0.053968,0.156202,0.021985,0.448169
0.000,0.835329,0.935884,0.926462,0.922783,0.890692,0.851770,0.865748,0.609031,0.833419
0.000,0.058881,0.074353,0.510927,0.073140,0.070758,0.068620,0.150587,0.016043,0.432697
0.000,0.764232,0.929418,0.932369,0.910550,0.977682,0.870574,0.876978,0.609031,0.829293
0.000,0.050086,0.059537,0.505611,0.055301,0.092062,0.052503,0.137825,0.017231,0.470861
0.000,0.846323,0.919450,0.924985,0.905199,0.919097,0.854457,0.871873,0.751634,0.913357
0.000,0.039824,0.054957,0.501477,0.006116,0.050469,0.087668,0.141909,0.011884,0.446106
0.000,0.837772,0.919181,0.936799,0.938073,0.914786,0.870085,0.868811,0.628045,0.839092
