time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.009524,0.558140,0.000000,0.001221,0.000000,0.060212,0.067308,0.526927
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975997,1.000000,0.997679
0.000,0.000000,0.015629,0.559725,0.000000,0.000000,0.000000,0.077705,0.056561,0.535283
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.956876,0.923077,1.000000
0.000,0.000000,0.021245,0.558140,0.000000,0.033944,0.053480,0.079333,0.063914,0.579387
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953621,0.901584,0.958682
0.000,0.000000,0.019536,0.559197,0.013675,0.000000,0.000000,0.063466,0.061086,0.441504
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.959723,0.904977,0.889508
0.000,0.000000,0.023443,0.566596,0.000000,0.000000,0.029304,0.078926,0.058824,0.582173
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.935043,0.946298,0.906674,0.987465
0.000,0.000000,0.017827,0.563689,0.044200,0.000000,0.008791,0.061432,0.106900,0.578923
0.000,1.000000,1.000000,1.000000,0.867399,0.978755,0.983639,0.948332,0.881787,0.987465
0.000,0.000000,0.019780,0.554440,0.000000,0.052503,0.000000,0.054516,0.059389,0.536212
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.952807,0.903281,0.958682
0.000,0.006838,0.026618,0.565539,0.000000,0.001954,0.000000,0.105370,0.105769,0.544104
0.000,1.000000,1.000000,1.000000,1.000000,0.951404,1.000000,0.972742,0.903846,0.992108
0.000,0.000000,0.017827,0.562632,0.000000,0.009768,0.000000,0.067941,0.059389,0.571495
0.000,1.000000,0.996337,1.000000,1.000000,1.000000,1.000000,0.978031,0.883484,0.984680
0.000,0.000000,0.018803,0.563689,0.000000,0.000000,0.000000,0.060212,0.057127,0.541783
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.942873,0.993036
0.000,0.000000,0.011966,0.566860,0.008547,0.037118,0.000000,0.076078,0.070701,0.538997
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.964199,0.881787,0.895543
0.000,0.000000,0.015629,0.567125,0.008059,0.000000,0.000000,0.061025,0.056561,0.576602
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.993651,0.940602,0.854638,0.920613
0.000,0.000000,0.017094,0.558140,0.000000,0.000000,0.004396,0.079333,0.067873,0.536212
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975590,0.898756,0.957753
0.000,0.000000,0.008059,0.566596,0.052259,0.002686,0.000000,0.052075,0.059955,0.579851
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.962571,0.906674,0.959610
0.000,0.000000,0.015629,0.566596,0.006105,0.000000,0.000000,0.090317,0.062783,0.573816
0.000,1.000000,1.000000,1.000000,1.000000,0.985592,1.000000,0.947925,0.923643,0.956825
0.000,0.000000,0.017338,0.569239,0.000000,0.018315,0.044689,0.178194,0.070701,0.551068
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940602,0.884050,0.942897
0.000,0.000000,0.015629,0.570296,0.022466,0.016850,0.000000,0.179414,0.076923,0.546425
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.936941,0.919118,0.967967
0.000,0.000000,0.010989,0.567125,0.000000,0.000000,0.026129,0.190399,0.070701,0.540854
0.000,0.198046,0.154579,0.477537,0.182173,0.189988,0.198535,0.189178,0.048077,0.227484
0.000,0.010501,0.005861,0.076903,0.018803,0.000000,0.000488,0.000000,0.000000,0.000000
0.000,1.000000,1.000000,1.000000,0.984615,1.000000,0.576313,0.919447,0.911199,0.956825
0.000,0.076435,0.009768,0.576110,0.000000,0.011477,0.000000,0.227014,0.101244,0.553853
0.000,0.185348,0.110134,0.540169,0.005372,0.040781,0.052991,0.204638,0.034502,0.362117
0.000,0.000000,0.000000,0.563953,0.000000,0.028571,0.000000,0.196094,0.107466,0.527855
0.000,0.035897,0.061783,0.531712,0.025153,0.030525,0.032479,0.128153,0.031674,0.331941
