time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.178022,0.191697,0.103394,0.191697,0.178510,0.174603,0.225553,0.130208,0.143205
0.000,0.000000,0.009035,0.041548,0.000000,0.000000,0.004884,0.057985,0.011719,0.068860
0.000,0.041758,0.068132,0.072629,0.054212,0.044933,0.042979,0.124816,0.106771,0.124314
0.000,0.009768,0.010012,0.051062,0.001465,0.003907,0.000000,0.095332,0.015625,0.080439
0.000,0.329426,0.336996,0.133524,0.259829,0.310867,0.346032,0.297789,0.117188,0.150518
0.000,0.004884,0.015629,0.040913,0.000000,0.016850,0.003175,0.056020,0.011719,0.078001
0.000,0.283028,0.295482,0.122423,0.289133,0.302564,0.307204,0.283047,0.140625,0.146862
0.000,0.000000,0.002930,0.041548,0.000000,0.000000,0.000000,0.025061,0.014323,0.084704
0.000,0.261538,0.264713,0.115128,0.252015,0.244689,0.241514,0.263391,0.135417,0.145034
0.000,0.000000,0.008059,0.052331,0.005617,0.000000,0.000000,0.064373,0.018229,0.085923
0.000,0.189744,0.202442,0.103711,0.181441,0.185836,0.177534,0.205405,0.123698,0.143205
0.000,0.000000,0.009035,0.047257,0.000000,0.000000,0.000000,0.072236,0.015625,0.078001
0.000,0.146032,0.157021,0.094196,0.142613,0.141880,0.126252,0.188206,0.125000,0.134674
0.000,0.000000,0.010501,0.049160,0.000000,0.000000,0.000000,0.052580,0.015625,0.073126
0.000,0.159219,0.170696,0.096733,0.144811,0.148230,0.139683,0.193612,0.148438,0.132236
0.000,0.003663,0.020269,0.046305,0.000000,0.000000,0.000000,0.051597,0.011719,0.079220
0.000,0.180464,0.169231,0.094830,0.148474,0.141636,0.146520,0.189681,0.105469,0.134674
0.000,0.000000,0.006105,0.045988,0.000000,0.023687,0.000000,0.049140,0.015625,0.079829
0.000,0.137729,0.157509,0.093245,0.138950,0.142613,0.149695,0.179853,0.101562,0.132846
0.000,0.000000,0.004396,0.049794,0.000000,0.000000,0.000000,0.052580,0.020833,0.079829
0.000,0.143346,0.157998,0.094830,0.131624,0.131868,0.129182,0.186241,0.135417,0.135893
0.000,0.000000,0.012454,0.043768,0.000000,0.000000,0.000000,0.076658,0.015625,0.079220
0.000,0.183639,0.200977,0.100856,0.179976,0.168742,0.178510,0.199509,0.104167,0.136502
0.000,0.000000,0.009035,0.050428,0.000000,0.000977,0.000000,0.052580,0.031250,0.084704
0.000,0.143590,0.151648,0.109420,0.127717,0.119414,0.115018,0.220639,0.098958,0.149299
0.000,0.000000,0.021245,0.050428,0.000000,0.000000,0.000000,0.052088,0.022135,0.081048
0.000,0.227839,0.241026,0.115763,0.214164,0.225885,0.226374,0.252580,0.122396,0.134674
0.000,0.011233,0.007082,0.051380,0.000000,0.000000,0.013675,0.063882,0.018229,0.092626
0.000,0.186325,0.200000,0.108151,0.185836,0.193651,0.183394,0.225061,0.135417,0.134674
0.000,0.000244,0.006593,0.051062,0.000000,0.000000,0.000000,0.067813,0.018229,0.086533
0.000,1.000000,1.000000,0.731050,1.000000,1.000000,1.000000,0.962162,0.882812,0.647776
0.000,0.004151,0.013675,0.310498,0.000000,0.000000,0.027350,0.095332,0.019531,0.110299
0.000,1.000000,1.000000,0.912464,1.000000,1.000000,1.000000,0.978378,1.000000,0.846435
0.000,0.000000,0.011722,0.335236,0.000000,0.000000,0.000000,0.082555,0.033854,0.092017
0.000,0.008547,0.021001,0.056771,0.000000,0.000000,0.001465,0.069779,0.078125,0.092626
0.000,0.000000,0.014408,0.093245,0.000000,0.000000,0.000000,0.124816,0.083333,0.161487
0.000,0.000488,0.016606,0.096733,0.000000,0.000000,0.000000,0.137101,0.093750,0.187690
0.000,0.000000,0.017338,0.114811,0.000000,0.000000,0.000000,0.154791,0.072917,0.196831
0.000,0.005861,0.020757,0.039010,0.000000,0.010745,0.002930,0.060442,0.052083,0.071298
0.000,0.000000,0.017338,0.032667,0.000000,0.011722,0.000000,0.051597,0.054688,0.066423
0.000,0.000244,0.017582,0.037108,0.000000,0.000000,0.000000,0.064865,0.069010,0.084704
0.000,0.000244,0.015629,0.059943,0.000488,0.000000,0.000488,0.087469,0.085938,0.116392
0.000,0.010501,0.029792,0.051062,0.029060,0.020024,0.008059,0.089926,0.062500,0.082267
0.000,0.000000,0.003175,0.038376,0.000000,0.000000,0.006349,0.073710,0.015625,0.053626
0.000,1.000000,1.000000,0.826832,1.000000,1.000000,1.000000,1.000000,0.950521,0.790372
0.000,0.000000,0.017827,0.667618,0.005128,0.000000,0.000000,0.161179,0.102865,0.646557
0.000,1.000000,1.000000,0.709166,1.000000,1.000000,1.000000,0.976413,0.815104,0.433272
0.000,0.000000,0.018803,0.462417,0.000244,0.000000,0.001221,0.178378,0.125000,0.263863
0.000,0.122344,0.135531,0.356803,0.170208,0.214164,0.000000,0.203440,0.079427,0.238879
0.000,0.000000,0.008059,0.075167,0.002198,0.000000,0.000000,0.056511,0.015625,0.110299
0.000,0.479365,0.466667,0.170314,0.474969,0.466667,0.464957,0.449140,0.136719,0.153565
0.000,0.003419,0.025153,0.055186,0.000000,0.000000,0.000000,0.058968,0.018229,0.104814
0.000,0.574603,0.581441,0.623850,0.560684,0.559707,0.554579,0.488943,0.169271,0.579525
0.000,0.000000,0.004884,0.162702,0.000000,0.053480,0.025397,0.065848,0.032552,0.121877
0.000,0.550672,0.559463,0.236600,0.615140,0.575092,0.576068,0.495332,0.179688,0.185253
0.000,0.000000,0.012943,0.771646,0.006593,0.000000,0.000000,0.240786,0.654948,0.899452
0.000,0.998046,1.000000,0.981288,1.000000,1.000000,1.000000,0.887961,0.751302,0.723339
0.000,0.008059,0.019780,0.774500,0.000000,0.000000,0.006838,0.269287,0.687500,0.900670
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.865848,0.687500,0.775137
0.000,0.000000,0.010989,0.772280,0.000244,0.000000,0.000000,0.274201,0.648438,0.901280
0.000,1.000000,1.000000,0.998731,1.000000,1.000000,1.000000,0.904668,0.716146,0.809872
0.000,0.000244,0.017338,0.781795,0.019292,0.001954,0.000000,0.255528,0.494792,0.970750
0.000,0.977045,1.000000,0.991120,1.000000,1.000000,1.000000,0.891400,0.701823,0.790981
0.000,0.002930,0.014408,0.377101,0.000000,0.000000,0.016361,0.062899,0.027344,0.124314
0.000,0.699634,0.717949,0.263559,0.727717,0.741636,0.717460,0.600983,0.203125,0.167581
0.000,0.000244,0.015629,0.083413,0.000000,0.000000,0.000000,0.095332,0.114583,0.189519
0.000,0.006105,0.016606,0.143038,0.000000,0.000000,0.000000,0.166093,0.123698,0.241926
0.000,0.003907,0.014408,0.080241,0.000000,0.000000,0.000000,0.099263,0.057292,0.090189
0.000,0.005861,0.018071,0.129718,0.000000,0.000000,0.000000,0.168059,0.101562,0.232176
0.000,0.007082,0.017827,0.152870,0.000000,0.007326,0.000000,0.190663,0.115885,0.243144
