time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.031717,0.011859,0.110718,0.000000,0.000000,0.000000,0.181368,0.035169,0.164195
0.000,0.036435,0.013514,0.106094,0.010747,0.000000,0.000000,0.178394,0.044459,0.160901
0.000,0.034862,0.013514,0.110990,0.000000,0.000000,0.000000,0.183350,0.044459,0.162548
0.000,0.036959,0.014065,0.106638,0.000000,0.000000,0.000000,0.177403,0.042468,0.165294
0.000,0.035649,0.010756,0.110718,0.000000,0.000000,0.000000,0.188801,0.031188,0.165294
0.000,0.035649,0.011859,0.105550,0.000000,0.000000,0.000000,0.175421,0.031851,0.165294
0.000,0.055570,0.014341,0.111534,0.000000,0.000000,0.000000,0.164519,0.031851,0.165294
0.000,0.055832,0.014065,0.105550,0.000000,0.002093,0.000000,0.179386,0.032515,0.164745
0.000,0.057405,0.015168,0.112622,0.000000,0.000000,0.000000,0.176908,0.031188,0.164745
0.000,0.063958,0.012135,0.106094,0.000000,0.000000,0.000000,0.174926,0.043796,0.165294
0.000,0.073132,0.014617,0.112894,0.000000,0.000000,0.000000,0.183350,0.028534,0.165294
0.000,0.086239,0.014341,0.105005,0.004194,0.000000,0.000000,0.178394,0.032515,0.166392
0.000,0.125295,0.014617,0.112350,0.000000,0.000000,0.000000,0.183845,0.031188,0.165294
0.000,0.146527,0.014341,0.104189,0.000000,0.000000,0.000000,0.174430,0.029861,0.164745
0.000,0.157274,0.014617,0.111534,0.000000,0.000000,0.000000,0.179386,0.033842,0.164745
0.000,0.150983,0.014617,0.104461,0.000000,0.000000,0.000000,0.180377,0.039814,0.162548
0.000,0.153866,0.014617,0.111534,0.000000,0.000000,0.000000,0.180377,0.032515,0.164745
0.000,0.137353,0.015720,0.103373,0.000000,0.000000,0.000000,0.175421,0.029197,0.162548
0.000,0.142595,0.014065,0.111534,0.000000,0.000000,0.000000,0.191278,0.031188,0.164745
0.000,0.114548,0.013514,0.105550,0.000000,0.000000,0.000000,0.178394,0.029197,0.163097
0.000,0.102490,0.013514,0.113166,0.000000,0.000000,0.000000,0.183350,0.034506,0.163646
0.000,0.103014,0.012962,0.105550,0.000000,0.000000,0.000000,0.175421,0.034506,0.166392
0.000,0.063696,0.012135,0.112078,0.000000,0.000000,0.000000,0.187314,0.029197,0.165294
0.000,0.075491,0.015168,0.106366,0.000000,0.001047,0.000000,0.175917,0.035169,0.164195
0.000,0.150197,0.016271,0.112894,0.000000,0.000000,0.000000,0.184341,0.031188,0.163097
0.000,0.127130,0.014617,0.106366,0.000000,0.000000,0.000000,0.177403,0.044459,0.163097
0.000,0.117169,0.015168,0.112894,0.000000,0.000000,0.000000,0.181863,0.041805,0.164195
0.000,0.040891,0.012962,0.105005,0.000000,0.000000,0.000000,0.175421,0.031851,0.163097
0.000,0.068938,0.015168,0.113711,0.000000,0.000000,0.000000,0.181863,0.039814,0.162548
0.000,0.020183,0.011307,0.105277,0.000000,0.000000,0.000000,0.177403,0.031188,0.164195
0.000,0.092005,0.011859,0.110718,0.000000,0.000000,0.000000,0.180377,0.029197,0.158155
0.000,0.021232,0.011859,0.084331,0.000000,0.000000,0.000000,0.144698,0.033842,0.131247
0.000,0.002359,0.008825,0.080250,0.004194,0.000000,0.000000,0.138751,0.029861,0.111477
0.000,0.022805,0.040541,0.060120,0.018087,0.040816,0.013819,0.114965,0.021898,0.071938
0.000,0.106684,0.014065,0.062024,0.001311,0.000000,0.000000,0.086720,0.026543,0.104887
0.000,0.092267,0.032267,0.073721,0.017562,0.000000,0.000754,0.058969,0.012608,0.076881
0.000,0.040629,0.054330,0.058760,0.015465,0.039770,0.001005,0.109019,0.020571,0.102691
0.000,0.047969,0.055433,0.433624,0.051900,0.043171,0.034422,0.128840,0.019907,0.415157
0.000,1.000000,0.987590,1.000000,0.971429,0.977499,0.808794,0.972250,0.796284,0.979681
0.000,0.045347,0.057088,0.569097,0.059502,0.058870,0.040955,0.162042,0.023225,0.443712
0.000,0.139187,0.057639,0.385745,0.044823,0.047096,0.006030,0.097621,0.025879,0.168589
0.000,0.099869,0.044402,0.050871,0.026474,0.020931,0.031407,0.025768,0.033842,0.017573
0.000,0.705898,0.983729,0.722797,1.000000,1.000000,0.935678,0.976214,1.000000,0.927512
0.000,0.523460,0.059294,0.557399,0.040367,0.033490,0.037437,0.123885,0.033179,0.516749
0.000,0.919266,0.978764,0.996464,0.977982,0.965725,0.828894,1.000000,0.857996,1.000000
0.000,0.530799,0.067568,0.568553,0.045872,0.053898,0.045477,0.124876,0.031188,0.538715
0.000,0.920052,1.000000,0.991295,0.985059,0.991366,1.000000,0.978692,0.866622,0.998902
0.000,0.530537,0.073083,0.567737,0.054260,0.055207,0.042965,0.134787,0.039151,0.538166
