time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.943470,0.978923,0.984027,0.984922,0.951688,0.819536,1.000000,0.837713,0.922658
0.000,0.067669,0.074356,0.583856,0.083926,0.093604,0.069841,0.220530,0.042504,0.505991
0.000,0.945976,0.972190,0.992014,0.962447,0.956080,0.829548,0.998872,0.836167,0.932462
0.000,0.063492,0.065574,0.580148,0.082219,0.068350,0.083516,0.208686,0.046368,0.545752
0.000,0.963798,0.995609,0.984027,0.990896,0.927532,0.840049,0.984208,0.864760,0.996187
0.000,0.073796,0.065867,0.583571,0.033855,0.074938,0.071062,0.213762,0.049459,0.508170
0.000,0.962963,1.000000,0.984313,0.998578,0.952237,0.814408,0.994360,0.853168,0.917211
0.000,0.097187,0.064403,0.584712,0.087624,0.090036,0.093284,0.230118,0.036321,0.510349
0.000,0.952102,0.977752,0.988591,0.941110,0.969805,0.830525,0.970671,0.840804,0.922658
0.000,0.059036,0.059719,0.589561,0.076529,0.072742,0.092796,0.212634,0.052550,0.543028
0.000,0.941520,0.977166,1.000000,0.985206,0.970903,0.823199,0.997744,0.809892,1.000000
0.000,0.073239,0.078454,0.570451,0.106117,0.096075,0.129182,0.239143,0.058733,0.541939
0.000,0.925369,0.968384,0.984598,0.980939,0.959649,0.863004,1.000000,0.819165,0.996187
0.000,0.059593,0.066159,0.582430,0.051494,0.089761,0.076923,0.221658,0.051005,0.555556
0.000,0.917015,0.985948,0.981746,1.000000,0.924238,1.000000,0.965031,0.808346,0.996732
0.000,0.062657,0.069379,0.586423,0.094737,0.089487,0.123321,0.219966,0.040185,0.547930
0.000,0.890003,0.944087,0.980034,0.955619,0.907219,0.786813,0.976311,0.927357,0.917756
0.000,0.061543,0.066452,0.588705,0.081650,0.097447,0.076679,0.248731,0.049459,0.541394
0.000,0.924534,0.962529,0.981175,0.961593,0.918199,0.794383,0.978567,0.936631,0.919935
0.000,0.085492,0.085480,0.586138,0.098720,0.114192,0.112576,0.234631,0.057187,0.542484
0.000,0.939850,0.967213,0.986880,0.958179,1.000000,0.779731,0.970107,0.802164,0.980392
0.000,0.070175,0.069087,0.571021,0.107255,0.106780,0.111111,0.240835,0.047913,0.540305
0.000,0.920356,0.959016,0.976041,0.945377,0.889102,0.651282,0.958263,0.840804,0.994009
0.000,0.076859,0.074063,0.587849,0.106970,0.125172,0.115018,0.232939,0.057187,0.551198
0.000,0.924255,0.960480,0.976612,0.946230,0.890200,0.802686,0.959391,0.840031,0.992375
0.000,0.118073,0.112998,0.593839,0.156757,0.132034,0.143346,0.262267,0.057960,0.539760
0.000,0.926204,0.970726,0.970337,0.963585,0.892396,0.783639,0.943598,0.957496,0.987473
0.000,0.087441,0.086066,0.582715,0.131152,0.138348,0.143346,0.249859,0.061824,0.498911
0.000,1.000000,0.956089,0.968055,0.936273,0.863025,0.754335,0.943598,1.000000,0.909586
0.000,0.087719,0.079040,0.590987,0.131152,0.139720,0.138462,0.257755,0.060278,0.508715
0.000,0.897800,0.939696,0.962065,0.911522,0.853967,0.768987,0.927806,0.772798,0.909586
0.000,0.108605,0.102166,0.593269,0.167568,0.166072,0.158974,0.264523,0.061051,0.549020
0.000,0.906433,0.942037,0.966058,0.921764,0.814713,0.721123,0.942470,0.928903,0.901416
0.000,0.096352,0.087822,0.592983,0.157895,0.151798,0.146276,0.259447,0.061051,0.505447
0.000,0.884712,0.921546,0.965203,0.832717,0.823497,0.712332,0.934010,0.797527,0.904139
0.000,0.094960,0.101874,0.592983,0.176671,0.179797,0.183883,0.267908,0.068006,0.505991
0.000,0.871902,0.920082,0.958357,0.854623,0.832830,0.733333,0.909757,0.766615,0.899782
0.000,0.132832,0.113876,0.582430,0.179801,0.178150,0.179487,0.286520,0.063369,0.496732
0.000,0.860206,0.918326,0.950086,0.839829,0.800988,0.785104,0.917654,0.750386,0.896514
0.000,0.131718,0.116218,0.589846,0.203983,0.188581,0.201954,0.284264,0.063369,0.529412
0.000,0.889167,0.898712,0.953223,0.841252,0.802910,0.669353,0.900733,0.752705,0.897603
