time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.500000,0.989384,0.000000,0.704698,0.000000,0.952854,0.797468,0.976540
0.000,0.000000,0.636364,0.169851,0.000000,0.000000,0.000000,0.181141,0.139241,0.000000
0.000,0.000000,0.515152,0.178344,0.000000,0.000000,0.000000,0.191067,0.569620,0.302053
0.000,0.000000,0.545455,0.808917,0.000000,0.000000,0.000000,0.861042,0.734177,1.000000
0.000,0.000000,0.636364,0.963907,0.012048,0.288591,0.000000,0.955335,0.721519,0.982405
0.000,0.000000,0.500000,0.912951,0.000000,0.000000,0.000000,0.955335,0.835443,0.994135
0.000,0.000000,0.606061,0.980892,0.000000,0.000000,0.000000,0.933002,0.784810,0.976540
0.000,0.000000,0.545455,0.921444,0.000000,0.000000,0.000000,0.942928,0.721519,0.982405
0.000,0.000000,0.621212,0.985138,0.000000,0.000000,0.000000,1.000000,0.835443,0.991202
0.000,0.000000,0.606061,0.921444,0.000000,0.000000,0.000000,0.952854,1.000000,0.988270
0.000,0.000000,0.500000,0.980892,0.000000,0.000000,0.000000,0.980149,0.734177,0.994135
0.000,0.000000,0.636364,0.923567,0.000000,0.000000,0.000000,0.930521,0.734177,0.994135
0.000,0.000000,0.606061,0.970276,0.000000,0.000000,0.000000,0.987593,0.772152,0.970674
0.000,0.000000,0.530303,0.915074,0.000000,0.000000,0.000000,0.962779,0.708861,0.994135
0.000,0.000000,0.636364,0.976645,0.000000,0.000000,0.000000,0.962779,0.772152,0.979472
0.000,0.000000,0.666667,0.915074,0.000000,0.060403,0.000000,0.933002,0.746835,0.985337
0.000,0.000000,0.696970,0.970276,0.000000,0.000000,0.000000,0.977667,0.835443,0.973607
0.000,0.000000,0.606061,0.910828,0.000000,0.000000,0.043956,0.945409,0.670886,0.979472
0.000,0.000000,0.606061,0.980892,0.054217,0.000000,0.000000,0.935484,0.924051,0.988270
0.000,0.000000,0.575758,0.813163,0.036145,0.000000,0.043956,0.779156,0.721519,0.765396
0.000,0.000000,0.575758,0.921444,0.000000,0.120805,0.000000,0.856079,0.924051,0.865103
0.000,0.000000,0.560606,0.891720,0.000000,0.000000,0.000000,0.861042,0.835443,0.912023
0.000,0.000000,0.787879,1.000000,0.000000,0.000000,0.000000,0.952854,0.974684,0.964809
0.000,0.000000,0.590909,0.908705,0.000000,0.000000,0.219780,0.861042,0.898734,0.888563
0.000,0.000000,0.636364,0.955414,0.072289,0.000000,0.000000,0.861042,0.683544,0.882698
0.000,0.000000,0.621212,0.878981,0.000000,0.000000,0.000000,0.813896,0.670886,0.829912
0.000,0.000000,0.590909,0.921444,0.000000,0.000000,0.000000,0.826303,0.898734,0.859238
0.000,0.000000,0.500000,0.912951,0.006024,0.000000,0.000000,0.888337,0.721519,0.912023
0.000,0.000000,0.696970,0.949045,0.000000,0.000000,0.000000,0.866005,0.696203,0.868035
0.000,0.000000,0.575758,0.662420,0.000000,0.033557,0.000000,0.585608,0.455696,0.478006
0.000,0.000000,0.484848,0.089172,0.000000,0.409396,1.000000,0.079404,0.164557,0.079179
0.000,0.000000,0.500000,0.573248,0.000000,0.000000,0.000000,0.632754,0.898734,0.824047
0.000,0.000000,0.500000,0.394904,0.024096,0.000000,0.000000,0.414392,0.582278,0.410557
0.000,0.000000,0.636364,0.647558,0.198795,0.000000,0.000000,0.756824,0.670886,0.844575
0.000,0.052065,0.560606,0.269639,0.000000,0.053691,0.175824,0.245658,0.139241,0.196481
0.000,0.472172,0.696970,0.564756,0.000000,0.000000,0.000000,0.615385,0.898734,0.759531
0.000,0.000000,0.636364,0.898089,0.000000,0.000000,0.000000,0.942928,0.797468,0.970674
0.000,0.000000,0.424242,0.422505,0.000000,0.000000,0.000000,0.397022,0.392405,0.196481
0.000,0.000000,0.303030,0.127389,0.120482,0.000000,0.000000,0.146402,0.227848,0.129032
0.000,0.000000,0.545455,0.573248,0.000000,0.000000,0.000000,0.702233,0.696203,0.826979
0.000,0.035907,0.515152,0.165605,0.000000,0.604027,0.307692,0.126551,0.392405,0.161290
0.000,0.037702,0.515152,0.072187,0.560241,0.409396,0.000000,0.034739,0.202532,0.090909
0.000,0.000000,0.484848,0.154989,0.000000,0.000000,0.329670,0.143921,0.227848,0.170088
0.000,0.000000,0.696970,0.779193,0.000000,0.000000,0.000000,0.826303,0.746835,0.976540
0.000,0.005386,0.606061,0.301486,0.048193,0.000000,0.000000,0.253102,0.189873,0.129032
0.000,0.000000,0.545455,0.280255,0.000000,0.000000,0.054945,0.320099,0.898734,0.425220
0.000,0.000000,0.575758,0.305732,0.000000,0.322148,0.000000,0.267990,0.265823,0.313783
0.000,0.000000,0.500000,0.488323,0.000000,0.000000,0.000000,0.508685,0.772152,0.583578
0.000,0.000000,0.454545,0.167728,0.012048,0.000000,0.000000,0.141439,0.240506,0.161290
0.000,0.000000,0.590909,0.127389,0.036145,0.140940,0.000000,0.126551,0.291139,0.131965
0.000,0.001795,0.545455,0.116773,0.000000,0.060403,0.000000,0.158809,0.139241,0.131965
0.000,0.000000,0.500000,0.628450,0.000000,0.000000,0.000000,0.667494,0.632911,0.856305
0.000,0.010772,0.515152,0.915074,0.000000,0.000000,0.000000,0.933002,0.797468,0.982405
0.000,0.000000,0.636364,0.212314,0.000000,0.000000,0.000000,0.245658,0.316456,0.237537
0.000,0.540395,0.500000,0.377919,0.000000,0.000000,0.000000,0.330025,0.582278,0.357771
0.000,0.497307,0.590909,0.084926,1.000000,0.000000,0.000000,0.106700,0.177215,0.085044
0.000,0.605027,0.666667,0.225053,0.000000,0.000000,0.000000,0.111663,0.227848,0.173021
0.000,0.874327,0.606061,0.501062,0.000000,0.000000,0.197802,0.543424,0.721519,0.747801
0.000,0.705566,0.757576,0.322718,0.000000,0.140940,0.000000,0.285360,0.518987,0.237537
0.000,0.497307,0.939394,0.076433,0.000000,0.000000,0.087912,0.057072,0.227848,0.082111
0.000,0.615799,0.606061,0.182590,0.000000,0.409396,0.000000,0.138958,0.265823,0.178886
0.000,0.543986,0.484848,0.121019,0.000000,0.000000,0.000000,0.129032,0.291139,0.046921
0.000,0.597846,0.606061,0.127389,0.000000,0.194631,0.000000,0.121588,0.265823,0.126100
0.000,0.500898,0.454545,0.063694,0.000000,0.261745,0.000000,0.074442,0.367089,0.082111
0.000,0.624776,0.696970,0.191083,0.000000,0.000000,0.000000,0.176179,0.227848,0.181818
0.000,0.005386,0.378788,0.089172,0.000000,0.000000,0.087912,0.071960,0.278481,0.099707
0.000,0.000000,0.606061,0.214437,0.096386,0.000000,0.340659,0.173697,0.240506,0.231672
0.000,0.000000,0.439394,0.768577,0.000000,0.000000,0.000000,0.796526,0.696203,0.964809
0.000,0.000000,0.575758,0.938429,0.000000,0.000000,0.000000,0.905707,0.898734,0.985337
0.000,0.000000,0.484848,0.904459,0.102410,0.000000,0.000000,0.925558,0.632911,0.973607
0.000,0.000000,0.545455,0.959660,0.000000,0.000000,0.000000,0.962779,0.696203,0.994135
0.000,0.000000,0.454545,0.915074,0.000000,0.000000,0.340659,0.905707,0.746835,0.982405
0.000,0.000000,0.545455,0.305732,0.012048,0.000000,0.000000,0.280397,0.392405,0.258065
