time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,3813.000000,509.000000,0.000000,0.000000,4095.000000,1151.000000,3813.000000,81.000000,973.000000
0.000,3814.000000,693.000000,2.000000,0.000000,4095.000000,1199.000000,3823.000000,83.000000,1057.000000
0.000,3815.000000,488.000000,8.000000,0.000000,4095.000000,1162.000000,3696.000000,83.000000,1019.000000
0.000,3816.000000,501.000000,0.000000,0.000000,4095.000000,1164.000000,3867.000000,88.000000,997.000000
0.000,3817.000000,458.000000,0.000000,0.000000,1543.000000,1181.000000,3872.000000,77.000000,983.000000
0.000,3818.000000,427.000000,0.000000,0.000000,1541.000000,1169.000000,3867.000000,81.000000,909.000000
0.000,3819.000000,509.000000,0.000000,0.000000,1566.000000,1229.000000,3895.000000,81.000000,949.000000
0.000,3820.000000,559.000000,0.000000,0.000000,1579.000000,1223.000000,3848.000000,83.000000,1042.000000
0.000,3821.000000,527.000000,0.000000,0.000000,1563.000000,1223.000000,3871.000000,87.000000,1039.000000
0.000,3822.000000,551.000000,3.000000,0.000000,1565.000000,1259.000000,3901.000000,82.000000,1024.000000
0.000,3823.000000,536.000000,1.000000,0.000000,1573.000000,1247.000000,3866.000000,77.000000,1059.000000
0.000,3824.000000,556.000000,0.000000,0.000000,1571.000000,1252.000000,3862.000000,87.000000,1044.000000
0.000,3825.000000,565.000000,4.000000,0.000000,1592.000000,1254.000000,3886.000000,87.000000,1079.000000
0.000,3826.000000,592.000000,8.000000,0.000000,1599.000000,1237.000000,3833.000000,83.000000,1065.000000
0.000,3827.000000,719.000000,0.000000,0.000000,1625.000000,1272.000000,3877.000000,81.000000,1087.000000
0.000,3828.000000,631.000000,0.000000,0.000000,4095.000000,1213.000000,3851.000000,89.000000,1015.000000
0.000,3829.000000,653.000000,3.000000,0.000000,4095.000000,1195.000000,3887.000000,88.000000,1036.000000
0.000,3830.000000,588.000000,0.000000,0.000000,4095.000000,1208.000000,3838.000000,81.000000,1023.000000
0.000,3831.000000,578.000000,4.000000,0.000000,4095.000000,1177.000000,3837.000000,85.000000,1019.000000
0.000,3832.000000,588.000000,4.000000,0.000000,4095.000000,1175.000000,3856.000000,83.000000,1040.000000
0.000,3833.000000,551.000000,0.000000,0.000000,4095.000000,1187.000000,3899.000000,84.000000,1046.000000
0.000,3834.000000,615.000000,2.000000,0.000000,4095.000000,1227.000000,3843.000000,81.000000,1000.000000
0.000,3835.000000,576.000000,3.000000,0.000000,4095.000000,1206.000000,3863.000000,83.000000,1021.000000
0.000,3836.000000,609.000000,0.000000,0.000000,4095.000000,1207.000000,3865.000000,80.000000,1047.000000
0.000,3837.000000,563.000000,2.000000,0.000000,4095.000000,1236.000000,3875.000000,81.000000,1083.000000
0.000,3838.000000,601.000000,0.000000,0.000000,4095.000000,1261.000000,3867.000000,84.000000,1097.000000
0.000,3839.000000,579.000000,0.000000,0.000000,4095.000000,1251.000000,3899.000000,81.000000,1107.000000
0.000,3840.000000,597.000000,0.000000,0.000000,4095.000000,1271.000000,3838.000000,83.000000,1098.000000
0.000,3841.000000,536.000000,0.000000,0.000000,4095.000000,1201.000000,3873.000000,81.000000,928.000000
0.000,3842.000000,592.000000,2.000000,0.000000,4095.000000,1243.000000,3845.000000,83.000000,947.000000
0.000,3843.000000,1487.000000,9.000000,0.000000,4095.000000,1343.000000,3858.000000,85.000000,1088.000000
0.000,3844.000000,586.000000,4.000000,0.000000,4095.000000,1239.000000,3852.000000,83.000000,905.000000
0.000,3845.000000,587.000000,0.000000,0.000000,4095.000000,1239.000000,3840.000000,82.000000,929.000000
0.000,3846.000000,539.000000,0.000000,0.000000,4095.000000,1019.000000,3772.000000,83.000000,733.000000
0.000,3847.000000,455.000000,0.000000,0.000000,1384.000000,1043.000000,3799.000000,75.000000,649.000000
0.000,3848.000000,524.000000,0.000000,0.000000,4095.000000,1112.000000,3815.000000,89.000000,905.000000
0.000,3849.000000,610.000000,4.000000,0.000000,1085.000000,1319.000000,3812.000000,83.000000,1079.000000
0.000,3850.000000,1305.000000,0.000000,0.000000,1856.000000,1441.000000,3723.000000,81.000000,1114.000000
0.000,3851.000000,891.000000,0.000000,0.000000,1926.000000,1583.000000,3788.000000,83.000000,880.000000
0.000,3852.000000,914.000000,6.000000,0.000000,4095.000000,1501.000000,3739.000000,83.000000,1265.000000
0.000,3853.000000,951.000000,2.000000,0.000000,4095.000000,1559.000000,3800.000000,81.000000,1155.000000
0.000,3854.000000,1127.000000,8.000000,0.000000,4095.000000,1779.000000,3747.000000,75.000000,1199.000000
0.000,3855.000000,1110.000000,9.000000,0.000000,4095.000000,1635.000000,3857.000000,89.000000,1493.000000
0.000,3856.000000,804.000000,6.000000,0.000000,4095.000000,1121.000000,1852.000000,26.000000,825.000000
0.000,3857.000000,547.000000,16.000000,0.000000,4095.000000,859.000000,1856.000000,28.000000,617.000000
0.000,3858.000000,548.000000,12.000000,0.000000,4095.000000,633.000000,1844.000000,21.000000,397.000000
0.000,3859.000000,328.000000,2.000000,0.000000,4095.000000,593.000000,1811.000000,22.000000,0.000000
0.000,3860.000000,275.000000,8.000000,0.000000,4095.000000,484.000000,1848.000000,23.000000,0.000000
0.000,3861.000000,255.000000,0.000000,0.000000,4095.000000,473.000000,1815.000000,25.000000,0.000000
