time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5073.000000,95.000000,0.000000,0.000000,305.000000,360.000000,1787.000000,21.000000,0.000000
0.000,5074.000000,92.000000,0.000000,0.000000,290.000000,352.000000,1791.000000,23.000000,24.000000
0.000,5075.000000,95.000000,0.000000,0.000000,291.000000,377.000000,1789.000000,26.000000,0.000000
0.000,5076.000000,79.000000,0.000000,0.000000,282.000000,376.000000,1823.000000,22.000000,0.000000
0.000,5077.000000,92.000000,0.000000,0.000000,275.000000,383.000000,1802.000000,25.000000,0.000000
0.000,5078.000000,89.000000,2.000000,0.000000,273.000000,359.000000,1803.000000,28.000000,0.000000
0.000,5079.000000,93.000000,1.000000,0.000000,280.000000,373.000000,1797.000000,24.000000,0.000000
0.000,5080.000000,83.000000,0.000000,0.000000,283.000000,440.000000,1833.000000,27.000000,0.000000
0.000,5081.000000,67.000000,0.000000,0.000000,269.000000,371.000000,1787.000000,26.000000,0.000000
0.000,5082.000000,75.000000,0.000000,0.000000,4095.000000,160.000000,1799.000000,31.000000,0.000000
0.000,5083.000000,56.000000,5.000000,0.000000,4095.000000,137.000000,1807.000000,21.000000,0.000000
0.000,5084.000000,61.000000,0.000000,0.000000,4095.000000,143.000000,1817.000000,23.000000,0.000000
0.000,5085.000000,69.000000,0.000000,0.000000,4095.000000,139.000000,1817.000000,24.000000,0.000000
0.000,5086.000000,73.000000,0.000000,0.000000,4095.000000,146.000000,1820.000000,24.000000,0.000000
0.000,5087.000000,58.000000,0.000000,0.000000,4095.000000,156.000000,1803.000000,20.000000,0.000000
0.000,5088.000000,72.000000,0.000000,0.000000,4095.000000,156.000000,1816.000000,24.000000,0.000000
0.000,5089.000000,31.000000,2.000000,0.000000,4095.000000,159.000000,1803.000000,30.000000,0.000000
0.000,5090.000000,82.000000,0.000000,0.000000,4095.000000,127.000000,1783.000000,25.000000,4.000000
0.000,5091.000000,74.000000,2.000000,0.000000,4095.000000,133.000000,1805.000000,23.000000,26.000000
0.000,5092.000000,80.000000,0.000000,0.000000,4095.000000,155.000000,1848.000000,25.000000,0.000000
0.000,5093.000000,61.000000,0.000000,0.000000,4095.000000,160.000000,1807.000000,19.000000,0.000000
0.000,5094.000000,87.000000,0.000000,0.000000,4095.000000,152.000000,1807.000000,22.000000,25.000000
0.000,5095.000000,79.000000,0.000000,0.000000,4095.000000,157.000000,1840.000000,28.000000,0.000000
0.000,5096.000000,72.000000,0.000000,0.000000,4095.000000,138.000000,1827.000000,22.000000,27.000000
0.000,5097.000000,45.000000,0.000000,0.000000,4095.000000,141.000000,1817.000000,25.000000,0.000000
0.000,5098.000000,40.000000,0.000000,0.000000,635.000000,199.000000,1789.000000,22.000000,0.000000
0.000,5099.000000,39.000000,0.000000,0.000000,235.000000,249.000000,1830.000000,17.000000,0.000000
0.000,5100.000000,337.000000,0.000000,0.000000,4060.000000,3246.000000,1901.000000,33.000000,369.000000
0.000,5101.000000,749.000000,6.000000,0.000000,4075.000000,3325.000000,1899.000000,28.000000,504.000000
0.000,5102.000000,807.000000,16.000000,0.000000,4095.000000,459.000000,1837.000000,22.000000,310.000000
0.000,5103.000000,942.000000,10.000000,0.000000,4095.000000,3374.000000,1883.000000,30.000000,807.000000
0.000,5104.000000,419.000000,8.000000,0.000000,4095.000000,763.000000,1840.000000,24.000000,559.000000
0.000,5105.000000,697.000000,2.000000,0.000000,3583.000000,902.000000,1840.000000,22.000000,0.000000
0.000,5106.000000,1197.000000,9.000000,0.000000,3955.000000,3127.000000,1823.000000,27.000000,0.000000
0.000,5107.000000,698.000000,8.000000,0.000000,4095.000000,1508.000000,1870.000000,29.000000,0.000000
0.000,5108.000000,691.000000,0.000000,0.000000,4001.000000,3373.000000,1939.000000,22.000000,1191.000000
0.000,5109.000000,936.000000,6.000000,0.000000,3928.000000,3227.000000,1891.000000,23.000000,1336.000000
0.000,5110.000000,818.000000,22.000000,0.000000,3602.000000,1485.000000,1823.000000,28.000000,0.000000
0.000,5111.000000,787.000000,0.000000,0.000000,3412.000000,1314.000000,1849.000000,30.000000,972.000000
0.000,5112.000000,672.000000,8.000000,0.000000,3405.000000,1241.000000,1809.000000,26.000000,983.000000
