time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,4092.000000,825.000000,1.000000,0.000000,4095.000000,991.000000,3797.000000,77.000000,0.000000
0.000,4093.000000,767.000000,0.000000,0.000000,4095.000000,982.000000,3821.000000,83.000000,0.000000
0.000,4094.000000,896.000000,9.000000,0.000000,4095.000000,1004.000000,3792.000000,76.000000,0.000000
0.000,4095.000000,845.000000,1.000000,0.000000,4095.000000,980.000000,3776.000000,73.000000,0.000000
0.000,4096.000000,1004.000000,11.000000,0.000000,4095.000000,1015.000000,3606.000000,75.000000,0.000000
0.000,4097.000000,986.000000,12.000000,0.000000,4095.000000,1085.000000,3644.000000,75.000000,0.000000
0.000,4098.000000,997.000000,15.000000,0.000000,4095.000000,1024.000000,3657.000000,82.000000,0.000000
0.000,4099.000000,1033.000000,10.000000,0.000000,4095.000000,1035.000000,3665.000000,75.000000,0.000000
0.000,4100.000000,935.000000,10.000000,0.000000,4095.000000,1019.000000,3613.000000,75.000000,0.000000
0.000,4101.000000,1065.000000,5.000000,0.000000,1425.000000,1055.000000,3575.000000,77.000000,623.000000
0.000,4102.000000,1079.000000,11.000000,0.000000,1449.000000,1047.000000,3544.000000,78.000000,661.000000
0.000,4103.000000,1023.000000,19.000000,0.000000,1421.000000,1039.000000,3543.000000,77.000000,613.000000
0.000,4104.000000,1093.000000,9.000000,0.000000,1442.000000,1037.000000,3571.000000,71.000000,609.000000
0.000,4105.000000,1011.000000,10.000000,0.000000,1433.000000,1019.000000,3583.000000,79.000000,600.000000
0.000,4106.000000,957.000000,8.000000,0.000000,1399.000000,1077.000000,3537.000000,72.000000,636.000000
0.000,4107.000000,1002.000000,9.000000,0.000000,1419.000000,1024.000000,3571.000000,73.000000,656.000000
0.000,4108.000000,985.000000,16.000000,0.000000,1317.000000,1024.000000,3545.000000,72.000000,670.000000
0.000,4109.000000,1143.000000,10.000000,0.000000,1559.000000,1137.000000,3561.000000,72.000000,848.000000
0.000,4110.000000,1139.000000,8.000000,0.000000,1552.000000,1111.000000,3603.000000,73.000000,873.000000
0.000,4111.000000,1163.000000,3.000000,0.000000,1523.000000,1113.000000,3659.000000,77.000000,605.000000
0.000,4112.000000,1431.000000,10.000000,0.000000,1831.000000,1387.000000,3687.000000,81.000000,990.000000
0.000,4113.000000,1568.000000,21.000000,0.000000,4095.000000,1479.000000,3748.000000,83.000000,952.000000
0.000,4114.000000,1593.000000,27.000000,0.000000,4095.000000,1564.000000,3753.000000,79.000000,1099.000000
0.000,4115.000000,1664.000000,16.000000,0.000000,1997.000000,1635.000000,3821.000000,81.000000,1195.000000
0.000,4116.000000,603.000000,4.000000,0.000000,4095.000000,1507.000000,3821.000000,85.000000,992.000000
0.000,4117.000000,521.000000,0.000000,0.000000,1809.000000,1496.000000,3813.000000,87.000000,975.000000
0.000,4118.000000,611.000000,3.000000,0.000000,809.000000,1541.000000,3688.000000,81.000000,997.000000
