time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5912.000000,828.000000,0.000000,0.000000,489.000000,871.000000,3625.000000,81.000000,552.000000
0.000,5913.000000,793.000000,2.000000,0.000000,503.000000,868.000000,3640.000000,75.000000,567.000000
0.000,5914.000000,803.000000,0.000000,0.000000,460.000000,864.000000,3668.000000,80.000000,561.000000
0.000,5915.000000,852.000000,9.000000,0.000000,488.000000,859.000000,3632.000000,73.000000,567.000000
0.000,5916.000000,787.000000,0.000000,0.000000,507.000000,867.000000,3645.000000,77.000000,529.000000
0.000,5917.000000,877.000000,0.000000,0.000000,467.000000,866.000000,3679.000000,78.000000,551.000000
0.000,5918.000000,821.000000,12.000000,0.000000,459.000000,857.000000,3561.000000,68.000000,518.000000
0.000,5919.000000,749.000000,7.000000,0.000000,440.000000,867.000000,3620.000000,77.000000,535.000000
0.000,5920.000000,765.000000,0.000000,0.000000,467.000000,865.000000,3609.000000,80.000000,523.000000
0.000,5921.000000,763.000000,1.000000,0.000000,465.000000,851.000000,3609.000000,79.000000,527.000000
0.000,5922.000000,837.000000,0.000000,0.000000,503.000000,857.000000,3564.000000,71.000000,535.000000
0.000,5923.000000,765.000000,4.000000,0.000000,503.000000,861.000000,3665.000000,77.000000,571.000000
0.000,5924.000000,923.000000,2.000000,0.000000,689.000000,1015.000000,3695.000000,79.000000,655.000000
0.000,5925.000000,852.000000,3.000000,0.000000,1498.000000,1275.000000,3744.000000,85.000000,911.000000
0.000,5926.000000,1280.000000,8.000000,0.000000,990.000000,1160.000000,3703.000000,89.000000,797.000000
0.000,5927.000000,1468.000000,23.000000,0.000000,1969.000000,1576.000000,3776.000000,93.000000,1229.000000
0.000,5928.000000,1661.000000,29.000000,0.000000,1853.000000,1415.000000,3760.000000,81.000000,1561.000000
0.000,5929.000000,1747.000000,33.000000,0.000000,1485.000000,1711.000000,3664.000000,7.000000,528.000000
0.000,5930.000000,1914.000000,25.000000,0.000000,2167.000000,1802.000000,3686.000000,83.000000,1357.000000
0.000,5931.000000,2419.000000,52.000000,0.000000,2699.000000,2319.000000,3360.000000,71.000000,1718.000000
0.000,5932.000000,2089.000000,43.000000,0.000000,1707.000000,3263.000000,2932.000000,51.000000,1407.000000
0.000,5933.000000,1997.000000,36.000000,0.000000,2352.000000,2077.000000,3752.000000,79.000000,1481.000000
0.000,5934.000000,2171.000000,43.000000,0.000000,2405.000000,2141.000000,3739.000000,78.000000,1872.000000
0.000,5935.000000,1989.000000,24.000000,1.000000,4095.000000,1755.000000,2559.000000,49.000000,1497.000000
0.000,5936.000000,2977.000000,89.000000,0.000000,3025.000000,927.000000,1803.000000,24.000000,61.000000
0.000,5937.000000,3041.000000,77.000000,0.000000,3195.000000,3247.000000,139.000000,0.000000,85.000000
0.000,5938.000000,1531.000000,20.000000,0.000000,1728.000000,1419.000000,3749.000000,80.000000,1221.000000
0.000,5939.000000,1803.000000,31.000000,0.000000,2112.000000,1751.000000,3867.000000,91.000000,1783.000000
0.000,5940.000000,2249.000000,36.000000,0.000000,2443.000000,3221.000000,2184.000000,25.000000,560.000000
0.000,5941.000000,2958.000000,83.000000,0.000000,3243.000000,4095.000000,457.000000,2.000000,95.000000
0.000,5942.000000,2993.000000,64.000000,0.000000,3341.000000,4095.000000,493.000000,0.000000,263.000000
0.000,5943.000000,2147.000000,43.000000,0.000000,2216.000000,2827.000000,3435.000000,75.000000,1815.000000
0.000,5944.000000,2091.000000,43.000000,0.000000,2309.000000,3040.000000,3563.000000,79.000000,2053.000000
0.000,5945.000000,2166.000000,48.000000,0.000000,2297.000000,3165.000000,3630.000000,76.000000,2153.000000
0.000,5946.000000,2263.000000,48.000000,0.000000,2469.000000,3196.000000,3603.000000,87.000000,2420.000000
0.000,5947.000000,2859.000000,63.000000,0.000000,2999.000000,4095.000000,811.000000,0.000000,170.000000
0.000,5948.000000,2227.000000,46.000000,0.000000,2393.000000,3131.000000,3527.000000,87.000000,2105.000000
0.000,5949.000000,3047.000000,93.000000,6.000000,3475.000000,3603.000000,1315.000000,0.000000,431.000000
0.000,5950.000000,3047.000000,85.000000,0.000000,3403.000000,3560.000000,595.000000,0.000000,81.000000
0.000,5951.000000,3224.000000,97.000000,0.000000,3637.000000,3715.000000,1147.000000,0.000000,503.000000
0.000,5952.000000,3229.000000,84.000000,0.000000,3505.000000,3595.000000,557.000000,0.000000,70.000000
0.000,5953.000000,3335.000000,99.000000,1.000000,3540.000000,3658.000000,664.000000,0.000000,328.000000
0.000,5954.000000,3482.000000,103.000000,0.000000,3707.000000,3909.000000,1031.000000,0.000000,109.000000
0.000,5955.000000,3292.000000,89.000000,0.000000,3605.000000,3662.000000,821.000000,0.000000,356.000000
0.000,5956.000000,3300.000000,91.000000,0.000000,3749.000000,3795.000000,927.000000,0.000000,167.000000
0.000,5957.000000,3288.000000,95.000000,0.000000,3605.000000,3616.000000,724.000000,0.000000,274.000000
0.000,5958.000000,3240.000000,82.000000,0.000000,3577.000000,3661.000000,613.000000,0.000000,45.000000
0.000,5959.000000,3292.000000,91.000000,0.000000,3605.000000,3695.000000,628.000000,0.000000,204.000000
0.000,5960.000000,3437.000000,88.000000,0.000000,3683.000000,3721.000000,676.000000,0.000000,163.000000
0.000,5961.000000,3449.000000,95.000000,0.000000,3733.000000,3793.000000,1086.000000,0.000000,291.000000
0.000,5962.000000,3392.000000,84.000000,0.000000,3472.000000,3452.000000,345.000000,0.000000,116.000000
0.000,5963.000000,3211.000000,83.000000,0.000000,3258.000000,3235.000000,116.000000,0.000000,0.000000
0.000,5964.000000,3210.000000,81.000000,0.000000,3377.000000,3369.000000,269.000000,0.000000,165.000000
0.000,5965.000000,3240.000000,90.000000,0.000000,3327.000000,3296.000000,343.000000,0.000000,0.000000
0.000,5966.000000,3511.000000,89.000000,0.000000,3291.000000,3248.000000,179.000000,7.000000,151.000000
0.000,5967.000000,3257.000000,89.000000,2.000000,3157.000000,3148.000000,97.000000,0.000000,0.000000
0.000,5968.000000,3232.000000,103.000000,0.000000,3238.000000,3258.000000,251.000000,0.000000,115.000000
0.000,5969.000000,3355.000000,101.000000,0.000000,3327.000000,3388.000000,359.000000,0.000000,90.000000
0.000,5970.000000,3319.000000,65.000000,2.000000,3220.000000,3231.000000,235.000000,0.000000,86.000000
0.000,5971.000000,3355.000000,88.000000,0.000000,3276.000000,3270.000000,143.000000,0.000000,49.000000
0.000,5972.000000,3336.000000,103.000000,0.000000,3367.000000,3357.000000,189.000000,0.000000,8.000000
0.000,5973.000000,3371.000000,85.000000,0.000000,3280.000000,3320.000000,296.000000,0.000000,119.000000
0.000,5974.000000,3528.000000,88.000000,0.000000,3947.000000,4006.000000,1619.000000,0.000000,524.000000
0.000,5975.000000,3548.000000,77.000000,0.000000,3127.000000,3218.000000,211.000000,0.000000,85.000000
0.000,5976.000000,3323.000000,93.000000,0.000000,3249.000000,3312.000000,167.000000,0.000000,0.000000
0.000,5977.000000,3243.000000,91.000000,0.000000,3232.000000,3319.000000,112.000000,0.000000,83.000000
0.000,5978.000000,3217.000000,89.000000,0.000000,3299.000000,3407.000000,208.000000,0.000000,0.000000
0.000,5979.000000,3529.000000,99.000000,0.000000,4095.000000,3735.000000,919.000000,0.000000,345.000000
0.000,5980.000000,3468.000000,108.000000,4.000000,4095.000000,3787.000000,999.000000,0.000000,285.000000
0.000,5981.000000,1633.000000,42.000000,0.000000,4095.000000,1188.000000,3659.000000,75.000000,924.000000
0.000,5982.000000,1699.000000,29.000000,0.000000,1896.000000,1585.000000,3767.000000,81.000000,1299.000000
0.000,5983.000000,1895.000000,29.000000,0.000000,4095.000000,1769.000000,3537.000000,73.000000,1375.000000
0.000,5984.000000,1735.000000,30.000000,0.000000,4095.000000,1701.000000,3846.000000,78.000000,1433.000000
0.000,5985.000000,1816.000000,37.000000,0.000000,4095.000000,1592.000000,3703.000000,71.000000,1491.000000
0.000,5986.000000,1611.000000,36.000000,0.000000,4095.000000,1711.000000,3455.000000,75.000000,1340.000000
0.000,5987.000000,854.000000,19.000000,0.000000,4095.000000,1765.000000,3740.000000,78.000000,1464.000000
0.000,5988.000000,1576.000000,22.000000,0.000000,4095.000000,1662.000000,3812.000000,84.000000,1336.000000
0.000,5989.000000,1852.000000,33.000000,0.000000,4095.000000,1968.000000,3763.000000,77.000000,1645.000000
0.000,5990.000000,1716.000000,35.000000,0.000000,4095.000000,1657.000000,3739.000000,81.000000,1353.000000
0.000,5991.000000,503.000000,0.000000,0.000000,4095.000000,1528.000000,3914.000000,87.000000,1222.000000
0.000,5992.000000,561.000000,8.000000,0.000000,1543.000000,1624.000000,3867.000000,88.000000,359.000000
0.025,5993.000000,500.000000,4.000000,0.000000,4095.000000,1374.000000,3879.000000,83.000000,0.000000
0.076,5994.000000,603.000000,0.000000,0.000000,4095.000000,3143.000000,3751.000000,74.000000,0.000000
0.127,5995.000000,672.000000,0.000000,0.000000,3485.000000,1529.000000,3686.000000,74.000000,0.000000
0.178,5996.000000,627.000000,2.000000,0.000000,3471.000000,1451.000000,3696.000000,79.000000,0.000000
0.229,5997.000000,496.000000,0.000000,0.000000,4054.000000,3434.000000,3510.000000,75.000000,1249.000000
0.280,5998.000000,869.000000,0.000000,0.000000,3430.000000,2879.000000,3268.000000,39.000000,1173.000000
0.331,5999.000000,810.000000,5.000000,0.000000,3979.000000,3199.000000,3369.000000,71.000000,1255.000000
0.382,6000.000000,795.000000,10.000000,0.000000,3981.000000,3204.000000,3314.000000,72.000000,1349.000000
0.433,6001.000000,691.000000,5.000000,0.000000,3944.000000,3157.000000,3267.000000,0.000000,1227.000000
0.484,6002.000000,673.000000,0.000000,0.000000,3939.000000,3188.000000,3220.000000,0.000000,1247.000000
0.535,6003.000000,592.000000,0.000000,0.000000,3960.000000,3217.000000,3357.000000,0.000000,1357.000000
0.586,6004.000000,732.000000,0.000000,0.000000,3939.000000,3181.000000,3315.000000,18.000000,1430.000000
0.637,6005.000000,469.000000,2.000000,0.000000,3960.000000,2576.000000,3449.000000,63.000000,1289.000000
0.688,6006.000000,702.000000,1.000000,0.000000,3439.000000,3216.000000,3287.000000,0.000000,1071.000000
0.739,6007.000000,760.000000,0.000000,0.000000,3447.000000,3180.000000,3363.000000,43.000000,1144.000000
0.790,6008.000000,749.000000,0.000000,0.000000,3956.000000,3101.000000,3364.000000,60.000000,1111.000000
0.841,6009.000000,704.000000,0.000000,0.000000,3447.000000,3187.000000,3336.000000,0.000000,1067.000000
0.892,6010.000000,752.000000,1.000000,0.000000,3955.000000,3208.000000,3305.000000,46.000000,1131.000000
0.943,6011.000000,669.000000,1.000000,0.000000,3406.000000,3146.000000,3351.000000,0.000000,1135.000000
0.994,6012.000000,731.000000,0.000000,0.000000,3962.000000,3208.000000,3298.000000,39.000000,1039.000000
1.045,6013.000000,707.000000,0.000000,0.000000,3963.000000,3180.000000,3298.000000,24.000000,1163.000000
1.096,6014.000000,723.000000,0.000000,0.000000,3971.000000,3176.000000,3283.000000,9.000000,1132.000000
1.147,6015.000000,717.000000,5.000000,0.000000,3960.000000,3168.000000,3301.000000,24.000000,1151.000000
1.198,6016.000000,715.000000,1.000000,0.000000,3949.000000,3149.000000,3259.000000,0.000000,1121.000000
1.249,6017.000000,739.000000,2.000000,0.000000,3391.000000,3141.000000,3288.000000,0.000000,1121.000000
1.300,6018.000000,779.000000,2.000000,0.000000,3383.000000,3060.000000,3296.000000,0.000000,1109.000000
1.351,6019.000000,675.000000,5.000000,0.000000,3939.000000,3156.000000,3297.000000,0.000000,1077.000000
1.402,6020.000000,721.000000,6.000000,0.000000,3933.000000,3139.000000,3255.000000,0.000000,955.000000
1.453,6021.000000,727.000000,5.000000,0.000000,3944.000000,3157.000000,3289.000000,0.000000,975.000000
1.505,6022.000000,768.000000,5.000000,0.000000,3937.000000,3151.000000,3262.000000,26.000000,1068.000000
1.555,6023.000000,737.000000,5.000000,0.000000,3941.000000,3157.000000,3237.000000,11.000000,1039.000000
1.606,6024.000000,776.000000,0.000000,0.000000,3941.000000,3159.000000,3343.000000,27.000000,1133.000000
1.657,6025.000000,731.000000,0.000000,0.000000,3924.000000,3150.000000,3281.000000,17.000000,1069.000000
1.708,6026.000000,784.000000,8.000000,0.000000,3399.000000,3101.000000,3257.000000,2.000000,996.000000
1.759,6027.000000,775.000000,3.000000,0.000000,3423.000000,3117.000000,3297.000000,5.000000,1039.000000
1.810,6028.000000,673.000000,1.000000,0.000000,3935.000000,3125.000000,3259.000000,5.000000,1029.000000
1.861,6029.000000,689.000000,2.000000,0.000000,3951.000000,3145.000000,3261.000000,0.000000,1059.000000
1.912,6030.000000,575.000000,3.000000,0.000000,4040.000000,3389.000000,3354.000000,67.000000,1187.000000
1.963,6031.000000,498.000000,0.000000,0.000000,4058.000000,3401.000000,3437.000000,73.000000,1159.000000
2.014,6032.000000,824.000000,0.000000,0.000000,3387.000000,2928.000000,3287.000000,23.000000,941.000000
2.065,6033.000000,731.000000,0.000000,0.000000,3889.000000,3101.000000,3296.000000,0.000000,1065.000000
2.116,6034.000000,704.000000,0.000000,0.000000,3945.000000,3128.000000,3261.000000,0.000000,909.000000
2.167,6035.000000,685.000000,3.000000,0.000000,3925.000000,3131.000000,3283.000000,0.000000,1059.000000
2.218,6036.000000,786.000000,2.000000,0.000000,3383.000000,3057.000000,3284.000000,0.000000,1043.000000
2.269,6037.000000,633.000000,1.000000,0.000000,3929.000000,3127.000000,3250.000000,0.000000,1035.000000
2.320,6038.000000,738.000000,4.000000,0.000000,3388.000000,3054.000000,3300.000000,0.000000,859.000000
2.371,6039.000000,689.000000,3.000000,0.000000,3878.000000,3124.000000,3280.000000,0.000000,867.000000
2.422,6040.000000,736.000000,0.000000,0.000000,3948.000000,3149.000000,3277.000000,0.000000,1020.000000
2.473,6041.000000,750.000000,0.000000,0.000000,3966.000000,3167.000000,3303.000000,8.000000,1035.000000
2.524,6042.000000,729.000000,0.000000,0.000000,3927.000000,3129.000000,3295.000000,0.000000,1051.000000
2.575,6043.000000,793.000000,0.000000,0.000000,3420.000000,3101.000000,3323.000000,34.000000,1135.000000
2.626,6044.000000,783.000000,0.000000,0.000000,3403.000000,3067.000000,3302.000000,6.000000,1148.000000
2.677,6045.000000,715.000000,0.000000,0.000000,3351.000000,3013.000000,3300.000000,0.000000,1216.000000
2.728,6046.000000,571.000000,0.000000,0.000000,3259.000000,1555.000000,3465.000000,79.000000,939.000000
2.779,6047.000000,800.000000,0.000000,0.000000,3333.000000,2825.000000,3260.000000,0.000000,1121.000000
2.830,6048.000000,605.000000,0.000000,0.000000,3282.000000,1533.000000,3505.000000,71.000000,1042.000000
2.881,6049.000000,560.000000,0.000000,0.000000,3287.000000,1567.000000,3492.000000,81.000000,1064.000000
2.932,6050.000000,601.000000,4.000000,0.000000,3255.000000,2291.000000,3432.000000,71.000000,1105.000000
2.983,6051.000000,523.000000,12.000000,0.000000,3271.000000,1550.000000,3493.000000,71.000000,1016.000000
