time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,2973.000000,264.000000,0.000000,0.000000,903.000000,1063.000000,3692.000000,77.000000,493.000000
0.000,2974.000000,295.000000,2.000000,0.000000,919.000000,1060.000000,3629.000000,75.000000,464.000000
0.000,2975.000000,261.000000,0.000000,0.000000,888.000000,1056.000000,3699.000000,75.000000,464.000000
0.000,2976.000000,303.000000,0.000000,0.000000,896.000000,1071.000000,3698.000000,77.000000,407.000000
0.000,2977.000000,267.000000,0.000000,0.000000,842.000000,1055.000000,3703.000000,75.000000,379.000000
0.000,2978.000000,297.000000,0.000000,0.000000,840.000000,1064.000000,3671.000000,75.000000,410.000000
0.000,2979.000000,269.000000,0.000000,0.000000,816.000000,1044.000000,3687.000000,73.000000,400.000000
0.000,2980.000000,293.000000,0.000000,0.000000,787.000000,1039.000000,3659.000000,75.000000,359.000000
0.000,2981.000000,252.000000,1.000000,0.000000,778.000000,1033.000000,3701.000000,91.000000,344.000000
0.000,2982.000000,285.000000,0.000000,0.000000,755.000000,1047.000000,3665.000000,71.000000,371.000000
0.000,2983.000000,270.000000,0.000000,0.000000,815.000000,1048.000000,3703.000000,79.000000,373.000000
0.000,2984.000000,277.000000,0.000000,0.000000,871.000000,1043.000000,3730.000000,78.000000,441.000000
0.000,2985.000000,884.000000,0.000000,0.000000,1123.000000,1111.000000,3697.000000,69.000000,555.000000
0.000,2986.000000,271.000000,0.000000,0.000000,1173.000000,1121.000000,3755.000000,75.000000,356.000000
0.000,2987.000000,316.000000,0.000000,0.000000,1306.000000,1173.000000,3776.000000,72.000000,587.000000
0.000,2988.000000,492.000000,5.000000,0.000000,1448.000000,1270.000000,3688.000000,77.000000,736.000000
0.000,2989.000000,507.000000,0.000000,0.000000,1521.000000,1401.000000,3893.000000,84.000000,563.000000
0.000,2990.000000,596.000000,4.000000,0.000000,1723.000000,1480.000000,3874.000000,86.000000,983.000000
0.000,2991.000000,2100.000000,63.000000,0.000000,3029.000000,2813.000000,2333.000000,10.000000,473.000000
0.000,2992.000000,519.000000,4.000000,0.000000,1689.000000,1361.000000,3809.000000,81.000000,1134.000000
0.000,2993.000000,674.000000,0.000000,0.000000,1786.000000,1496.000000,3801.000000,83.000000,1009.000000
0.000,2994.000000,805.000000,7.000000,0.000000,1912.000000,1703.000000,3937.000000,91.000000,1337.000000
0.000,2995.000000,2101.000000,46.000000,0.000000,2941.000000,2869.000000,2104.000000,9.000000,425.000000
0.000,2996.000000,2145.000000,45.000000,0.000000,3079.000000,2938.000000,2311.000000,10.000000,749.000000
0.000,2997.000000,551.000000,0.000000,0.000000,1840.000000,1456.000000,3826.000000,89.000000,1141.000000
0.000,2998.000000,1805.000000,39.000000,0.000000,1695.000000,807.000000,1838.000000,4.000000,711.000000
0.000,2999.000000,1819.000000,29.000000,0.000000,4056.000000,3257.000000,3388.000000,75.000000,1608.000000
0.000,3000.000000,1131.000000,13.000000,0.000000,1303.000000,1064.000000,1868.000000,31.000000,2.000000
0.000,3001.000000,1497.000000,16.000000,0.000000,1719.000000,1453.000000,3953.000000,80.000000,0.000000
0.000,3002.000000,1644.000000,22.000000,0.000000,4095.000000,1531.000000,3801.000000,85.000000,1104.000000
0.000,3003.000000,1795.000000,13.000000,0.000000,4059.000000,3300.000000,3578.000000,76.000000,1570.000000
0.000,3004.000000,1799.000000,28.000000,0.000000,3312.000000,2005.000000,3734.000000,83.000000,1454.000000
0.000,3005.000000,1832.000000,36.000000,0.000000,3351.000000,2045.000000,3750.000000,77.000000,1533.000000
0.000,3006.000000,1814.000000,28.000000,0.000000,4072.000000,3396.000000,3676.000000,77.000000,1812.000000
0.000,3007.000000,1677.000000,25.000000,0.000000,4095.000000,1714.000000,3947.000000,87.000000,1417.000000
0.000,3008.000000,1645.000000,26.000000,0.000000,4095.000000,1639.000000,3947.000000,86.000000,1303.000000
0.000,3009.000000,1625.000000,26.000000,0.000000,4095.000000,1599.000000,3927.000000,87.000000,1152.000000
0.000,3010.000000,1491.000000,24.000000,0.000000,4091.000000,1571.000000,3939.000000,88.000000,1120.000000
