time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1712.000000,885.000000,2.000000,0.000000,1547.000000,1337.000000,3815.000000,83.000000,640.000000
0.000,1713.000000,795.000000,2.000000,0.000000,1541.000000,1312.000000,3843.000000,80.000000,659.000000
0.000,1714.000000,783.000000,1.000000,0.000000,1532.000000,1315.000000,3800.000000,83.000000,595.000000
0.000,1715.000000,741.000000,0.000000,0.000000,1528.000000,1333.000000,3828.000000,85.000000,577.000000
0.000,1716.000000,779.000000,4.000000,0.000000,1544.000000,1323.000000,3799.000000,86.000000,568.000000
0.000,1717.000000,703.000000,1.000000,0.000000,1593.000000,1401.000000,3819.000000,83.000000,688.000000
0.000,1718.000000,784.000000,4.000000,0.000000,1571.000000,1341.000000,3789.000000,90.000000,653.000000
0.000,1719.000000,860.000000,13.000000,0.000000,1641.000000,1424.000000,3859.000000,85.000000,793.000000
0.000,1720.000000,1511.000000,4.000000,0.000000,1863.000000,1547.000000,3836.000000,80.000000,966.000000
0.000,1721.000000,1807.000000,75.000000,0.000000,1327.000000,2211.000000,3083.000000,59.000000,925.000000
0.000,1722.000000,1864.000000,25.000000,0.000000,2389.000000,2768.000000,3763.000000,78.000000,0.000000
0.000,1723.000000,1532.000000,30.000000,0.000000,4095.000000,3537.000000,4095.000000,89.000000,0.000000
0.000,1724.000000,1595.000000,17.000000,0.000000,4095.000000,3276.000000,1929.000000,18.000000,647.000000
0.000,1725.000000,1056.000000,16.000000,0.000000,1333.000000,959.000000,1807.000000,26.000000,0.000000
0.000,1726.000000,1257.000000,7.000000,0.000000,1292.000000,807.000000,1866.000000,26.000000,504.000000
0.000,1727.000000,733.000000,9.000000,0.000000,1204.000000,683.000000,1838.000000,21.000000,439.000000
0.000,1728.000000,727.000000,1.000000,0.000000,4095.000000,573.000000,1807.000000,27.000000,275.000000
0.000,1729.000000,455.000000,16.000000,0.000000,4095.000000,595.000000,1844.000000,24.000000,0.000000
0.000,1730.000000,497.000000,0.000000,0.000000,1115.000000,509.000000,1803.000000,24.000000,192.000000
0.000,1731.000000,721.000000,18.000000,0.000000,4095.000000,407.000000,1824.000000,25.000000,0.000000
0.000,1732.000000,361.000000,0.000000,0.000000,861.000000,432.000000,1855.000000,21.000000,120.000000
0.000,1733.000000,503.000000,0.000000,0.000000,4095.000000,345.000000,1787.000000,17.000000,0.000000
0.000,1734.000000,374.000000,4.000000,0.000000,4095.000000,236.000000,1822.000000,23.000000,0.000000
0.000,1735.000000,267.000000,0.000000,0.000000,4095.000000,281.000000,1816.000000,18.000000,79.000000
0.000,1736.000000,417.000000,11.000000,0.000000,4095.000000,311.000000,1784.000000,28.000000,43.000000
0.000,1737.000000,341.000000,3.000000,0.000000,4095.000000,243.000000,1787.000000,25.000000,42.000000
0.000,1738.000000,880.000000,6.000000,0.000000,4095.000000,291.000000,1792.000000,21.000000,96.000000
0.000,1739.000000,1543.000000,25.000000,0.000000,1659.000000,360.000000,1761.000000,22.000000,0.000000
0.000,1740.000000,371.000000,1.000000,0.000000,4095.000000,233.000000,1769.000000,25.000000,0.000000
0.000,1741.000000,1149.000000,9.000000,0.000000,1401.000000,250.000000,1763.000000,21.000000,0.000000
0.000,1742.000000,189.000000,17.000000,0.000000,735.000000,267.000000,1797.000000,28.000000,0.000000
0.000,1743.000000,265.000000,0.000000,0.000000,775.000000,263.000000,1771.000000,24.000000,0.000000
0.000,1744.000000,203.000000,4.000000,0.000000,749.000000,252.000000,1764.000000,28.000000,0.000000
0.000,1745.000000,541.000000,8.000000,0.000000,4095.000000,189.000000,1503.000000,0.000000,0.000000
0.000,1746.000000,528.000000,12.000000,1.000000,907.000000,241.000000,1660.000000,19.000000,0.000000
0.000,1747.000000,473.000000,0.000000,0.000000,920.000000,232.000000,1631.000000,17.000000,0.000000
0.000,1748.000000,155.000000,0.000000,0.000000,697.000000,232.000000,1623.000000,20.000000,6.000000
0.000,1749.000000,158.000000,0.000000,0.000000,737.000000,276.000000,1757.000000,25.000000,0.000000
0.000,1750.000000,150.000000,5.000000,0.000000,733.000000,278.000000,1680.000000,18.000000,0.000000
0.000,1751.000000,213.000000,5.000000,0.000000,756.000000,305.000000,1755.000000,25.000000,0.000000
0.000,1752.000000,173.000000,1.000000,0.000000,4095.000000,206.000000,1752.000000,28.000000,0.000000
0.000,1753.000000,149.000000,0.000000,0.000000,4095.000000,207.000000,1606.000000,13.000000,0.000000
0.000,1754.000000,188.000000,4.000000,0.000000,4095.000000,232.000000,1710.000000,20.000000,0.000000
0.000,1755.000000,175.000000,0.000000,0.000000,4095.000000,211.000000,1681.000000,19.000000,0.000000
0.000,1756.000000,139.000000,0.000000,0.000000,4095.000000,203.000000,1627.000000,24.000000,0.000000
0.000,1757.000000,145.000000,0.000000,0.000000,4095.000000,204.000000,1728.000000,22.000000,0.000000
0.000,1758.000000,153.000000,0.000000,0.000000,3835.000000,209.000000,1660.000000,22.000000,0.000000
0.000,1759.000000,191.000000,0.000000,0.000000,4095.000000,213.000000,1683.000000,24.000000,0.000000
0.000,1760.000000,145.000000,0.000000,0.000000,4095.000000,201.000000,1721.000000,22.000000,0.000000
0.000,1761.000000,149.000000,0.000000,0.000000,4095.000000,269.000000,1721.000000,17.000000,0.000000
0.000,1762.000000,149.000000,0.000000,0.000000,4095.000000,163.000000,1101.000000,8.000000,0.000000
0.000,1763.000000,128.000000,0.000000,0.000000,4095.000000,181.000000,1363.000000,9.000000,0.000000
0.000,1764.000000,142.000000,0.000000,0.000000,4095.000000,190.000000,1423.000000,8.000000,0.000000
0.000,1765.000000,155.000000,0.000000,0.000000,4095.000000,211.000000,1679.000000,16.000000,0.000000
0.000,1766.000000,151.000000,0.000000,0.000000,4095.000000,203.000000,1672.000000,25.000000,0.000000
0.000,1767.000000,151.000000,7.000000,0.000000,4095.000000,188.000000,1800.000000,10.000000,0.000000
0.000,1768.000000,141.000000,4.000000,0.000000,4095.000000,199.000000,1795.000000,23.000000,0.000000
0.000,1769.000000,158.000000,0.000000,0.000000,4095.000000,171.000000,1779.000000,23.000000,0.000000
0.000,1770.000000,152.000000,0.000000,0.000000,4095.000000,172.000000,1777.000000,21.000000,0.000000
0.000,1771.000000,147.000000,2.000000,0.000000,4095.000000,197.000000,1766.000000,25.000000,0.000000
0.000,1772.000000,535.000000,5.000000,0.000000,4095.000000,979.000000,3835.000000,79.000000,0.000000
0.000,1773.000000,763.000000,16.000000,0.000000,4095.000000,1336.000000,3789.000000,75.000000,997.000000
0.000,1774.000000,899.000000,4.000000,0.000000,4095.000000,1485.000000,3975.000000,92.000000,0.000000
0.000,1775.000000,688.000000,2.000000,0.000000,4095.000000,1431.000000,3977.000000,83.000000,0.000000
0.000,1776.000000,1011.000000,0.000000,0.000000,4095.000000,1490.000000,3822.000000,79.000000,1138.000000
0.000,1777.000000,1096.000000,4.000000,0.000000,4095.000000,1581.000000,3749.000000,83.000000,1229.000000
0.000,1778.000000,1121.000000,9.000000,0.000000,4095.000000,1595.000000,3768.000000,79.000000,1257.000000
0.000,1779.000000,1063.000000,2.000000,0.000000,4095.000000,1576.000000,3857.000000,85.000000,1298.000000
0.000,1780.000000,1083.000000,15.000000,0.000000,4095.000000,1599.000000,3879.000000,93.000000,1339.000000
0.000,1781.000000,1061.000000,1.000000,0.000000,4095.000000,1611.000000,3896.000000,85.000000,1368.000000
0.000,1782.000000,1128.000000,9.000000,0.000000,4095.000000,1634.000000,3870.000000,88.000000,1350.000000
0.000,1783.000000,1067.000000,3.000000,0.000000,4095.000000,1643.000000,3874.000000,83.000000,1233.000000
0.000,1784.000000,1169.000000,6.000000,0.000000,4095.000000,1659.000000,3868.000000,85.000000,1291.000000
0.000,1785.000000,1113.000000,0.000000,0.000000,4095.000000,1657.000000,3901.000000,91.000000,1251.000000
0.000,1786.000000,1029.000000,16.000000,0.000000,4095.000000,1641.000000,3854.000000,85.000000,0.000000
0.000,1787.000000,1303.000000,16.000000,0.000000,4095.000000,1629.000000,3877.000000,87.000000,351.000000
0.000,1788.000000,1215.000000,16.000000,0.000000,4095.000000,1692.000000,4000.000000,87.000000,0.000000
0.000,1789.000000,1170.000000,16.000000,0.000000,4095.000000,1681.000000,4007.000000,88.000000,0.000000
0.000,1790.000000,1163.000000,12.000000,0.000000,4095.000000,1647.000000,3887.000000,89.000000,1162.000000
