time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.008059,0.043860,0.296903,0.009768,0.009035,0.000000,0.073071,0.015006,0.073593
0.000,0.067643,0.231682,0.523675,0.044689,0.046154,0.017338,0.153120,0.015775,0.368831
0.000,0.000000,0.642931,0.780650,0.000000,0.001465,0.000000,0.467980,0.611389,0.798268
0.000,0.003907,0.167183,0.574354,0.000000,0.000000,0.000000,0.218801,0.025779,0.406926
0.000,0.000000,0.032766,0.266445,0.021734,0.000000,0.017338,0.109195,0.013082,0.085281
0.000,0.026618,0.018318,0.027643,0.035897,0.018803,0.047863,0.032841,0.008465,0.029437
0.000,0.005617,0.034572,0.046839,0.000000,0.004396,0.002198,0.055829,0.009619,0.068398
0.000,0.000000,0.008256,0.016125,0.000000,0.000000,0.004396,0.007389,0.003463,0.009091
0.000,0.000000,0.046440,0.062708,0.000000,0.000000,0.000244,0.082102,0.014236,0.071861
0.000,0.013919,0.008772,0.011518,0.002930,0.013919,0.013431,0.041461,0.006541,0.012554
0.000,0.955556,0.899897,0.958024,0.941392,0.921856,0.920879,0.874795,0.642170,0.843290
0.000,0.050061,0.259804,0.471973,0.040293,0.038584,0.036874,0.120279,0.008850,0.249351
0.000,0.000000,0.082559,0.234963,0.000000,0.000000,0.000000,0.163383,0.016160,0.150649
0.000,0.000000,0.066047,0.167648,0.000000,0.000000,0.000000,0.168309,0.020392,0.157576
0.000,0.000000,0.081269,0.151267,0.000000,0.000000,0.000000,0.186371,0.019623,0.158009
0.000,0.000977,0.067595,0.130535,0.000000,0.000000,0.004151,0.176108,0.020392,0.158442
0.000,0.000000,0.082559,0.138213,0.000000,0.000000,0.000000,0.188834,0.020008,0.156710
0.000,0.000000,0.067595,0.128231,0.000244,0.000000,0.000000,0.178571,0.022701,0.155844
0.000,0.020757,0.045408,0.063220,0.000000,0.000000,0.000000,0.077586,0.007311,0.051082
0.000,0.048596,0.284314,0.379575,0.001709,0.041270,0.042002,0.182266,0.020392,0.375758
0.000,0.908913,0.932147,0.976453,0.926252,0.965324,0.881074,0.866585,0.679107,0.840260
0.000,0.043956,0.380031,0.560276,0.051770,0.060317,0.054212,0.197865,0.027318,0.418182
0.000,0.967277,0.932921,0.971334,0.921856,0.949451,0.966056,0.866995,0.593690,0.906061
0.000,0.043712,0.367389,0.554134,0.043712,0.036630,0.048596,0.197044,0.019623,0.407359
0.000,0.946764,0.936017,0.970822,0.909402,0.770940,0.921123,0.859606,0.822239,0.865801
0.000,0.030769,0.369969,0.555925,0.042247,0.042247,0.045177,0.191297,0.025394,0.421212
0.000,0.974359,0.960268,0.977476,0.925031,0.957509,0.947009,0.876847,0.675260,0.921212
0.000,0.011722,0.384417,0.553878,0.043712,0.034676,0.043223,0.204023,0.021162,0.406926
0.000,0.954335,0.935501,0.980548,0.943590,0.936020,0.955311,0.877668,0.619084,0.921212
0.000,0.011722,0.306760,0.491170,0.024664,0.011477,0.017338,0.169130,0.013467,0.306494
0.000,0.000000,0.052116,0.154850,0.000000,0.053968,0.000000,0.075123,0.015006,0.074459
0.000,0.000000,0.033540,0.039672,0.000000,0.000000,0.000000,0.051724,0.021162,0.067532
0.000,0.000488,0.101393,0.095470,0.000244,0.000000,0.000000,0.149015,0.006541,0.116450
0.000,0.028571,0.010320,0.009470,0.030037,0.000000,0.025885,0.002463,0.009619,0.009524
0.000,0.935531,0.925697,0.932685,0.922100,0.967277,0.789988,0.853038,0.698730,0.922078
0.000,0.018071,0.353973,0.519836,0.015629,0.009768,0.030525,0.194581,0.020777,0.353680
0.000,0.806105,0.502064,0.611467,0.787057,0.803663,0.807570,0.494253,0.047326,0.345022
0.000,0.034432,0.366615,0.545943,0.017582,0.024176,0.036630,0.214696,0.015775,0.414286
0.000,1.000000,0.946336,0.985667,0.964591,0.979731,0.989499,0.894089,0.747210,0.912987
0.000,0.024664,0.381321,0.552598,0.023443,0.020269,0.044933,0.229064,0.034629,0.399134
0.000,0.001465,0.694530,0.806501,0.000000,0.000000,0.000000,0.588670,0.570604,0.795238
0.000,0.028571,0.082043,0.327873,0.025397,0.029304,0.023687,0.074302,0.010389,0.032035
0.000,0.947253,0.926213,0.972357,0.959707,0.968498,0.978510,0.832512,0.585610,0.817316
0.000,0.032479,0.037152,0.205017,0.024176,0.024420,0.037363,0.026273,0.014236,0.023810
0.000,0.291331,0.161507,0.100589,0.286447,0.288400,0.279609,0.186782,0.011928,0.107359
0.000,0.021245,0.048504,0.022268,0.011477,0.024908,0.025641,0.019704,0.005387,0.023377
0.000,0.351160,0.226264,0.299974,0.358242,0.349695,0.360440,0.222496,0.015006,0.111255
0.000,0.000000,0.077399,0.109291,0.000000,0.000000,0.000000,0.111248,0.012312,0.144156
0.000,0.996337,0.966460,0.994369,0.983883,0.974115,1.000000,0.894089,0.747210,0.880087
0.000,0.021490,0.378999,0.544663,0.021490,0.025641,0.020269,0.249589,0.024240,0.404329
0.000,0.970208,0.962848,0.996161,0.981685,0.998046,0.979731,0.913793,0.832243,0.889177
