time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.343590,0.136118,0.082739,0.979243,0.994383,0.991209,0.216246,0.036643,0.131086
0.000,0.315751,0.140758,0.085382,0.987302,0.995604,0.986569,0.234175,0.035524,0.131086
0.000,0.279121,0.125290,0.083267,0.990720,0.994139,0.989499,0.206367,0.032727,0.128090
0.000,0.269841,0.124517,0.081153,0.984615,0.983883,0.989499,0.216612,0.034685,0.130337
0.000,0.234188,0.118329,0.076130,0.981441,0.986569,0.994628,0.197219,0.032727,0.130337
0.000,0.251282,0.122196,0.078773,0.991697,0.983883,0.995360,0.212221,0.036643,0.131461
0.000,0.246886,0.121681,0.076923,0.986569,0.993407,0.987302,0.200146,0.034965,0.131086
0.000,0.241514,0.128126,0.080360,0.979976,0.990476,0.989255,0.223198,0.030490,0.129588
0.000,0.281319,0.128384,0.080888,0.995116,0.986813,0.994139,0.210392,0.035524,0.128464
0.000,0.287424,0.137922,0.083796,0.996337,0.979487,0.993407,0.231980,0.031888,0.130337
0.000,0.291575,0.135344,0.084325,0.995116,0.988767,0.990232,0.221003,0.033846,0.128464
0.000,0.287179,0.144109,0.088025,0.992430,1.000000,0.990232,0.241127,0.038322,0.129588
0.000,0.271306,0.135860,0.085646,0.988523,0.985836,0.990965,0.216978,0.031329,0.129588
0.000,0.269841,0.136375,0.085646,0.996581,0.989744,0.995116,0.235273,0.032448,0.130712
0.000,0.348962,0.146172,0.091726,0.993651,0.998535,0.993651,0.229418,0.033287,0.131086
0.000,0.342613,0.148750,0.095427,0.994628,0.990232,0.995604,0.256495,0.036923,0.129963
0.000,0.344567,0.148234,0.094370,0.998046,0.990720,0.996337,0.229784,0.036643,0.129213
0.000,0.334066,0.147718,0.093577,0.995604,0.991209,0.997802,0.244786,0.033287,0.131461
0.000,0.336264,0.142305,0.091462,0.990476,0.995604,0.991209,0.257226,0.033007,0.130337
0.000,0.333089,0.148234,0.091990,0.997070,0.990720,0.999023,0.251372,0.036923,0.131461
0.000,0.394139,0.151328,0.092255,0.994139,1.000000,0.983883,0.239663,0.038322,0.128839
0.000,0.385104,0.156741,0.093312,0.989255,0.997070,0.990720,0.248811,0.034685,0.130337
0.000,0.382173,0.150554,0.094370,0.996337,0.994628,0.994872,0.234541,0.031608,0.129588
0.000,0.386569,0.158288,0.095956,0.991209,0.996337,0.989499,0.256861,0.033566,0.132584
0.000,0.380220,0.152101,0.094370,0.997558,0.996825,0.990720,0.230882,0.033846,0.129963
0.000,0.377289,0.157773,0.095956,0.997802,0.998291,0.993651,0.246615,0.033287,0.131086
0.000,0.392918,0.153390,0.094370,0.990720,0.996337,0.989744,0.234907,0.031049,0.128464
0.000,0.381197,0.159835,0.099656,0.997558,0.997558,0.994383,0.252836,0.032448,0.129588
0.000,0.376801,0.152617,0.094370,0.991697,0.996581,0.990720,0.255763,0.033287,0.129588
0.000,0.378755,0.158288,0.096484,0.991453,0.995116,0.999756,0.254299,0.036084,0.130337
0.000,0.349939,0.179428,0.097013,1.000000,1.000000,0.998535,0.243688,0.033846,0.131086
0.000,0.368987,0.169374,0.076130,0.387546,0.385592,0.388034,0.194658,0.030210,0.128090
0.000,0.291331,0.195669,0.083267,0.294994,0.295726,0.293284,0.153311,0.033007,0.128839
