time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.099223,0.091360,0.004884,0.020757,0.006838,0.127503,0.026747,0.137945
0.000,0.000000,0.071912,0.084409,0.000000,0.000244,0.000000,0.093783,0.018388,0.099834
0.000,0.013675,0.103984,0.113208,0.012454,0.000488,0.000000,0.149982,0.034102,0.144988
0.000,0.000000,0.075169,0.090367,0.000000,0.000000,0.009524,0.101510,0.022066,0.105220
0.000,0.028327,0.104986,0.106753,0.034432,0.025641,0.021490,0.155602,0.028084,0.144573
0.000,0.000000,0.027813,0.033019,0.000000,0.000000,0.000000,0.038988,0.014042,0.031897
0.000,0.055433,0.099975,0.092850,0.042002,0.048352,0.047619,0.140850,0.030759,0.131732
0.000,0.000000,0.032072,0.040715,0.000000,0.000000,0.000000,0.034773,0.005015,0.033969
0.000,0.027106,0.095214,0.090864,0.059341,0.050549,0.043712,0.146119,0.027081,0.130903
0.000,0.000000,0.045352,0.041212,0.000000,0.000000,0.000000,0.049175,0.010699,0.035211
0.000,0.020757,0.096968,0.094588,0.026618,0.026862,0.000000,0.140148,0.033099,0.131732
0.000,0.000000,0.032072,0.037984,0.000000,0.000000,0.000000,0.027749,0.005349,0.030240
0.000,0.022711,0.094212,0.092850,0.036142,0.045665,0.032479,0.137689,0.027416,0.131732
0.000,0.000000,0.012027,0.012413,0.000000,0.000000,0.000000,0.009132,0.004681,0.008699
0.000,0.017338,0.093961,0.093843,0.020513,0.026374,0.004884,0.135581,0.032765,0.133803
0.000,0.000000,0.032573,0.034508,0.000000,0.000000,0.000000,0.035476,0.006018,0.027341
0.000,0.022466,0.096467,0.092850,0.037363,0.040537,0.050794,0.138743,0.026747,0.133389
0.000,0.000000,0.020296,0.021847,0.000000,0.000000,0.000000,0.025641,0.005015,0.018227
0.000,0.026374,0.094964,0.092105,0.046154,0.046154,0.045421,0.133123,0.030090,0.131732
0.000,0.000000,0.024806,0.023088,0.000000,0.000000,0.000000,0.021426,0.004681,0.017813
0.000,0.030037,0.094212,0.089374,0.038828,0.041758,0.028571,0.129259,0.027416,0.131732
0.000,0.000000,0.013280,0.014151,0.000000,0.000000,0.000000,0.010889,0.005349,0.010771
0.000,0.058608,0.096968,0.088381,0.067155,0.080342,0.058608,0.138743,0.032765,0.132560
0.000,0.000000,0.013530,0.006951,0.000000,0.000000,0.000000,0.012294,0.006687,0.011599
0.000,0.073504,0.099223,0.088381,0.061538,0.067155,0.048840,0.139445,0.035440,0.130489
0.000,0.000000,0.006014,0.011917,0.000000,0.000000,0.000000,0.006674,0.004012,0.007457
0.000,0.071062,0.095715,0.091360,0.053480,0.054212,0.048107,0.129961,0.026078,0.131317
0.000,0.000000,0.016537,0.022095,0.000000,0.000000,0.000000,0.018967,0.004012,0.014913
0.000,0.064713,0.099223,0.089374,0.053724,0.075214,0.051038,0.136284,0.032765,0.132560
0.000,0.000000,0.014783,0.018371,0.000000,0.000000,0.000000,0.012996,0.004012,0.017399
0.000,0.061294,0.099474,0.090616,0.055433,0.055922,0.060806,0.138743,0.028753,0.130903
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.817118,1.000000
0.000,0.000000,0.364069,0.515392,0.000000,0.000000,0.000000,0.135230,0.016048,0.333057
0.000,0.096459,0.131045,0.273833,0.073504,0.070330,0.074481,0.146470,0.032096,0.141259
0.000,0.000000,0.078677,0.091857,0.000000,0.000244,0.000000,0.093783,0.022735,0.115162
0.000,1.000000,0.997995,1.000000,1.000000,1.000000,1.000000,0.978223,0.912738,0.934548
0.000,0.000000,0.399649,0.542949,0.000000,0.000000,0.000000,0.151739,0.028084,0.371582
0.000,0.033700,0.161363,0.312066,0.030037,0.068132,0.022222,0.135933,0.032765,0.141674
0.000,0.000000,0.102982,0.156157,0.000000,0.000000,0.000000,0.152792,0.035440,0.182270
0.000,0.000000,0.110248,0.132075,0.000244,0.000000,0.000000,0.161222,0.035440,0.161558
0.000,0.000000,0.108995,0.143992,0.000000,0.014408,0.000000,0.162979,0.028084,0.187241
0.000,0.403663,0.691807,0.831927,0.402442,0.399756,0.391697,0.641728,0.429957,0.778790
0.000,0.000000,0.437484,0.580933,0.000000,0.000000,0.000000,0.263084,0.066533,0.350870
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984545,1.000000,0.990886
0.000,0.000000,0.387622,0.515392,0.000000,0.000000,0.000000,0.156656,0.009361,0.357084
0.000,0.000000,0.400902,0.627855,0.002442,0.000000,0.000000,0.321391,0.032765,0.464374
0.000,0.000000,0.155600,0.438431,0.000000,0.000000,0.000000,0.248332,0.038783,0.210853
0.000,0.000000,0.129040,0.331678,0.000000,0.000000,0.000000,0.238497,0.039452,0.191384
0.000,0.000000,0.063393,0.132324,0.000000,0.000000,0.000000,0.097295,0.021063,0.083679
0.000,0.009035,0.076422,0.077706,0.010501,0.000000,0.000000,0.098700,0.021063,0.091135
0.000,0.000000,0.078426,0.092850,0.000000,0.000000,0.000000,0.107833,0.020060,0.109362
0.000,0.000000,0.120271,0.143992,0.000000,0.000000,0.000000,0.164735,0.026747,0.160729
0.000,0.000733,0.103733,0.133317,0.000000,0.000000,0.000000,0.141553,0.031762,0.158244
0.000,0.000000,0.116512,0.137786,0.000000,0.000000,0.000000,0.148929,0.024741,0.150787
0.000,0.000000,0.106991,0.135055,0.000000,0.000000,0.000977,0.147875,0.031762,0.164043
0.000,0.000000,0.126535,0.158143,0.000000,0.000000,0.000000,0.175975,0.032765,0.179370
0.000,0.000000,0.113004,0.151688,0.000000,0.000000,0.000000,0.167545,0.031762,0.183513
0.000,0.000000,0.126535,0.162860,0.000000,0.000000,0.000000,0.209694,0.030090,0.192212
0.000,0.000000,0.113004,0.157398,0.000000,0.000000,0.000000,0.171409,0.036777,0.189727
0.000,0.000000,0.126034,0.160874,0.000000,0.000000,0.000000,0.185107,0.027416,0.189727
