time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.891304,0.933333,0.000000,0.000000,0.000000,0.633838,0.523810,0.961373
0.000,0.000000,0.908696,0.945455,0.000000,0.000000,0.000000,0.714646,0.555556,0.974249
0.000,0.000000,0.895652,0.924242,0.000000,0.000000,0.000000,0.661616,0.825397,0.974249
0.000,0.000000,0.891304,0.927273,0.000000,0.000000,0.000000,0.719697,0.523810,0.961373
0.000,0.000000,0.895652,0.945455,0.000000,0.000000,0.000000,0.633838,0.492063,0.965665
0.000,0.000000,0.895652,0.951515,0.000000,0.000000,0.000000,0.717172,0.539683,0.982833
0.000,0.000000,0.869565,0.963636,0.000000,0.000000,0.000000,0.641414,0.507937,1.000000
0.000,0.000000,0.908696,0.927273,0.126582,0.000000,0.000000,0.709596,0.587302,0.961373
0.000,0.000000,0.895652,0.924242,0.000000,0.000000,0.000000,0.676768,0.492063,0.974249
0.000,0.000000,0.921739,0.878788,0.000000,0.000000,0.000000,0.702020,0.698413,0.965665
0.000,0.000000,0.869565,0.921212,0.000000,0.000000,0.000000,0.762626,0.825397,0.965665
0.000,0.000000,0.869565,0.927273,0.000000,0.000000,0.000000,0.717172,0.587302,0.961373
0.000,0.000000,0.878261,0.948485,0.000000,0.000000,0.000000,0.661616,0.523810,0.974249
0.000,0.000000,0.878261,0.927273,0.000000,0.000000,0.000000,0.717172,0.587302,0.974249
0.000,0.000000,0.891304,0.960606,0.000000,0.000000,0.000000,0.585859,0.777778,0.957082
0.000,0.000000,0.878261,0.927273,0.000000,0.000000,0.000000,0.646465,0.634921,0.969957
0.000,0.000000,0.904348,0.963636,0.000000,0.000000,0.000000,0.691919,0.904762,0.974249
0.000,0.000000,0.878261,0.927273,0.000000,0.000000,0.000000,0.732323,0.587302,0.982833
0.000,0.000000,0.891304,0.921212,0.000000,0.000000,0.000000,0.712121,0.746032,0.965665
0.000,0.000000,0.865217,0.945455,0.000000,0.000000,0.000000,0.744949,0.523810,0.982833
0.000,0.000000,0.904348,0.960606,0.000000,0.000000,0.000000,0.681818,0.714286,0.965665
0.000,0.000000,0.878261,0.921212,0.000000,0.000000,0.000000,0.712121,0.777778,0.965665
0.000,0.000000,0.904348,0.936364,0.000000,0.000000,0.000000,0.676768,0.539683,0.969957
0.000,0.004292,0.878261,0.927273,0.000000,0.000000,0.000000,0.691919,0.904762,0.974249
0.000,0.000000,0.904348,0.936364,0.000000,0.000000,0.000000,0.661616,0.587302,0.944206
0.000,0.000000,0.891304,0.921212,0.000000,0.000000,0.000000,0.704545,0.777778,0.961373
0.000,0.000000,0.891304,0.924242,0.000000,0.000000,0.000000,0.664141,0.841270,0.957082
0.000,0.000000,0.895652,0.927273,0.000000,0.000000,0.000000,0.704545,0.555556,0.961373
0.000,0.000000,0.956522,0.930303,0.000000,0.000000,0.000000,0.676768,0.523810,0.982833
0.000,0.000000,0.882609,0.921212,0.000000,0.000000,0.000000,0.633838,0.555556,0.961373
0.000,0.038627,0.895652,0.951515,0.000000,0.000000,0.000000,0.681818,0.793651,0.969957
0.000,0.000000,0.886957,0.942424,0.000000,0.000000,0.000000,0.810606,0.857143,0.961373
0.000,0.000000,0.895652,0.927273,0.000000,0.000000,0.000000,0.838384,0.603175,0.982833
0.000,0.012876,0.678261,0.657576,0.000000,0.000000,0.000000,0.863636,0.571429,0.596567
0.000,0.000000,0.886957,0.839394,0.000000,0.000000,0.000000,0.952020,0.619048,0.935622
0.000,0.000000,0.891304,0.909091,0.000000,0.000000,0.000000,1.000000,0.777778,0.969957
0.000,0.000000,0.852174,0.945455,0.000000,0.000000,0.000000,0.747475,0.492063,0.905579
0.000,0.000000,0.891304,0.909091,0.000000,0.000000,0.000000,0.737374,0.714286,0.931330
0.000,0.000000,0.739130,0.790909,0.000000,0.000000,0.000000,0.565657,0.428571,0.630901
0.000,0.145923,0.660870,0.630303,0.000000,0.029762,0.383966,0.489899,0.523810,0.545064
0.000,0.000000,0.869565,0.839394,0.000000,0.000000,0.000000,0.618687,0.793651,0.845494
0.000,0.000000,0.843478,0.896970,0.000000,0.000000,0.000000,0.893939,0.777778,0.961373
0.000,0.000000,0.834783,0.839394,0.000000,0.000000,0.000000,0.737374,0.587302,0.798283
0.000,0.000000,0.830435,0.866667,0.000000,0.000000,0.000000,0.747475,0.777778,0.922747
0.000,0.000000,0.882609,0.963636,0.000000,0.000000,0.000000,0.762626,0.587302,0.965665
0.000,0.000000,0.869565,0.896970,0.000000,0.000000,0.000000,0.777778,0.746032,0.862661
0.000,0.000000,0.917391,0.878788,0.000000,0.000000,0.000000,0.621212,0.714286,0.793991
0.000,0.150215,0.808696,0.800000,0.000000,0.244048,0.000000,0.621212,0.587302,0.725322
0.000,0.000000,0.891304,0.921212,0.000000,0.000000,0.000000,0.661616,0.682540,0.888412
0.000,0.068670,0.126087,0.133333,0.183544,0.053571,1.000000,0.252525,0.777778,0.081545
