time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.479150,0.572826,0.000000,0.000000,0.000000,0.261105,0.034734,0.456183
0.000,0.522589,0.509972,0.589810,0.447619,0.440293,0.446886,0.358826,0.046741,0.358722
0.000,0.000000,0.409738,0.545033,0.000000,0.000000,0.000000,0.250676,0.035592,0.403767
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.958671,0.942110,0.885340
0.000,0.000000,0.459984,0.572054,0.000000,0.000000,0.000000,0.272306,0.045026,0.429975
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.964079,0.886792,0.875512
0.000,0.000000,0.447293,0.573340,0.000000,0.000000,0.000000,0.276555,0.040738,0.429975
0.000,1.000000,0.978503,1.000000,1.000000,1.000000,1.000000,0.950946,0.852916,0.871007
0.000,0.000000,0.448329,0.574370,0.000000,0.000000,0.000000,0.283507,0.072470,0.433661
0.000,0.411477,0.317793,0.423314,0.412210,0.410501,0.404151,0.242565,0.045026,0.138821
0.000,0.000000,0.020461,0.051724,0.000000,0.000000,0.000000,0.022402,0.013293,0.029075
0.000,0.395849,0.140119,0.105764,0.403419,0.409524,0.381197,0.200850,0.049743,0.116298
0.000,0.000000,0.013986,0.008749,0.000000,0.000000,0.000000,0.026651,0.015866,0.030303
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.792186,0.984936,0.878216,0.974611
0.000,0.000000,0.463610,0.579002,0.000000,0.000000,0.000000,0.305910,0.069039,0.462735
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.800000,0.985709,0.911235,0.985258
0.000,0.000000,0.463610,0.585692,0.000000,0.000000,0.000000,0.315952,0.060034,0.463145
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.788278,0.984164,0.951544,0.967649
0.000,0.000000,0.489251,0.592898,0.000000,0.000000,0.000000,0.298571,0.056604,0.456593
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.783394,0.967555,0.883791,0.974611
0.000,0.000000,0.494431,0.588008,0.000000,0.000000,0.000000,0.302820,0.102487,0.493038
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.781441,0.979529,1.000000,0.959869
0.000,0.000000,0.489510,0.587751,0.000000,0.000000,0.000000,0.313635,0.063036,0.461916
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.774359,0.976439,0.940395,1.000000
0.000,0.000000,0.491582,0.587236,0.000000,0.000000,0.000000,0.299730,0.068182,0.486077
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.790965,0.985709,0.954117,0.968878
0.000,0.000000,0.491323,0.589552,0.000000,0.000000,0.000000,0.306296,0.072470,0.491400
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.767033,0.988026,0.907804,0.971335
0.000,0.000000,0.232841,0.367988,0.000000,0.000000,0.010012,0.143685,0.037307,0.131040
0.000,0.175824,0.455322,0.551209,0.214164,0.228571,0.166300,0.567401,0.515009,0.593776
0.000,0.000000,0.385651,0.511323,0.000000,0.000000,0.000000,0.204326,0.018010,0.287469
0.000,0.884982,1.000000,1.000000,1.000000,1.000000,0.856166,1.000000,0.990566,0.966421
0.000,0.000000,0.479927,0.570767,0.000000,0.000000,0.000000,0.230205,0.069468,0.389025
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.648352,0.998069,0.986278,0.970106
0.000,0.000000,0.393680,0.517756,0.000000,0.000000,0.154090,0.128235,0.011578,0.344799
0.000,0.004151,0.121730,0.250901,0.001954,0.000000,0.116972,0.161452,0.049743,0.136364
0.000,0.000000,0.103600,0.153628,0.000000,0.000000,0.050794,0.137505,0.045026,0.154791
0.000,1.000000,0.244755,0.230829,1.000000,1.000000,0.271551,0.531479,0.022727,0.114660
0.000,0.000000,0.048433,0.055584,0.000000,0.000000,0.086691,0.073774,0.032161,0.076577
0.000,1.000000,0.524476,0.477097,1.000000,1.000000,0.520635,0.851680,0.665094,0.585995
0.000,0.000000,0.462315,0.580546,0.000000,0.000000,0.194628,0.149865,0.073328,0.450450
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.605372,0.996524,0.979417,0.998362
0.000,0.000000,0.284641,0.467833,0.000000,0.000000,0.186813,0.169564,0.045883,0.299754
0.000,0.000000,0.147630,0.332218,0.000000,0.000000,0.165812,0.205871,0.046741,0.168714
0.000,0.000000,0.100233,0.226197,0.000000,0.001709,0.150916,0.160680,0.040309,0.160115
0.000,0.000488,0.110075,0.173443,0.000000,0.000000,0.162149,0.210120,0.042024,0.161343
0.000,0.000000,0.094535,0.137416,0.000000,0.000000,0.139438,0.158362,0.037307,0.144963
0.000,0.000000,0.105154,0.123006,0.000000,0.016361,0.136020,0.183855,0.051029,0.134316
0.000,0.000000,0.088319,0.109110,0.000000,0.000000,0.128205,0.139436,0.041595,0.126945
0.000,0.000000,0.108521,0.118116,0.000000,0.000000,0.137973,0.186559,0.045883,0.132269
0.000,0.000000,0.085988,0.106536,0.000000,0.000000,0.123810,0.134801,0.039022,0.126126
0.000,0.000000,0.105154,0.117859,0.000000,0.000977,0.138462,0.192739,0.041595,0.135135
0.000,0.000000,0.087801,0.100875,0.000000,0.000000,0.119170,0.137505,0.034305,0.122031
0.000,0.002198,0.104895,0.114256,0.000000,0.000000,0.137729,0.186945,0.040738,0.135954
0.000,0.001709,0.094535,0.109367,0.000000,0.000000,0.130159,0.148706,0.036878,0.135135
0.000,0.006105,0.108521,0.122491,0.000000,0.021978,0.143346,0.200850,0.040738,0.143325
0.000,0.000488,0.094017,0.114256,0.000000,0.000000,0.132112,0.156817,0.039451,0.137592
0.000,0.020269,0.107485,0.124035,0.000000,0.000000,0.146032,0.205871,0.042024,0.141687
0.000,0.000000,0.097643,0.118888,0.000000,0.000000,0.141880,0.171495,0.048456,0.151515
0.000,0.000000,0.109557,0.129954,0.000000,0.000000,0.158242,0.219776,0.042024,0.161343
