time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.072154,0.089647,0.000000,0.001221,0.000000,0.151628,0.082979,0.192771
0.000,0.000000,0.080856,0.086930,0.000000,0.000000,0.000000,0.150027,0.100000,0.166549
0.000,0.000000,0.063089,0.092967,0.000000,0.002930,0.000000,0.155900,0.065957,0.152374
0.000,0.000000,0.075054,0.087232,0.000000,0.005861,0.000000,0.167112,0.089362,0.156627
0.000,0.000000,0.021030,0.048898,0.000000,0.000000,0.000000,0.093967,0.035106,0.051736
0.000,0.067155,0.070703,0.059161,0.060806,0.062027,0.069109,0.135611,0.091489,0.133239
0.000,0.000000,0.057650,0.063990,0.000000,0.000000,0.000000,0.110518,0.075532,0.144578
0.000,0.010012,0.065627,0.072442,0.010501,0.000244,0.000000,0.124399,0.077660,0.132530
0.000,0.000000,0.030819,0.042258,0.000000,0.000000,0.000000,0.063534,0.037234,0.071580
0.000,0.003175,0.081581,0.102626,0.000000,0.000977,0.006105,0.176722,0.079787,0.191354
0.000,0.000977,0.051849,0.075460,0.000000,0.000000,0.000000,0.106247,0.065957,0.129695
0.000,0.000000,0.091008,0.111681,0.000000,0.000000,0.000000,0.224773,0.090426,0.234585
0.000,0.004396,0.082306,0.116511,0.000000,0.000000,0.000000,0.202349,0.093617,0.233168
0.000,0.000000,0.092458,0.123453,0.000000,0.006105,0.000000,0.209824,0.091489,0.234585
0.000,0.000000,0.085207,0.120133,0.000000,0.000000,0.000000,0.211959,0.095745,0.231042
0.000,0.003663,0.097534,0.126471,0.000000,0.000000,0.000000,0.230112,0.096809,0.231042
0.000,0.000000,0.030819,0.052219,0.000000,0.000000,0.000000,0.079552,0.034043,0.053154
0.000,0.146764,0.097534,0.060368,0.133089,0.131624,0.155067,0.151628,0.091489,0.127569
0.000,0.000000,0.023568,0.026864,0.107448,0.000000,0.013919,0.043246,0.028723,0.043940
0.000,0.115018,0.083031,0.059765,0.087179,0.081563,0.083272,0.128671,0.109574,0.131113
0.000,0.000000,0.016679,0.024751,0.000000,0.000000,0.000000,0.027763,0.031915,0.040397
0.000,0.085958,0.081581,0.060066,0.083028,0.077411,0.085958,0.134544,0.094681,0.126152
0.000,0.000000,0.021030,0.027769,0.000000,0.000000,0.000000,0.033636,0.034043,0.046067
0.000,0.107448,0.093909,0.065500,0.112088,0.079609,0.113553,0.150027,0.097872,0.130404
0.000,0.000000,0.013416,0.022940,0.000000,0.000000,0.000000,0.019754,0.019149,0.040397
0.000,0.130647,0.092458,0.062783,0.122833,0.130403,0.115507,0.145222,0.089362,0.128278
0.000,0.000000,0.015591,0.016601,0.000000,0.000000,0.000000,0.022958,0.020213,0.037562
0.000,0.280098,0.132342,0.085723,0.287179,0.305006,0.319902,0.227977,0.119149,0.138200
0.000,0.000000,0.010515,0.019318,0.000000,0.000000,0.000000,0.009076,0.019149,0.048901
0.000,0.169719,0.101160,0.063990,0.167277,0.174603,0.163370,0.163908,0.108511,0.126860
0.000,0.000000,0.012690,0.019318,0.000000,0.000000,0.000000,0.019754,0.025532,0.041106
0.000,0.154090,0.098260,0.066405,0.151648,0.143590,0.143346,0.160171,0.110638,0.129695
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000,0.011477,0.069253,0.057350,0.021490,0.034188,0.065446,0.114789,0.093617,0.133239
0.000,0.000000,0.063089,0.075460,0.000000,0.000000,0.000000,0.129738,0.076596,0.148122
0.000,0.028083,0.083031,0.083308,0.035165,0.031990,0.010989,0.179925,0.117021,0.145287
0.000,0.000000,0.083031,0.100513,0.000000,0.000000,0.023687,0.176722,0.079787,0.165840
0.000,0.166300,0.154822,0.140658,0.133089,0.153602,0.142369,0.258409,0.108511,0.163714
0.000,0.004151,0.084482,0.094476,0.000000,0.000000,0.026129,0.158035,0.106383,0.187810
