time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000511,0.096386,0.000000,0.000000,0.000000,0.179435,0.045639,0.151515
0.000,0.000000,0.009972,0.107386,0.000000,0.000000,0.000000,0.200328,0.040568,0.155526
0.000,0.000000,0.000000,0.097171,0.000000,0.000000,0.000000,0.183941,0.042596,0.151515
0.000,0.000000,0.008438,0.106338,0.000000,0.000000,0.000000,0.198689,0.037018,0.151961
0.000,0.000000,0.015086,0.107386,0.000000,0.000000,0.000000,0.179435,0.036511,0.151515
0.000,0.000000,0.028893,0.114720,0.000733,0.000000,0.000000,0.209340,0.038032,0.151515
0.000,0.000000,0.010228,0.098219,0.000000,0.000000,0.000000,0.188857,0.037525,0.150624
0.000,0.000000,0.016364,0.106600,0.000000,0.000000,0.000000,0.199918,0.046653,0.153298
0.000,0.000000,0.005369,0.096909,0.000000,0.000000,0.000000,0.175748,0.037018,0.152406
0.000,0.000000,0.011506,0.102672,0.000000,0.000000,0.000000,0.195412,0.048682,0.153298
0.000,0.000000,0.002813,0.093766,0.000000,0.000000,0.000000,0.183941,0.037018,0.154189
0.000,0.000000,0.010995,0.105815,0.000000,0.000000,0.000000,0.200737,0.052738,0.152852
0.000,0.009524,0.003835,0.100052,0.000000,0.000000,0.000000,0.184760,0.038032,0.151515
0.000,0.000000,0.012017,0.108958,0.000000,0.000000,0.000000,0.204015,0.050710,0.151070
0.000,0.000000,0.007159,0.099267,0.000000,0.000000,0.000000,0.185170,0.035497,0.151070
0.000,0.000000,0.012273,0.107124,0.000000,0.000000,0.000000,0.202786,0.039554,0.153298
0.000,0.000000,0.003580,0.096386,0.000000,0.000000,0.000000,0.181483,0.048682,0.151515
0.000,0.000000,0.012529,0.106862,0.000000,0.000000,0.000000,0.202786,0.038540,0.151070
0.000,0.000000,0.006904,0.097957,0.000000,0.000000,0.000000,0.183531,0.037018,0.152406
0.000,0.000000,0.020199,0.107648,0.000000,0.000000,0.000000,0.201966,0.038540,0.151961
0.000,0.000000,0.014574,0.103457,0.000000,0.000000,0.000000,0.177386,0.044625,0.151070
0.000,0.000000,0.031450,0.111577,0.000000,0.000000,0.000000,0.197870,0.043103,0.151961
0.000,0.000000,0.013552,0.100576,0.000000,0.000000,0.000000,0.176567,0.037525,0.153298
0.000,0.000000,0.023779,0.105029,0.000000,0.000000,0.000000,0.204424,0.046653,0.151070
0.000,0.000000,0.011250,0.098219,0.000000,0.000000,0.000000,0.179844,0.045132,0.151070
0.000,0.000000,0.021734,0.109743,0.000244,0.000000,0.001954,0.199508,0.038540,0.154635
0.000,0.000000,0.013552,0.100314,0.000000,0.000000,0.000000,0.181483,0.048682,0.151070
0.000,0.000000,0.016620,0.106338,0.000000,0.000000,0.000000,0.201966,0.047667,0.151961
0.000,0.000000,0.007926,0.099529,0.000000,0.000000,0.000000,0.183941,0.038540,0.151070
0.000,0.000000,0.015597,0.106338,0.000000,0.000000,0.000733,0.196231,0.038540,0.151070
0.000,0.000000,0.004858,0.097695,0.000000,0.000000,0.002442,0.180254,0.044625,0.151070
0.000,0.000000,0.014574,0.106600,0.000000,0.000000,0.002198,0.195821,0.043611,0.153298
0.000,0.000000,0.004347,0.100314,0.000000,0.000000,0.005128,0.183941,0.042596,0.149287
0.000,0.000000,0.009205,0.106076,0.000000,0.000000,0.000000,0.197870,0.037525,0.153298
0.000,0.000000,0.008949,0.095076,0.000000,0.000000,0.002930,0.183941,0.037018,0.151961
0.000,0.000000,0.074406,0.097957,0.000000,0.000000,0.008059,0.183122,0.045132,0.116756
0.000,0.000000,0.036564,0.071241,0.000000,0.000000,0.000000,0.138058,0.024848,0.061943
0.000,1.000000,0.937100,1.000000,1.000000,1.000000,1.000000,0.967636,0.845842,0.949198
0.000,0.000000,0.392994,0.558146,0.000000,0.000000,0.178510,0.205653,0.029919,0.442068
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.891481,0.928253
0.000,0.000000,0.375096,0.544526,0.000000,0.000000,0.000000,0.292093,0.037525,0.431373
0.000,1.000000,0.964971,1.000000,1.000000,1.000000,1.000000,0.988939,0.942191,0.917558
0.000,0.000000,0.349527,0.542431,0.000000,0.000000,0.000000,0.199918,0.034483,0.458111
0.000,0.666911,0.549476,0.704034,0.635165,0.630769,0.615385,0.594429,0.133874,0.537433
0.000,0.000000,0.068780,0.273442,0.000000,0.000000,0.004151,0.196231,0.032961,0.112299
0.000,0.432723,0.349527,0.461498,0.408303,0.392430,0.395849,0.232692,0.051724,0.261141
0.000,0.000000,0.358732,0.549502,0.000000,0.003907,0.000000,0.177796,0.022312,0.445187
0.000,1.000000,0.969317,1.000000,1.000000,1.000000,1.000000,0.959033,0.838742,0.869875
0.000,0.000000,0.299412,0.512048,0.000000,0.000000,0.000000,0.118804,0.006085,0.326203
0.000,1.000000,0.954232,1.000000,1.000000,1.000000,1.000000,0.941008,0.856998,0.924242
0.000,0.000000,0.383789,0.551598,0.000000,0.000000,0.000000,0.164277,0.032961,0.463904
0.000,1.000000,0.997954,1.000000,1.000000,1.000000,1.000000,0.933224,0.834686,0.919786
0.000,0.000000,0.400665,0.553955,0.000000,0.000000,0.001221,0.343302,0.029412,0.460784
0.000,1.000000,0.998466,1.000000,1.000000,1.000000,1.000000,0.940188,0.832657,0.955882
0.000,0.000000,0.399898,0.543216,0.000000,0.000000,0.000000,0.189676,0.022312,0.471925
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.933634,0.828093,0.919340
0.000,0.000000,0.063667,0.277894,0.000000,0.005861,0.000000,0.020074,0.007099,0.016488
0.000,0.353602,0.170545,0.137507,0.361416,0.353358,0.365568,0.224088,0.049189,0.105615
0.000,0.000000,0.197136,0.254322,0.000000,0.000000,0.000000,0.158542,0.005071,0.231283
0.000,1.000000,0.987216,1.000000,1.000000,1.000000,1.000000,0.921344,0.799189,0.902406
0.000,0.000000,0.400920,0.558931,0.000000,0.000000,0.000000,0.181483,0.015213,0.456328
0.000,1.000000,0.952442,1.000000,1.000000,1.000000,0.988278,0.921753,0.767748,0.886809
0.000,0.000000,0.397341,0.552122,0.000000,0.000000,0.000000,0.156903,0.013185,0.432709
0.000,1.000000,0.981846,1.000000,1.000000,1.000000,1.000000,0.912331,0.780933,0.892157
0.000,0.000488,0.423421,0.666841,0.000000,0.000000,0.000000,0.315854,0.065416,0.570856
0.000,1.000000,0.686014,0.839183,0.990720,0.979487,0.896947,0.836133,0.765720,0.724599
0.000,0.000000,0.024546,0.163960,0.000000,0.000000,0.000000,0.009013,0.006085,0.000000
0.000,0.310379,0.148555,0.101100,0.330159,0.333822,0.336996,0.237198,0.051217,0.111408
0.000,0.000000,0.095372,0.195652,0.000000,0.000000,0.044689,0.089717,0.018256,0.118984
0.000,0.139927,0.102020,0.070456,0.131624,0.120147,0.121856,0.151987,0.046653,0.101159
0.000,0.000000,0.036819,0.016239,0.000000,0.000000,0.000000,0.051618,0.012170,0.020499
0.000,1.000000,0.504219,0.390781,1.000000,1.000000,1.000000,0.759525,0.492901,0.459002
0.000,0.000000,0.403222,0.546883,0.000000,0.000000,0.000000,0.181483,0.022312,0.452763
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.941827,0.851927,0.962121
0.000,0.000000,0.405012,0.557884,0.000000,0.000000,0.000000,0.185580,0.027383,0.463458
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.959853,0.939148,0.928253
0.000,0.000000,0.418052,0.551074,0.000000,0.000000,0.000000,0.175748,0.053245,0.455882
0.000,1.000000,0.999233,1.000000,1.000000,1.000000,1.000000,0.975420,0.952333,0.933601
0.000,0.000000,0.431603,0.567837,0.000000,0.000000,0.000000,0.179844,0.062880,0.507576
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.990476,0.970504,0.902130,0.939394
0.000,0.000000,0.402199,0.567313,0.000000,0.000000,0.000000,0.205244,0.044625,0.481283
0.000,1.000000,0.986193,1.000000,1.000000,1.000000,1.000000,0.951659,0.934584,0.915330
0.045,0.000000,0.368448,0.552645,0.000000,0.000000,0.000000,0.161819,0.028905,0.433601
0.095,1.000000,0.994631,1.000000,0.981441,1.000000,1.000000,0.947562,0.850406,0.926471
0.145,0.000000,0.418563,0.556312,0.000000,0.000000,0.000000,0.194592,0.026369,0.452763
0.195,1.000000,0.995398,1.000000,1.000000,1.000000,1.000000,0.955756,0.868154,0.927362
0.245,0.000000,0.412938,0.550026,0.033700,0.000000,0.000000,0.165096,0.046653,0.442068
0.295,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.961491,0.863083,0.924688
0.345,0.000000,0.394017,0.552645,0.000000,0.000000,0.000000,0.156903,0.024848,0.446970
0.395,1.000000,0.989005,1.000000,1.000000,1.000000,1.000000,0.945104,0.862069,0.959002
0.445,0.000000,0.402710,0.549502,0.000000,0.000000,0.000000,0.155264,0.017241,0.463458
0.495,1.000000,1.000000,1.000000,1.000000,0.952625,1.000000,0.919295,0.872211,0.947415
0.545,0.000000,0.418052,0.556312,0.000000,0.000000,0.000000,0.177796,0.035497,0.491087
0.595,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960672,0.892495,0.972371
0.645,0.000000,0.418052,0.555003,0.000000,0.000000,0.000000,0.170832,0.021298,0.442959
0.695,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.924621,0.890467,0.933155
0.745,0.000000,0.416262,0.555788,0.000000,0.000000,0.000000,0.183122,0.024848,0.485294
0.795,1.000000,1.000000,1.000000,0.971673,1.000000,1.000000,0.975420,0.912779,1.000000
0.845,0.000000,0.425467,0.563646,0.000000,0.000000,0.000000,0.184760,0.028905,0.492870
0.895,1.000000,0.996932,1.000000,1.000000,1.000000,1.000000,0.943056,0.850913,0.857843
0.945,0.000000,0.401688,0.548455,0.000000,0.000000,0.000000,0.151168,0.011156,0.418449
0.995,1.000000,1.000000,1.000000,1.000000,1.000000,0.857387,0.943466,0.866126,0.922460
1.045,0.000000,0.417029,0.554741,0.000000,0.000000,0.000000,0.184760,0.025355,0.448307
1.095,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.942646,0.844320,0.954991
1.145,0.000000,0.408080,0.557884,0.000000,0.000000,0.021978,0.174109,0.028905,0.481283
1.195,1.000000,0.999233,1.000000,1.000000,1.000000,1.000000,0.933634,0.909229,0.922906
1.245,0.000000,0.422143,0.563122,0.000000,0.000000,0.017338,0.229005,0.031440,0.460784
1.295,1.000000,0.992329,1.000000,1.000000,0.875946,1.000000,0.989349,0.871704,0.909537
1.345,0.000000,0.422143,0.563122,0.000000,0.000000,0.000000,0.220401,0.057809,0.492870
1.395,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.957395,1.000000,0.953654
1.445,0.000000,0.433393,0.567575,0.000000,0.029060,0.000000,0.235969,0.085700,0.395722
