time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.110266,0.278617,0.000000,0.000000,0.000000,0.213464,0.024444,0.175342
0.000,0.000000,0.082021,0.107810,0.000000,0.000000,0.000000,0.162761,0.038889,0.136986
0.000,0.000000,0.060837,0.169526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000,0.304029,0.132537,0.100384,0.265690,0.278144,0.263317,0.253941,0.027778,0.134703
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010553,0.026843,0.008889,0.010046
0.000,0.110134,0.443509,0.534699,0.098657,0.090598,0.292965,0.443119,0.305556,0.572146
0.000,0.000000,0.015209,0.103457,0.000000,0.000000,0.040955,0.076694,0.011667,0.030137
0.000,0.000000,0.083922,0.082971,0.000000,0.000000,0.000000,0.169578,0.032778,0.142466
0.000,0.000000,0.053504,0.066069,0.000000,0.000000,0.005276,0.143161,0.025000,0.094064
0.000,0.023932,0.116241,0.119846,0.029792,0.029548,0.131407,0.236046,0.037778,0.169863
0.000,0.000000,0.093427,0.103969,0.000000,0.000000,0.119849,0.194291,0.030556,0.164840
0.000,0.000488,0.096958,0.099360,0.000000,0.000000,0.114322,0.200682,0.030000,0.148402
0.000,0.000000,0.068169,0.084763,0.000000,0.000000,0.098744,0.170004,0.022222,0.119635
0.000,0.000488,0.096687,0.099872,0.009768,0.000488,0.091457,0.200256,0.029444,0.149315
0.000,0.000000,0.083650,0.107554,0.000977,0.000000,0.000000,0.201960,0.027778,0.147032
0.000,0.001709,0.111081,0.122919,0.000000,0.032479,0.005025,0.230933,0.030000,0.165297
0.000,0.000000,0.040196,0.053265,0.000000,0.000000,0.000000,0.118449,0.018889,0.064384
0.000,0.000000,0.106464,0.116005,0.000000,0.000000,0.127387,0.222838,0.029444,0.165753
0.000,0.000000,0.094514,0.115237,0.001465,0.000000,0.121608,0.227524,0.026667,0.159361
0.000,0.000000,0.118685,0.149296,0.000000,0.000000,0.159799,0.270132,0.032222,0.196347
0.000,0.000488,0.102118,0.138540,0.000000,0.000000,0.150503,0.252237,0.033889,0.194521
0.000,0.000000,0.121130,0.152625,0.000000,0.000000,0.163065,0.277801,0.031667,0.194521
0.000,0.000000,0.062466,0.083995,0.000000,0.000000,0.089196,0.167448,0.027778,0.099543
0.000,0.000000,0.118957,0.142638,0.000000,0.001709,0.151508,0.263741,0.030000,0.188128
0.000,0.000000,0.099402,0.134187,0.000000,0.000000,0.136935,0.236046,0.032222,0.175799
0.000,0.052503,0.092884,0.089373,0.037851,0.042002,0.102261,0.199830,0.027778,0.136986
0.000,0.010012,0.064096,0.074008,0.000000,0.000000,0.089447,0.161057,0.021111,0.102283
0.000,0.000000,0.119500,0.137260,0.001709,0.000000,0.152764,0.251385,0.030000,0.190411
