time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.090909,0.839623,0.808081,0.687500,0.000000,0.500000,0.774194,0.297297,0.698113
0.000,0.000000,0.198113,0.393939,0.000000,0.117647,0.000000,0.333333,0.243243,0.547170
0.000,0.000000,0.792453,0.898990,0.000000,0.000000,0.000000,0.677419,0.162162,0.886792
0.000,0.064516,0.245283,0.454545,0.104167,0.096257,0.000000,0.505376,0.783784,0.698113
0.000,0.000000,0.792453,0.797980,0.000000,0.000000,0.071429,0.720430,0.270270,0.792453
0.000,0.046921,0.301887,0.515152,0.000000,0.005348,0.000000,0.602151,0.243243,0.716981
0.000,0.061584,0.849057,0.838384,0.000000,0.133690,0.178571,0.838710,0.567568,0.660377
0.000,0.000000,0.245283,0.434343,0.000000,0.000000,0.000000,0.483871,0.756757,0.754717
0.000,0.000000,0.754717,0.828283,0.000000,0.000000,0.000000,0.913978,0.486486,0.754717
0.000,0.149560,0.283019,0.444444,0.104167,0.048128,0.000000,0.440860,0.675676,0.716981
0.000,0.000000,0.820755,0.797980,0.000000,0.112299,0.803571,0.741935,0.243243,0.792453
0.000,0.000000,0.132075,0.353535,0.000000,0.000000,0.250000,0.311828,0.405405,0.433962
0.000,0.000000,0.886792,0.848485,0.375000,0.000000,0.160714,0.677419,0.216216,0.830189
0.000,0.026393,0.179245,0.404040,0.000000,0.000000,0.214286,0.311828,0.621622,0.471698
0.000,0.000000,0.811321,0.898990,0.000000,0.000000,0.035714,0.935484,0.162162,1.000000
0.000,0.073314,0.283019,0.404040,0.395833,0.069519,0.428571,0.419355,0.189189,0.547170
0.000,1.000000,0.754717,0.777778,0.000000,0.000000,0.285714,0.612903,0.351351,0.509434
0.000,0.000000,0.226415,0.393939,0.395833,0.000000,0.000000,0.440860,0.810811,0.490566
0.000,0.070381,0.867925,0.959596,0.000000,0.010695,0.000000,0.849462,0.189189,0.943396
0.000,0.161290,0.169811,0.454545,0.000000,0.000000,0.303571,0.387097,0.405405,0.716981
0.000,0.000000,0.801887,0.929293,0.354167,0.000000,0.000000,0.795699,0.189189,0.867925
0.000,0.000000,0.150943,0.474747,0.000000,0.139037,0.000000,0.397849,0.351351,0.735849
0.000,0.000000,0.792453,0.818182,0.166667,0.000000,0.035714,0.827957,0.243243,0.849057
0.000,0.140762,0.264151,0.383838,0.416667,0.000000,0.000000,0.408602,0.351351,0.641509
0.000,0.000000,0.830189,0.808081,0.125000,0.000000,0.035714,0.677419,0.486486,0.698113
0.000,0.000000,0.150943,0.474747,0.000000,0.598930,0.000000,0.430108,0.297297,0.716981
0.000,0.167155,0.830189,0.878788,0.000000,0.090909,0.000000,0.752688,0.162162,0.754717
0.000,0.000000,0.301887,0.474747,0.000000,0.053476,0.000000,0.301075,0.675676,0.452830
0.000,0.000000,0.773585,0.797980,0.000000,0.000000,0.196429,0.655914,0.000000,0.641509
0.000,0.058651,0.216981,0.373737,0.187500,0.048128,0.000000,0.225806,0.351351,0.452830
0.000,0.000000,0.820755,0.888889,0.000000,0.000000,0.000000,0.677419,0.243243,0.679245
0.000,0.046921,0.216981,0.515152,0.104167,0.000000,0.375000,0.430108,0.243243,0.679245
0.000,0.000000,0.783019,0.818182,0.000000,0.000000,0.000000,0.806452,0.297297,0.886792
