time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.014171,0.011375,0.000000,0.000000,0.001221,0.043194,0.006585,0.011029
0.000,0.010501,0.081283,0.078594,0.037118,0.000000,0.006349,0.164485,0.014047,0.110754
0.000,0.000000,0.026203,0.029990,0.010012,0.005372,0.000000,0.068935,0.009219,0.034926
0.000,0.000977,0.077005,0.067218,0.008059,0.008791,0.002686,0.153578,0.020632,0.103860
0.000,0.000244,0.021925,0.022751,0.000000,0.000000,0.000000,0.059337,0.010536,0.026195
0.000,0.001709,0.075936,0.067994,0.000977,0.010501,0.004640,0.147033,0.007463,0.104320
0.000,0.000000,0.026203,0.023009,0.000000,0.000000,0.000000,0.063700,0.011414,0.028033
0.000,0.014164,0.075936,0.067477,0.018315,0.001954,0.006349,0.150960,0.014925,0.102022
0.000,0.000000,0.013636,0.010858,0.001954,0.000000,0.000000,0.028796,0.002195,0.014246
0.000,0.010745,0.074866,0.066701,0.012210,0.003907,0.005128,0.154450,0.012730,0.103860
0.000,0.005861,0.025134,0.021717,0.003907,0.000000,0.000000,0.055846,0.005707,0.027114
0.000,0.015629,0.078075,0.066443,0.018315,0.012943,0.000000,0.153578,0.014486,0.102941
0.000,0.000000,0.021390,0.019648,0.000000,0.000244,0.005861,0.059773,0.005707,0.026654
0.000,0.006105,0.076471,0.067218,0.010501,0.000000,0.029548,0.150087,0.013169,0.103401
0.000,0.000000,0.033155,0.036711,0.000000,0.000000,0.000000,0.082024,0.001317,0.039982
0.000,0.010501,0.082086,0.076525,0.007570,0.013919,0.000000,0.167103,0.014486,0.110754
0.000,0.000000,0.038503,0.040331,0.000000,0.000000,0.000000,0.075916,0.007902,0.044118
0.000,0.005861,0.076738,0.074974,0.004884,0.005372,0.000000,0.167103,0.012730,0.105239
0.000,0.000000,0.030214,0.026887,0.000000,0.000000,0.000000,0.061955,0.007902,0.031250
0.000,0.000000,0.080214,0.073423,0.013919,0.006105,0.004884,0.160122,0.017120,0.107996
0.000,0.000000,0.029412,0.031541,0.000000,0.000000,0.016850,0.062391,0.008341,0.035386
0.000,0.004640,0.082888,0.075750,0.022466,0.010989,0.014652,0.167539,0.011414,0.105699
0.000,0.000000,0.025134,0.025078,0.000000,0.000000,0.000000,0.058901,0.007463,0.023438
0.000,0.019048,0.075936,0.063340,0.028571,0.015629,0.010989,0.146161,0.014486,0.101562
0.000,0.000000,0.003743,0.000000,0.000000,0.000000,0.004151,0.027051,0.007902,0.002757
0.000,0.058608,0.076738,0.059721,0.042247,0.030281,0.029060,0.146161,0.009219,0.096967
0.000,0.000000,0.021390,0.021975,0.002686,0.000000,0.000000,0.032286,0.004390,0.025735
0.000,0.000000,0.078610,0.071872,0.027350,0.013431,0.005861,0.155759,0.019754,0.104779
0.000,0.000000,0.021658,0.020165,0.000000,0.000000,0.000000,0.052356,0.006146,0.022059
0.000,0.009524,0.081016,0.076784,0.001954,0.004640,0.000000,0.163613,0.021510,0.108915
0.000,0.000000,0.025668,0.028438,0.000000,0.009768,0.000000,0.069372,0.006585,0.026195
0.000,0.012943,0.077005,0.069286,0.009524,0.003907,0.011233,0.155323,0.013169,0.102482
0.000,0.000000,0.011765,0.017063,0.003907,0.000000,0.006593,0.044939,0.005707,0.014246
0.000,0.010745,0.082086,0.078335,0.015873,0.006838,0.009768,0.171902,0.012730,0.104779
0.000,0.000000,0.009358,0.010341,0.000000,0.000000,0.000000,0.036649,0.007463,0.003676
0.000,0.025153,0.074332,0.063082,0.023443,0.017582,0.058608,0.150960,0.009658,0.097886
0.000,0.010012,0.060160,0.069286,0.000000,0.000000,0.000000,0.113438,0.013608,0.086857
