time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,1.000000,0.446645,0.402683,1.000000,1.000000,1.000000,0.898153,0.657272,0.568584
0.000,0.000000,0.594738,0.655251,0.000000,0.016606,0.000000,0.315040,0.316558,0.723451
0.000,0.000000,0.444576,0.518550,0.000000,0.000000,0.000000,0.154617,0.021137,0.376106
0.000,0.000000,0.435708,0.524543,0.000000,0.000000,0.000000,0.191557,0.005536,0.380531
0.000,0.000000,0.183565,0.336473,0.000000,0.000000,0.000000,0.142480,0.031203,0.126106
0.000,0.000000,0.046409,0.174372,0.011722,0.002930,0.007082,0.052770,0.000000,0.027102
0.000,1.000000,0.398463,0.391267,1.000000,1.000000,1.000000,0.834301,0.557121,0.487832
0.000,0.000000,0.613952,0.666096,0.000000,0.000000,0.000000,0.351979,0.238047,0.689159
0.000,1.000000,0.888856,0.962329,1.000000,1.000000,1.000000,0.948813,0.533971,0.834624
0.000,0.000000,0.622524,0.664954,0.000000,0.000000,0.000000,0.351451,0.250126,0.699115
0.000,1.000000,0.888856,0.970320,1.000000,1.000000,1.000000,0.976253,0.534474,0.856748
0.000,0.000000,0.606858,0.668094,0.000000,0.000000,0.000977,0.353562,0.235028,0.765487
0.000,1.000000,0.840674,0.915811,1.000000,1.000000,1.000000,0.901319,0.470055,0.803650
0.000,0.000000,0.617499,0.665811,0.000000,0.000000,0.000000,0.352507,0.240060,0.717367
0.000,0.911844,0.790127,0.853311,1.000000,1.000000,1.000000,0.834301,0.399094,0.681416
0.000,0.000000,0.616317,0.668379,0.000000,0.000000,0.000000,0.358839,0.272773,0.779314
0.000,1.000000,0.798995,0.861301,1.000000,1.000000,1.000000,0.855409,0.419225,0.597898
0.000,0.000000,0.611292,0.675228,0.000000,0.000000,0.000000,0.356201,0.291394,0.733407
0.000,1.000000,0.789536,0.843322,1.000000,1.000000,1.000000,0.839050,0.383996,0.610619
0.000,0.021245,0.619273,0.671233,0.000000,0.000000,0.000000,0.371504,0.292904,0.722345
0.000,1.000000,0.767071,0.813642,1.000000,1.000000,1.000000,0.808443,0.341218,0.648783
0.000,0.000000,0.614543,0.677226,0.000000,0.000000,0.000000,0.382058,0.454454,0.739491
0.000,1.000000,0.749631,0.803653,1.000000,1.000000,1.000000,0.775726,0.310518,0.620022
0.000,0.000000,0.626367,0.684646,0.000000,0.000000,0.000000,0.382058,0.308505,0.794801
0.000,1.000000,0.747857,0.771404,1.000000,1.000000,1.000000,0.752507,0.274786,0.632743
