time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.038339,0.077690,0.070567,0.032967,0.030769,0.119902,0.153623,0.034918,0.117552
0.000,0.000000,0.035696,0.037513,0.000000,0.000000,0.084005,0.074948,0.014064,0.056763
0.000,0.006593,0.084777,0.081847,0.021490,0.011966,0.130891,0.174741,0.034433,0.134863
0.000,0.000000,0.041995,0.045383,0.000000,0.000000,0.093040,0.092754,0.023278,0.073671
0.000,0.015385,0.090551,0.096275,0.016850,0.016606,0.138706,0.192133,0.035403,0.147746
0.000,0.000000,0.074016,0.088667,0.000000,0.000000,0.128694,0.148240,0.031038,0.132850
0.000,0.012698,0.090814,0.102046,0.010012,0.005372,0.142857,0.200414,0.036372,0.147343
0.000,0.000000,0.060367,0.075026,0.000000,0.000000,0.112576,0.129607,0.026673,0.104267
0.000,0.020269,0.084514,0.090766,0.020269,0.023443,0.129182,0.179710,0.034433,0.128019
0.000,0.000000,0.063517,0.074502,0.000000,0.000000,0.117216,0.127950,0.026188,0.111111
0.000,0.024664,0.090814,0.099948,0.022222,0.013919,0.141880,0.205383,0.034918,0.140902
0.000,0.000000,0.075591,0.091815,0.000000,0.003907,0.127961,0.178054,0.029583,0.133253
0.000,0.005128,0.091864,0.105456,0.006349,0.002686,0.139927,0.198758,0.033463,0.144525
0.000,0.000000,0.074278,0.087093,0.000000,0.000000,0.126984,0.153209,0.029583,0.130837
0.000,0.015385,0.091339,0.104669,0.011722,0.004640,0.143590,0.192133,0.034918,0.145733
0.000,0.000000,0.070079,0.091815,0.000000,0.000000,0.129670,0.149896,0.031523,0.131240
0.000,0.019780,0.088189,0.104145,0.021245,0.013431,0.143590,0.200414,0.033463,0.146538
0.000,0.000000,0.079265,0.097849,0.000000,0.001221,0.136264,0.174327,0.037342,0.146940
0.000,0.000244,0.092388,0.108342,0.008547,0.000000,0.148718,0.206211,0.043162,0.153382
0.000,0.000000,0.080840,0.102046,0.000000,0.000000,0.138462,0.173913,0.042192,0.151771
0.000,0.006105,0.092126,0.111752,0.000000,0.003907,0.139927,0.207453,0.035403,0.154187
0.000,0.000000,0.080840,0.100210,0.000000,0.000000,0.136752,0.171429,0.041222,0.146940
0.000,0.007326,0.091339,0.109391,0.002442,0.000244,0.144811,0.205383,0.042677,0.152576
0.000,0.000000,0.060892,0.076863,0.000000,0.000000,0.114530,0.135818,0.024733,0.107488
0.000,0.023443,0.087139,0.093914,0.017827,0.021734,0.134066,0.189648,0.047042,0.131643
0.000,0.000000,0.059580,0.071878,0.000000,0.000000,0.108669,0.124638,0.028128,0.106683
0.000,0.005617,0.085827,0.093389,0.000000,0.008791,0.132112,0.184679,0.035403,0.137681
0.000,0.000000,0.074016,0.088143,0.000000,0.000000,0.126252,0.151139,0.036372,0.130032
0.000,0.016850,0.088189,0.096800,0.017338,0.008547,0.136020,0.195445,0.046557,0.136876
0.000,0.000000,0.065879,0.079486,0.000000,0.000000,0.116484,0.139130,0.031038,0.113929
0.000,0.024176,0.090289,0.097062,0.020024,0.016117,0.135043,0.198344,0.035403,0.137279
0.000,0.000000,0.066142,0.078699,0.000000,0.000000,0.118193,0.133333,0.027643,0.113929
0.000,0.027350,0.089239,0.092340,0.025153,0.015629,0.134066,0.174741,0.034433,0.134461
0.000,0.000000,0.071391,0.086569,0.000000,0.000000,0.126740,0.147412,0.028613,0.134863
