time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.590241,0.613683,0.000000,0.000000,0.000000,0.194681,0.230675,0.643891
0.000,1.000000,0.959024,1.000000,1.000000,1.000000,1.000000,1.000000,0.763804,0.879560
0.000,0.000000,0.599937,0.615721,0.000000,0.000000,0.000000,0.196277,0.223926,0.701216
0.000,1.000000,0.908977,0.951383,1.000000,1.000000,1.000000,0.951596,0.714724,0.862189
0.000,0.000000,0.604942,0.613683,0.000000,0.000000,0.000000,0.206383,0.263190,0.711639
0.000,1.000000,0.903347,0.934789,1.000000,1.000000,1.000000,0.946277,0.682822,0.799653
0.000,0.000000,0.604004,0.621543,0.000000,0.000000,0.000000,0.200000,0.201227,0.658946
0.000,1.000000,0.879887,0.897234,1.000000,1.000000,1.000000,0.940957,0.655215,0.778228
0.000,0.000000,0.606193,0.622125,0.000000,0.000000,0.000000,0.222340,0.260736,0.661841
0.000,1.000000,0.863935,0.895197,1.000000,1.000000,1.000000,0.934574,0.658282,0.806601
0.000,0.000000,0.612449,0.620961,0.000000,0.000000,0.000000,0.217553,0.217791,0.725536
0.000,1.000000,0.845167,0.853566,1.000000,1.000000,1.000000,0.900000,0.603681,0.728431
0.000,0.000000,0.609321,0.620961,0.000000,0.000000,0.000000,0.218085,0.275460,0.669369
0.000,1.000000,0.829528,0.850073,1.000000,1.000000,1.000000,0.900000,0.577301,0.713955
0.000,0.000000,0.614952,0.625619,0.000000,0.000000,0.000000,0.229255,0.228834,0.678633
0.000,1.000000,0.812637,0.836099,1.000000,1.000000,1.000000,0.882979,0.549080,0.700058
0.000,0.000000,0.619331,0.635808,0.000000,0.000000,0.000000,0.243617,0.284663,0.742907
0.000,1.000000,0.789490,0.810480,1.000000,1.000000,1.000000,0.857447,0.511656,0.656051
0.000,0.000000,0.616828,0.636099,0.000000,0.000000,0.000000,0.231383,0.304294,0.691951
0.000,1.000000,0.795746,0.805240,1.000000,1.000000,1.000000,0.851596,0.513497,0.652577
0.000,0.000000,0.622459,0.633479,0.000000,0.000000,0.000000,0.223404,0.254601,0.701216
0.000,1.000000,0.777604,0.792722,1.000000,1.000000,1.000000,0.832447,0.468712,0.662999
0.000,0.000000,0.622771,0.641921,0.000000,0.000000,0.000000,0.237234,0.323926,0.746381
0.000,1.000000,0.763841,0.774672,1.000000,1.000000,1.000000,0.812234,0.453988,0.636943
0.000,0.000000,0.618705,0.642213,0.000000,0.000000,0.000000,0.248936,0.331288,0.764910
0.000,1.000000,0.755083,0.770015,1.000000,1.000000,1.000000,0.803191,0.429448,0.587724
0.000,0.001709,0.624961,0.641339,0.000000,0.000000,0.000000,0.257447,0.336810,0.708164
0.000,1.000000,0.743822,0.751965,1.000000,1.000000,1.000000,0.788298,0.404294,0.606254
0.000,0.000000,0.615890,0.644250,0.000000,0.000000,0.000000,0.254255,0.284049,0.724378
0.000,1.000000,0.724429,0.716448,1.000000,1.000000,1.000000,0.764894,0.374847,0.536769
0.000,0.000000,0.624961,0.631732,0.000000,0.000000,0.000000,0.262766,0.288957,0.726694
0.000,1.000000,0.706600,0.701892,1.000000,1.000000,1.000000,0.764362,0.353988,0.500869
0.000,0.000000,0.629340,0.645997,0.000000,0.000000,0.000000,0.280851,0.297546,0.729589
0.000,1.000000,0.703159,0.708006,1.000000,1.000000,1.000000,0.739362,0.323926,0.502606
0.000,0.000000,0.629653,0.645415,0.000000,0.000000,0.000000,0.255319,0.371166,0.734800
0.000,1.000000,0.691273,0.696070,1.000000,1.000000,1.000000,0.710638,0.299387,0.528662
0.000,0.000000,0.641226,0.648617,0.000000,0.000000,0.247131,0.311702,0.333129,0.815287
0.000,1.000000,0.724429,0.730131,1.000000,1.000000,0.410012,0.723404,0.337423,0.598726
0.000,0.000000,0.639662,0.654148,0.000000,0.000000,0.249817,0.320213,0.412270,0.763173
0.000,1.000000,0.659681,0.652984,1.000000,1.000000,1.000000,0.673404,0.236196,0.398958
0.000,0.000000,0.631842,0.651820,0.000000,0.000000,0.000000,0.296809,0.387117,0.789230
0.000,1.000000,0.691273,0.703639,1.000000,1.000000,0.397070,0.710638,0.275460,0.522872
