time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.132497,0.092391,0.091180,0.085577,0.090685,0.004000,0.238791,0.206897,0.145485
0.000,0.000000,0.076993,0.080387,0.000000,0.000000,0.024000,0.161793,0.152709,0.160535
0.000,0.000000,0.095109,0.105694,0.000000,0.000000,0.000000,0.278752,0.221675,0.204013
0.000,0.000000,0.098732,0.107555,0.000000,0.000000,0.000000,0.231969,0.206897,0.192308
0.000,0.000000,0.105978,0.122814,0.000000,0.000000,0.000000,0.320663,0.295567,0.219064
0.000,0.000000,0.114583,0.131745,0.000000,0.000000,0.000000,0.297271,0.187192,0.222408
0.000,0.000000,0.110507,0.128024,0.000000,0.000493,0.000000,0.330409,0.216749,0.221572
0.000,0.000000,0.115036,0.131745,0.000000,0.000000,0.000000,0.311891,0.206897,0.224080
0.000,0.594142,0.099638,0.070711,0.604327,0.615081,0.616500,0.334308,0.344828,0.070234
0.000,0.000000,0.034420,0.030517,0.000000,0.000000,0.005000,0.017544,0.014778,0.096154
0.000,0.534635,0.084239,0.058057,0.554808,0.562346,0.555500,0.294347,0.339901,0.077759
0.000,0.000000,0.031250,0.030517,0.000000,0.000000,0.094500,0.035088,0.039409,0.100334
0.000,0.469084,0.082880,0.060290,0.505769,0.534746,0.493500,0.280702,0.354680,0.070234
0.000,0.000000,0.042572,0.031262,0.000000,0.000000,0.000000,0.031189,0.054187,0.109532
0.000,0.531381,0.088768,0.059918,0.552404,0.579596,0.595500,0.293372,0.344828,0.076923
0.000,0.000000,0.040308,0.027168,0.000000,0.000000,0.000000,0.020468,0.054187,0.104515
0.000,0.496978,0.076993,0.051358,0.542788,0.565303,0.569500,0.270955,0.354680,0.063545
0.000,0.000000,0.038949,0.026051,0.000000,0.000000,0.000000,0.003899,0.059113,0.102007
0.000,0.607159,0.089674,0.057313,0.595673,0.597831,0.600000,0.297271,0.399015,0.065217
0.000,0.000000,0.038949,0.029029,0.000000,0.000000,0.000000,0.007797,0.108374,0.110368
0.000,0.534170,0.081522,0.054708,0.562981,0.589453,0.590500,0.270955,0.344828,0.061037
0.000,0.000000,0.039855,0.027168,0.000000,0.000000,0.000000,0.013645,0.054187,0.102843
0.000,0.592748,0.086051,0.057313,0.604327,0.648103,0.684000,0.311891,0.443350,0.060201
0.000,0.000000,0.036685,0.023818,0.000000,0.000000,0.000000,0.018519,0.000000,0.097826
0.000,0.662483,0.095109,0.062895,0.718750,0.731395,0.755500,0.341131,0.472906,0.061037
0.000,0.000000,0.036232,0.025679,0.000000,0.000000,0.000000,0.000000,0.014778,0.103679
0.000,0.549977,0.075181,0.052847,0.562981,0.596846,0.617000,0.281676,0.433498,0.056856
0.000,0.000000,0.037591,0.029029,0.000000,0.000000,0.000000,0.016569,0.059113,0.100334
0.000,0.436541,0.062500,0.042426,0.455288,0.465254,0.521500,0.223197,0.374384,0.055184
0.000,0.000000,0.046649,0.037961,0.000000,0.000000,0.000000,0.033138,0.108374,0.117057
0.000,0.000000,0.063406,0.055824,0.000962,0.000000,0.000000,0.159844,0.211823,0.163880
0.000,0.902371,0.613225,0.492743,0.916827,0.911779,0.894000,0.928850,0.862069,0.707358
0.000,0.775918,0.627717,0.636397,0.848558,0.880729,0.887000,0.702729,0.463054,0.546823
0.000,0.964668,0.983243,0.957946,0.964904,0.994086,0.949500,1.000000,0.935961,0.973244
0.000,0.729428,0.707880,0.785262,0.816827,0.826516,0.689500,0.646199,0.507389,0.581940
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.980507,1.000000,1.000000
0.000,0.004184,0.636775,0.745813,0.003846,0.001479,0.000000,0.292398,0.226601,0.667224
0.000,0.000000,0.249547,0.501303,0.000000,0.000000,0.248000,0.268031,0.275862,0.234950
0.000,0.414226,0.180254,0.382583,0.502404,0.517003,0.353500,0.471735,0.374384,0.147993
0.000,0.000930,0.113225,0.203945,0.000000,0.000000,0.000000,0.274854,0.201970,0.205686
0.000,0.012087,0.105978,0.151098,0.000000,0.008379,0.012000,0.437622,0.216749,0.217391
0.000,0.000000,0.106884,0.125047,0.000000,0.000000,0.000000,0.298246,0.197044,0.188963
0.000,0.041376,0.102808,0.111649,0.033173,0.048793,0.034500,0.305068,0.275862,0.183946
0.000,0.000000,0.115036,0.119092,0.000000,0.000000,0.137500,0.259259,0.236453,0.178094
0.000,0.040911,0.071558,0.076665,0.048558,0.042878,0.055000,0.223197,0.310345,0.108696
0.000,0.000000,0.094656,0.095274,0.000000,0.000000,0.000000,0.188109,0.187192,0.147993
0.000,0.039517,0.071558,0.070339,0.039904,0.036964,0.048500,0.187135,0.236453,0.107860
0.000,0.000000,0.097373,0.098995,0.000000,0.000000,0.071000,0.198830,0.167488,0.158863
0.000,0.046955,0.080616,0.081876,0.039423,0.056678,0.141500,0.234893,0.339901,0.118729
0.000,0.000000,0.095109,0.094157,0.000000,0.000000,0.255500,0.206628,0.152709,0.152174
0.000,0.046955,0.077446,0.083364,0.065865,0.060621,0.165500,0.241715,0.315271,0.123746
0.000,0.000000,0.096920,0.096018,0.000000,0.000000,0.250500,0.222222,0.275862,0.163880
0.000,0.068340,0.072917,0.078526,0.057212,0.074421,0.244500,0.257310,0.349754,0.121237
0.000,0.000000,0.085145,0.082620,0.000000,0.000000,0.246000,0.189084,0.128079,0.135452
0.000,0.080428,0.057971,0.058802,0.080288,0.077871,0.219500,0.172515,0.285714,0.081940
0.000,0.000000,0.084239,0.075549,0.000000,0.000000,0.238000,0.148148,0.172414,0.139632
0.000,0.068805,0.057971,0.050614,0.072596,0.073435,0.214000,0.171540,0.226601,0.081104
0.000,0.000000,0.081069,0.075177,0.000000,0.000000,0.235500,0.169591,0.226601,0.123746
0.000,0.122269,0.045290,0.042054,0.086058,0.084771,0.205500,0.193957,0.246305,0.061037
0.000,0.000000,0.075634,0.072944,0.000000,0.000000,0.234500,0.146199,0.226601,0.133779
0.000,0.099954,0.046649,0.044659,0.082692,0.093149,0.203500,0.192982,0.226601,0.068562
0.000,0.000000,0.077899,0.072944,0.000000,0.000000,0.245500,0.165692,0.157635,0.140468
0.000,0.075779,0.045743,0.049870,0.087500,0.090192,0.205500,0.158869,0.315271,0.071906
0.000,0.000000,0.077899,0.073316,0.000000,0.000000,0.234500,0.153996,0.147783,0.126254
0.000,0.086007,0.048007,0.043543,0.090865,0.075407,0.203500,0.167641,0.300493,0.067726
0.000,0.000000,0.077899,0.069594,0.000000,0.000000,0.235500,0.159844,0.133005,0.124582
0.000,0.111111,0.043025,0.037961,0.090865,0.149335,0.202500,0.140351,0.325123,0.054348
0.000,0.000000,0.072011,0.065501,0.000000,0.000000,0.224000,0.138402,0.147783,0.125418
0.000,0.115760,0.037138,0.027168,0.112981,0.118285,0.129500,0.106238,0.206897,0.042642
0.000,0.000000,0.065670,0.057313,0.000000,0.000000,0.000000,0.106238,0.108374,0.118729
0.000,0.117620,0.037138,0.030517,0.133173,0.130606,0.071000,0.115010,0.226601,0.048495
0.000,0.000000,0.064312,0.056941,0.000000,0.000000,0.000000,0.107212,0.172414,0.114548
0.000,0.133891,0.037591,0.034239,0.133173,0.113849,0.118500,0.126706,0.251232,0.045987
0.000,0.000000,0.067029,0.064756,0.000000,0.000000,0.000000,0.133528,0.177340,0.120401
0.000,0.124593,0.039402,0.037216,0.125481,0.124692,0.122500,0.148148,0.266010,0.055184
0.000,0.000000,0.071558,0.065873,0.000000,0.000000,0.000000,0.130604,0.206897,0.127926
0.000,0.107392,0.043025,0.043171,0.135577,0.114342,0.202500,0.148148,0.354680,0.063545
0.000,0.000000,0.067935,0.066989,0.000000,0.000000,0.040000,0.142300,0.226601,0.132107
0.000,0.065551,0.057971,0.058802,0.073077,0.065550,0.069000,0.171540,0.226601,0.091973
0.000,0.036262,0.077899,0.055080,0.076923,0.048793,0.024000,0.191033,0.142857,0.123746
0.000,0.173873,0.013587,0.009304,0.167788,0.163627,0.081500,0.089669,0.236453,0.020067
0.000,0.000000,0.061594,0.056569,0.000000,0.000000,0.057500,0.100390,0.206897,0.123746
0.045,0.115295,0.038949,0.036472,0.116827,0.098571,0.092000,0.113060,0.315271,0.054348
0.095,0.000000,0.076087,0.070711,0.000000,0.000000,0.171500,0.156920,0.236453,0.142140
0.145,0.121804,0.046196,0.046148,0.115385,0.122721,0.195500,0.202729,0.344828,0.061873
0.195,0.000000,0.067482,0.061035,0.000000,0.000000,0.220500,0.179337,0.201970,0.125418
0.245,0.145979,0.034420,0.030517,0.159135,0.159685,0.136000,0.122807,0.266010,0.040134
0.295,0.000000,0.064312,0.055824,0.000000,0.000000,0.000000,0.111111,0.137931,0.122074
0.345,0.140865,0.032609,0.030145,0.128365,0.139478,0.118000,0.118908,0.275862,0.037625
0.395,0.000000,0.061594,0.054708,0.000000,0.000000,0.000000,0.107212,0.142857,0.122074
0.445,0.158531,0.028080,0.024563,0.145192,0.152292,0.119500,0.117934,0.270936,0.033445
0.495,0.000000,0.067935,0.059546,0.000000,0.000000,0.000000,0.115010,0.226601,0.121237
0.545,0.116690,0.042572,0.037588,0.098558,0.152785,0.105500,0.134503,0.226601,0.047659
0.595,0.000000,0.079257,0.068478,0.000000,0.000000,0.000000,0.134503,0.177340,0.134615
0.645,0.119014,0.042572,0.039077,0.128846,0.116313,0.107500,0.138402,0.251232,0.052676
0.695,0.000000,0.072464,0.068106,0.000000,0.000000,0.000000,0.144250,0.236453,0.132107
0.745,0.141330,0.026721,0.030889,0.139423,0.145392,0.109500,0.134503,0.295567,0.040970
0.795,0.000000,0.071558,0.066989,0.000000,0.000000,0.000000,0.136452,0.142857,0.132107
0.845,0.154812,0.036232,0.032378,0.157212,0.163627,0.196500,0.139376,0.280788,0.043478
0.895,0.000000,0.068841,0.061779,0.000000,0.011828,0.220500,0.138402,0.147783,0.123746
