time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.578275,0.932468,0.000000,0.000000,0.975037,0.000000,0.613861,0.963934
0.000,0.000000,0.444089,0.797403,0.000000,0.000000,0.841410,0.000000,0.712871,0.944262
0.000,0.000000,0.578275,0.927273,0.000000,0.000000,0.979442,0.000000,0.564356,0.947541
0.000,0.000000,0.412141,0.818182,0.000000,0.000000,0.841410,0.000000,0.712871,0.940984
0.000,0.000000,0.616613,0.932468,0.000000,0.000000,0.979442,0.092902,0.712871,0.950820
0.000,0.000000,0.424920,0.818182,0.000000,0.008929,0.243759,0.000000,0.683168,0.954098
0.000,0.007905,0.587859,0.937662,0.000000,0.000000,0.000000,0.000000,0.732673,0.967213
0.000,0.000000,0.418530,0.844156,0.000000,0.000000,0.000000,0.000000,0.702970,0.944262
0.000,0.000000,0.613419,0.968831,0.056738,0.071429,0.572687,0.000000,0.683168,0.957377
0.000,0.000000,0.418530,0.807792,0.000000,0.000000,0.023495,0.000000,0.613861,0.947541
0.000,0.000000,0.654952,0.958442,0.000000,0.089286,0.000000,0.613779,0.683168,1.000000
0.000,0.059289,0.546326,0.802597,0.907801,0.000000,0.000000,0.717119,0.673267,0.944262
0.000,0.039526,0.782748,0.927273,0.014184,0.000000,0.204112,0.812109,0.673267,0.944262
0.000,0.047431,0.613419,0.662338,0.000000,0.000000,0.032305,0.758873,0.831683,0.931148
0.000,0.000000,0.900958,0.851948,0.000000,0.000000,0.720999,0.885177,0.831683,0.960656
0.000,0.011858,0.760383,0.781818,0.000000,0.000000,0.183554,0.825678,0.702970,0.954098
0.000,0.000000,1.000000,0.961039,0.000000,0.000000,0.688693,0.882046,0.871287,0.944262
0.000,0.000000,0.795527,0.844156,0.127660,0.000000,0.832599,0.784969,0.792079,0.947541
0.000,0.031621,0.984026,0.984416,0.000000,0.000000,0.985316,0.871608,0.871287,0.967213
0.000,0.000000,0.757188,0.825974,0.000000,0.000000,0.857562,0.773486,0.683168,0.934426
0.000,0.000000,0.936102,0.953247,0.000000,0.000000,0.954479,0.000000,0.693069,0.940984
0.000,0.000000,0.674121,0.812987,0.000000,0.000000,0.854626,0.463466,0.633663,0.980328
0.000,0.098814,0.872204,0.961039,0.000000,0.000000,0.982379,0.794363,0.722772,0.963934
0.000,0.031621,0.667732,0.802597,0.000000,0.000000,0.853157,0.000000,0.514851,0.947541
0.000,0.063241,0.878594,0.963636,0.000000,0.000000,0.982379,0.000000,0.554455,0.944262
0.000,0.000000,0.686901,0.810390,0.000000,0.000000,0.876652,0.029228,0.594059,0.957377
0.000,0.000000,0.894569,1.000000,0.000000,0.000000,1.000000,0.000000,0.574257,0.963934
0.000,0.000000,0.686901,0.854545,0.000000,0.000000,0.879589,0.000000,0.574257,0.960656
0.000,0.051383,0.789137,0.948052,0.000000,0.000000,0.991189,0.000000,0.534653,0.967213
0.000,0.000000,0.575080,0.823377,0.000000,0.000000,0.856094,0.000000,0.554455,0.960656
0.000,0.035573,0.776358,0.974026,0.404255,0.000000,0.980910,0.000000,0.554455,0.944262
0.000,0.000000,0.600639,0.807792,0.000000,0.044643,0.857562,0.008351,0.534653,0.957377
0.000,0.000000,0.766773,0.948052,0.000000,0.000000,0.980910,0.000000,0.574257,0.970492
0.000,0.011858,0.581470,0.812987,0.000000,0.160714,0.859031,0.000000,0.514851,0.963934
0.000,0.308300,0.763578,0.937662,0.014184,0.000000,0.982379,0.000000,0.534653,0.944262
