time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000,0.218071,0.055363,0.046591,0.207814,0.200977,0.191209,0.132222,0.038324,0.060504
0.000,0.000000,0.527815,0.609371,0.000000,0.000000,0.000000,0.229630,0.155971,0.518908
0.000,1.000000,0.809422,0.979995,1.000000,1.000000,1.000000,0.778148,0.622549,0.715546
0.000,0.000000,0.520096,0.609371,0.000000,0.000000,0.000000,0.238148,0.162656,0.559664
0.000,1.000000,0.823796,0.998157,1.000000,1.000000,0.993162,0.792963,0.634581,0.709244
0.000,0.000000,0.535800,0.616215,0.000000,0.000000,0.000000,0.247778,0.176025,0.542017
0.000,1.000000,0.790258,0.965254,1.000000,1.000000,0.983883,0.778519,0.600713,0.700420
0.000,0.000000,0.535534,0.619637,0.000000,0.000000,0.000000,0.242593,0.180927,0.548319
0.000,1.000000,0.774820,0.957884,1.000000,1.000000,0.999512,0.777407,0.568182,0.725630
0.000,0.000000,0.528347,0.612003,0.000000,0.000000,0.000000,0.242222,0.187611,0.583613
0.000,1.000000,0.785201,0.945249,1.000000,1.000000,1.000000,0.764815,0.573084,0.697899
0.000,0.000000,0.539526,0.622269,0.000000,0.000000,0.000000,0.232593,0.326649,0.552101
0.000,1.000000,0.755390,0.918926,1.000000,1.000000,0.986569,0.743333,0.539661,0.656723
0.000,0.000000,0.546713,0.619900,0.000000,0.000000,0.000000,0.244444,0.336898,0.585294
0.000,1.000000,0.699228,0.858384,1.000000,1.000000,0.961172,0.708519,0.495989,0.596639
0.000,0.000000,0.548044,0.619374,0.000000,0.000000,0.000000,0.265556,0.170232,0.595378
0.000,1.000000,0.721586,0.858384,1.000000,1.000000,0.985836,0.708519,0.477718,0.624370
0.000,0.000000,0.565611,0.631482,0.000000,0.000000,0.000000,0.261111,0.219251,0.565966
0.000,0.001954,0.153048,0.244538,0.000000,0.000244,0.025153,0.075185,0.037433,0.052101
0.000,0.000000,0.582912,0.654120,0.000000,0.000000,0.256166,0.313333,0.322638,0.610084
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.654457,1.000000,1.000000,1.000000
0.000,0.072039,0.603939,0.704133,0.026374,0.014896,0.279121,0.355926,0.422460,0.648319
0.000,1.000000,0.953686,1.000000,1.000000,1.000000,0.588034,0.865926,0.736185,0.867227
0.000,0.000000,0.572531,0.693077,0.000000,0.000000,0.267155,0.337778,0.362745,0.635294
0.000,1.000000,0.827522,1.000000,1.000000,1.000000,0.534066,0.766296,0.552585,0.752941
0.000,0.000000,0.563482,0.674914,0.000000,0.000000,0.262515,0.338889,0.280303,0.616387
0.000,1.000000,0.731967,0.867860,1.000000,1.000000,0.481807,0.694444,0.459002,0.633193
0.000,0.000000,0.558690,0.674388,0.000000,0.000000,0.262027,0.315556,0.262478,0.615126
0.000,1.000000,0.707479,0.851803,1.000000,1.000000,0.474969,0.677778,0.442068,0.605042
0.000,0.000000,0.560820,0.657278,0.000000,0.000000,0.257875,0.312593,0.321301,0.615126
0.000,1.000000,0.630556,0.745986,1.000000,1.000000,0.412943,0.601111,0.317291,0.494538
0.000,0.000000,0.560820,0.643064,0.000000,0.000000,0.251038,0.295185,0.319073,0.633613
0.000,1.000000,0.607400,0.712556,1.000000,1.000000,0.386081,0.560000,0.282531,0.371429
0.000,0.000000,0.293319,0.417742,0.000000,0.000000,0.108669,0.084074,0.002674,0.188655
0.000,1.000000,0.614586,0.725454,1.000000,1.000000,0.394383,0.575926,0.307487,0.446639
0.000,0.000000,0.557360,0.636747,0.000000,0.000000,0.252747,0.309259,0.314617,0.644538
0.000,1.000000,0.621240,0.713609,1.000000,1.000000,0.394628,0.582593,0.343583,0.452101
0.000,0.000000,0.550173,0.652014,0.000000,0.000000,0.259829,0.317778,0.390820,0.605042
0.000,1.000000,0.621507,0.725717,1.000000,1.000000,0.450061,0.657778,0.532977,0.480672
0.000,0.001465,0.582646,0.653067,0.000000,0.000000,0.257143,0.311481,0.391266,0.593697
0.000,1.000000,0.586106,0.668334,1.000000,1.000000,0.384371,0.566296,0.387255,0.373529
0.000,0.000000,0.587437,0.658594,0.000000,0.000000,0.265690,0.327778,0.410428,0.655042
0.000,1.000000,0.549108,0.662016,1.000000,1.000000,0.364347,0.545556,0.313725,0.328151
0.000,0.000000,0.199627,0.331929,0.000000,0.000244,0.001954,0.161111,0.036542,0.132353
0.000,1.000000,0.535534,0.635957,1.000000,1.000000,0.366545,0.508519,0.279412,0.299160
0.000,0.000000,0.537397,0.684917,0.000000,0.000000,0.274237,0.390000,0.385918,0.650840
0.000,1.000000,0.541656,0.661227,1.000000,1.000000,0.607570,0.527778,0.278966,0.373529
0.000,0.000000,0.587171,0.683601,0.000000,0.000000,0.275458,0.401481,0.383244,0.653782
0.000,1.000000,0.561884,0.645170,1.000000,1.000000,0.579976,0.494815,0.227718,0.391176
0.000,0.000000,0.126963,0.215057,0.000000,0.000000,0.082051,0.049259,0.014260,0.052521
0.000,0.095482,0.075858,0.088444,0.096459,0.097680,0.136508,0.163333,0.049911,0.123109
0.000,0.000000,0.086505,0.099763,0.000000,0.000000,0.147985,0.156667,0.031194,0.130252
0.000,0.007082,0.083311,0.101342,0.000000,0.000000,0.142369,0.179630,0.036542,0.121429
0.000,0.000000,0.085441,0.098973,0.000000,0.000000,0.144811,0.158889,0.032086,0.122269
0.000,0.052015,0.071067,0.089760,0.005861,0.004396,0.126007,0.167037,0.032977,0.097059
0.000,0.000000,0.050306,0.052909,0.000000,0.000000,0.000000,0.095185,0.013369,0.056723
0.000,0.014408,0.026085,0.026059,0.014408,0.017338,0.012210,0.078148,0.036542,0.050840
0.000,0.000000,0.069204,0.077652,0.000000,0.000000,0.000000,0.122963,0.020053,0.098739
0.000,0.000000,0.210008,0.250592,0.000000,0.000000,0.000000,0.281111,0.043672,0.344958
0.000,0.000000,0.093159,0.151882,0.000000,0.000000,0.000000,0.132963,0.014260,0.080672
0.000,0.972650,0.440777,0.547249,1.000000,1.000000,1.000000,0.372963,0.096257,0.166807
0.000,0.178022,0.598084,0.690708,0.118926,0.102076,0.086691,0.415926,0.442068,0.654202
0.000,0.839805,0.467128,0.549618,0.905250,0.941636,0.997070,0.367778,0.102050,0.192017
0.000,0.221001,0.654245,0.699395,0.183150,0.178022,0.145299,0.438148,0.386809,0.655462
0.000,0.000000,0.352409,0.500395,0.000000,0.000488,0.000000,0.240370,0.042781,0.328151
0.000,0.000000,0.184988,0.350619,0.002198,0.000000,0.000000,0.185556,0.034314,0.143277
0.000,0.066667,0.095555,0.199789,0.110623,0.136996,0.110379,0.191481,0.050802,0.117647
0.000,0.347985,0.674474,0.741248,0.302076,0.298901,0.279365,0.490370,0.443850,0.669328
0.000,0.638095,0.466063,0.577784,0.665446,0.692308,0.722100,0.366296,0.096257,0.274370
