time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.010501,0.480898,0.529445,0.041026,0.009768,0.013675,0.196581,0.032974,0.486370
0.000,1.000000,0.958322,0.978559,1.000000,1.000000,0.966300,0.573626,0.940393,0.905787
0.000,0.010012,0.482234,0.529445,0.017094,0.003907,0.015629,0.201954,0.043120,0.487805
0.000,1.000000,0.951910,0.985134,1.000000,0.993407,0.971673,0.569719,0.834496,0.884266
0.000,0.004151,0.476356,0.520297,0.005861,0.017338,0.004884,0.193651,0.034876,0.472979
0.000,1.000000,0.945498,0.982847,1.000000,0.948474,0.931868,0.557509,0.786937,0.920612
0.000,0.000000,0.472081,0.515437,0.002930,0.000000,0.004151,0.181441,0.023462,0.480153
0.000,1.000000,0.957521,0.980560,1.000000,1.000000,0.956532,0.567766,0.830057,0.927786
0.000,0.000977,0.454448,0.508862,0.000000,0.000977,0.000000,0.171673,0.029803,0.451459
0.000,1.000000,0.919049,0.979417,1.000000,1.000000,0.955311,0.552625,0.724794,0.875179
0.000,0.000000,0.438686,0.491710,0.000000,0.000000,0.000733,0.168254,0.025365,0.423242
0.000,1.000000,0.917179,1.000000,1.000000,1.000000,0.956044,0.555311,0.734940,0.882353
0.000,0.000000,0.455250,0.495140,0.001465,0.000000,0.000000,0.177778,0.022194,0.452415
0.000,1.000000,0.964467,1.000000,1.000000,1.000000,0.928449,0.574359,0.832594,0.937351
0.000,0.000000,0.460593,0.503716,0.000000,0.000000,0.000000,0.177045,0.023462,0.460067
0.000,1.000000,0.976489,1.000000,1.000000,1.000000,0.994628,0.580952,0.899810,0.917264
0.000,0.000000,0.459524,0.501715,0.000000,0.026618,0.000000,0.173138,0.017755,0.434242
0.000,1.000000,0.962330,1.000000,1.000000,1.000000,1.000000,0.572161,0.822448,0.920134
0.000,0.000000,0.450975,0.497999,0.000000,0.000000,0.000000,0.173138,0.027267,0.460067
0.000,1.000000,0.981298,1.000000,1.000000,1.000000,1.000000,0.602442,0.971465,0.976088
0.000,0.000000,0.462463,0.507433,0.000000,0.000000,0.000000,0.186325,0.018389,0.455285
0.000,1.000000,0.984504,1.000000,1.000000,1.000000,1.000000,0.596093,0.885859,0.920612
0.000,0.000000,0.464868,0.499714,0.000000,0.000000,0.000000,0.181441,0.017121,0.439981
0.000,1.000000,0.987978,1.000000,1.000000,1.000000,1.000000,0.596825,0.942930,0.920612
0.000,0.000000,0.460860,0.506289,0.004884,0.000000,0.000000,0.177778,0.018389,0.463893
0.000,1.000000,0.992519,1.000000,1.000000,1.000000,1.000000,0.589988,0.883323,0.909613
0.000,0.000000,0.463532,0.490852,0.000000,0.000000,0.000000,0.180464,0.010780,0.461502
0.000,1.000000,0.985573,1.000000,1.000000,1.000000,1.000000,0.601221,0.916297,0.959828
0.000,0.000000,0.465135,0.508576,0.000000,0.000000,0.000000,0.184615,0.010780,0.450502
0.000,1.000000,0.995458,1.000000,1.000000,1.000000,1.000000,0.604640,0.971465,0.936394
0.000,0.000000,0.474219,0.513436,0.000000,0.000000,0.000000,0.184860,0.022828,0.463415
0.000,1.000000,0.995993,1.000000,1.000000,1.000000,1.000000,0.614164,0.979708,0.937829
0.000,0.000000,0.484104,0.541452,0.000000,0.000000,0.000000,0.196581,0.031706,0.500239
0.000,1.000000,0.907561,1.000000,1.000000,1.000000,1.000000,1.000000,0.719721,0.857963
0.000,0.000000,0.454983,0.532876,0.000000,0.000000,0.179731,0.000000,0.000000,0.457198
0.000,1.000000,0.944430,1.000000,1.000000,1.000000,0.471306,1.000000,0.831959,0.897178
0.000,0.000000,0.492119,0.558891,0.000000,0.000000,0.201465,0.163858,0.031072,0.516978
0.000,1.000000,0.942559,1.000000,1.000000,1.000000,1.000000,0.596093,0.727964,0.879962
0.000,0.000000,0.461395,0.531161,0.000000,0.000000,0.000000,0.148718,0.008244,0.466762
0.000,1.000000,0.952979,1.000000,1.000000,1.000000,1.000000,0.599512,0.781864,0.890005
0.000,0.000000,0.480096,0.534591,0.005128,0.000000,0.000000,0.174603,0.017121,0.498326
0.000,1.000000,0.975154,1.000000,1.000000,1.000000,1.000000,0.608547,0.852251,0.909613
0.000,0.000000,0.481699,0.535735,0.000000,0.000000,0.000000,0.171184,0.014585,0.485892
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.600977,0.859226,0.923482
0.000,0.000000,0.479562,0.533734,0.000000,0.000000,0.000000,0.168742,0.017755,0.478718
0.000,1.000000,0.998130,1.000000,1.000000,1.000000,1.000000,0.623687,1.000000,1.000000
0.000,0.000000,0.486508,0.533734,0.000000,0.000000,0.000000,0.170208,0.027901,0.520803
0.000,1.000000,0.996794,1.000000,1.000000,1.000000,1.000000,0.603419,0.867470,0.920134
0.000,0.000000,0.479028,0.540309,0.000000,0.000000,0.000000,0.166789,0.017755,0.479197
0.000,1.000000,0.989581,0.992567,1.000000,1.000000,1.000000,0.600977,0.871275,0.908656
0.000,0.000000,0.473150,0.536592,0.000000,0.000000,0.000000,0.162882,0.008244,0.467719
0.000,1.000000,0.981833,1.000000,1.000000,1.000000,1.000000,0.618559,0.909321,0.914873
0.000,0.000000,0.495859,0.536878,0.000000,0.000000,0.000000,0.175092,0.020292,0.493544
0.000,0.154579,0.358803,0.412521,0.162882,0.159951,0.132845,0.207326,0.058339,0.203252
0.000,0.000000,0.453112,0.545455,0.000000,0.000000,0.000000,0.173871,0.020926,0.379244
0.000,0.058852,0.292012,0.370497,0.051526,0.061294,0.069597,0.181685,0.056436,0.141081
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078144,0.004439,0.000000
