time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.805556,0.327273,0.000000,0.682927,0.000000,0.026365,0.177778,0.062500
0.000,0.000000,0.986111,0.781818,0.000000,0.000000,0.000000,0.297552,0.511111,0.750000
0.000,0.032967,0.750000,0.418182,0.000000,0.048780,0.000000,0.018832,0.555556,0.062500
0.000,0.032967,0.972222,0.745455,0.000000,0.000000,0.000000,0.316384,0.711111,0.750000
0.000,0.010989,0.791667,0.418182,0.010000,0.000000,0.000000,0.013183,0.466667,0.062500
0.000,0.098901,0.993056,0.800000,0.000000,0.000000,0.000000,0.323917,0.355556,0.500000
0.000,0.000000,0.715278,0.418182,0.000000,0.000000,0.000000,0.045198,0.511111,0.375000
0.000,0.109890,0.965278,0.654545,0.370000,0.000000,0.000000,0.286252,0.822222,0.500000
0.000,0.098901,0.777778,0.418182,0.000000,0.000000,0.000000,0.041431,0.622222,0.250000
0.000,0.000000,0.958333,0.854545,0.000000,0.000000,0.000000,0.314501,0.288889,0.625000
0.000,0.043956,0.791667,0.181818,0.000000,0.121951,0.000000,0.030132,0.177778,0.000000
0.000,0.000000,1.000000,0.581818,0.000000,0.000000,0.000000,0.305085,0.355556,0.625000
0.000,0.098901,0.750000,0.327273,0.000000,0.000000,0.000000,0.013183,0.822222,0.062500
0.000,0.021978,0.937500,0.890909,0.000000,0.000000,0.000000,0.323917,0.422222,0.875000
0.000,0.000000,0.715278,0.345455,0.000000,0.097561,0.000000,0.035782,0.644444,0.000000
0.000,0.000000,0.958333,0.745455,0.000000,0.000000,0.000000,0.305085,0.822222,1.000000
0.000,0.000000,0.805556,0.309091,0.000000,0.000000,0.000000,0.064030,0.644444,0.125000
0.000,0.120879,0.888889,0.709091,0.000000,0.024390,0.000000,0.322034,0.822222,0.687500
0.000,0.076923,0.763889,0.418182,0.000000,0.000000,0.000000,0.037665,0.577778,0.250000
0.000,0.000000,0.993056,0.490909,0.000000,0.000000,0.000000,0.340866,0.777778,0.625000
0.000,0.000000,0.750000,0.472727,0.000000,0.000000,0.000000,0.033898,0.555556,0.312500
0.000,0.000000,0.909722,0.490909,0.000000,0.048780,0.000000,0.314501,0.600000,0.750000
0.000,0.087912,0.777778,0.436364,0.000000,0.097561,0.000000,0.045198,0.200000,0.312500
0.000,0.000000,0.930556,0.527273,0.090000,0.585366,0.000000,0.312618,0.511111,0.750000
0.000,0.000000,0.750000,0.454545,0.000000,0.000000,0.000000,0.054614,0.200000,0.187500
0.000,0.065934,0.902778,0.236364,0.000000,0.000000,0.000000,0.282486,0.711111,0.562500
0.000,0.000000,0.791667,0.527273,0.000000,0.000000,0.000000,0.033898,0.644444,0.750000
0.000,0.000000,0.958333,0.581818,0.000000,0.000000,0.000000,0.354049,0.577778,0.687500
0.000,0.000000,0.847222,0.854545,0.000000,0.000000,0.000000,0.033898,0.177778,0.062500
0.000,0.000000,0.930556,0.672727,0.110000,0.000000,0.000000,0.327684,0.866667,0.625000
0.000,0.000000,0.847222,0.400000,0.000000,0.000000,0.000000,0.000000,0.088889,0.375000
0.000,0.000000,0.937500,0.563636,0.000000,0.000000,0.000000,0.314501,0.644444,0.625000
0.000,0.032967,0.847222,0.472727,0.000000,0.000000,0.003257,0.045198,0.177778,0.000000
0.000,0.054945,0.888889,0.636364,0.040000,0.000000,0.047231,0.308851,0.866667,0.750000
0.000,0.043956,0.791667,0.581818,0.000000,0.000000,0.000000,0.079096,0.177778,0.062500
0.000,0.186813,0.909722,0.672727,0.000000,0.000000,0.000000,0.338983,0.688889,0.625000
0.000,0.000000,0.833333,0.527273,0.000000,0.000000,0.097720,0.037665,0.200000,0.000000
0.000,0.186813,0.861111,0.181818,0.000000,0.000000,0.000000,0.290019,0.444444,0.750000
0.000,0.000000,0.833333,0.436364,0.000000,0.000000,0.000000,0.056497,0.222222,0.125000
0.000,0.000000,0.930556,0.527273,0.000000,0.000000,0.000000,0.314501,0.466667,0.875000
0.000,0.285714,0.875000,0.509091,0.000000,0.000000,0.000000,0.058380,0.133333,0.125000
0.000,0.000000,0.930556,0.490909,0.000000,0.000000,0.000000,0.305085,0.911111,0.687500
0.000,0.087912,0.902778,0.472727,0.000000,0.000000,0.000000,0.054614,0.177778,0.250000
0.000,0.000000,0.902778,0.709091,0.000000,0.000000,0.000000,0.293785,0.866667,0.750000
0.000,0.043956,0.888889,0.672727,0.000000,0.000000,0.000000,0.054614,0.200000,0.250000
0.000,0.000000,0.881944,0.509091,0.000000,0.414634,0.000000,0.269303,0.733333,0.312500
0.000,0.000000,0.875000,0.581818,0.000000,0.000000,0.000000,0.035782,0.244444,0.062500
0.000,0.000000,0.937500,0.781818,1.000000,0.243902,0.000000,0.372881,0.466667,0.750000
0.000,0.000000,0.902778,1.000000,0.000000,0.000000,0.000000,0.237288,0.222222,0.500000
0.000,0.000000,0.902778,0.781818,0.000000,0.000000,0.607492,0.670433,1.000000,0.750000
0.000,0.000000,0.770833,0.781818,0.010000,0.000000,0.000000,0.367232,0.733333,0.000000
0.000,0.000000,0.881944,0.672727,0.000000,0.000000,0.879479,0.478343,0.533333,0.625000
0.000,0.109890,0.659722,0.509091,0.000000,0.000000,1.000000,0.572505,0.822222,0.500000
0.000,0.000000,0.770833,0.381818,0.000000,0.048780,0.000000,1.000000,0.533333,0.750000
0.000,0.000000,0.583333,0.472727,0.000000,0.000000,0.000000,0.542373,0.866667,0.562500
0.000,0.043956,0.388889,0.036364,0.000000,0.000000,0.000000,0.508475,0.533333,0.500000
0.000,0.000000,0.305556,0.363636,0.290000,0.000000,0.000000,0.259887,0.244444,0.500000
0.000,0.043956,0.347222,0.454545,0.000000,0.000000,0.000000,0.403013,0.888889,0.562500
0.000,0.604396,0.305556,0.545455,0.000000,0.000000,0.000000,0.263653,0.222222,0.375000
0.000,0.000000,0.222222,0.509091,0.000000,0.000000,0.000000,0.414313,0.733333,0.625000
0.000,0.000000,0.236111,0.727273,0.000000,0.000000,0.039088,0.233522,0.266667,0.500000
0.000,0.087912,0.187500,0.454545,0.000000,0.000000,0.006515,0.340866,0.466667,0.312500
0.000,0.021978,0.111111,0.636364,0.000000,0.000000,0.000000,0.193974,0.733333,0.250000
0.000,0.043956,0.111111,0.290909,0.160000,0.000000,0.032573,0.421846,0.355556,0.562500
0.000,0.000000,0.111111,0.654545,0.000000,0.000000,0.000000,0.323917,0.622222,0.312500
0.000,0.000000,0.090278,0.345455,0.000000,0.024390,0.000000,0.374765,0.533333,0.375000
0.000,0.000000,0.125000,0.490909,0.000000,0.000000,0.000000,0.143126,0.022222,0.187500
0.000,1.000000,0.111111,0.345455,0.000000,0.000000,0.000000,0.241055,0.466667,0.375000
0.000,0.000000,0.111111,0.672727,0.000000,0.000000,0.000000,0.112994,0.177778,0.312500
0.000,0.000000,0.097222,0.200000,0.000000,0.000000,0.000000,0.184557,0.266667,0.625000
0.000,0.000000,0.152778,0.527273,0.000000,0.000000,0.000000,0.101695,0.733333,0.375000
0.000,0.000000,0.180556,0.363636,0.000000,0.000000,0.000000,0.180791,0.355556,0.562500
0.000,0.000000,0.138889,0.581818,0.020000,0.000000,0.000000,0.086629,0.244444,0.250000
0.000,0.000000,0.104167,0.363636,0.000000,0.146341,0.000000,0.160075,0.711111,0.437500
0.000,0.000000,0.097222,0.745455,0.000000,0.000000,0.000000,0.097928,0.222222,0.250000
0.000,0.000000,0.027778,0.290909,0.000000,0.000000,0.000000,0.218456,0.711111,0.375000
0.000,0.000000,0.138889,0.563636,0.000000,0.975610,0.000000,0.090395,0.244444,0.312500
0.000,0.000000,0.111111,0.363636,0.000000,0.024390,0.000000,0.161959,0.444444,0.437500
0.000,0.000000,0.152778,0.727273,0.010000,0.000000,0.000000,0.118644,0.200000,0.375000
0.000,0.000000,0.125000,0.181818,0.000000,0.000000,0.000000,0.165725,0.422222,0.500000
0.000,0.000000,0.326389,0.745455,0.000000,0.000000,0.000000,0.114878,0.355556,0.500000
0.000,0.000000,0.118056,0.236364,0.000000,0.000000,0.000000,0.171375,0.733333,0.312500
0.045,0.000000,0.236111,0.581818,0.000000,0.073171,0.000000,0.139360,0.288889,0.312500
0.095,0.000000,0.180556,0.290909,0.000000,0.000000,0.000000,0.180791,0.355556,0.375000
0.145,0.000000,0.215278,0.745455,0.000000,0.000000,0.000000,0.143126,0.177778,0.312500
0.195,0.000000,0.152778,0.381818,0.000000,0.000000,0.000000,0.177024,0.911111,0.500000
0.246,0.000000,0.312500,0.745455,0.000000,0.000000,0.000000,0.071563,0.555556,0.312500
0.295,0.000000,0.104167,0.200000,0.000000,0.000000,0.027687,0.148776,0.200000,0.562500
0.345,0.000000,0.402778,0.727273,0.000000,0.000000,0.000000,0.109228,0.266667,0.375000
0.395,0.000000,0.250000,0.381818,0.000000,0.000000,0.000000,0.161959,0.466667,0.562500
0.446,0.000000,0.347222,0.636364,0.000000,0.000000,0.004886,0.022599,0.244444,0.750000
0.496,0.000000,0.159722,0.236364,0.210000,0.000000,0.000000,0.163842,0.422222,0.312500
0.545,0.054945,0.347222,0.745455,0.000000,0.000000,0.000000,0.118644,0.600000,0.500000
0.595,0.175824,0.215278,0.272727,0.000000,0.000000,0.000000,0.165725,0.711111,0.500000
0.645,0.000000,0.347222,0.672727,0.000000,0.000000,0.000000,0.126177,0.155556,0.312500
0.695,0.000000,0.222222,0.236364,0.000000,0.000000,0.000000,0.146893,0.288889,0.312500
0.745,0.000000,0.368056,0.745455,0.000000,0.000000,0.000000,0.133710,0.155556,0.562500
0.795,0.000000,0.208333,0.236364,0.000000,0.000000,0.000000,0.148776,0.244444,0.312500
0.845,0.000000,0.402778,0.781818,0.000000,0.000000,0.000000,0.139360,0.666667,0.187500
0.895,0.000000,0.333333,0.254545,0.000000,0.000000,0.000000,0.161959,0.711111,0.625000
0.945,0.000000,0.458333,0.745455,0.000000,0.000000,0.000000,0.156309,0.511111,0.312500
0.995,0.230769,0.291667,0.236364,0.000000,0.000000,0.000000,0.154426,0.822222,0.500000
1.045,0.000000,0.625000,0.818182,0.000000,0.000000,0.000000,0.214689,0.288889,0.125000
1.095,0.000000,0.437500,0.200000,0.000000,0.000000,0.000000,0.141243,0.422222,0.312500
1.145,0.000000,0.541667,0.727273,0.000000,0.000000,0.000000,0.124294,0.200000,0.500000
1.195,0.000000,0.222222,0.145455,0.000000,0.000000,0.078176,0.131827,0.777778,0.625000
1.245,0.000000,0.430556,0.745455,0.000000,0.219512,0.000000,0.161959,0.244444,0.062500
1.295,0.000000,0.180556,0.127273,0.000000,0.000000,0.000000,0.139360,0.555556,0.500000
1.345,0.505495,0.319444,0.509091,0.000000,0.000000,0.000000,0.146893,0.244444,0.750000
1.395,0.000000,0.000000,0.218182,0.000000,0.000000,0.000000,0.154426,0.711111,0.437500
1.445,0.000000,0.319444,0.727273,0.000000,0.048780,0.000000,0.148776,0.066667,0.312500
1.495,0.000000,0.131944,0.309091,0.000000,0.000000,0.000000,0.195857,0.355556,0.625000
1.545,0.263736,0.437500,0.763636,0.010000,0.414634,0.000000,0.207156,0.666667,0.187500
1.595,0.043956,0.194444,0.290909,0.000000,0.000000,0.000000,0.173258,0.800000,0.500000
1.645,0.000000,0.402778,0.781818,0.000000,0.000000,0.000000,0.152542,0.533333,0.312500
1.695,0.000000,0.138889,0.200000,0.000000,0.000000,0.000000,0.169492,0.555556,0.562500
1.745,0.000000,0.416667,0.727273,0.000000,0.000000,0.000000,0.177024,0.244444,0.375000
1.795,0.000000,0.131944,0.236364,0.000000,0.000000,0.000000,0.129944,0.777778,0.312500
1.845,0.000000,0.465278,0.836364,0.000000,0.000000,0.000000,0.169492,0.200000,0.312500
1.895,0.582418,0.243056,0.381818,0.880000,1.000000,0.000000,0.156309,0.866667,0.437500
1.945,0.000000,0.444444,0.781818,0.000000,0.000000,0.000000,0.175141,0.577778,0.562500
1.995,0.087912,0.208333,0.345455,0.000000,0.000000,0.000000,0.259887,0.733333,0.437500
2.045,0.175824,0.527778,0.854545,0.000000,0.000000,0.000000,0.229755,0.200000,0.250000
2.095,0.000000,0.256944,0.309091,0.000000,0.000000,0.000000,0.150659,0.822222,0.437500
2.145,0.043956,0.576389,0.927273,0.000000,0.000000,0.000000,0.193974,0.155556,0.375000
2.195,0.000000,0.305556,0.272727,0.000000,0.609756,0.000000,0.082863,0.666667,0.312500
2.245,0.000000,0.555556,0.800000,0.000000,0.000000,0.000000,0.199623,0.000000,0.312500
