time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.781955,0.702381,0.000000,0.000000,1.000000,0.398089,0.318182,0.625000
0.000,0.032389,0.609023,0.392857,0.000000,0.000000,0.971743,0.449045,0.590909,0.666667
0.000,0.000000,0.744361,0.797619,0.000000,0.000000,0.996860,0.366242,0.363636,0.541667
0.000,0.194332,0.616541,0.428571,0.000000,0.000000,0.981162,0.445860,0.386364,0.625000
0.000,0.000000,0.736842,0.702381,0.000000,0.000000,0.025118,0.340764,0.681818,0.541667
0.000,0.611336,0.586466,0.380952,0.000000,0.000000,0.000000,0.404459,0.409091,0.708333
0.000,0.000000,0.766917,0.571429,0.000000,0.000000,0.000000,0.321656,0.318182,0.625000
0.000,0.008097,0.609023,0.380952,0.016667,0.150198,0.000000,0.391720,0.409091,0.541667
0.000,0.000000,0.721805,0.559524,0.037500,0.000000,0.000000,0.308917,0.727273,0.833333
0.000,0.072874,0.609023,0.488095,0.000000,0.083004,0.006279,0.404459,0.363636,0.625000
0.000,0.000000,0.721805,0.607143,0.000000,0.023715,0.000000,0.350318,0.454545,0.666667
0.000,0.000000,0.691729,0.440476,0.004167,0.000000,0.000000,0.464968,0.318182,0.708333
0.000,0.000000,0.759398,0.654762,0.070833,0.000000,0.000000,0.308917,0.386364,0.666667
0.000,0.000000,0.631579,0.345238,0.000000,0.000000,0.000000,0.423567,0.750000,0.750000
0.000,0.020243,0.812030,0.654762,0.000000,0.000000,0.000000,0.328025,0.295455,0.666667
0.000,0.052632,0.601504,0.333333,0.033333,0.000000,0.879121,0.423567,0.750000,0.791667
0.000,0.000000,0.827068,0.571429,0.112500,0.027668,0.000000,0.321656,0.363636,0.625000
0.000,0.133603,0.586466,0.440476,0.000000,0.000000,0.000000,0.439490,0.295455,0.750000
0.000,0.012146,0.721805,0.571429,0.000000,0.000000,0.000000,0.315287,0.659091,0.666667
0.000,0.000000,0.571429,0.357143,0.000000,0.000000,0.000000,0.436306,0.318182,0.625000
0.000,0.000000,0.706767,0.535714,0.037500,0.000000,0.000000,0.331210,0.272727,0.750000
0.000,0.000000,0.609023,0.392857,0.000000,0.000000,0.000000,0.388535,0.363636,0.625000
0.000,0.000000,0.812030,0.666667,0.000000,0.000000,0.000000,0.184713,0.340909,0.708333
0.000,0.376518,0.631579,0.321429,0.000000,0.000000,0.000000,0.417197,0.795455,0.750000
0.000,0.000000,0.751880,0.678571,0.033333,0.047431,0.000000,0.340764,0.727273,0.666667
0.000,0.020243,0.586466,0.321429,0.000000,0.280632,0.000000,0.394904,0.386364,0.666667
0.000,0.000000,0.721805,0.607143,0.000000,0.067194,0.000000,0.340764,0.681818,0.750000
0.000,0.080972,0.646617,0.380952,0.000000,0.003953,0.000000,0.420382,0.363636,0.625000
0.000,0.000000,0.736842,0.500000,0.000000,0.000000,0.000000,0.369427,0.181818,0.625000
0.000,0.000000,0.601504,0.345238,0.000000,0.000000,0.000000,0.414013,0.363636,0.750000
0.000,0.000000,0.759398,0.654762,0.195833,0.000000,0.000000,0.308917,0.295455,0.750000
0.000,0.000000,0.676692,0.428571,0.025000,0.000000,0.020408,0.378981,0.454545,0.708333
0.000,0.000000,0.796992,0.773810,0.000000,0.000000,0.827316,0.328025,0.590909,0.625000
0.000,0.016194,0.721805,0.630952,0.016667,0.000000,0.951334,0.557325,0.409091,0.916667
0.000,0.000000,0.812030,0.714286,0.000000,0.000000,0.000000,0.296178,0.863636,0.750000
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.863057,0.863636,0.833333
0.000,0.000000,0.616541,0.488095,0.000000,0.000000,0.000000,0.312102,0.000000,0.000000
0.000,0.032389,0.421053,0.000000,0.000000,0.000000,0.000000,1.000000,0.363636,0.666667
0.000,0.000000,0.360902,0.321429,0.000000,0.000000,0.000000,0.958599,0.181818,0.750000
0.000,0.161943,0.315789,0.369048,0.016667,0.035573,0.000000,0.920382,0.590909,0.625000
0.000,0.000000,0.503759,0.440476,0.000000,0.000000,0.000000,0.589172,0.136364,0.666667
0.000,0.040486,0.330827,0.547619,0.000000,0.616601,0.138148,0.773885,0.636364,0.791667
0.000,0.000000,0.421053,0.523810,0.000000,0.000000,0.003140,0.557325,0.227273,0.583333
