time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.939358,1.000000,0.975758,0.944932,0.922918,0.932997,0.975000,0.666667,0.825000
0.000,0.000000,0.049180,0.000000,0.000000,0.000000,0.000000,0.006818,0.296296,0.125000
0.000,0.933710,0.947541,0.983838,0.951286,0.937094,0.932108,0.995455,0.762963,1.000000
0.000,0.000000,0.052459,0.064646,0.000000,0.000000,0.000000,0.000000,0.296296,0.087500
0.000,0.943222,0.957377,0.983838,0.936460,0.932073,0.904832,0.980682,0.777778,0.850000
0.000,0.000000,0.060656,0.070707,0.000000,0.000000,0.000000,0.009091,0.422222,0.087500
0.000,0.928656,0.957377,0.961616,0.960061,0.914058,0.921138,0.972727,0.711111,0.837500
0.000,0.000000,0.000000,0.062626,0.000000,0.000000,0.000000,0.029545,0.303704,0.087500
0.000,0.914685,0.942623,0.959596,0.932224,0.937094,0.912837,0.986364,0.733333,0.875000
0.000,0.000000,0.054098,0.062626,0.000000,0.000000,0.000000,0.009091,0.355556,0.112500
0.000,0.920630,0.944262,0.969697,0.937973,0.923804,0.916988,0.971591,0.681481,0.850000
0.000,0.000000,0.055738,0.074747,0.000000,0.000000,0.000000,0.006818,0.296296,0.087500
0.000,0.921225,0.934426,0.963636,0.926172,0.894566,0.928254,0.972727,0.711111,0.787500
0.000,0.000000,0.052459,0.070707,0.000000,0.000000,0.011859,0.004545,0.318519,0.175000
0.000,0.914685,0.932787,0.959596,0.923147,0.915239,0.877261,0.968182,0.748148,0.875000
0.000,0.000000,0.072131,0.074747,0.000000,0.000000,0.000000,0.014773,0.281481,0.162500
0.000,0.924197,0.913115,0.959596,0.923752,0.900473,0.923510,0.963636,0.688889,0.850000
0.000,0.000000,0.055738,0.080808,0.000000,0.000000,0.000000,0.036364,0.237037,0.062500
0.000,0.858205,0.945902,0.959596,0.918911,0.906084,0.892677,0.965909,0.837037,0.875000
0.000,0.000000,0.073770,0.050505,0.000000,0.000000,0.000000,0.015909,0.274074,0.237500
0.000,0.907551,0.932787,0.967677,0.907413,0.904607,0.913430,0.965909,0.718519,0.850000
