time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.008782,0.078697,0.051753,0.006603,0.000000,0.261226,0.216087,0.012216,0.140209
0.000,0.000000,0.107247,0.072523,0.000000,0.000000,0.279793,0.310157,0.024433,0.137312
0.000,0.000764,0.076867,0.053456,0.000000,0.000000,0.262953,0.220177,0.030541,0.135574
0.000,0.000000,0.105783,0.072863,0.000000,0.003745,0.281088,0.291752,0.005236,0.136153
0.000,0.000000,0.079429,0.052775,0.000000,0.000000,0.258636,0.221541,0.029668,0.134415
0.000,0.000000,0.107613,0.075247,0.000000,0.000000,0.281088,0.295842,0.013962,0.137312
0.000,0.000000,0.080527,0.055158,0.000000,0.000000,0.258636,0.217451,0.029668,0.140209
0.000,0.000000,0.106149,0.071502,0.000000,0.000000,0.284542,0.294479,0.013962,0.138470
0.000,0.004200,0.076501,0.052094,0.000000,0.000000,0.262090,0.218132,0.012216,0.136732
0.000,0.000000,0.106881,0.072182,0.000000,0.000000,0.284542,0.302658,0.022688,0.140209
0.000,0.000000,0.077599,0.053115,0.000000,0.000000,0.260363,0.217451,0.034904,0.134415
0.000,0.000000,0.107613,0.070821,0.050764,0.000000,0.282815,0.296524,0.011344,0.137891
0.000,0.003055,0.078331,0.053115,0.000000,0.000000,0.262953,0.218132,0.024433,0.136732
0.000,0.000000,0.108712,0.070821,0.000000,0.010820,0.280225,0.296524,0.034904,0.137891
0.000,0.001909,0.079795,0.053456,0.000000,0.000000,0.259499,0.225631,0.015707,0.134994
0.000,0.006109,0.107613,0.071502,0.000000,0.000000,0.278497,0.291070,0.012216,0.137312
0.000,0.000000,0.078331,0.053456,0.000000,0.000832,0.257772,0.220859,0.012216,0.134994
0.000,0.003055,0.105417,0.071502,0.000000,0.000000,0.281952,0.297205,0.024433,0.137891
0.000,0.000000,0.078331,0.055158,0.002064,0.002081,0.261226,0.222222,0.031414,0.136732
0.000,0.000000,0.107613,0.072182,0.000000,0.000000,0.283679,0.296524,0.034904,0.138470
0.000,0.000000,0.081259,0.056861,0.000000,0.000000,0.259499,0.221541,0.033159,0.139050
0.000,0.006491,0.106881,0.070140,0.071399,0.000000,0.282815,0.295160,0.013089,0.137891
0.000,0.000000,0.078331,0.055158,0.000000,0.000000,0.259499,0.225631,0.029668,0.136732
0.000,0.000000,0.106881,0.072182,0.000000,0.000000,0.284542,0.299250,0.013962,0.137312
0.000,0.000000,0.079063,0.053796,0.000000,0.000000,0.262090,0.217451,0.012216,0.139629
0.000,0.000000,0.106881,0.071502,0.000000,0.000000,0.283247,0.300613,0.011344,0.139629
0.000,0.000000,0.077599,0.053115,0.000000,0.000000,0.260363,0.222904,0.019197,0.134994
0.000,0.000000,0.107247,0.070821,0.000000,0.000000,0.281952,0.290389,0.013962,0.140209
0.000,0.000000,0.077599,0.052094,0.000000,0.000000,0.261226,0.223586,0.013962,0.134415
0.000,0.000000,0.105783,0.070821,0.000000,0.000416,0.281088,0.295842,0.012216,0.137312
0.000,0.000000,0.078331,0.054477,0.000000,0.000000,0.258636,0.221541,0.013089,0.137891
