time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.492140,0.579874,0.000000,0.000000,0.000000,0.151556,0.115370,0.464852
0.000,1.000000,1.000000,1.000000,0.857631,1.000000,0.814652,0.969553,0.918076,0.989029
0.000,0.000000,0.478702,0.586918,0.000000,0.000000,0.000000,0.144790,0.033446,0.466883
0.000,1.000000,1.000000,1.000000,0.744322,1.000000,0.924786,0.971922,0.848177,0.999594
0.000,0.000000,0.492394,0.574843,0.000000,0.000000,0.000000,0.154263,0.032694,0.431532
0.000,0.076435,0.146045,0.223396,0.104762,0.093284,0.098168,0.231732,0.042465,0.129622
0.000,0.000000,0.064402,0.069182,0.000000,0.000000,0.000000,0.070365,0.015408,0.075579
0.000,0.017338,0.118661,0.125031,0.000977,0.002198,0.003907,0.232747,0.037956,0.154815
0.000,0.000000,0.024848,0.023899,0.000000,0.000000,0.000000,0.041949,0.007892,0.027631
0.000,0.076435,0.100659,0.088302,0.085958,0.076923,0.071306,0.221922,0.036828,0.130435
0.000,0.000000,0.037018,0.036226,0.000000,0.000000,0.000000,0.053451,0.011274,0.045510
0.000,0.054701,0.109026,0.104906,0.055922,0.051526,0.049084,0.234438,0.038707,0.138155
0.000,0.000000,0.037525,0.037484,0.000000,0.000000,0.000000,0.053451,0.010898,0.042259
0.000,0.066911,0.106998,0.092327,0.084737,0.074481,0.075214,0.232070,0.037580,0.133279
0.000,0.000000,0.040822,0.036478,0.000000,0.000000,0.000000,0.051759,0.012777,0.042259
0.000,0.041514,0.104462,0.091321,0.061783,0.050794,0.057143,0.216171,0.034198,0.131654
0.000,0.000000,0.034736,0.035220,0.000000,0.000000,0.000000,0.050744,0.009395,0.037383
0.000,0.161416,0.126268,0.104403,0.160928,0.144322,0.145788,0.250338,0.039459,0.135311
0.000,0.000000,0.035497,0.030692,0.063248,0.000000,0.000000,0.045332,0.006389,0.039821
0.000,0.379243,0.138438,0.111950,0.212698,0.389744,0.386569,0.334912,0.043968,0.136530
0.000,0.000000,0.029919,0.032453,0.057387,0.000000,0.000000,0.043640,0.003382,0.029256
0.000,0.098413,0.106491,0.090818,0.154335,0.129182,0.112332,0.233762,0.037956,0.130435
0.000,0.000000,0.024341,0.022893,0.000000,0.000000,0.000000,0.035521,0.002631,0.023161
0.000,0.315507,0.113844,0.090566,0.163370,0.123321,0.058852,0.220568,0.019166,0.122308
0.000,0.000000,0.017241,0.014340,0.000000,0.000000,0.000000,0.028417,0.002631,0.019098
0.000,0.364103,0.133114,0.106667,0.358242,0.369231,0.366056,0.320704,0.039459,0.128809
0.000,0.000000,0.003043,0.000000,0.000000,0.000000,0.000000,0.012855,0.003006,0.005282
0.000,0.139194,0.099645,0.085283,0.122100,0.128694,0.127717,0.230717,0.042465,0.126778
0.000,0.009524,0.011663,0.010314,0.039072,0.000000,0.000000,0.027402,0.006389,0.011377
0.000,1.000000,1.000000,1.000000,0.784127,1.000000,1.000000,0.957375,0.819617,0.907761
0.000,0.000000,0.478702,0.602516,0.180464,0.000000,0.000000,0.149188,0.039459,0.435595
0.000,1.000000,1.000000,1.000000,0.778510,1.000000,1.000000,0.956698,0.987223,0.985778
0.000,0.000000,0.484787,0.598994,0.189255,0.000000,0.000000,0.164411,0.081172,0.439659
0.000,0.033944,0.356491,0.492075,0.036874,0.025153,0.024176,0.273342,0.043968,0.255181
0.000,0.000733,0.169371,0.332327,0.118193,0.000000,0.000000,0.179973,0.033446,0.158066
0.000,0.003907,0.144016,0.236730,0.027839,0.000000,0.000000,0.253045,0.037956,0.173913
0.000,0.000000,0.487830,0.575597,0.010745,0.000000,0.000000,0.176252,0.041714,0.374644
0.000,0.153602,0.782201,0.837484,0.171673,0.163370,0.436874,0.635318,0.668921,0.805364
0.000,0.000000,0.258114,0.367547,0.000000,0.000000,0.122833,0.076116,0.018414,0.136530
0.000,0.008059,0.175203,0.247799,0.010501,0.000000,0.153114,0.429296,0.047726,0.187729
0.000,0.003907,0.110548,0.170314,0.000000,0.000000,0.137973,0.094723,0.032694,0.170662
0.000,0.000488,0.154412,0.166792,0.000000,0.001954,0.000977,0.434709,0.044344,0.188948
