time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.077218,0.068622,0.000733,0.000000,0.160440,0.239097,0.025452,0.086461
0.000,0.000000,0.026561,0.027117,0.000000,0.000000,0.121856,0.037383,0.013547,0.040067
0.000,0.026129,0.073384,0.059214,0.008059,0.003907,0.134799,0.230530,0.022578,0.077183
0.000,0.000000,0.032311,0.035141,0.000000,0.000000,0.086935,0.043224,0.020525,0.060312
0.000,0.008547,0.064896,0.053127,0.019780,0.012943,0.146276,0.240654,0.032020,0.068747
0.000,0.000000,0.023001,0.014388,0.000000,0.000000,0.112088,0.021417,0.015599,0.028680
0.000,0.019048,0.065170,0.047593,0.028083,0.015629,0.143346,0.226246,0.019704,0.062421
0.000,0.000000,0.030120,0.027947,0.000000,0.000000,0.122344,0.035436,0.013957,0.052299
0.000,0.026129,0.075301,0.058384,0.011966,0.030769,0.152137,0.237539,0.022167,0.075496
0.000,0.000000,0.013691,0.010238,0.000000,0.000000,0.103785,0.013629,0.015189,0.018979
0.000,0.017582,0.061884,0.046763,0.022711,0.014408,0.140415,0.225078,0.025452,0.061999
0.000,0.000000,0.026835,0.024073,0.000000,0.000000,0.118193,0.031931,0.019704,0.043863
0.000,0.017094,0.073932,0.059214,0.014652,0.000000,0.152869,0.237539,0.031199,0.073387
0.000,0.000000,0.042990,0.048700,0.000000,0.000000,0.136020,0.056464,0.025452,0.076339
0.000,0.007570,0.080504,0.068345,0.010501,0.012943,0.160928,0.250779,0.023399,0.080978
0.000,0.000000,0.040800,0.044826,0.005128,0.000000,0.135775,0.055296,0.019704,0.074652
0.000,0.014896,0.078039,0.059491,0.014652,0.028816,0.160684,0.233255,0.027094,0.070856
0.000,0.000000,0.032859,0.038738,0.000000,0.000000,0.132112,0.054907,0.021346,0.066217
0.000,0.010745,0.069825,0.059214,0.000000,0.006349,0.151648,0.231308,0.030378,0.078026
0.000,0.000000,0.033954,0.046763,0.000000,0.000000,0.139438,0.063084,0.022989,0.073809
0.000,0.008547,0.076123,0.066132,0.023687,0.006105,0.159951,0.230919,0.025452,0.084774
0.000,0.000000,0.035049,0.047039,0.000000,0.000000,0.138462,0.060748,0.016831,0.073387
0.000,0.032967,0.075027,0.069175,0.003907,0.006105,0.157998,0.234813,0.028325,0.082244
0.000,0.000000,0.035049,0.047593,0.000000,0.000000,0.141392,0.068536,0.020936,0.072965
0.000,0.019048,0.076670,0.069452,0.007082,0.009768,0.159463,0.237539,0.028736,0.083087
0.000,0.000000,0.035597,0.046209,0.000000,0.000000,0.136752,0.063084,0.016010,0.072965
0.000,0.006105,0.076123,0.060598,0.008059,0.006105,0.158486,0.244159,0.030378,0.084353
0.000,0.033211,0.037788,0.048976,0.000000,0.000000,0.138217,0.064642,0.015189,0.076339
0.000,0.006349,0.075849,0.068622,0.009768,0.012454,0.158730,0.239875,0.028736,0.084774
0.000,0.000000,0.037788,0.050360,0.000000,0.000000,0.137973,0.061916,0.020936,0.072965
0.000,0.010989,0.071468,0.065578,0.006593,0.006838,0.157998,0.250389,0.031609,0.081822
0.000,0.000000,0.035323,0.049806,0.000000,0.000000,0.138462,0.061526,0.018883,0.074652
0.000,0.010745,0.067908,0.067515,0.012454,0.001954,0.159219,0.243769,0.029146,0.083087
0.000,0.000000,0.035597,0.049253,0.000000,0.000000,0.135531,0.069315,0.026273,0.072121
0.000,0.011233,0.068456,0.063088,0.000000,0.000000,0.155311,0.235202,0.021757,0.075917
0.000,0.000000,0.032037,0.048146,0.000000,0.013919,0.137973,0.060358,0.022167,0.073809
0.000,0.000000,0.073932,0.067239,0.005617,0.000000,0.156288,0.242601,0.022167,0.084774
0.000,0.000000,0.037788,0.047039,0.000000,0.000000,0.139927,0.063084,0.018473,0.076339
0.000,0.000000,0.073932,0.068069,0.006105,0.020269,0.159951,0.245327,0.025452,0.086461
0.000,0.000000,0.037788,0.046486,0.000000,0.000000,0.138462,0.064642,0.016831,0.072965
0.000,0.013675,0.076123,0.067515,0.007326,0.000000,0.160195,0.244938,0.021757,0.085196
0.000,0.000000,0.039704,0.049253,0.000000,0.007326,0.139927,0.069704,0.021346,0.074652
0.000,0.012698,0.073932,0.068069,0.001465,0.012698,0.158974,0.245327,0.028325,0.080978
0.000,0.000000,0.033406,0.042059,0.000000,0.000000,0.131868,0.056075,0.014778,0.060734
0.000,0.014896,0.069003,0.058661,0.014408,0.012943,0.147497,0.247664,0.031199,0.072121
0.000,0.000000,0.023549,0.021583,0.000000,0.000000,0.111111,0.027259,0.013957,0.042598
0.000,0.019292,0.070099,0.061428,0.005861,0.013431,0.151160,0.251947,0.022989,0.077183
0.000,0.000000,0.015334,0.019369,0.000000,0.000000,0.114042,0.015187,0.013136,0.030789
0.000,0.017827,0.064896,0.050360,0.019780,0.021245,0.144567,0.250389,0.025041,0.068747
0.000,0.000000,0.014786,0.011898,0.000000,0.000000,0.111355,0.015576,0.010263,0.026571
0.000,0.021245,0.062979,0.047593,0.022222,0.000000,0.141392,0.241044,0.030378,0.063264
0.000,0.000000,0.024370,0.024073,0.000000,0.000000,0.118926,0.029206,0.019704,0.049346
0.000,0.025641,0.074480,0.063918,0.021734,0.016361,0.154579,0.252336,0.032841,0.077604
0.000,0.000000,0.028751,0.034311,0.000000,0.000000,0.126984,0.038551,0.013957,0.053564
0.000,0.027350,0.072837,0.064471,0.021734,0.020269,0.154090,0.267913,0.028736,0.079291
0.000,0.000000,0.021084,0.026563,0.000000,0.000000,0.119414,0.027648,0.013957,0.041755
0.000,0.033455,0.067908,0.058107,0.022466,0.027595,0.148718,0.259346,0.026273,0.074230
0.000,0.000000,0.024644,0.024626,0.000000,0.000000,0.118437,0.028816,0.015599,0.045972
0.000,0.032967,0.068456,0.060321,0.021734,0.022466,0.139438,0.252336,0.026683,0.070856
0.000,0.000000,0.013417,0.014112,0.000000,0.000000,0.107692,0.015576,0.010263,0.016871
0.000,0.030525,0.060515,0.045379,0.030281,0.022222,0.137973,0.235592,0.027915,0.061156
0.000,0.000000,0.006572,0.000000,0.000000,0.000000,0.097192,0.000000,0.005747,0.012231
0.000,0.048840,0.061336,0.044826,0.022222,0.032479,0.139194,0.233645,0.031199,0.061577
0.000,0.000000,0.013143,0.011621,0.000000,0.000000,0.108669,0.007009,0.013957,0.021932
0.000,0.036874,0.061336,0.047039,0.030525,0.027595,0.139438,0.239097,0.032020,0.062421
0.000,0.000000,0.012596,0.006364,0.000000,0.000000,0.104762,0.007788,0.006568,0.021510
0.000,0.032967,0.060789,0.045379,0.026618,0.029060,0.140659,0.242991,0.025452,0.061999
0.000,0.000000,0.010679,0.006087,0.009280,0.000000,0.103053,0.007788,0.011494,0.019401
0.000,0.039316,0.062979,0.048976,0.032479,0.030037,0.142857,0.233255,0.033662,0.061999
0.000,0.000000,0.012596,0.007194,0.000000,0.000000,0.103785,0.012072,0.006568,0.021510
0.000,0.005617,0.062979,0.052020,0.031990,0.025153,0.139927,0.243769,0.026273,0.063264
0.000,0.000000,0.010131,0.010515,0.000000,0.000000,0.105495,0.011293,0.006979,0.021932
0.000,0.054701,0.066265,0.048423,0.018315,0.002686,0.143834,0.244938,0.020525,0.071278
0.000,0.000000,0.029573,0.032928,0.000000,0.000000,0.127717,0.033489,0.015599,0.054407
0.000,0.013675,0.073658,0.065302,0.032967,0.020269,0.160928,0.261293,0.029557,0.083509
0.000,0.000000,0.038335,0.042612,0.000000,0.000000,0.136020,0.047508,0.020525,0.075496
0.000,0.020757,0.073111,0.069175,0.014164,0.026618,0.159707,0.274922,0.033662,0.088148
0.000,0.000000,0.035323,0.043165,0.000000,0.000000,0.133578,0.050234,0.018883,0.064530
0.000,0.005372,0.070372,0.064748,0.008791,0.005861,0.151893,0.269470,0.033251,0.076339
0.000,0.000000,0.033133,0.038185,0.000000,0.000000,0.130159,0.038941,0.020525,0.065373
0.000,0.023687,0.069277,0.058661,0.014896,0.022222,0.149206,0.257788,0.032020,0.067904
0.000,0.000000,0.018072,0.016049,0.000000,0.000000,0.113309,0.019860,0.012726,0.030789
0.044,0.030037,0.073384,0.055064,0.013919,0.031258,0.145299,0.273754,0.028325,0.069591
0.094,0.000000,0.023549,0.023796,0.000000,0.000000,0.117216,0.021028,0.018062,0.041333
0.144,0.020757,0.069277,0.059768,0.017582,0.021245,0.143834,0.269470,0.027915,0.078870
0.194,0.000000,0.025192,0.025457,0.000000,0.000000,0.116728,0.023754,0.010673,0.042598
0.244,0.014652,0.074480,0.065025,0.025641,0.019292,0.154579,0.265576,0.025041,0.083931
0.294,0.000000,0.031216,0.035141,0.000000,0.000000,0.128694,0.033879,0.010673,0.056094
0.344,0.024664,0.070646,0.060598,0.017338,0.017582,0.151648,0.272586,0.034483,0.076339
0.394,0.000000,0.021358,0.017432,0.000000,0.000000,0.110867,0.012461,0.011084,0.030367
0.444,0.036630,0.069551,0.053957,0.021245,0.016361,0.149695,0.274922,0.026273,0.075496
0.494,0.000000,0.012596,0.011068,0.000000,0.000000,0.107448,0.012461,0.008210,0.024884
0.544,0.009035,0.074206,0.059768,0.018315,0.010256,0.148474,0.267134,0.023399,0.078870
0.594,0.000000,0.034502,0.037078,0.005372,0.000000,0.132601,0.032321,0.015189,0.061999
0.644,0.027595,0.077766,0.063918,0.024420,0.025641,0.151893,0.280763,0.027915,0.074230
0.694,0.004396,0.034775,0.035971,0.000000,0.000000,0.129670,0.013240,0.025452,0.066217
0.744,0.017338,0.088992,0.068069,0.000977,0.002198,0.159707,0.322430,0.027094,0.089836
0.794,0.000000,0.053943,0.045379,0.000000,0.000000,0.130647,0.039720,0.014778,0.056094
0.844,0.000000,0.130340,0.093525,0.000733,0.005372,0.161416,0.363318,0.027094,0.080557
0.894,0.000000,0.017525,0.025457,0.000000,0.000000,0.106227,0.088006,0.000000,0.000000
0.944,0.009035,0.044633,0.028224,0.001465,0.001465,0.127228,0.258956,0.024631,0.057360
0.994,0.000977,0.010679,0.022966,0.000000,0.000000,0.089621,0.072430,0.017241,0.077183
1.044,0.008059,0.057503,0.052020,0.000000,0.000977,0.004640,0.234813,0.031199,0.086040
1.094,0.000000,0.032859,0.039568,0.000000,0.000000,0.000000,0.096573,0.018062,0.082244
1.144,0.000000,0.067087,0.060321,0.002198,0.002930,0.126252,0.225467,0.022167,0.086461
1.194,0.000000,0.000000,0.007194,0.000000,0.000000,0.000000,0.032710,0.012315,0.003374
1.244,0.056654,0.033954,0.011621,0.081319,0.089621,0.120635,0.210280,0.022578,0.031632
1.294,0.000000,0.429354,0.541782,0.000000,0.000000,0.000000,0.088396,0.035304,0.292282
1.344,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.971963,0.970443,0.919022
1.394,0.000000,0.435926,0.547316,0.000000,0.000000,0.000000,0.082944,0.064039,0.408688
1.444,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.974299,0.892447,0.944327
1.494,0.000000,0.469332,0.551743,0.000000,0.000000,0.000000,0.095016,0.041051,0.407845
1.544,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.982866,0.928982,0.873049
1.594,0.000000,0.472618,0.549806,0.000000,0.000000,0.000000,0.083333,0.036535,0.406580
1.644,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.968069,0.903120,0.832560
1.694,0.000000,0.474535,0.552020,0.000000,0.000000,0.000000,0.087227,0.109195,0.379165
1.744,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.979751,0.858374,0.933361
1.794,0.000000,0.475356,0.550913,0.000000,0.000000,0.000000,0.100857,0.041051,0.386757
1.844,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.974299,0.836207,0.956980
1.894,0.000000,0.473165,0.552850,0.000000,0.000000,0.000000,0.084891,0.027915,0.385070
1.944,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.978583,0.994253,0.864192
1.994,0.000000,0.468784,0.544826,0.000000,0.000000,0.000000,0.114875,0.100164,0.398566
2.044,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.980140,1.000000,0.914804
2.094,0.000000,0.473439,0.553957,0.000000,0.000000,0.000000,0.118380,0.059113,0.412906
2.144,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.982477,0.908456,0.939688
2.194,0.000000,0.464129,0.546209,0.000000,0.000000,0.000000,0.088785,0.037767,0.373260
2.244,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975857,0.900657,0.970055
2.294,0.000000,0.468784,0.534034,0.000000,0.000000,0.000000,0.096184,0.041051,0.372417
2.344,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984424,0.860837,0.917756
2.394,0.000000,0.463855,0.537355,0.000000,0.000000,0.000000,0.084891,0.105911,0.369886
2.444,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.972741,0.886700,0.929987
2.494,0.000000,0.467963,0.536248,0.000000,0.000000,0.000000,0.101246,0.029967,0.371151
2.544,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975857,0.910920,0.949388
2.594,0.000000,0.469332,0.544272,0.000000,0.000000,0.000000,0.103972,0.041872,0.388444
2.644,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.912972,0.919865
2.694,0.000000,0.469332,0.546486,0.000000,0.000000,0.000000,0.116433,0.027915,0.377900
2.744,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.987539,0.899015,0.919022
2.794,0.000000,0.467963,0.544549,0.000000,0.000000,0.000000,0.102025,0.029146,0.404049
2.844,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.979751,0.934319,0.921130
2.894,0.000000,0.465498,0.535418,0.000000,0.000000,0.000000,0.110202,0.041872,0.375791
2.944,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.978972,0.853448,0.919865
2.994,0.000000,0.468784,0.532928,0.000000,0.000000,0.000000,0.106308,0.026273,0.374104
3.044,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.978972,0.875205,1.000000
