time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.116452,0.128483,0.000000,0.045177,0.000000,0.186671,0.026433,0.185950
0.000,0.002198,0.132931,0.140093,0.002198,0.000000,0.000000,0.308850,0.035741,0.191001
0.000,0.000000,0.118649,0.132611,0.000000,0.001465,0.000000,0.183447,0.026061,0.187328
0.000,0.014408,0.135677,0.140093,0.006838,0.015629,0.000000,0.305625,0.029039,0.190542
0.000,0.000000,0.111508,0.129773,0.000000,0.000000,0.000000,0.189896,0.024572,0.185950
0.000,0.000000,0.133480,0.142931,0.004640,0.000977,0.000000,0.305267,0.032762,0.191001
0.000,0.000000,0.113705,0.131063,0.000000,0.000000,0.000000,0.184880,0.027923,0.183655
0.000,0.000000,0.133205,0.140867,0.000000,0.006349,0.000000,0.304550,0.035369,0.191919
0.000,0.000000,0.066191,0.084623,0.000000,0.000000,0.000000,0.116087,0.007446,0.081267
0.000,0.074969,0.100522,0.090299,0.076923,0.074969,0.086691,0.263705,0.029784,0.134527
0.000,0.000000,0.003570,0.004128,0.000000,0.000000,0.000000,0.034396,0.006701,0.005969
0.000,0.079609,0.094754,0.074819,0.081074,0.079365,0.079853,0.253673,0.035741,0.133150
0.000,0.000000,0.001099,0.004128,0.000000,0.000000,0.000000,0.030097,0.001117,0.006428
0.000,0.068864,0.094480,0.078173,0.099634,0.084737,0.089133,0.260122,0.037230,0.130854
0.000,0.000000,0.003570,0.004128,0.000000,0.000000,0.000000,0.036904,0.000372,0.006428
0.000,0.083028,0.090085,0.078947,0.087179,0.092063,0.089866,0.258330,0.029412,0.129477
0.000,0.000000,0.004120,0.003870,0.000000,0.000000,0.000000,0.031172,0.000000,0.006428
0.000,0.056410,0.097226,0.085655,0.059341,0.052991,0.054701,0.255822,0.030156,0.135445
0.000,0.000000,0.090909,0.091331,0.000000,0.000000,0.000000,0.134002,0.025316,0.162534
0.000,0.058608,0.105466,0.095717,0.057387,0.056166,0.053480,0.273737,0.029039,0.135904
0.000,0.000000,0.102719,0.110939,0.000000,0.000000,0.000000,0.153708,0.026061,0.157943
0.000,0.006105,0.128536,0.135965,0.000000,0.002686,0.009524,0.310641,0.033879,0.191919
0.000,0.000000,0.113156,0.130031,0.000000,0.025153,0.001465,0.182014,0.027923,0.185950
0.000,0.000000,0.128261,0.140867,0.000488,0.000000,0.000000,0.304550,0.032018,0.192837
0.000,0.006105,0.114804,0.129773,0.000000,0.000000,0.008059,0.183805,0.026806,0.186410
0.000,0.002442,0.132931,0.139835,0.003907,0.000000,0.000000,0.303834,0.030529,0.189624
0.000,0.004884,0.119198,0.130547,0.000000,0.000000,0.000488,0.181655,0.032762,0.188246
0.000,0.000000,0.133205,0.139835,0.010745,0.000488,0.004884,0.307058,0.038719,0.191001
0.000,0.008303,0.112606,0.130031,0.000000,0.000000,0.003907,0.184163,0.032762,0.187328
0.000,0.057631,0.105466,0.098039,0.057387,0.050061,0.059585,0.273379,0.029412,0.134986
0.000,0.000000,0.027740,0.027606,0.000000,0.000000,0.000000,0.060910,0.005212,0.036731
0.000,0.044200,0.101071,0.085397,0.057387,0.054212,0.059829,0.257614,0.029784,0.135904
0.000,0.000000,0.018676,0.019608,0.000000,0.000000,0.000000,0.048370,0.010052,0.022039
0.000,0.085714,0.098050,0.080495,0.086935,0.079853,0.090110,0.259764,0.033879,0.134986
0.000,0.000000,0.006317,0.010320,0.000000,0.000000,0.000000,0.041204,0.005212,0.000000
0.000,0.003907,0.091458,0.081011,0.001221,0.004151,0.000000,0.241491,0.029039,0.135904
0.000,0.000000,0.099973,0.105263,0.000000,0.013431,0.000000,0.157650,0.027550,0.168962
0.000,0.040781,0.131832,0.136223,0.006838,0.000977,0.003907,0.298459,0.029039,0.189624
0.000,0.000000,0.038726,0.049278,0.000000,0.000000,0.000000,0.076675,0.002978,0.034894
0.000,0.071062,0.101071,0.084365,0.080342,0.062515,0.073260,0.259047,0.027550,0.134986
0.000,0.005861,0.095578,0.092363,0.000000,0.000000,0.019536,0.141885,0.030901,0.159320
0.000,0.010501,0.131832,0.132611,0.001954,0.000000,0.000244,0.292727,0.034996,0.189164
0.000,0.000000,0.108212,0.121517,0.000000,0.000000,0.000000,0.163024,0.025316,0.168044
0.000,0.012454,0.112606,0.107069,0.011966,0.011722,0.000000,0.297026,0.027923,0.146924
0.000,0.000000,0.000549,0.009030,0.000000,0.000000,0.000000,0.000000,0.002234,0.005969
0.000,0.131136,0.114529,0.079979,0.127228,0.129915,0.133578,0.403798,0.032762,0.130395
0.000,0.000000,0.017852,0.021156,0.000000,0.000000,0.000000,0.027947,0.006701,0.033517
0.000,0.014408,0.093381,0.076883,0.012943,0.006838,0.012454,0.343246,0.030529,0.132691
0.000,0.000000,0.057402,0.068885,0.000000,0.000000,0.000000,0.085274,0.001117,0.066575
0.000,0.054457,0.096127,0.081527,0.053236,0.065201,0.076679,0.291652,0.035369,0.129477
0.000,0.000000,0.007141,0.012900,0.000000,0.000000,0.000000,0.029022,0.001117,0.011478
0.000,0.000000,0.111233,0.104231,0.000000,0.000000,0.000000,0.288427,0.034996,0.167126
0.000,0.000000,0.106564,0.123581,0.000000,0.000000,0.000000,0.155500,0.029784,0.179982
0.000,0.002198,0.131832,0.140093,0.001709,0.000000,0.000000,0.327481,0.035369,0.192837
0.000,0.000000,0.109585,0.129773,0.000000,0.000000,0.000000,0.165174,0.026806,0.185950
0.000,0.017827,0.132931,0.140867,0.004884,0.000000,0.000000,0.331064,0.037230,0.193756
0.000,0.000000,0.110135,0.129515,0.000000,0.000000,0.000000,0.166607,0.029039,0.185950
0.000,0.000000,0.135677,0.138803,0.000000,0.000000,0.000488,0.315299,0.029039,0.178145
0.000,0.000244,0.109860,0.124355,0.000000,0.000000,0.000000,0.165532,0.026061,0.169881
0.000,0.190232,0.162593,0.156347,0.184127,0.185348,0.173871,0.391974,0.026806,0.182736
0.000,0.000000,0.068937,0.073529,0.000000,0.000000,0.000000,0.103905,0.024572,0.103306
0.000,0.027350,0.097775,0.085655,0.025153,0.042979,0.035409,0.264063,0.033507,0.136364
0.000,0.000000,0.025268,0.025284,0.000000,0.000000,0.000000,0.067718,0.006701,0.031680
0.000,0.008791,0.103268,0.089267,0.007082,0.018803,0.013675,0.248656,0.029039,0.142332
0.000,0.000000,0.018127,0.019350,0.000000,0.000000,0.000000,0.046578,0.006329,0.015152
0.000,0.136264,0.098050,0.082043,0.141880,0.141880,0.112088,0.291652,0.029412,0.132691
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029022,0.002234,0.003673
0.000,0.064225,0.095578,0.082043,0.059341,0.063736,0.051038,0.243999,0.032018,0.133150
0.000,0.000000,0.024444,0.028638,0.000000,0.000000,0.000000,0.074525,0.011169,0.033517
0.000,0.049573,0.097775,0.083333,0.036386,0.044689,0.039805,0.248298,0.034624,0.133150
0.000,0.000000,0.022796,0.027864,0.000000,0.000000,0.000000,0.059835,0.005212,0.033058
0.000,0.080830,0.109860,0.097523,0.077411,0.081807,0.033211,0.258330,0.029784,0.142792
0.000,0.000000,0.032409,0.037668,0.000000,0.000000,0.000000,0.073809,0.001117,0.036272
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.000,0.000000,0.273551,0.381579,0.000000,0.000000,0.000000,0.073092,0.005957,0.132691
0.000,0.066667,0.123867,0.183179,0.065201,0.067155,0.047619,0.255464,0.034252,0.149679
0.000,0.004151,0.058226,0.069401,0.000000,0.000000,0.000000,0.100681,0.020849,0.084481
0.000,0.002930,0.123592,0.124097,0.004640,0.005861,0.005861,0.274454,0.029039,0.181359
0.000,0.000000,0.092282,0.100619,0.000000,0.000000,0.000000,0.145109,0.023083,0.157025
0.000,0.004151,0.131832,0.132095,0.000488,0.004151,0.005861,0.292727,0.028295,0.191460
0.000,0.000000,0.112332,0.128483,0.000977,0.000000,0.000000,0.174131,0.027550,0.192837
0.000,0.000000,0.135677,0.141383,0.000000,0.000000,0.000000,0.300251,0.028667,0.198347
0.043,0.000000,0.113430,0.129773,0.000000,0.002686,0.000000,0.184163,0.033507,0.195592
0.093,0.000977,0.132107,0.141899,0.000000,0.001221,0.000000,0.299534,0.029039,0.198347
0.143,0.000000,0.110959,0.130805,0.001221,0.000000,0.000000,0.189538,0.033507,0.193297
0.193,0.006838,0.132381,0.140609,0.000000,0.002442,0.000000,0.299893,0.032762,0.194674
0.243,0.001954,0.112606,0.131063,0.000000,0.000000,0.000000,0.187030,0.027923,0.192378
0.293,0.000000,0.131283,0.140867,0.000000,0.000000,0.000000,0.305267,0.029039,0.198347
0.343,0.000000,0.113980,0.131063,0.000000,0.000000,0.000000,0.183447,0.028295,0.195133
0.393,0.000000,0.133480,0.141641,0.001954,0.000244,0.000000,0.306700,0.033507,0.196051
0.443,0.000000,0.113980,0.130547,0.000000,0.000000,0.000000,0.185955,0.032018,0.194674
0.493,0.000000,0.132931,0.140609,0.023687,0.000244,0.000000,0.302042,0.032018,0.196970
0.543,0.000000,0.113705,0.131063,0.000000,0.000000,0.002198,0.187030,0.027550,0.193297
0.593,0.023687,0.112606,0.110165,0.018315,0.000000,0.017827,0.272662,0.033879,0.155188
0.643,0.000488,0.102719,0.109907,0.000000,0.000000,0.000000,0.153350,0.027550,0.179982
0.693,0.000733,0.131008,0.135965,0.000000,0.001221,0.000000,0.300967,0.028295,0.196970
0.743,0.002442,0.113430,0.130031,0.000000,0.000000,0.000000,0.185597,0.032762,0.193756
0.793,0.008059,0.131283,0.133901,0.004151,0.000977,0.000000,0.297026,0.028295,0.185032
0.843,0.001954,0.110409,0.124355,0.000000,0.000000,0.000000,0.167682,0.023827,0.177227
0.893,0.026374,0.129085,0.128483,0.023443,0.022466,0.026618,0.296668,0.036858,0.170340
0.943,0.000000,0.065367,0.070691,0.000000,0.000000,0.000000,0.108922,0.015637,0.099174
0.993,0.025641,0.113980,0.102683,0.018803,0.015629,0.023199,0.266571,0.029784,0.151974
1.043,0.000000,0.069212,0.073271,0.000000,0.000000,0.000000,0.109638,0.019360,0.092746
1.093,0.011966,0.124966,0.125903,0.000488,0.000244,0.000000,0.292368,0.032018,0.182736
1.143,0.000977,0.101620,0.109907,0.000000,0.000000,0.000000,0.163382,0.035369,0.168044
1.193,0.000000,0.127438,0.131063,0.000000,0.000488,0.001465,0.288069,0.032762,0.178145
1.243,0.000000,0.112332,0.126935,0.000000,0.000000,0.000000,0.176997,0.027178,0.179982
1.293,0.006105,0.135677,0.138029,0.000977,0.001465,0.000000,0.297384,0.029039,0.184114
1.343,0.000000,0.112332,0.130547,0.000000,0.000000,0.000000,0.182730,0.027550,0.184573
1.393,0.000000,0.132107,0.141383,0.000000,0.000000,0.000000,0.301326,0.032018,0.191919
1.443,0.022222,0.112606,0.131579,0.000000,0.000000,0.000000,0.182372,0.025316,0.186410
1.493,0.000000,0.132931,0.140867,0.000000,0.001709,0.000000,0.303834,0.030156,0.191919
1.543,0.001221,0.113705,0.131837,0.000000,0.000000,0.000000,0.185238,0.026806,0.185491
1.593,0.000000,0.130733,0.139319,0.000000,0.000977,0.000000,0.304909,0.036858,0.190542
1.643,0.023199,0.068937,0.081011,0.000000,0.000000,0.000000,0.120387,0.014892,0.096419
1.693,0.021245,0.114529,0.106811,0.014408,0.017582,0.015629,0.272304,0.032018,0.152433
1.743,0.000000,0.069212,0.081011,0.000000,0.000000,0.000000,0.125403,0.019360,0.097796
1.793,0.005861,0.113705,0.106811,0.000000,0.009524,0.005128,0.267288,0.035741,0.154270
1.843,0.000000,0.068113,0.070175,0.000000,0.000000,0.000000,0.109638,0.015637,0.094123
1.893,0.029304,0.108761,0.098813,0.031990,0.041026,0.026862,0.263705,0.029784,0.145546
1.943,0.000000,0.045592,0.050568,0.000000,0.000000,0.000000,0.084558,0.009308,0.061524
1.993,0.032967,0.108212,0.099587,0.027106,0.031258,0.038828,0.259405,0.031273,0.144169
2.043,0.000000,0.097775,0.103715,0.000000,0.000000,0.000000,0.145826,0.025316,0.151056
2.093,0.013431,0.128536,0.128741,0.008059,0.028083,0.005861,0.280903,0.029039,0.173554
2.143,0.000000,0.076902,0.087203,0.000000,0.000000,0.000000,0.117521,0.016754,0.097337
2.193,0.010989,0.108761,0.103199,0.025397,0.024176,0.021734,0.262988,0.034624,0.147842
2.243,0.000000,0.055754,0.060372,0.000000,0.000000,0.000000,0.092440,0.010052,0.074380
2.293,0.025641,0.107113,0.099587,0.014896,0.021245,0.020513,0.268721,0.032762,0.149679
2.343,0.000000,0.092832,0.097523,0.000000,0.000000,0.000000,0.139018,0.022338,0.132231
2.393,0.006105,0.127987,0.121517,0.010501,0.005128,0.010012,0.281261,0.034252,0.167126
2.443,0.000000,0.102719,0.109133,0.000000,0.000000,0.000000,0.152633,0.026806,0.145546
2.493,0.003175,0.128536,0.130547,0.000000,0.001954,0.006349,0.282336,0.037975,0.170799
2.543,0.000000,0.103818,0.114293,0.000000,0.000000,0.000000,0.158008,0.025316,0.152893
2.593,0.011722,0.128536,0.131837,0.004640,0.006838,0.007082,0.293085,0.028295,0.174931
2.643,0.000000,0.105740,0.117647,0.000000,0.000000,0.000000,0.165532,0.025689,0.158861
2.693,0.003907,0.132381,0.139061,0.000000,0.000000,0.000977,0.301684,0.028295,0.187787
2.743,0.000000,0.114254,0.132095,0.000000,0.000000,0.000000,0.183805,0.027923,0.185491
2.793,0.000000,0.135128,0.142415,0.004151,0.000000,0.000000,0.303117,0.032018,0.191919
2.843,0.010501,0.113156,0.130805,0.000000,0.000000,0.000000,0.180939,0.032762,0.180441
2.893,0.002930,0.103543,0.102683,0.000000,0.000000,0.000000,0.262272,0.034996,0.139578
2.943,0.000000,0.084867,0.091331,0.000000,0.000000,0.000000,0.127195,0.020104,0.128099
2.993,0.059829,0.095853,0.082559,0.043223,0.060806,0.057387,0.251523,0.030156,0.134986
3.043,0.000000,0.037078,0.036120,0.000000,0.000000,0.000000,0.065210,0.011541,0.045914
