time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.011447,0.012066,0.000000,0.000000,0.029304,0.028007,0.002589,0.009836
0.000,0.116972,0.106080,0.093514,0.109402,0.110623,0.108181,0.245601,0.035873,0.122951
0.000,0.000000,0.019079,0.025138,0.000000,0.026862,0.040293,0.050269,0.004808,0.017623
0.000,0.151648,0.104808,0.092006,0.155311,0.153358,0.112332,0.249910,0.038831,0.121311
0.000,0.000000,0.013991,0.017597,0.000000,0.000000,0.034188,0.025853,0.001479,0.013525
0.000,0.210989,0.110150,0.094268,0.205372,0.178266,0.113065,0.267145,0.035873,0.122951
0.000,0.000000,0.004325,0.008044,0.000000,0.000000,0.025397,0.010772,0.000000,0.004098
0.000,0.257875,0.114729,0.096280,0.251282,0.248107,0.116972,0.281508,0.032175,0.121311
0.000,0.000000,0.011956,0.018602,0.037851,0.000000,0.030037,0.018312,0.000370,0.013115
0.000,0.152137,0.106589,0.091252,0.144811,0.148474,0.113065,0.230880,0.041790,0.122951
0.000,0.017827,0.019079,0.018854,0.000000,0.000000,0.036386,0.029443,0.005917,0.018443
0.000,0.155311,0.106080,0.092509,0.170208,0.153114,0.111844,0.253501,0.032914,0.124180
0.000,0.000000,0.012974,0.016088,0.000000,0.000000,0.029548,0.029084,0.002589,0.011885
0.000,0.174603,0.111168,0.093514,0.164103,0.170696,0.113309,0.263196,0.032544,0.121721
0.000,0.000000,0.007123,0.007039,0.000000,0.000000,0.024664,0.017953,0.003698,0.005738
0.000,0.260073,0.117782,0.100553,0.260562,0.249328,0.120147,0.290126,0.039571,0.120902
0.000,0.000000,0.004579,0.005028,0.000000,0.000000,0.021245,0.014363,0.003328,0.003279
0.000,0.335287,0.126177,0.104072,0.333089,0.345055,0.137485,0.315260,0.041790,0.124590
0.000,0.000000,0.001526,0.003519,0.000000,0.000000,0.018803,0.006822,0.002589,0.002049
0.000,0.341148,0.125159,0.102061,0.340659,0.341148,0.126984,0.312029,0.032175,0.123361
0.000,0.000000,0.007123,0.004022,0.000000,0.000000,0.018315,0.008259,0.000370,0.003279
0.000,0.266911,0.122615,0.103570,0.310623,0.306471,0.126252,0.307361,0.044009,0.123770
0.000,0.000000,0.000254,0.002765,0.000000,0.000000,0.022222,0.007181,0.001109,0.002049
0.000,0.289621,0.118291,0.102061,0.304762,0.311111,0.124054,0.303052,0.032914,0.125410
0.000,0.000000,0.001272,0.001508,0.000000,0.000000,0.016850,0.009695,0.002589,0.000820
0.000,0.318681,0.128466,0.105078,0.309890,0.279365,0.122589,0.286894,0.032914,0.122951
0.000,0.000000,0.003816,0.004022,0.000000,0.000000,0.018559,0.012208,0.002589,0.003279
0.000,0.269841,0.118291,0.097536,0.270330,0.248352,0.116972,0.293357,0.035873,0.122951
0.000,0.000000,0.003816,0.004525,0.000000,0.000000,0.022711,0.009695,0.003328,0.005328
0.000,0.294994,0.122361,0.099296,0.307448,0.283516,0.122833,0.290126,0.040311,0.123361
0.000,0.000000,0.001272,0.001006,0.000000,0.000000,0.018559,0.009695,0.007027,0.002459
0.000,0.329426,0.121089,0.102061,0.294505,0.291575,0.122833,0.301975,0.042530,0.122131
0.000,0.000000,0.003307,0.002765,0.000000,0.000000,0.028083,0.014004,0.003328,0.002049
0.000,0.225885,0.111168,0.094520,0.213675,0.231258,0.112332,0.268582,0.030695,0.125410
0.000,0.000000,0.001018,0.005028,0.000000,0.000000,0.020757,0.011131,0.005547,0.008197
0.000,0.288156,0.122869,0.101810,0.272772,0.278632,0.122833,0.279354,0.033654,0.125000
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017827,0.010772,0.001849,0.000000
0.000,0.245665,0.113203,0.094771,0.242247,0.233700,0.115263,0.275045,0.032175,0.124180
0.000,0.000000,0.004833,0.005530,0.000000,0.000000,0.024420,0.000000,0.003328,0.007377
0.000,0.210745,0.109641,0.094017,0.180464,0.209768,0.111600,0.270018,0.039571,0.125410
0.000,0.000000,0.001781,0.003017,0.000000,0.000000,0.013919,0.009336,0.005547,0.002049
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.589255,1.000000,0.835429,0.996721
0.000,0.000000,0.483083,0.575918,0.000000,0.000000,0.173138,0.084381,0.029216,0.442623
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.592674,0.971634,0.850592,1.000000
0.000,0.000000,0.456372,0.534942,0.000000,0.000000,0.000000,0.181688,0.013314,0.365574
0.000,0.982173,1.000000,1.000000,1.000000,1.000000,1.000000,0.978815,0.939719,0.975820
0.000,0.000000,0.483083,0.564354,0.000000,0.000000,0.000000,0.261400,0.031065,0.407787
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.963375,0.832470,0.968852
0.000,0.000000,0.482066,0.568125,0.000000,0.000000,0.000000,0.267864,0.032175,0.410246
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.969838,0.863536,0.969672
0.000,0.000000,0.484101,0.563097,0.000977,0.000000,0.000000,0.276840,0.072485,0.404918
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.976661,1.000000,0.983607
0.000,0.000000,0.486136,0.552288,0.000000,0.000000,0.000000,0.270018,0.036612,0.430738
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.973788,0.896820,0.979508
0.000,0.000000,0.475960,0.543238,0.000000,0.000000,0.000000,0.271095,0.028476,0.407377
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.959066,0.766642,0.981148
0.000,0.000000,0.471890,0.552288,0.000000,0.000000,0.000000,0.267864,0.035133,0.434836
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.960503,0.836169,0.964754
0.000,0.000000,0.475960,0.542484,0.000000,0.000000,0.072039,0.269300,0.035133,0.405328
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.952962,0.845784,0.974590
0.000,0.000000,0.472399,0.551785,0.000000,0.000000,0.000000,0.284740,0.031435,0.404918
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.958707,0.829512,0.968852
0.000,0.000000,0.479013,0.546506,0.000000,0.000000,0.000000,0.272531,0.026997,0.425000
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.955835,0.756287,0.887705
0.000,0.000000,0.472399,0.541730,0.000000,0.000000,0.000000,0.271095,0.026997,0.397131
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.949013,0.837648,0.964754
0.000,0.000000,0.476469,0.546506,0.000000,0.000000,0.000000,0.278636,0.026257,0.403689
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.950090,0.833950,0.972951
0.000,0.000000,0.473925,0.547763,0.000000,0.000000,0.000000,0.273968,0.020710,0.401639
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.946499,0.838388,0.975820
0.000,0.000000,0.475197,0.549020,0.000000,0.000000,0.000000,0.278995,0.025148,0.395492
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.935727,0.729660,0.972541
0.000,0.002930,0.469855,0.539718,0.000000,0.000000,0.000000,0.273609,0.022559,0.419672
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.947217,0.737796,0.972541
0.000,0.000000,0.471381,0.547511,0.001954,0.000000,0.000000,0.272172,0.032544,0.418443
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.939318,0.829882,0.957377
0.000,0.000000,0.477232,0.548517,0.018559,0.000000,0.000000,0.275045,0.025148,0.422131
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.940754,0.726701,0.959016
0.000,0.000000,0.478250,0.549020,0.001954,0.000000,0.000000,0.280790,0.026627,0.395492
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.951526,0.730399,0.922951
0.000,0.000000,0.472399,0.535696,0.000000,0.000000,0.000000,0.268223,0.025518,0.310246
0.000,0.981197,0.994912,1.000000,1.000000,1.000000,1.000000,0.928187,0.756287,0.949180
0.045,0.000000,0.476215,0.547009,0.000000,0.000000,0.000000,0.268582,0.028107,0.386885
0.095,1.000000,1.000000,1.000000,1.000000,1.000000,0.956777,0.920646,0.772189,0.939344
0.145,0.000000,0.476978,0.547009,0.000000,0.000000,0.000000,0.274686,0.026257,0.392213
0.195,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916338,0.719305,0.969262
0.245,0.000000,0.470873,0.541730,0.004396,0.000000,0.000000,0.270736,0.030695,0.418852
0.295,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.923160,0.878328,0.974180
0.345,0.000000,0.473162,0.546506,0.000000,0.000000,0.000000,0.270736,0.026627,0.390984
0.395,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916338,0.811760,0.936885
0.445,0.000000,0.474180,0.542735,0.000000,0.000000,0.000000,0.274327,0.026997,0.397131
0.495,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.917056,0.806583,0.893443
0.545,0.000000,0.474180,0.542484,0.000244,0.000000,0.000000,0.270018,0.031805,0.390574
0.595,1.000000,1.000000,1.000000,1.000000,1.000000,0.987057,0.909156,0.694896,0.971311
0.645,0.026618,0.472908,0.546003,0.000000,0.005861,0.000000,0.276840,0.025518,0.417623
0.695,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.917774,0.945266,0.956967
0.745,0.025153,0.476469,0.548517,0.016850,0.009280,0.012943,0.272172,0.047707,0.415984
0.795,1.000000,0.995930,1.000000,1.000000,1.000000,1.000000,0.904129,0.782175,0.954918
0.845,0.000000,0.468837,0.544495,0.000000,0.000488,0.000000,0.272172,0.026257,0.417213
0.895,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.901257,0.775518,0.954918
0.945,0.000000,0.475960,0.548517,0.000000,0.003907,0.000000,0.271095,0.040311,0.412295
0.995,1.000000,0.994403,1.000000,1.000000,0.994383,1.000000,0.899102,0.686760,0.954098
1.045,0.000000,0.475452,0.548014,0.000000,0.000000,0.000000,0.275763,0.023299,0.392623
1.095,1.000000,1.000000,1.000000,1.000000,1.000000,0.827595,0.893716,0.705251,0.919672
1.145,0.008547,0.471381,0.546506,0.021734,0.001954,0.000977,0.272172,0.024038,0.390164
1.195,1.000000,0.987026,1.000000,1.000000,1.000000,0.981929,0.889048,0.669379,0.875410
1.245,0.000000,0.475197,0.535948,0.006105,0.000000,0.000488,0.280790,0.028107,0.390574
1.295,1.000000,0.996947,1.000000,1.000000,1.000000,1.000000,0.888689,0.674926,0.904918
1.345,0.000000,0.473416,0.536450,0.001465,0.000000,0.000000,0.272172,0.029216,0.385246
1.395,1.000000,0.975070,1.000000,1.000000,1.000000,0.967277,0.885817,0.836538,0.942623
1.445,0.000000,0.470873,0.550528,0.002198,0.002930,0.044933,0.286176,0.028107,0.418443
1.495,1.000000,0.988044,1.000000,1.000000,0.994139,1.000000,0.885817,0.788831,0.941803
1.545,0.006105,0.476978,0.548517,0.012454,0.014408,0.000000,0.276840,0.026627,0.418033
1.595,1.000000,0.995930,1.000000,1.000000,1.000000,1.000000,0.889767,0.696746,0.948770
