time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.463184,0.530578,0.000000,0.000000,0.000000,0.136752,0.039871,0.363100
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.969373,1.000000,1.000000
0.000,0.000000,0.456687,0.521234,0.000000,0.000000,0.000000,0.121439,0.034233,0.388374
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.974003,0.893274,0.993260
0.000,0.000000,0.462913,0.518969,0.000000,0.000000,0.000000,0.115028,0.040274,0.357203
0.000,0.023443,0.406064,0.518120,0.000000,0.014896,0.000000,0.348647,0.034636,0.347936
0.000,0.000000,0.175149,0.314836,0.000000,0.000000,0.000000,0.148148,0.031414,0.153328
0.000,0.000733,0.109637,0.206399,0.000000,0.000000,0.000000,0.299145,0.035038,0.152064
0.000,0.000000,0.061722,0.104190,0.000000,0.000000,0.000000,0.151353,0.031414,0.147852
0.000,0.000000,0.088793,0.075311,0.000000,0.002198,0.000000,0.304131,0.043496,0.153328
0.000,0.000000,0.058202,0.039354,0.000000,0.000000,0.000000,0.150641,0.037052,0.145746
0.000,0.000000,0.087439,0.052095,0.000000,0.000000,0.000000,0.304131,0.042288,0.152906
0.000,0.000000,0.059015,0.031144,0.000000,0.001221,0.000000,0.154202,0.031414,0.145746
0.000,0.003907,0.087168,0.049264,0.000000,0.000000,0.000000,0.306980,0.033427,0.155434
0.000,0.000000,0.058473,0.028879,0.000000,0.000000,0.000000,0.154558,0.036649,0.146588
0.000,1.000000,0.823768,0.822480,1.000000,1.000000,1.000000,0.962607,0.891663,0.864364
0.000,0.000000,0.413644,0.495187,0.000000,0.000000,0.000000,0.079416,0.004833,0.313395
0.000,0.012698,0.177044,0.262174,0.010501,0.017827,0.009524,0.234330,0.044704,0.102780
0.000,0.000000,0.000000,0.027746,0.000000,0.000000,0.000000,0.033476,0.000000,0.000000
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.985043,0.838905,0.994103
0.000,0.000000,0.491337,0.582673,0.000000,0.000000,0.000000,0.193732,0.041079,0.460826
0.000,0.001465,0.217650,0.331257,0.000000,0.014408,0.000000,0.282051,0.038260,0.153328
0.000,0.000000,0.080130,0.183749,0.000000,0.000000,0.000000,0.153134,0.031816,0.147430
0.000,0.000000,0.089875,0.119479,0.000000,0.000000,0.000000,0.302707,0.039468,0.155013
0.000,0.000000,0.065241,0.050396,0.000000,0.000000,0.000000,0.063034,0.000805,0.106992
0.000,0.001221,0.259881,0.328992,0.000000,0.000000,0.000000,0.337963,0.042690,0.312553
0.000,0.000000,0.048457,0.081823,0.000000,0.000000,0.001709,0.116097,0.033025,0.122999
0.000,0.000000,0.085544,0.067384,0.000733,0.004151,0.000000,0.298433,0.041079,0.156698
0.000,0.000000,0.056578,0.038505,0.000000,0.000000,0.000000,0.146368,0.029803,0.146167
0.000,0.000000,0.085273,0.049547,0.001221,0.000000,0.000000,0.299858,0.033025,0.155013
0.000,0.000000,0.057390,0.032843,0.003907,0.000000,0.000000,0.140313,0.029803,0.146167
0.000,0.212943,0.121278,0.081257,0.239072,0.259585,0.254212,0.376781,0.051148,0.153328
0.000,0.000000,0.162155,0.239241,0.000000,0.000000,0.000000,0.000000,0.000805,0.016007
0.000,1.000000,0.918787,1.000000,1.000000,1.000000,1.000000,0.979345,0.944019,0.870682
0.000,0.000000,0.335138,0.424689,0.000000,0.000000,0.000000,0.094729,0.022151,0.270851
