time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.047619,0.039167,0.001221,0.000000,0.000000,0.026947,0.014646,0.015517
0.000,0.001221,0.080830,0.076847,0.005128,0.005617,0.007570,0.099789,0.037374,0.084914
0.000,0.000000,0.045421,0.043381,0.000000,0.000000,0.000000,0.037474,0.022222,0.024569
0.000,0.036874,0.088645,0.083292,0.018315,0.019536,0.010256,0.107789,0.039899,0.096121
0.000,0.000000,0.040537,0.038919,0.000000,0.000000,0.000000,0.025263,0.010101,0.012931
0.000,0.020757,0.085226,0.083292,0.012454,0.025397,0.020757,0.112421,0.040909,0.097414
0.000,0.017338,0.045665,0.040159,0.000244,0.000000,0.000000,0.032421,0.011111,0.014655
0.000,0.035897,0.098413,0.089737,0.048840,0.049084,0.037363,0.126316,0.053535,0.103879
0.000,0.000000,0.046154,0.033713,0.000000,0.000488,0.013431,0.022737,0.014141,0.020690
0.000,0.042247,0.099878,0.082796,0.046886,0.045177,0.047863,0.115789,0.056566,0.100431
0.000,0.005861,0.040537,0.039167,0.000000,0.000733,0.000000,0.023579,0.010101,0.012069
0.000,0.010501,0.090598,0.080069,0.025641,0.022711,0.033455,0.113263,0.041414,0.094828
0.000,0.000000,0.050794,0.040654,0.000000,0.000000,0.004640,0.032842,0.018687,0.029741
0.000,0.022466,0.091819,0.087258,0.033455,0.017338,0.031013,0.125053,0.043939,0.105172
0.000,0.000000,0.037851,0.023550,0.000000,0.000000,0.005861,0.003789,0.010606,0.000000
0.000,0.074237,0.106227,0.088746,0.062271,0.059585,0.049573,0.138526,0.050505,0.111638
0.000,0.000000,0.046886,0.039167,0.000000,0.000000,0.000000,0.023579,0.006566,0.010345
0.000,0.017582,0.091087,0.085275,0.025397,0.016361,0.022955,0.120842,0.043939,0.103879
0.000,0.000000,0.223199,0.446703,0.009524,0.000000,0.003907,0.186526,0.055556,0.459483
0.000,0.000000,0.117216,0.170302,0.000000,0.000000,0.000000,0.115789,0.050505,0.113793
0.000,0.000000,0.226618,0.581061,0.000000,0.005617,0.004396,0.206316,0.060606,0.496983
0.000,1.000000,0.967277,1.000000,1.000000,1.000000,1.000000,0.948632,1.000000,1.000000
0.000,0.018315,0.179487,0.587754,0.000000,0.000000,0.000000,0.193263,0.051010,0.439655
0.000,1.000000,0.947497,1.000000,1.000000,1.000000,1.000000,0.928421,0.992424,0.971552
0.000,0.008059,0.226862,0.593208,0.000000,0.000000,0.009035,0.208421,0.080808,0.503448
0.000,0.011477,0.093773,0.494794,0.008791,0.008547,0.011722,0.152842,0.038384,0.315948
0.000,0.000000,0.041758,0.074616,0.004884,0.003175,0.000000,0.025684,0.017677,0.022414
0.000,1.000000,0.903541,0.818542,1.000000,1.000000,1.000000,0.863579,0.819192,0.878879
0.000,0.000000,0.072039,0.421914,0.005861,0.000000,0.000000,0.177684,0.044949,0.220259
0.000,0.000000,0.072527,0.269212,0.004151,0.000000,0.000000,0.170526,0.041414,0.126724
0.000,0.000000,0.061294,0.105850,0.000000,0.000000,0.013675,0.098105,0.034343,0.077586
0.000,0.000000,0.066422,0.083292,0.004884,0.000000,0.000000,0.112421,0.036869,0.083190
0.000,0.000000,0.066911,0.090977,0.000000,0.000000,0.000000,0.105684,0.034343,0.090517
0.000,0.000000,0.069597,0.092712,0.000000,0.000000,0.000000,0.119579,0.042424,0.088362
0.000,0.003907,0.064225,0.085027,0.000000,0.000000,0.000000,0.098947,0.034343,0.080172
0.000,0.371184,0.307937,0.131879,0.362149,0.362637,0.363858,0.221053,0.053535,0.111207
0.000,0.000000,0.085226,0.117997,0.000000,0.000000,0.000000,0.141053,0.044444,0.153879
0.000,0.421001,0.308913,0.140307,0.415873,0.414164,0.462271,0.259789,0.054545,0.113793
0.000,0.000000,0.237118,0.574120,0.000000,0.000000,0.000000,0.210947,0.091414,0.477155
0.000,0.000000,0.065690,0.367377,0.000000,0.000000,0.000000,0.118316,0.052525,0.096983
0.000,0.000000,0.070818,0.181706,0.000000,0.000000,0.000000,0.130105,0.035354,0.120259
0.000,0.012454,0.070330,0.146753,0.012210,0.023199,0.017827,0.131789,0.047475,0.098707
0.000,0.000000,0.073016,0.095687,0.000000,0.000000,0.004884,0.113263,0.034848,0.092241
0.000,0.114530,0.226862,0.486366,0.121123,0.129670,0.130647,0.196632,0.052525,0.390517
0.000,0.000000,0.046154,0.306644,0.000000,0.027350,0.000000,0.026526,0.005051,0.062931
0.000,1.000000,0.993162,0.869113,1.000000,1.000000,1.000000,0.958737,0.976263,0.814224
0.000,0.000000,0.070818,0.521567,0.000000,0.000000,0.000000,0.098947,0.092929,0.531466
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.945684,0.925253,0.944828
0.000,0.000000,0.000000,0.515121,0.000000,0.000000,0.000000,0.091368,0.088889,0.550431
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.957895,0.938384,0.953879
0.000,0.000000,0.000000,0.494794,0.000000,0.000000,0.000000,0.086316,0.096970,0.513362
0.000,0.061294,0.075458,0.076103,0.072772,0.143834,0.064957,0.121684,0.048485,0.117241
0.000,0.000000,0.002198,0.035201,0.000000,0.000000,0.000000,0.050947,0.024242,0.066810
0.000,0.031990,0.044689,0.056024,0.035409,0.050794,0.044689,0.090526,0.046970,0.111207
0.000,0.000000,0.000000,0.018840,0.000000,0.000000,0.000000,0.026526,0.010606,0.029310
0.000,0.029548,0.040049,0.057015,0.027106,0.033700,0.032967,0.104000,0.046970,0.111207
0.000,0.000000,0.001465,0.021319,0.000000,0.000000,0.000000,0.040421,0.012121,0.044828
0.000,0.042491,0.035409,0.060982,0.021490,0.029060,0.034432,0.116211,0.044444,0.114224
0.000,0.000000,0.000000,0.018344,0.000000,0.000000,0.000000,0.037474,0.012626,0.040517
0.000,0.077411,0.084005,0.065940,0.067643,0.068132,0.072527,0.134316,0.055051,0.112069
0.000,0.000000,0.000000,0.016609,0.000000,0.000000,0.000000,0.025263,0.016162,0.054310
0.000,0.044933,0.060806,0.058007,0.052503,0.046886,0.087668,0.124211,0.051515,0.109483
0.000,0.000000,0.000000,0.008676,0.000000,0.000000,0.000000,0.020632,0.007576,0.025000
0.000,0.044933,0.046154,0.055032,0.035165,0.041270,0.055433,0.055579,0.043434,0.112069
0.000,0.000000,0.000000,0.010659,0.000000,0.000000,0.000000,0.033263,0.008586,0.027586
0.000,0.084005,0.092063,0.064204,0.082295,0.083761,0.067155,0.157895,0.055556,0.112069
0.000,0.000000,0.000000,0.004958,0.000000,0.000000,0.000000,0.021474,0.004040,0.020690
0.000,0.123077,0.150183,0.076847,0.134554,0.138462,0.121368,0.173895,0.057071,0.111207
0.000,0.000000,0.000000,0.008924,0.000000,0.000000,0.000000,0.013474,0.004040,0.016379
0.000,0.142857,0.148474,0.078334,0.142857,0.147253,0.134066,0.168842,0.061111,0.109914
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007158,0.002020,0.012931
0.000,0.362393,0.357509,0.138324,0.346032,0.355311,0.337729,0.295579,0.063131,0.112069
0.000,0.000000,0.000000,0.009916,0.000000,0.000000,0.000000,0.000000,0.000000,0.024569
0.000,1.000000,1.000000,0.847298,1.000000,1.000000,1.000000,0.944421,0.839394,0.903448
0.000,0.000000,0.000000,0.457115,0.000000,0.000000,0.000000,0.088842,0.253535,0.598276
0.000,1.000000,1.000000,0.854735,1.000000,1.000000,1.000000,0.920000,0.811111,0.890948
0.000,0.000000,0.000000,0.453644,0.000000,0.000000,0.014652,0.073684,0.131313,0.554310
0.000,1.000000,1.000000,0.845563,1.000000,1.000000,1.000000,0.927579,0.804545,0.889655
0.000,0.000000,0.003907,0.455627,0.000000,0.000000,0.000000,0.065684,0.135354,0.559483
0.000,1.000000,1.000000,0.847298,1.000000,1.000000,1.000000,0.925895,0.802525,0.904741
0.000,0.000000,0.000244,0.456123,0.000000,0.000000,0.000000,0.076211,0.126768,0.606466
0.000,1.000000,1.000000,0.812097,1.000000,1.000000,1.000000,0.944421,0.765657,0.865517
0.043,0.000000,0.000000,0.449678,0.000000,0.000000,0.028571,0.071158,0.147475,0.563362
0.093,0.976801,1.000000,0.811106,0.990232,1.000000,1.000000,0.914947,0.755556,0.868966
0.143,0.002198,0.000000,0.446455,0.000000,0.000000,0.000000,0.066105,0.147980,0.571121
0.193,1.000000,1.000000,0.792762,1.000000,1.000000,0.945543,0.909474,0.729293,0.852586
0.243,0.000000,0.000000,0.447695,0.018315,0.000000,0.000000,0.077895,0.139899,0.576724
0.293,1.000000,1.000000,0.783342,1.000000,1.000000,1.000000,0.909053,0.725758,0.852586
0.343,0.000000,0.000000,0.452157,0.000000,0.000000,0.000000,0.162105,0.147475,0.618966
0.393,1.000000,1.000000,0.761527,1.000000,1.000000,1.000000,0.983579,0.683838,0.860776
0.443,0.000000,0.000000,0.458602,0.000000,0.000000,0.000000,0.173474,0.166667,0.620690
0.493,1.000000,1.000000,0.761279,1.000000,1.000000,1.000000,1.000000,0.714141,0.865948
0.543,0.000000,0.000000,0.456867,0.000000,0.000000,0.010501,0.194947,0.281818,0.621552
0.593,1.000000,1.000000,0.731780,1.000000,1.000000,1.000000,0.974737,0.667172,0.829310
0.643,0.000000,0.000488,0.457858,0.000000,0.000000,0.000000,0.172632,0.152525,0.629741
0.694,1.000000,1.000000,0.731780,1.000000,1.000000,1.000000,0.968842,0.648485,0.840517
0.743,0.000000,0.000000,0.458602,0.000000,0.000000,0.000000,0.200421,0.281818,0.633190
0.793,1.000000,1.000000,0.721616,1.000000,1.000000,1.000000,0.963789,0.635859,0.815948
0.843,0.000000,0.000000,0.463560,0.000000,0.000000,0.000000,0.180632,0.300000,0.590086
0.893,1.000000,1.000000,0.694100,1.000000,1.000000,1.000000,0.951158,0.606061,0.762500
0.943,0.000000,0.008059,0.460089,0.000000,0.000000,0.000000,0.189895,0.165657,0.595259
0.993,1.000000,1.000000,0.686168,1.000000,1.000000,1.000000,0.933895,0.576768,0.776293
1.043,0.000000,0.000000,0.464056,0.000000,0.000000,0.000000,0.195368,0.202020,0.601724
1.093,1.000000,1.000000,0.693604,1.000000,1.000000,1.000000,0.952000,0.592929,0.772414
1.143,0.000000,0.000000,0.464056,0.011966,0.000000,0.000000,0.181895,0.195960,0.603879
1.193,1.000000,1.000000,0.676748,1.000000,1.000000,1.000000,0.935158,0.567677,0.750431
1.243,0.000000,0.001465,0.468765,0.000000,0.000000,0.000000,0.188632,0.196465,0.648276
1.294,1.000000,1.000000,0.664601,1.000000,1.000000,1.000000,0.934737,0.551515,0.762500
1.343,0.000000,0.000000,0.475459,0.000000,0.000000,0.000000,0.198316,0.187879,0.656897
1.393,1.000000,1.000000,0.658404,1.000000,1.000000,1.000000,0.929684,0.527273,0.746983
1.443,0.000000,0.005617,0.477442,0.001221,0.000000,0.000000,0.201684,0.196970,0.661207
1.494,1.000000,1.000000,0.640803,1.000000,1.000000,0.975580,0.899368,0.499495,0.726293
1.543,0.000000,0.001221,0.471492,0.000733,0.000000,0.002442,0.203368,0.215152,0.666379
1.593,1.000000,1.000000,0.641299,1.000000,1.000000,1.000000,0.899789,0.484848,0.723276
1.643,0.000000,0.000000,0.479921,0.000000,0.000000,0.000000,0.219368,0.279798,0.666379
1.694,1.000000,1.000000,0.649975,1.000000,1.000000,1.000000,0.907789,0.495960,0.736207
1.743,0.000000,0.008303,0.484383,0.000000,0.000000,0.000000,0.207158,0.290909,0.619828
1.793,1.000000,1.000000,0.628161,1.000000,1.000000,1.000000,0.888842,0.469192,0.664224
1.843,0.000000,0.000000,0.480416,0.000000,0.000000,0.004884,0.226105,0.358586,0.668966
1.893,1.000000,1.000000,0.622211,1.000000,1.000000,1.000000,0.893895,0.452525,0.700862
1.943,0.000000,0.008059,0.490084,0.000000,0.000000,0.000000,0.193684,0.236869,0.676293
1.994,1.000000,1.000000,0.607833,1.000000,1.000000,0.819292,0.853895,0.393939,0.669397
2.043,0.000000,0.000000,0.484879,0.000000,0.000000,0.000000,0.202105,0.235354,0.636207
2.094,1.000000,1.000000,0.594447,1.000000,1.000000,1.000000,0.858947,0.393434,0.651293
2.143,0.000000,0.000000,0.490084,0.000000,0.000000,0.000000,0.228632,0.245455,0.645690
2.194,1.000000,1.000000,0.582548,1.000000,1.000000,1.000000,0.853474,0.380808,0.633621
2.243,0.000000,0.008791,0.490332,0.000000,0.000000,0.000000,0.224000,0.255556,0.686207
2.293,0.914530,0.996337,0.558255,1.000000,1.000000,1.000000,0.820632,0.327273,0.614224
2.343,0.000000,0.012943,0.497025,0.000000,0.000000,0.000000,0.246316,0.239394,0.645259
2.393,1.000000,1.000000,0.560486,1.000000,1.000000,1.000000,0.828211,0.336364,0.587931
2.443,0.000000,0.016606,0.487853,0.000000,0.000000,0.000000,0.216842,0.380808,0.689655
