time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.009132,0.000000,0.000000,0.037975,0.314050,0.119403,0.108974
0.000,0.000000,0.000000,0.077626,0.000000,0.000000,0.000000,0.338843,0.179104,0.128205
0.000,0.000000,0.000000,0.000000,0.000000,0.085366,0.000000,0.328512,0.194030,0.032051
0.000,0.030508,0.000000,0.082192,0.000000,0.000000,0.611814,0.355372,0.179104,0.089744
0.000,0.000000,0.148551,0.073059,0.000000,0.000000,0.000000,0.355372,0.179104,0.121795
0.000,0.813559,0.000000,0.155251,0.000000,0.000000,0.000000,0.415289,0.208955,0.201923
0.000,0.000000,0.231884,0.004566,0.000000,0.000000,0.000000,0.345041,0.119403,0.083333
0.000,0.000000,0.065217,0.082192,0.000000,0.000000,0.000000,0.396694,0.268657,0.144231
0.000,0.000000,0.000000,0.091324,0.000000,0.000000,0.000000,0.407025,0.268657,0.173077
0.000,0.000000,0.000000,0.114155,0.000000,0.000000,0.000000,0.454545,0.328358,0.259615
0.000,0.000000,0.003623,0.036530,0.000000,0.000000,0.000000,0.373967,0.208955,0.182692
0.000,0.020339,0.000000,0.077626,0.000000,0.000000,0.000000,0.435950,0.268657,0.250000
0.000,0.000000,0.134058,0.073059,0.000000,0.000000,0.000000,0.435950,0.477612,0.160256
0.000,0.010169,0.000000,0.082192,0.000000,0.000000,0.000000,0.402893,0.268657,0.182692
0.000,0.000000,0.000000,0.073059,0.000000,0.000000,0.000000,0.411157,0.238806,0.185897
0.000,0.000000,0.057971,0.100457,0.000000,0.000000,0.000000,0.444215,0.283582,0.240385
0.000,0.000000,0.000000,0.036530,0.000000,0.000000,0.000000,0.402893,0.104478,0.125000
0.000,0.000000,0.307971,0.077626,0.000000,0.000000,0.000000,0.460744,0.283582,0.208333
0.000,0.000000,0.007246,0.132420,0.000000,0.000000,0.000000,0.458678,0.328358,0.275641
0.000,0.000000,0.000000,0.095890,0.000000,0.000000,0.025316,0.456612,0.567164,0.224359
0.000,0.000000,0.000000,0.045662,0.000000,0.000000,0.000000,0.382231,0.223881,0.182692
0.000,0.000000,0.007246,0.100457,0.000000,0.000000,0.000000,0.526860,0.298507,0.307692
0.000,0.000000,0.094203,0.095890,0.000000,0.052846,0.000000,0.510331,0.447761,0.294872
0.000,0.200000,0.000000,0.150685,0.257353,0.000000,0.000000,0.535124,0.477612,0.314103
0.000,0.000000,0.000000,0.114155,0.000000,0.000000,0.000000,0.452479,0.268657,0.243590
0.000,0.000000,0.130435,0.091324,0.000000,0.089431,0.000000,0.438017,0.179104,0.211538
0.000,0.000000,0.007246,0.000000,0.000000,0.000000,0.000000,0.400826,0.164179,0.182692
0.000,0.000000,0.000000,0.091324,0.000000,0.000000,0.000000,0.415289,0.328358,0.185897
0.000,0.020339,0.000000,0.132420,0.000000,0.000000,0.113924,0.402893,0.417910,0.243590
0.000,0.000000,0.000000,0.114155,0.000000,0.000000,0.000000,0.440083,0.328358,0.185897
0.000,0.162712,0.000000,0.168950,0.000000,0.000000,0.000000,0.520661,0.447761,0.397436
0.000,0.000000,0.000000,0.182648,0.000000,0.032520,0.000000,0.646694,0.447761,0.503205
0.000,0.000000,0.101449,0.159817,0.000000,0.000000,0.000000,0.572314,0.507463,0.410256
0.000,0.000000,0.000000,0.150685,0.000000,0.048780,0.000000,0.605372,0.358209,0.387821
0.000,0.000000,0.231884,0.109589,0.125000,0.000000,0.000000,0.340909,0.089552,0.089744
0.000,0.000000,0.000000,0.735160,0.000000,0.020325,0.000000,1.000000,1.000000,1.000000
0.000,0.000000,0.028986,0.347032,0.000000,0.000000,0.016878,0.543388,0.298507,0.352564
0.000,0.200000,0.253623,0.694064,0.125000,0.048780,0.000000,0.727273,0.865672,0.634615
0.000,0.094915,0.000000,0.219178,0.205882,0.000000,0.215190,0.373967,0.417910,0.099359
0.000,0.000000,0.000000,0.191781,0.000000,0.000000,0.000000,0.493802,0.447761,0.288462
0.000,0.000000,0.000000,0.000000,0.000000,0.081301,0.000000,0.438017,0.164179,0.217949
0.000,0.000000,0.086957,0.196347,0.330882,0.000000,0.088608,0.613636,0.656716,0.458333
0.000,0.006780,0.000000,0.013699,0.000000,0.000000,0.084388,0.338843,0.238806,0.108974
0.000,0.094915,0.119565,0.260274,0.360294,0.040650,0.434599,0.636364,0.626866,0.628205
0.000,0.000000,0.014493,0.091324,0.000000,0.065041,0.000000,0.303719,0.179104,0.070513
0.000,0.000000,0.094203,0.086758,0.294118,0.182927,0.000000,0.378099,0.179104,0.217949
0.000,0.000000,0.000000,0.045662,0.000000,0.000000,0.012658,0.361570,0.208955,0.256410
0.000,0.000000,0.000000,0.059361,0.000000,0.000000,0.000000,0.328512,0.343284,0.253205
0.000,0.000000,0.000000,0.022831,0.000000,0.000000,0.000000,0.233471,0.477612,0.176282
0.000,0.000000,0.000000,0.036530,0.000000,0.000000,0.000000,0.223140,0.283582,0.173077
0.000,0.000000,0.452899,0.150685,0.000000,0.000000,0.000000,0.165289,0.194030,0.076923
0.000,0.000000,0.010870,0.214612,0.000000,0.077236,0.000000,0.190083,0.164179,0.160256
0.000,0.000000,0.000000,0.031963,0.000000,0.000000,0.000000,0.188017,0.208955,0.089744
0.000,0.000000,0.155797,0.305936,0.022059,0.451220,0.000000,0.241736,0.208955,0.314103
0.000,0.033898,0.000000,0.073059,0.000000,0.000000,0.000000,0.134298,0.179104,0.028846
0.000,0.000000,0.000000,0.232877,0.338235,0.073171,0.037975,0.196281,0.388060,0.278846
0.000,0.111864,0.086957,0.086758,0.000000,0.000000,0.578059,0.051653,0.044776,0.025641
0.000,0.000000,0.028986,0.196347,0.000000,0.000000,0.000000,0.117769,0.253731,0.125000
0.000,0.030508,0.000000,0.150685,0.080882,0.000000,0.000000,0.097107,0.044776,0.105769
0.000,0.000000,0.532609,0.182648,0.000000,0.032520,0.000000,0.090909,0.000000,0.108974
0.000,0.389831,0.463768,0.260274,0.691176,0.162602,0.227848,0.266529,0.507463,0.128205
0.000,0.000000,0.014493,0.561644,0.000000,0.000000,0.021097,0.237603,0.552239,0.618590
0.000,0.040678,0.358696,0.150685,0.345588,0.134146,0.042194,0.181818,0.179104,0.048077
0.000,0.000000,0.250000,0.401826,0.205882,0.000000,0.000000,0.179752,0.208955,0.391026
0.000,0.000000,0.000000,0.095890,0.816176,0.000000,0.000000,0.026860,0.253731,0.032051
0.000,0.000000,0.000000,0.200913,0.000000,0.000000,0.000000,0.111570,0.328358,0.147436
0.000,0.000000,0.000000,0.159817,0.000000,0.000000,0.000000,0.080579,0.328358,0.099359
0.000,0.000000,0.000000,0.196347,0.007353,0.000000,0.000000,0.109504,0.298507,0.134615
0.000,0.000000,0.000000,0.132420,0.000000,0.000000,0.000000,0.030992,0.268657,0.108974
0.000,0.000000,0.000000,0.196347,0.000000,0.000000,0.000000,0.113636,0.298507,0.128205
0.000,0.000000,0.000000,0.150685,0.000000,0.000000,0.101266,0.074380,0.208955,0.099359
0.000,0.000000,0.000000,0.351598,0.000000,0.000000,0.000000,0.080579,0.417910,0.442308
0.000,0.071186,0.423913,0.187215,0.830882,0.146341,0.008439,0.181818,0.223881,0.064103
0.000,0.122034,0.000000,0.105023,0.000000,0.000000,0.105485,0.167355,0.283582,0.198718
0.000,0.233898,0.000000,0.095890,0.000000,0.000000,0.000000,0.068182,0.417910,0.413462
0.000,0.138983,0.000000,0.036530,0.000000,0.020325,0.000000,0.101240,0.059701,0.150641
0.000,0.000000,0.260870,0.000000,0.058824,0.906504,0.000000,0.206612,0.074627,0.057692
0.000,0.000000,0.000000,0.000000,0.000000,0.142276,0.000000,0.123967,0.447761,0.224359
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070248,0.283582,0.195513
0.000,0.000000,0.000000,0.091324,0.058824,0.000000,0.000000,0.000000,0.194030,0.250000
0.000,0.000000,0.000000,0.027397,0.000000,0.000000,0.000000,0.090909,0.283582,0.173077
0.000,0.000000,0.000000,0.132420,0.000000,0.000000,0.000000,0.101240,0.388060,0.333333
0.045,0.000000,0.000000,0.292237,0.000000,0.085366,0.000000,0.099174,0.238806,0.285256
0.095,0.000000,0.000000,0.105023,0.007353,0.000000,0.000000,0.084711,0.388060,0.326923
0.145,0.016949,0.000000,0.141553,0.000000,0.000000,0.000000,0.090909,0.194030,0.253205
0.195,0.000000,0.000000,0.401826,0.000000,0.000000,0.000000,0.123967,0.716418,0.878205
0.245,0.000000,0.000000,0.150685,0.058824,0.000000,0.000000,0.084711,0.119403,0.108974
0.295,0.054237,0.061594,0.187215,0.294118,0.000000,0.004219,0.097107,0.179104,0.185897
0.345,0.000000,0.000000,0.109589,0.000000,0.000000,0.000000,0.134298,0.104478,0.000000
0.395,0.000000,0.043478,0.187215,0.000000,0.065041,0.000000,0.138430,0.268657,0.141026
0.445,0.000000,0.000000,0.205479,0.058824,0.000000,0.000000,0.117769,0.328358,0.240385
0.495,0.115254,0.000000,0.150685,0.000000,0.020325,0.000000,0.090909,0.089552,0.076923
0.545,0.000000,0.000000,0.150685,1.000000,0.065041,0.000000,0.150826,0.164179,0.035256
0.595,0.030508,0.000000,0.196347,0.044118,0.077236,0.000000,0.117769,0.134328,0.182692
0.645,0.152542,0.000000,0.018265,0.117647,0.000000,0.000000,0.105372,0.268657,0.038462
0.695,0.138983,0.000000,0.000000,0.257353,0.357724,0.016878,0.171488,0.238806,0.176282
0.745,0.030508,0.065217,0.000000,0.000000,0.000000,0.012658,0.105372,0.238806,0.025641
0.795,0.193220,0.257246,0.200913,0.183824,0.065041,0.177215,0.109504,0.388060,0.291667
0.845,0.000000,0.028986,0.045662,0.264706,0.000000,0.000000,0.130165,0.328358,0.038462
0.895,0.101695,0.605072,0.251142,0.000000,0.008130,0.016878,0.136364,0.268657,0.346154
0.945,0.450847,0.094203,0.073059,0.000000,0.000000,0.025316,0.107438,0.298507,0.089744
0.995,0.000000,0.000000,0.168950,0.000000,0.065041,0.189873,0.130165,0.298507,0.230769
1.045,0.003390,0.057971,0.073059,0.132353,0.081301,0.000000,0.070248,0.358209,0.112179
1.095,0.000000,0.231884,0.242009,0.411765,0.000000,0.000000,0.117769,0.417910,0.320513
1.145,0.016949,0.590580,0.123288,0.080882,0.044715,0.000000,0.204545,0.268657,0.086538
1.195,0.294915,0.018116,0.182648,0.000000,0.052846,0.000000,0.140496,0.179104,0.250000
1.245,0.000000,0.000000,0.027397,0.000000,0.000000,0.000000,0.105372,0.164179,0.038462
1.295,0.000000,0.000000,0.082192,0.000000,0.069106,0.000000,0.097107,0.104478,0.092949
1.345,0.000000,0.000000,0.000000,0.661765,0.000000,0.080169,0.097107,0.059701,0.038462
1.395,0.000000,0.000000,0.127854,0.000000,0.048780,0.000000,0.099174,0.119403,0.108974
1.445,0.000000,0.000000,0.228311,0.000000,0.000000,0.000000,0.115702,0.716418,0.410256
1.495,0.000000,0.000000,0.091324,0.000000,0.000000,0.105485,0.109504,0.149254,0.137821
1.545,0.000000,0.000000,0.073059,0.000000,0.048780,0.000000,0.020661,0.000000,0.060897
1.595,0.000000,0.000000,0.082192,0.213235,0.000000,0.071730,0.109504,0.208955,0.211538
1.645,0.000000,0.000000,0.219178,0.058824,0.000000,0.000000,0.165289,0.358209,0.041667
1.695,0.186441,0.184783,0.424658,0.448529,0.121951,0.282700,0.297521,0.761194,0.532051
1.745,0.179661,0.119565,0.178082,0.595588,0.207317,0.303797,0.237603,0.492537,0.108974
1.795,0.000000,0.000000,0.091324,0.000000,0.000000,0.303797,0.113636,0.373134,0.179487
1.845,0.000000,0.000000,0.018265,0.161765,0.000000,0.008439,0.099174,0.208955,0.064103
1.895,0.000000,0.000000,0.109589,0.000000,0.056911,0.000000,0.115702,0.089552,0.141026
1.945,0.000000,0.000000,0.036530,0.000000,0.000000,0.000000,0.126033,0.059701,0.019231
1.995,0.000000,0.014493,0.164384,0.029412,0.069106,0.000000,0.175620,0.402985,0.278846
2.045,0.013559,0.028986,0.036530,0.088235,0.048780,0.202532,0.130165,0.104478,0.032051
2.095,0.027119,0.000000,0.114155,0.000000,0.000000,0.299578,0.146694,0.373134,0.240385
2.145,0.000000,0.126812,0.091324,0.000000,0.004065,0.000000,0.119835,0.104478,0.016026
2.195,0.044068,0.369565,0.141553,0.000000,0.073171,0.000000,0.157025,0.238806,0.230769
2.245,0.101695,0.000000,0.041096,0.000000,0.000000,0.000000,0.142562,0.089552,0.032051
2.295,0.013559,0.195652,0.182648,0.713235,0.000000,0.000000,0.171488,0.179104,0.394231
2.345,0.091525,0.014493,0.109589,0.654412,0.203252,0.000000,0.216942,0.328358,0.067308
2.395,0.925424,1.000000,1.000000,0.889706,1.000000,1.000000,0.754132,0.716418,0.698718
2.445,0.294915,0.387681,0.168950,0.389706,0.256098,0.151899,0.287190,0.447761,0.160256
2.495,0.393220,0.322464,0.639269,0.713235,0.386179,0.518987,0.351240,0.805970,0.701923
2.545,0.450847,0.336957,0.223744,0.433824,0.540650,0.172996,0.371901,0.477612,0.147436
2.595,0.094915,0.144928,0.452055,0.558824,0.361789,0.434599,0.324380,0.597015,0.669872
2.645,1.000000,0.561594,0.251142,0.566176,0.422764,0.324895,0.289256,0.477612,0.108974
2.695,0.298305,0.344203,0.547945,0.647059,0.288618,0.168776,0.419421,0.567164,0.698718
2.745,0.535593,0.202899,0.182648,0.264706,0.134146,0.000000,0.262397,0.432836,0.089744
2.795,0.359322,0.202899,0.561644,0.507353,0.390244,0.375527,0.382231,0.626866,0.689103
2.845,0.094915,0.065217,0.173516,0.411765,0.292683,0.000000,0.311983,0.358209,0.092949
2.895,0.254237,0.184783,0.607306,0.419118,0.406504,0.181435,0.427686,0.805970,0.679487
2.945,0.247458,0.155797,0.205479,0.647059,0.207317,0.194093,0.247934,0.477612,0.128205
2.995,0.274576,0.340580,0.410959,0.750000,0.532520,0.540084,0.373967,0.746269,0.679487
3.045,0.000000,0.000000,0.109589,0.639706,0.162602,0.459916,0.303719,0.552239,0.121795
